frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.41,-6.18,2.41,-6.18,6.18,5.94,1.83,8.59,8.59,8.59
20.20,2.46,-6.12,2.46,-6.12,6.12,5.90,1.89,8.58,8.58,8.58
20.40,2.51,-6.06,2.51,-6.06,6.06,5.87,1.94,8.57,8.57,8.57
20.61,2.56,-6.00,2.56,-6.00,6.00,5.83,2.00,8.56,8.56,8.56
20.81,2.61,-5.93,2.61,-5.93,5.94,5.79,2.06,8.55,8.55,8.54
21.02,2.66,-5.87,2.66,-5.87,5.87,5.74,2.12,8.54,8.54,8.53
21.23,2.72,-5.80,2.72,-5.81,5.81,5.70,2.18,8.53,8.53,8.52
21.44,2.77,-5.76,2.77,-5.75,5.74,5.65,2.25,8.52,8.52,8.53
21.66,2.83,-5.68,2.83,-5.68,5.67,5.61,2.31,8.51,8.51,8.51
21.87,2.89,-5.62,2.89,-5.62,5.61,5.56,2.38,8.50,8.50,8.51
22.09,2.95,-5.54,2.95,-5.54,5.54,5.51,2.45,8.49,8.49,8.49
22.31,3.01,-5.47,3.02,-5.47,5.47,5.46,2.53,8.48,8.48,8.48
22.54,3.08,-5.39,3.08,-5.39,5.40,5.41,2.60,8.48,8.48,8.47
22.76,3.15,-5.32,3.15,-5.32,5.33,5.36,2.68,8.48,8.47,8.47
22.99,3.21,-5.25,3.21,-5.25,5.26,5.31,2.75,8.47,8.47,8.46
23.22,3.26,-5.19,3.27,-5.19,5.19,5.25,2.83,8.45,8.46,8.45
23.45,3.32,-5.14,3.33,-5.13,5.12,5.20,2.91,8.45,8.45,8.46
23.69,3.39,-5.06,3.39,-5.06,5.06,5.14,3.00,8.45,8.45,8.45
23.92,3.46,-4.98,3.46,-4.99,4.99,5.08,3.08,8.45,8.45,8.44
24.16,3.52,-4.93,3.52,-4.92,4.92,5.03,3.17,8.45,8.45,8.45
24.40,3.58,-4.87,3.59,-4.86,4.86,4.97,3.25,8.44,8.45,8.45
24.65,3.65,-4.79,3.65,-4.79,4.79,4.91,3.34,8.44,8.44,8.44
24.89,3.72,-4.72,3.72,-4.72,4.72,4.85,3.43,8.44,8.44,8.44
25.14,3.78,-4.65,3.79,-4.65,4.65,4.79,3.52,8.43,8.44,8.43
25.39,3.85,-4.58,3.85,-4.58,4.58,4.73,3.61,8.43,8.43,8.43
25.65,3.92,-4.51,3.92,-4.51,4.51,4.67,3.70,8.43,8.42,8.43
25.91,3.99,-4.44,3.99,-4.44,4.43,4.61,3.79,8.42,8.42,8.43
26.16,4.06,-4.38,4.07,-4.36,4.36,4.55,3.88,8.42,8.43,8.44
26.43,4.15,-4.28,4.15,-4.28,4.29,4.48,3.97,8.44,8.44,8.43
26.69,4.23,-4.20,4.23,-4.21,4.21,4.42,4.05,8.45,8.44,8.43
26.96,4.30,-4.13,4.30,-4.13,4.14,4.36,4.14,8.44,8.44,8.43
27.23,4.35,-4.08,4.36,-4.07,4.07,4.30,4.22,8.42,8.43,8.43
27.50,4.42,-4.01,4.42,-4.01,4.01,4.23,4.30,8.43,8.43,8.43
27.77,4.48,-3.96,4.49,-3.95,3.94,4.17,4.37,8.43,8.43,8.44
28.05,4.55,-3.88,4.56,-3.88,3.89,4.11,4.44,8.44,8.44,8.43
28.33,4.62,-3.82,4.62,-3.82,3.83,4.04,4.51,8.46,8.45,8.44
28.62,4.67,-3.77,4.67,-3.77,3.78,3.98,4.57,8.45,8.45,8.44
28.90,4.71,-3.74,4.72,-3.73,3.73,3.92,4.62,8.44,8.45,8.45
29.19,4.76,-3.69,4.77,-3.68,3.67,3.85,4.67,8.44,8.44,8.45
29.48,4.82,-3.62,4.81,-3.63,3.62,3.79,4.71,8.44,8.44,8.44
29.78,4.86,-3.58,4.86,-3.58,3.57,3.73,4.74,8.43,8.44,8.44
30.08,4.91,-3.53,4.91,-3.52,3.52,3.66,4.77,8.43,8.44,8.44
30.38,4.96,-3.46,4.96,-3.46,3.47,3.60,4.79,8.43,8.43,8.42
30.68,5.01,-3.41,5.01,-3.41,3.42,3.54,4.80,8.43,8.43,8.42
30.99,5.06,-3.36,5.05,-3.37,3.37,3.47,4.80,8.43,8.42,8.42
31.30,5.09,-3.33,5.10,-3.32,3.32,3.41,4.79,8.41,8.41,8.42
31.61,5.13,-3.28,5.14,-3.27,3.26,3.35,4.77,8.39,8.40,8.41
31.93,5.18,-3.21,5.18,-3.22,3.21,3.28,4.74,8.39,8.39,8.39
32.24,5.23,-3.17,5.23,-3.16,3.16,3.22,4.71,8.39,8.39,8.40
32.57,5.28,-3.10,5.28,-3.10,3.11,3.16,4.67,8.39,8.39,8.38
32.89,5.33,-3.05,5.33,-3.05,3.06,3.10,4.62,8.39,8.39,8.38
33.22,5.38,-2.99,5.38,-3.00,3.01,3.04,4.56,8.39,8.38,8.37
33.55,5.41,-2.96,5.41,-2.95,2.95,2.97,4.49,8.37,8.37,8.37
33.89,5.44,-2.92,5.45,-2.91,2.91,2.91,4.42,8.35,8.35,8.36
34.23,5.48,-2.86,5.48,-2.86,2.86,2.85,4.34,8.34,8.34,8.34
34.57,5.52,-2.82,5.52,-2.81,2.81,2.79,4.26,8.33,8.34,8.34
