frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.11,-5.56,8.11,-5.57,5.57,3.78,1.78,13.68,13.68,13.68
20.20,8.15,-5.51,8.15,-5.51,5.51,3.86,1.84,13.67,13.67,13.67
20.40,8.19,-5.46,8.19,-5.46,5.46,3.95,1.89,13.65,13.65,13.65
20.61,8.23,-5.41,8.23,-5.41,5.41,4.03,1.95,13.64,13.64,13.64
20.81,8.27,-5.35,8.27,-5.36,5.36,4.11,2.01,13.63,13.63,13.62
21.02,8.31,-5.30,8.31,-5.30,5.30,4.18,2.07,13.62,13.62,13.61
21.23,8.35,-5.25,8.35,-5.25,5.25,4.26,2.13,13.61,13.61,13.60
21.44,8.39,-5.22,8.40,-5.20,5.20,4.33,2.19,13.60,13.60,13.61
21.66,8.43,-5.16,8.44,-5.15,5.15,4.41,2.26,13.59,13.59,13.59
21.87,8.47,-5.11,8.47,-5.11,5.11,4.48,2.32,13.58,13.58,13.59
22.09,8.51,-5.05,8.51,-5.06,5.06,4.54,2.39,13.57,13.57,13.57
22.31,8.55,-5.01,8.55,-5.01,5.01,4.60,2.46,13.56,13.56,13.57
22.54,8.59,-4.96,8.59,-4.96,4.96,4.66,2.54,13.56,13.56,13.56
22.76,8.63,-4.92,8.63,-4.92,4.92,4.72,2.61,13.55,13.55,13.55
22.99,8.67,-4.87,8.67,-4.87,4.87,4.77,2.69,13.55,13.55,13.54
23.22,8.71,-4.82,8.71,-4.83,4.83,4.81,2.76,13.54,13.54,13.53
23.45,8.75,-4.79,8.75,-4.79,4.79,4.85,2.84,13.54,13.54,13.54
23.69,8.79,-4.74,8.79,-4.74,4.74,4.88,2.92,13.53,13.53,13.53
23.92,8.83,-4.68,8.83,-4.70,4.70,4.91,3.01,13.53,13.53,13.52
24.16,8.86,-4.66,8.87,-4.66,4.66,4.93,3.09,13.52,13.52,13.53
24.40,8.90,-4.62,8.90,-4.62,4.62,4.95,3.18,13.52,13.52,13.52
24.65,8.94,-4.58,8.94,-4.58,4.58,4.96,3.26,13.52,13.52,13.52
24.89,8.97,-4.55,8.98,-4.54,4.54,4.96,3.35,13.51,13.52,13.52
25.14,9.01,-4.50,9.02,-4.50,4.50,4.96,3.44,13.51,13.51,13.51
25.39,9.05,-4.45,9.06,-4.46,4.46,4.95,3.52,13.51,13.51,13.51
25.65,9.09,-4.41,9.09,-4.42,4.42,4.93,3.61,13.51,13.51,13.51
25.91,9.13,-4.37,9.13,-4.38,4.38,4.91,3.70,13.51,13.51,13.50
26.16,9.17,-4.34,9.17,-4.34,4.34,4.88,3.79,13.51,13.51,13.51
26.43,9.20,-4.31,9.21,-4.30,4.30,4.84,3.87,13.50,13.51,13.51
26.69,9.24,-4.27,9.24,-4.26,4.26,4.80,3.96,13.51,13.51,13.51
26.96,9.28,-4.22,9.28,-4.22,4.22,4.75,4.04,13.51,13.51,13.51
27.23,9.32,-4.18,9.32,-4.19,4.19,4.70,4.12,13.51,13.51,13.50
27.50,9.36,-4.14,9.36,-4.15,4.15,4.65,4.20,13.52,13.51,13.50
27.77,9.39,-4.11,9.39,-4.12,4.12,4.59,4.27,13.51,13.51,13.51
28.05,9.43,-4.07,9.43,-4.08,4.08,4.52,4.34,13.52,13.51,13.51
28.33,9.46,-4.05,9.46,-4.05,4.05,4.45,4.41,13.51,13.51,13.51
28.62,9.49,-4.02,9.50,-4.01,4.01,4.38,4.47,13.50,13.51,13.51
28.90,9.53,-3.98,9.53,-3.98,3.98,4.31,4.53,13.51,13.51,13.52
29.19,9.56,-3.95,9.57,-3.94,3.94,4.23,4.58,13.50,13.51,13.51
29.48,9.60,-3.91,9.60,-3.90,3.90,4.15,4.62,13.51,13.51,13.51
29.78,9.63,-3.87,9.63,-3.87,3.87,4.07,4.66,13.50,13.50,13.51
30.08,9.67,-3.83,9.67,-3.83,3.83,3.99,4.69,13.51,13.50,13.50
