frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.30,-10.41,-2.30,-10.41,10.41,9.77,4.32,8.11,8.12,8.11
20.20,-2.27,-10.37,-2.27,-10.37,10.37,9.81,4.44,8.10,8.10,8.10
20.40,-2.24,-10.33,-2.24,-10.33,10.33,9.84,4.56,8.09,8.09,8.09
20.61,-2.21,-10.30,-2.21,-10.29,10.29,9.87,4.68,8.08,8.08,8.08
20.81,-2.18,-10.24,-2.18,-10.25,10.25,9.90,4.80,8.07,8.07,8.06
21.02,-2.15,-10.20,-2.15,-10.21,10.21,9.92,4.93,8.06,8.06,8.05
21.23,-2.12,-10.16,-2.13,-10.17,10.17,9.94,5.06,8.05,8.05,8.04
21.44,-2.09,-10.14,-2.10,-10.13,10.13,9.96,5.20,8.04,8.04,8.05
21.66,-2.06,-10.10,-2.07,-10.10,10.10,9.97,5.34,8.03,8.03,8.03
21.87,-2.04,-10.07,-2.04,-10.06,10.06,9.98,5.48,8.02,8.02,8.03
22.09,-2.01,-10.02,-2.01,-10.02,10.02,9.99,5.63,8.01,8.01,8.01
22.31,-1.98,-9.98,-1.98,-9.98,9.98,9.99,5.78,8.00,8.01,8.00
22.54,-1.95,-9.95,-1.95,-9.95,9.95,9.99,5.93,8.00,8.00,7.99
22.76,-1.92,-9.91,-1.92,-9.91,9.91,9.98,6.09,7.99,7.99,7.99
22.99,-1.89,-9.87,-1.89,-9.88,9.88,9.97,6.25,7.99,7.99,7.98
23.22,-1.86,-9.83,-1.86,-9.84,9.84,9.96,6.42,7.98,7.98,7.97
23.45,-1.83,-9.81,-1.83,-9.81,9.81,9.95,6.59,7.98,7.98,7.98
23.69,-1.80,-9.78,-1.80,-9.77,9.77,9.93,6.76,7.97,7.97,7.97
23.92,-1.77,-9.73,-1.77,-9.74,9.74,9.91,6.94,7.97,7.97,7.96
24.16,-1.74,-9.71,-1.74,-9.71,9.71,9.89,7.13,7.97,7.97,7.97
24.40,-1.71,-9.68,-1.71,-9.68,9.68,9.86,7.31,7.97,7.96,7.97
24.65,-1.68,-9.64,-1.68,-9.65,9.65,9.83,7.50,7.96,7.96,7.96
24.89,-1.65,-9.61,-1.65,-9.61,9.61,9.80,7.69,7.96,7.96,7.96
25.14,-1.62,-9.57,-1.62,-9.58,9.58,9.77,7.89,7.96,7.96,7.95
25.39,-1.60,-9.55,-1.60,-9.55,9.55,9.74,8.09,7.95,7.96,7.95
25.65,-1.57,-9.52,-1.57,-9.52,9.52,9.70,8.29,7.95,7.96,7.95
25.91,-1.54,-9.50,-1.54,-9.49,9.49,9.66,8.49,7.95,7.95,7.95
26.16,-1.51,-9.47,-1.51,-9.46,9.46,9.62,8.70,7.95,7.95,7.96
26.43,-1.48,-9.44,-1.48,-9.44,9.44,9.58,8.90,7.96,7.95,7.95
26.69,-1.45,-9.40,-1.46,-9.41,9.41,9.54,9.10,7.96,7.95,7.95
26.96,-1.42,-9.37,-1.43,-9.38,9.38,9.49,9.31,7.96,7.95,7.95
27.23,-1.40,-9.35,-1.40,-9.36,9.36,9.45,9.51,7.96,7.96,7.95
27.50,-1.37,-9.32,-1.37,-9.33,9.33,9.40,9.71,7.96,7.96,7.95
27.77,-1.35,-9.31,-1.35,-9.31,9.31,9.36,9.90,7.96,7.96,7.96
28.05,-1.32,-9.27,-1.32,-9.28,9.28,9.31,10.09,7.96,7.96,7.95
28.33,-1.30,-9.26,-1.29,-9.26,9.26,9.26,10.26,7.96,7.96,7.96
28.62,-1.27,-9.24,-1.27,-9.23,9.23,9.22,10.44,7.96,7.96,7.96
28.90,-1.24,-9.21,-1.24,-9.21,9.21,9.17,10.60,7.96,7.96,7.97
29.19,-1.21,-9.18,-1.22,-9.18,9.18,9.12,10.74,7.97,7.96,7.97
29.48,-1.19,-9.15,-1.19,-9.15,9.15,9.07,10.88,7.96,7.96,7.96
29.78,-1.17,-9.13,-1.17,-9.13,9.13,9.02,11.00,7.95,7.96,7.96
30.08,-1.14,-9.11,-1.14,-9.10,9.10,8.98,11.10,7.95,7.96,7.96
30.38,-1.12,-9.07,-1.12,-9.07,9.07,8.93,11.18,7.95,7.95,7.94
30.68,-1.09,-9.03,-1.09,-9.04,9.04,8.88,11.24,7.95,7.95,7.94
30.99,-1.06,-9.00,-1.07,-9.01,9.01,8.84,11.29,7.95,7.94,7.94
31.30,-1.04,-8.98,-1.05,-8.99,8.99,8.79,11.31,7.94,7.94,7.94
31.61,-1.02,-8.95,-1.03,-8.96,8.96,8.74,11.32,7.93,7.93,7.93
31.93,-1.00,-8.92,-1.01,-8.93,8.93,8.70,11.30,7.93,7.92,7.91
32.24,-0.98,-8.90,-0.99,-8.90,8.90,8.66,11.26,7.92,7.92,7.92
32.57,-0.96,-8.86,-0.97,-8.88,8.88,8.61,11.21,7.92,7.91,7.90
32.89,-0.95,-8.85,-0.95,-8.85,8.85,8.57,11.14,7.90,7.90,7.90
33.22,-0.93,-8.82,-0.93,-8.83,8.83,8.53,11.05,7.90,7.90,7.89
33.55,-0.92,-8.81,-0.91,-8.80,8.80,8.49,10.95,7.88,7.89,7.89
33.89,-0.90,-8.78,-0.90,-8.78,8.78,8.45,10.84,7.88,7.88,7.88
34.23,-0.89,-8.75,-0.88,-8.76,8.76,8.41,10.71,7.87,7.87,7.86
34.57,-0.87,-8.73,-0.87,-8.73,8.73,8.38,10.58,7.86,7.87,7.86
34.92,-0.84,-8.69,-0.85,-8.70,8.70,8.34,10.44,7.86,7.85,7.84
35.27,-0.83,-8.69,-0.83,-8.68,8.68,8.31,10.29,7.85,7.84,7.86
35.62,-0.81,-8.64,-0.82,-8.65,8.65,8.27,10.14,7.84,7.83,7.83
35.97,-0.79,-8.62,-0.80,-8.62,8.62,8.24,9.99,7.83,7.82,7.83
36.33,-0.78,-8.59,-0.78,-8.58,8.58,8.21,9.83,7.80,7.81,7.81
36.70,-0.76,-8.55,-0.76,-8.55,8.55,8.18,9.68,7.79,7.79,7.79
37.06,-0.75,-8.52,-0.74,-8.51,8.51,8.15,9.52,7.76,7.77,7.77
37.43,-0.72,-8.47,-0.72,-8.48,8.48,8.12,9.37,7.76,7.76,7.75
37.81,-0.70,-8.44,-0.70,-8.44,8.44,8.09,9.21,7.74,7.74,7.74
38.19,-0.68,-8.39,-0.68,-8.40,8.40,8.07,9.06,7.72,7.72,7.71
38.57,-0.66,-8.35,-0.66,-8.36,8.36,8.04,8.91,7.70,7.70,7.69
38.95,-0.63,-8.31,-0.64,-8.32,8.32,8.02,8.77,7.69,7.68,7.68
39.34,-0.62,-8.27,-0.62,-8.28,8.28,8.00,8.63,7.66,7.65,7.65
39.74,-0.60,-8.22,-0.60,-8.24,8.24,7.97,8.49,7.63,7.63,7.62
40.14,-0.58,-8.19,-0.58,-8.19,8.19,7.95,8.36,7.61,7.61,7.60
40.54,-0.57,-8.15,-0.56,-8.15,8.15,7.93,8.23,7.58,7.59,7.58
40.94,-0.55,-8.10,-0.54,-8.11,8.11,7.91,8.11,7.56,7.56,7.55
41.35,-0.53,-8.07,-0.52,-8.07,8.07,7.89,8.00,7.53,7.54,7.54
41.76,-0.51,-8.02,-0.51,-8.02,8.02,7.87,7.89,7.51,7.52,7.51
42.18,-0.49,-7.99,-0.49,-7.98,7.98,7.85,7.78,7.49,7.49,7.50
