frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,18.63,7.34,18.64,7.34,-7.34,-7.47,-2.96,11.29,11.30,11.30
20.20,18.63,7.35,18.64,7.35,-7.35,-7.46,-3.04,11.28,11.29,11.29
20.40,18.62,7.35,18.63,7.35,-7.35,-7.44,-3.12,11.27,11.27,11.28
20.61,18.62,7.35,18.62,7.36,-7.36,-7.43,-3.21,11.27,11.26,11.27
20.81,18.61,7.37,18.61,7.36,-7.36,-7.41,-3.30,11.26,11.25,11.25
21.02,18.60,7.37,18.59,7.35,-7.35,-7.40,-3.39,11.25,11.24,11.24
21.23,18.59,7.37,18.58,7.35,-7.35,-7.38,-3.48,11.24,11.23,11.23
21.44,18.57,7.34,18.57,7.34,-7.34,-7.36,-3.58,11.23,11.22,11.24
21.66,18.56,7.35,18.55,7.34,-7.34,-7.34,-3.68,11.22,11.21,11.22
21.87,18.54,7.33,18.53,7.33,-7.33,-7.32,-3.78,11.21,11.20,11.22
22.09,18.52,7.33,18.51,7.32,-7.32,-7.30,-3.88,11.20,11.20,11.20
22.31,18.50,7.31,18.49,7.31,-7.31,-7.28,-3.99,11.19,11.19,11.19
22.54,18.47,7.30,18.47,7.29,-7.29,-7.26,-4.10,11.18,11.18,11.18
22.76,18.44,7.27,18.45,7.27,-7.27,-7.24,-4.21,11.17,11.18,11.18
22.99,18.41,7.25,18.42,7.25,-7.25,-7.21,-4.33,11.16,11.17,11.17
23.22,18.39,7.24,18.40,7.23,-7.23,-7.19,-4.45,11.16,11.17,11.16
23.45,18.37,7.21,18.37,7.21,-7.21,-7.17,-4.57,11.16,11.16,11.17
23.69,18.35,7.20,18.34,7.19,-7.19,-7.14,-4.69,11.16,11.16,11.16
23.92,18.32,7.17,18.32,7.17,-7.17,-7.12,-4.82,11.15,11.15,11.15
24.16,18.29,7.13,18.29,7.15,-7.15,-7.10,-4.94,11.14,11.15,11.16
24.40,18.26,7.11,18.27,7.12,-7.12,-7.07,-5.07,11.14,11.15,11.16
24.65,18.24,7.10,18.25,7.10,-7.10,-7.04,-5.20,11.14,11.14,11.15
24.89,18.21,7.07,18.22,7.08,-7.08,-7.02,-5.34,11.13,11.14,11.15
25.14,18.19,7.05,18.20,7.06,-7.06,-6.99,-5.47,11.13,11.14,11.14
25.39,18.17,7.03,18.17,7.03,-7.03,-6.97,-5.61,11.14,11.14,11.14
25.65,18.15,7.02,18.15,7.01,-7.01,-6.94,-5.74,11.14,11.14,11.14
25.91,18.13,7.00,18.12,6.98,-6.98,-6.91,-5.88,11.15,11.14,11.14
26.16,18.11,6.96,18.09,6.95,-6.95,-6.88,-6.02,11.16,11.14,11.15
26.43,18.08,6.95,18.06,6.92,-6.92,-6.86,-6.15,11.16,11.14,11.14
26.69,18.04,6.91,18.03,6.89,-6.89,-6.83,-6.29,11.15,11.14,11.14
26.96,18.00,6.87,18.00,6.86,-6.86,-6.80,-6.42,11.14,11.14,11.14
27.23,17.96,6.83,17.97,6.83,-6.83,-6.77,-6.55,11.13,11.14,11.14
27.50,17.91,6.78,17.94,6.79,-6.79,-6.74,-6.68,11.12,11.14,11.14
27.77,17.88,6.73,17.90,6.76,-6.76,-6.71,-6.80,11.12,11.14,11.15
28.05,17.85,6.71,17.87,6.72,-6.72,-6.68,-6.92,11.13,11.14,11.14
28.33,17.82,6.68,17.83,6.68,-6.68,-6.65,-7.03,11.14,11.14,11.15
28.62,17.80,6.66,17.79,6.65,-6.65,-6.62,-7.14,11.16,11.15,11.15
28.90,17.77,6.62,17.76,6.61,-6.61,-6.59,-7.24,11.16,11.15,11.16
29.19,17.74,6.59,17.72,6.57,-6.57,-6.56,-7.33,11.17,11.14,11.16
29.48,17.70,6.55,17.68,6.54,-6.54,-6.54,-7.41,11.16,11.14,11.15
29.78,17.65,6.51,17.65,6.51,-6.51,-6.51,-7.49,11.14,11.14,11.15
30.08,17.60,6.46,17.61,6.47,-6.47,-6.48,-7.55,11.13,11.14,11.15
30.38,17.56,6.44,17.58,6.44,-6.44,-6.45,-7.61,11.12,11.14,11.13
30.68,17.53,6.41,17.54,6.41,-6.41,-6.42,-7.65,11.12,11.13,11.13
30.99,17.49,6.37,17.50,6.38,-6.38,-6.39,-7.68,11.12,11.13,11.13
31.30,17.46,6.34,17.46,6.34,-6.34,-6.36,-7.70,11.12,11.12,11.13
31.61,17.43,6.32,17.42,6.31,-6.31,-6.33,-7.71,11.12,11.11,11.12
31.93,17.39,6.30,17.38,6.28,-6.28,-6.30,-7.71,11.11,11.11,11.10
32.24,17.35,6.24,17.35,6.25,-6.25,-6.27,-7.69,11.10,11.10,11.11
32.57,17.31,6.23,17.31,6.22,-6.22,-6.24,-7.67,11.09,11.09,11.09
32.89,17.27,6.18,17.27,6.19,-6.19,-6.21,-7.64,11.08,11.09,11.09
33.22,17.23,6.16,17.24,6.16,-6.16,-6.18,-7.59,11.07,11.08,11.08
33.55,17.20,6.12,17.20,6.13,-6.13,-6.15,-7.54,11.07,11.07,11.08
33.89,17.16,6.10,17.16,6.10,-6.10,-6.12,-7.48,11.06,11.06,11.07
34.23,17.12,6.08,17.12,6.07,-6.07,-6.09,-7.41,11.05,11.06,11.05
34.57,17.08,6.04,17.08,6.03,-6.03,-6.06,-7.34,11.05,11.05,11.05
34.92,17.05,6.03,17.04,6.00,-6.00,-6.03,-7.26,11.05,11.04,11.03
35.27,17.01,5.97,17.00,5.97,-5.97,-6.00,-7.18,11.04,11.03,11.05
35.62,16.97,5.96,16.96,5.94,-5.94,-5.97,-7.09,11.03,11.02,11.02
35.97,16.92,5.90,16.92,5.91,-5.91,-5.95,-7.00,11.01,11.00,11.02
36.33,16.87,5.87,16.87,5.88,-5.88,-5.92,-6.91,10.99,10.99,11.00
36.70,16.82,5.85,16.83,5.85,-5.85,-5.89,-6.81,10.97,10.97,10.98
