frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.51,-2.79,6.51,-2.79,2.79,2.67,1.19,9.30,9.30,9.30
20.20,6.51,-2.78,6.51,-2.78,2.78,2.67,1.23,9.29,9.29,9.29
20.40,6.51,-2.77,6.51,-2.77,2.77,2.68,1.27,9.28,9.28,9.28
20.61,6.51,-2.76,6.51,-2.75,2.75,2.68,1.31,9.26,9.26,9.27
20.81,6.51,-2.74,6.51,-2.74,2.74,2.69,1.35,9.25,9.25,9.25
21.02,6.51,-2.73,6.51,-2.73,2.73,2.69,1.39,9.24,9.24,9.24
21.23,6.51,-2.72,6.51,-2.72,2.72,2.70,1.43,9.23,9.23,9.22
21.44,6.51,-2.72,6.51,-2.71,2.71,2.70,1.48,9.22,9.22,9.23
21.66,6.51,-2.70,6.51,-2.70,2.70,2.70,1.52,9.21,9.21,9.21
21.87,6.51,-2.70,6.51,-2.69,2.69,2.71,1.57,9.20,9.20,9.21
22.09,6.51,-2.68,6.51,-2.69,2.69,2.71,1.62,9.19,9.19,9.19
22.31,6.51,-2.68,6.51,-2.68,2.68,2.71,1.67,9.19,9.19,9.19
22.54,6.51,-2.67,6.51,-2.67,2.67,2.71,1.72,9.18,9.18,9.18
22.76,6.51,-2.67,6.51,-2.67,2.67,2.71,1.77,9.17,9.17,9.18
22.99,6.51,-2.66,6.51,-2.66,2.66,2.71,1.83,9.17,9.17,9.17
23.22,6.51,-2.65,6.51,-2.66,2.66,2.72,1.88,9.16,9.16,9.15
23.45,6.51,-2.65,6.51,-2.65,2.65,2.72,1.94,9.16,9.16,9.16
23.69,6.51,-2.64,6.51,-2.64,2.64,2.72,1.99,9.15,9.15,9.15
23.92,6.51,-2.63,6.51,-2.64,2.64,2.72,2.05,9.15,9.15,9.14
24.16,6.51,-2.64,6.51,-2.64,2.64,2.72,2.11,9.15,9.15,9.15
24.40,6.51,-2.64,6.51,-2.63,2.63,2.72,2.17,9.14,9.14,9.15
24.65,6.51,-2.64,6.51,-2.63,2.63,2.71,2.23,9.14,9.14,9.15
24.89,6.51,-2.64,6.51,-2.63,2.63,2.71,2.29,9.14,9.14,9.14
25.14,6.51,-2.62,6.51,-2.63,2.63,2.71,2.35,9.14,9.14,9.13
25.39,6.51,-2.62,6.51,-2.63,2.63,2.71,2.41,9.13,9.13,9.13
25.65,6.51,-2.62,6.51,-2.62,2.62,2.71,2.48,9.13,9.13,9.13
25.91,6.51,-2.62,6.51,-2.62,2.62,2.70,2.54,9.13,9.13,9.13
26.16,6.51,-2.63,6.51,-2.62,2.62,2.70,2.60,9.13,9.13,9.14
26.43,6.51,-2.62,6.51,-2.62,2.62,2.70,2.66,9.13,9.13,9.13
26.69,6.51,-2.62,6.51,-2.62,2.62,2.69,2.72,9.13,9.13,9.13
26.96,6.51,-2.62,6.51,-2.62,2.62,2.69,2.78,9.13,9.13,9.13
27.23,6.51,-2.62,6.51,-2.62,2.62,2.68,2.83,9.13,9.13,9.13
27.50,6.51,-2.62,6.51,-2.62,2.62,2.68,2.89,9.13,9.13,9.12
27.77,6.51,-2.62,6.51,-2.62,2.62,2.67,2.94,9.13,9.13,9.13
28.05,6.51,-2.62,6.51,-2.62,2.62,2.67,2.99,9.13,9.13,9.13
28.33,6.51,-2.63,6.51,-2.62,2.62,2.66,3.04,9.13,9.13,9.14
28.62,6.51,-2.62,6.51,-2.63,2.63,2.65,3.08,9.13,9.13,9.13
28.90,6.51,-2.63,6.51,-2.62,2.62,2.65,3.12,9.13,9.13,9.14
29.19,6.51,-2.63,6.51,-2.62,2.62,2.64,3.16,9.13,9.13,9.14
29.48,6.51,-2.63,6.51,-2.62,2.62,2.63,3.19,9.13,9.13,9.13
29.78,6.51,-2.62,6.51,-2.62,2.62,2.62,3.21,9.13,9.13,9.13
30.08,6.51,-2.62,6.51,-2.61,2.61,2.61,3.24,9.12,9.12,9.13
