frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,15.33,0.49,15.33,0.48,-0.48,-1.09,-0.97,14.85,14.85,14.85
20.20,15.37,0.54,15.38,0.54,-0.54,-1.11,-1.00,14.84,14.84,14.84
20.40,15.43,0.60,15.42,0.60,-0.60,-1.12,-1.02,14.83,14.83,14.83
20.61,15.46,0.65,15.46,0.65,-0.65,-1.14,-1.05,14.81,14.81,14.82
20.81,15.51,0.71,15.51,0.70,-0.70,-1.16,-1.07,14.80,14.80,14.80
21.02,15.54,0.76,15.55,0.76,-0.76,-1.18,-1.10,14.79,14.79,14.79
21.23,15.58,0.81,15.59,0.81,-0.81,-1.20,-1.13,14.78,14.78,14.77
21.44,15.64,0.85,15.63,0.86,-0.86,-1.22,-1.16,14.77,14.77,14.78
21.66,15.67,0.91,15.67,0.91,-0.91,-1.24,-1.19,14.76,14.76,14.76
21.87,15.72,0.95,15.71,0.96,-0.96,-1.26,-1.22,14.75,14.75,14.76
22.09,15.76,1.01,15.75,1.01,-1.01,-1.28,-1.25,14.75,14.74,14.74
22.31,15.80,1.06,15.80,1.06,-1.06,-1.30,-1.28,14.74,14.74,14.74
22.54,15.83,1.11,15.84,1.11,-1.11,-1.32,-1.32,14.73,14.73,14.73
22.76,15.87,1.15,15.88,1.15,-1.15,-1.34,-1.35,14.72,14.72,14.73
22.99,15.91,1.20,15.92,1.20,-1.20,-1.36,-1.38,14.72,14.72,14.72
23.22,15.95,1.25,15.96,1.24,-1.24,-1.38,-1.42,14.71,14.71,14.70
23.45,15.99,1.28,16.00,1.29,-1.29,-1.41,-1.46,14.71,14.71,14.71
23.69,16.03,1.33,16.04,1.33,-1.33,-1.43,-1.49,14.70,14.70,14.70
23.92,16.08,1.38,16.07,1.37,-1.37,-1.45,-1.53,14.70,14.70,14.69
24.16,16.12,1.42,16.11,1.42,-1.42,-1.47,-1.57,14.70,14.70,14.70
24.40,16.16,1.46,16.15,1.46,-1.46,-1.50,-1.61,14.70,14.69,14.70
24.65,16.18,1.49,16.19,1.50,-1.50,-1.52,-1.65,14.69,14.69,14.70
24.89,16.23,1.53,16.23,1.54,-1.54,-1.54,-1.69,14.69,14.69,14.69
25.14,16.27,1.58,16.26,1.58,-1.58,-1.57,-1.73,14.69,14.69,14.68
25.39,16.31,1.62,16.30,1.62,-1.62,-1.59,-1.77,14.69,14.68,14.68
25.65,16.33,1.66,16.34,1.66,-1.66,-1.61,-1.81,14.68,14.68,14.68
25.91,16.37,1.70,16.37,1.69,-1.69,-1.64,-1.85,14.68,14.68,14.68
26.16,16.41,1.72,16.41,1.73,-1.73,-1.66,-1.89,14.68,14.68,14.69
26.43,16.44,1.76,16.45,1.77,-1.77,-1.69,-1.93,14.68,14.68,14.68
26.69,16.48,1.80,16.48,1.80,-1.80,-1.71,-1.97,14.68,14.68,14.68
26.96,16.51,1.84,16.52,1.84,-1.84,-1.74,-2.01,14.68,14.68,14.68
27.23,16.55,1.88,16.55,1.87,-1.87,-1.76,-2.05,14.68,14.68,14.68
27.50,16.58,1.91,16.59,1.90,-1.90,-1.79,-2.09,14.68,14.68,14.67
27.77,16.62,1.93,16.62,1.94,-1.94,-1.81,-2.13,14.68,14.68,14.68
28.05,16.65,1.98,16.65,1.97,-1.97,-1.84,-2.16,14.69,14.68,14.68
28.33,16.68,2.00,16.69,2.00,-2.00,-1.87,-2.20,14.68,14.68,14.69
28.62,16.71,2.03,16.72,2.04,-2.04,-1.89,-2.23,14.68,14.68,14.68
28.90,16.75,2.06,16.75,2.07,-2.07,-1.92,-2.27,14.68,14.68,14.69
29.19,16.78,2.10,16.79,2.10,-2.10,-1.95,-2.30,14.68,14.68,14.69
29.48,16.81,2.13,16.82,2.14,-2.14,-1.97,-2.33,14.68,14.68,14.68
29.78,16.84,2.16,16.85,2.17,-2.17,-2.00,-2.36,14.67,14.68,14.68
30.08,16.87,2.20,16.87,2.20,-2.20,-2.03,-2.38,14.67,14.67,14.68
30.38,16.90,2.24,16.90,2.23,-2.23,-2.06,-2.41,14.67,14.67,14.66
30.68,16.93,2.28,16.93,2.27,-2.27,-2.08,-2.43,14.67,14.66,14.66
30.99,16.96,2.31,16.95,2.30,-2.30,-2.11,-2.45,14.67,14.66,14.66
31.30,16.98,2.33,16.98,2.33,-2.33,-2.14,-2.47,14.66,14.65,14.65
31.61,17.00,2.36,17.00,2.36,-2.36,-2.17,-2.49,14.65,14.64,14.65
31.93,17.02,2.40,17.02,2.39,-2.39,-2.20,-2.50,14.64,14.63,14.62
32.24,17.03,2.41,17.04,2.42,-2.42,-2.23,-2.51,14.62,14.63,14.63
32.57,17.05,2.44,17.06,2.44,-2.44,-2.26,-2.52,14.61,14.62,14.61
32.89,17.07,2.47,17.08,2.47,-2.47,-2.29,-2.53,14.60,14.61,14.61
33.22,17.09,2.49,17.10,2.50,-2.50,-2.32,-2.54,14.60,14.60,14.60
33.55,17.11,2.52,17.12,2.52,-2.52,-2.35,-2.55,14.59,14.59,14.60
33.89,17.13,2.55,17.13,2.55,-2.55,-2.38,-2.55,14.59,14.59,14.58
34.23,17.15,2.59,17.15,2.57,-2.57,-2.41,-2.56,14.58,14.58,14.57
34.57,17.16,2.60,17.16,2.60,-2.60,-2.44,-2.56,14.57,14.57,14.56
34.92,17.18,2.64,17.18,2.63,-2.63,-2.47,-2.56,14.56,14.55,14.55
35.27,17.19,2.64,17.19,2.65,-2.65,-2.50,-2.57,14.54,14.54,14.56
35.62,17.20,2.67,17.21,2.68,-2.68,-2.53,-2.57,14.53,14.53,14.53
35.97,17.22,2.70,17.22,2.71,-2.71,-2.56,-2.57,14.52,14.52,14.52
36.33,17.23,2.73,17.23,2.73,-2.73,-2.59,-2.58,14.50,14.50,14.51
36.70,17.24,2.76,17.24,2.76,-2.76,-2.62,-2.58,14.48,14.48,14.48
37.06,17.25,2.79,17.26,2.79,-2.79,-2.65,-2.58,14.46,14.46,14.46
37.43,17.26,2.82,17.27,2.82,-2.82,-2.69,-2.59,14.44,14.44,14.44
37.81,17.27,2.85,17.28,2.85,-2.85,-2.72,-2.59,14.42,14.42,14.43
38.19,17.28,2.89,17.29,2.88,-2.88,-2.75,-2.60,14.40,14.40,14.40
38.57,17.29,2.92,17.30,2.92,-2.92,-2.78,-2.61,14.38,14.38,14.38
38.95,17.30,2.95,17.31,2.95,-2.95,-2.81,-2.62,14.35,14.35,14.36
39.34,17.31,2.99,17.32,2.99,-2.99,-2.85,-2.63,14.33,14.33,14.33
39.74,17.31,3.02,17.33,3.02,-3.02,-2.88,-2.64,14.29,14.31,14.30
40.14,17.32,3.05,17.34,3.05,-3.05,-2.91,-2.66,14.27,14.28,14.28
40.54,17.34,3.09,17.34,3.09,-3.09,-2.94,-2.68,14.26,14.26,14.26
40.94,17.35,3.13,17.35,3.12,-3.12,-2.98,-2.69,14.24,14.23,14.23
41.35,17.35,3.15,17.35,3.15,-3.15,-3.01,-2.71,14.21,14.21,14.20
