frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,20.11,7.34,20.11,7.34,-7.33,-7.32,-3.36,12.78,12.78,12.77
20.20,20.12,7.36,20.12,7.35,-7.35,-7.33,-3.45,12.77,12.76,12.76
20.40,20.12,7.37,20.12,7.37,-7.37,-7.34,-3.54,12.75,12.75,12.75
20.61,20.13,7.39,20.13,7.39,-7.39,-7.34,-3.64,12.74,12.74,12.74
20.81,20.13,7.41,20.13,7.41,-7.41,-7.35,-3.74,12.72,12.73,12.72
21.02,20.14,7.43,20.14,7.43,-7.42,-7.35,-3.85,12.72,12.72,12.71
21.23,20.15,7.45,20.15,7.44,-7.44,-7.36,-3.95,12.71,12.71,12.70
21.44,20.16,7.45,20.16,7.46,-7.46,-7.37,-4.06,12.70,12.70,12.71
21.66,20.17,7.48,20.17,7.47,-7.48,-7.37,-4.17,12.70,12.70,12.69
21.87,20.18,7.49,20.18,7.49,-7.49,-7.38,-4.29,12.69,12.69,12.69
22.09,20.18,7.51,20.18,7.51,-7.51,-7.39,-4.41,12.67,12.68,12.67
22.31,20.19,7.53,20.19,7.52,-7.52,-7.39,-4.53,12.67,12.67,12.66
22.54,20.19,7.54,20.19,7.54,-7.53,-7.40,-4.66,12.66,12.66,12.65
22.76,20.20,7.55,20.20,7.55,-7.55,-7.41,-4.79,12.65,12.65,12.65
22.99,20.20,7.56,20.20,7.56,-7.56,-7.41,-4.92,12.64,12.64,12.64
23.22,20.21,7.58,20.21,7.57,-7.57,-7.42,-5.05,12.64,12.64,12.63
23.45,20.21,7.57,20.21,7.58,-7.58,-7.43,-5.19,12.63,12.64,12.64
23.69,20.22,7.59,20.22,7.59,-7.59,-7.44,-5.33,12.63,12.63,12.63
23.92,20.23,7.61,20.23,7.59,-7.59,-7.44,-5.47,12.64,12.63,12.62
24.16,20.23,7.60,20.23,7.60,-7.60,-7.45,-5.62,12.63,12.63,12.63
24.40,20.24,7.61,20.24,7.61,-7.61,-7.46,-5.77,12.63,12.63,12.63
24.65,20.24,7.62,20.24,7.62,-7.62,-7.47,-5.92,12.62,12.62,12.62
24.89,20.25,7.63,20.25,7.63,-7.63,-7.47,-6.08,12.62,12.62,12.62
25.14,20.25,7.64,20.25,7.64,-7.63,-7.48,-6.23,12.62,12.62,12.61
25.39,20.26,7.65,20.26,7.65,-7.64,-7.49,-6.39,12.62,12.62,12.61
25.65,20.26,7.65,20.26,7.65,-7.65,-7.50,-6.55,12.61,12.62,12.61
25.91,20.27,7.66,20.27,7.65,-7.65,-7.51,-6.71,12.62,12.62,12.61
26.16,20.27,7.65,20.27,7.66,-7.66,-7.52,-6.87,12.61,12.61,12.62
26.43,20.28,7.67,20.28,7.66,-7.66,-7.53,-7.03,12.62,12.61,12.61
26.69,20.28,7.67,20.28,7.67,-7.67,-7.53,-7.19,12.61,12.61,12.61
26.96,20.29,7.68,20.29,7.68,-7.67,-7.54,-7.35,12.62,12.62,12.61
27.23,20.29,7.68,20.29,7.68,-7.68,-7.55,-7.50,12.61,12.62,12.61
27.50,20.30,7.69,20.30,7.68,-7.68,-7.56,-7.66,12.62,12.62,12.61
27.77,20.30,7.68,20.30,7.68,-7.68,-7.57,-7.81,12.62,12.62,12.62
28.05,20.30,7.69,20.30,7.68,-7.68,-7.58,-7.95,12.62,12.62,12.61
28.33,20.31,7.69,20.31,7.69,-7.69,-7.59,-8.09,12.63,12.62,12.62
28.62,20.31,7.69,20.31,7.69,-7.69,-7.60,-8.23,12.62,12.63,12.62
28.90,20.32,7.69,20.32,7.69,-7.69,-7.61,-8.35,12.63,12.63,12.63
29.19,20.32,7.69,20.32,7.69,-7.69,-7.62,-8.47,12.63,12.63,12.63
29.48,20.32,7.70,20.32,7.69,-7.69,-7.63,-8.58,12.63,12.63,12.62
29.78,20.32,7.70,20.32,7.70,-7.70,-7.64,-8.68,12.62,12.62,12.62
30.08,20.32,7.70,20.32,7.70,-7.70,-7.65,-8.77,12.62,12.62,12.62
30.38,20.32,7.72,20.32,7.71,-7.70,-7.67,-8.85,12.62,12.62,12.60
30.68,20.31,7.71,20.31,7.71,-7.71,-7.68,-8.91,12.60,12.61,12.60
30.99,20.31,7.71,20.31,7.71,-7.71,-7.69,-8.97,12.60,12.60,12.60
31.30,20.31,7.71,20.31,7.71,-7.72,-7.70,-9.01,12.60,12.59,12.60
31.61,20.31,7.72,20.31,7.72,-7.72,-7.71,-9.04,12.59,12.59,12.59
31.93,20.31,7.74,20.31,7.73,-7.73,-7.72,-9.05,12.58,12.58,12.57
32.24,20.31,7.73,20.31,7.74,-7.74,-7.73,-9.06,12.57,12.58,12.58
32.57,20.32,7.76,20.32,7.75,-7.75,-7.75,-9.05,12.57,12.57,12.56
32.89,20.32,7.76,20.32,7.76,-7.76,-7.76,-9.04,12.56,12.56,12.56
33.22,20.32,7.77,20.33,7.77,-7.77,-7.77,-9.01,12.55,12.56,12.55
33.55,20.33,7.78,20.33,7.78,-7.78,-7.78,-8.97,12.55,12.55,12.55
33.89,20.33,7.79,20.33,7.79,-7.79,-7.80,-8.93,12.54,12.54,12.54
34.23,20.33,7.81,20.33,7.80,-7.79,-7.81,-8.88,12.54,12.54,12.52
34.57,20.32,7.80,20.33,7.80,-7.80,-7.82,-8.82,12.52,12.53,12.52
34.92,20.32,7.82,20.32,7.81,-7.80,-7.84,-8.75,12.52,12.52,12.50
35.27,20.32,7.80,20.32,7.81,-7.81,-7.85,-8.68,12.51,12.51,12.52
35.62,20.31,7.82,20.31,7.81,-7.82,-7.86,-8.61,12.49,12.50,12.49
35.97,20.31,7.82,20.31,7.82,-7.83,-7.88,-8.54,12.49,12.48,12.49
36.33,20.30,7.83,20.30,7.83,-7.83,-7.89,-8.46,12.47,12.47,12.47
36.70,20.30,7.85,20.30,7.84,-7.84,-7.90,-8.39,12.46,12.46,12.45
37.06,20.29,7.86,20.29,7.85,-7.85,-7.92,-8.31,12.44,12.44,12.43
37.43,20.28,7.87,20.28,7.86,-7.86,-7.93,-8.24,12.42,12.42,12.41
37.81,20.27,7.87,20.27,7.87,-7.87,-7.95,-8.16,12.40,12.40,12.40
38.19,20.26,7.89,20.26,7.88,-7.88,-7.96,-8.09,12.38,12.38,12.37
38.57,20.25,7.90,20.25,7.89,-7.90,-7.97,-8.02,12.35,12.35,12.35
38.95,20.24,7.90,20.24,7.91,-7.91,-7.99,-7.95,12.33,12.33,12.34
39.34,20.23,7.92,20.23,7.92,-7.92,-8.00,-7.89,12.31,12.31,12.31
39.74,20.23,7.95,20.23,7.94,-7.94,-8.02,-7.83,12.29,12.29,12.28
40.14,20.22,7.96,20.22,7.96,-7.95,-8.03,-7.78,12.27,12.27,12.26
40.54,20.21,7.97,20.21,7.97,-7.97,-8.05,-7.72,12.25,12.25,12.24
40.94,20.20,7.99,20.20,7.98,-7.98,-8.07,-7.68,12.22,12.22,12.21
41.35,20.19,7.99,20.19,7.99,-7.99,-8.08,-7.64,12.20,12.20,12.20
41.76,20.18,8.01,20.18,8.00,-8.00,-8.10,-7.60,12.18,12.18,12.17
42.18,20.16,8.00,20.16,8.00,-8.01,-8.11,-7.57,12.15,12.16,12.16
42.60,20.15,8.02,20.15,8.01,-8.02,-8.13,-7.54,12.13,12.13,12.13
43.03,20.13,8.02,20.13,8.02,-8.02,-8.14,-7.52,12.11,12.11,12.11
43.46,20.11,8.04,20.11,8.03,-8.03,-8.16,-7.51,12.08,12.08,12.07
43.90,20.09,8.04,20.09,8.04,-8.03,-8.18,-7.50,12.06,12.06,12.05
44.33,20.07,8.05,20.07,8.04,-8.04,-8.19,-7.49,12.03,12.03,12.02
44.78,20.05,8.05,20.05,8.05,-8.05,-8.21,-7.49,12.00,12.00,12.00
45.23,20.03,8.05,20.03,8.05,-8.06,-8.22,-7.50,11.98,11.97,11.98
45.68,20.00,8.07,20.00,8.06,-8.07,-8.24,-7.51,11.94,11.94,11.93
46.13,19.97,8.07,19.98,8.07,-8.08,-8.26,-7.53,11.89,11.90,11.90
