frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.11,1.05,7.11,1.05,-1.05,-0.80,-0.21,6.06,6.06,6.06
20.20,7.12,1.07,7.12,1.07,-1.08,-0.79,-0.21,6.05,6.05,6.05
20.40,7.13,1.09,7.13,1.09,-1.10,-0.78,-0.22,6.04,6.04,6.04
20.61,7.14,1.11,7.14,1.11,-1.11,-0.77,-0.23,6.03,6.03,6.03
20.81,7.14,1.13,7.14,1.13,-1.13,-0.76,-0.23,6.01,6.02,6.01
21.02,7.14,1.14,7.14,1.14,-1.14,-0.74,-0.24,6.00,6.01,6.00
21.23,7.14,1.15,7.14,1.15,-1.14,-0.72,-0.25,6.00,5.99,5.99
21.44,7.13,1.13,7.13,1.14,-1.15,-0.71,-0.25,5.98,5.98,6.00
21.66,7.12,1.14,7.12,1.14,-1.15,-0.69,-0.26,5.97,5.98,5.98
21.87,7.11,1.13,7.11,1.14,-1.14,-0.67,-0.27,5.97,5.97,5.98
22.09,7.10,1.14,7.10,1.14,-1.14,-0.65,-0.28,5.96,5.96,5.96
22.31,7.08,1.13,7.08,1.13,-1.13,-0.63,-0.29,5.96,5.96,5.95
22.54,7.06,1.12,7.06,1.12,-1.11,-0.62,-0.30,5.95,5.95,5.94
22.76,7.03,1.09,7.03,1.10,-1.09,-0.60,-0.30,5.94,5.94,5.94
22.99,7.00,1.07,7.00,1.07,-1.07,-0.58,-0.31,5.93,5.93,5.93
23.22,6.97,1.05,6.97,1.04,-1.04,-0.56,-0.32,5.93,5.92,5.92
23.45,6.93,1.00,6.93,1.01,-1.02,-0.54,-0.33,5.91,5.92,5.93
23.69,6.90,0.98,6.90,0.99,-0.99,-0.53,-0.34,5.91,5.91,5.92
23.92,6.88,0.97,6.88,0.96,-0.97,-0.51,-0.35,5.91,5.91,5.91
24.16,6.86,0.94,6.86,0.95,-0.95,-0.49,-0.36,5.91,5.91,5.92
24.40,6.84,0.92,6.84,0.93,-0.93,-0.48,-0.37,5.91,5.91,5.92
24.65,6.83,0.92,6.83,0.92,-0.92,-0.47,-0.38,5.91,5.91,5.91
24.89,6.81,0.90,6.81,0.91,-0.91,-0.45,-0.39,5.90,5.91,5.91
25.14,6.80,0.90,6.80,0.90,-0.89,-0.44,-0.40,5.91,5.90,5.90
25.39,6.78,0.88,6.78,0.89,-0.88,-0.43,-0.41,5.90,5.90,5.90
25.65,6.77,0.87,6.77,0.87,-0.87,-0.41,-0.42,5.90,5.90,5.90
25.91,6.75,0.85,6.75,0.85,-0.85,-0.40,-0.43,5.90,5.90,5.90
26.16,6.73,0.82,6.73,0.83,-0.83,-0.39,-0.44,5.90,5.90,5.91
26.43,6.71,0.81,6.71,0.81,-0.80,-0.38,-0.45,5.91,5.91,5.90
26.69,6.68,0.78,6.68,0.78,-0.78,-0.37,-0.46,5.91,5.91,5.90
26.96,6.65,0.75,6.65,0.75,-0.75,-0.37,-0.47,5.91,5.90,5.90
27.23,6.61,0.71,6.61,0.71,-0.72,-0.36,-0.48,5.90,5.90,5.90
27.50,6.58,0.68,6.58,0.68,-0.69,-0.35,-0.49,5.90,5.90,5.90
27.77,6.55,0.64,6.55,0.65,-0.66,-0.34,-0.50,5.89,5.89,5.91
28.05,6.53,0.63,6.53,0.63,-0.63,-0.34,-0.51,5.90,5.90,5.90
28.33,6.51,0.60,6.51,0.61,-0.61,-0.33,-0.52,5.90,5.90,5.91
28.62,6.50,0.59,6.50,0.59,-0.59,-0.33,-0.52,5.91,5.91,5.91
28.90,6.49,0.57,6.49,0.57,-0.58,-0.32,-0.53,5.92,5.91,5.92
29.19,6.48,0.56,6.48,0.56,-0.57,-0.32,-0.54,5.92,5.91,5.92
29.48,6.46,0.55,6.46,0.55,-0.56,-0.31,-0.54,5.91,5.91,5.91
29.78,6.45,0.54,6.45,0.54,-0.55,-0.31,-0.55,5.91,5.91,5.91
30.08,6.44,0.53,6.44,0.54,-0.54,-0.31,-0.55,5.91,5.91,5.91
