frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.62,-4.54,2.60,-4.56,4.56,3.92,1.83,7.18,7.17,7.16
20.20,2.62,-4.53,2.61,-4.54,4.54,3.96,1.88,7.16,7.15,7.15
20.40,2.63,-4.51,2.62,-4.51,4.51,4.00,1.94,7.14,7.14,7.14
20.61,2.64,-4.49,2.64,-4.49,4.49,4.05,1.99,7.13,7.13,7.13
20.81,2.65,-4.46,2.65,-4.47,4.47,4.08,2.05,7.12,7.12,7.11
21.02,2.66,-4.44,2.66,-4.44,4.44,4.12,2.11,7.10,7.10,7.10
21.23,2.67,-4.42,2.68,-4.42,4.42,4.16,2.17,7.09,7.09,7.09
21.44,2.68,-4.42,2.69,-4.39,4.39,4.19,2.23,7.07,7.08,7.10
21.66,2.70,-4.38,2.71,-4.37,4.37,4.23,2.30,7.06,7.08,7.08
21.87,2.71,-4.37,2.73,-4.34,4.34,4.26,2.37,7.05,7.07,7.07
22.09,2.73,-4.32,2.75,-4.31,4.31,4.28,2.43,7.04,7.06,7.05
22.31,2.75,-4.30,2.77,-4.29,4.29,4.31,2.50,7.03,7.05,7.05
22.54,2.78,-4.26,2.79,-4.25,4.25,4.33,2.58,7.03,7.04,7.04
22.76,2.81,-4.23,2.82,-4.22,4.22,4.35,2.65,7.03,7.04,7.04
22.99,2.84,-4.19,2.85,-4.19,4.19,4.37,2.73,7.03,7.03,7.03
23.22,2.88,-4.14,2.87,-4.16,4.16,4.39,2.80,7.04,7.03,7.02
23.45,2.90,-4.13,2.89,-4.13,4.13,4.40,2.88,7.03,7.02,7.03
23.69,2.93,-4.09,2.92,-4.10,4.10,4.41,2.96,7.03,7.02,7.02
23.92,2.95,-4.06,2.94,-4.08,4.08,4.42,3.04,7.03,7.01,7.00
24.16,2.97,-4.04,2.95,-4.06,4.06,4.43,3.13,7.03,7.01,7.01
24.40,2.99,-4.02,2.97,-4.04,4.04,4.43,3.21,7.03,7.01,7.01
24.65,3.00,-4.01,2.98,-4.03,4.03,4.43,3.30,7.03,7.00,7.01
24.89,3.00,-4.01,2.99,-4.02,4.02,4.43,3.38,7.02,7.00,7.01
25.14,2.99,-4.01,2.99,-4.01,4.01,4.42,3.47,7.00,7.00,7.00
25.39,2.98,-4.02,2.99,-4.01,4.01,4.42,3.56,6.99,7.00,6.99
25.65,2.98,-4.01,2.99,-4.01,4.01,4.41,3.65,6.98,7.00,6.99
25.91,2.98,-4.01,2.99,-4.01,4.01,4.40,3.73,6.98,7.00,6.99
26.16,2.98,-4.02,2.99,-4.01,4.01,4.39,3.82,6.98,6.99,7.00
26.43,2.98,-4.02,2.99,-4.01,4.01,4.37,3.91,6.99,6.99,7.00
26.69,2.98,-4.02,2.98,-4.01,4.01,4.35,3.99,6.99,6.99,6.99
26.96,2.98,-4.01,2.98,-4.01,4.01,4.34,4.08,6.99,6.99,6.99
