frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.18,-3.03,6.18,-3.04,3.04,2.54,1.23,9.22,9.22,9.21
20.20,6.19,-3.01,6.19,-3.02,3.02,2.56,1.27,9.20,9.20,9.20
20.40,6.20,-2.99,6.20,-2.99,2.99,2.58,1.31,9.19,9.19,9.19
20.61,6.21,-2.98,6.21,-2.97,2.97,2.61,1.35,9.18,9.18,9.18
20.81,6.22,-2.94,6.22,-2.95,2.95,2.63,1.38,9.17,9.17,9.16
21.02,6.23,-2.92,6.23,-2.93,2.93,2.65,1.43,9.16,9.16,9.15
21.23,6.24,-2.90,6.24,-2.91,2.91,2.67,1.47,9.15,9.15,9.14
21.44,6.25,-2.90,6.25,-2.89,2.89,2.69,1.51,9.14,9.14,9.15
21.66,6.26,-2.88,6.26,-2.87,2.87,2.71,1.56,9.13,9.13,9.13
21.87,6.27,-2.86,6.27,-2.85,2.85,2.73,1.60,9.12,9.12,9.13
22.09,6.28,-2.83,6.28,-2.84,2.84,2.74,1.65,9.11,9.11,9.11
22.31,6.29,-2.81,6.29,-2.82,2.82,2.76,1.70,9.11,9.11,9.10
22.54,6.30,-2.80,6.30,-2.80,2.80,2.78,1.75,9.10,9.10,9.09
22.76,6.31,-2.78,6.31,-2.79,2.79,2.79,1.80,9.10,9.09,9.09
22.99,6.32,-2.77,6.32,-2.77,2.77,2.80,1.85,9.09,9.09,9.08
23.22,6.33,-2.75,6.33,-2.76,2.76,2.82,1.90,9.09,9.08,9.07
23.45,6.33,-2.75,6.33,-2.74,2.74,2.83,1.95,9.07,9.08,9.08
23.69,6.34,-2.74,6.34,-2.73,2.73,2.84,2.01,9.07,9.07,9.07
23.92,6.35,-2.71,6.35,-2.72,2.72,2.85,2.07,9.07,9.07,9.06
24.16,6.36,-2.71,6.36,-2.71,2.71,2.86,2.12,9.07,9.07,9.07
24.40,6.37,-2.70,6.37,-2.70,2.70,2.87,2.18,9.06,9.06,9.07
24.65,6.38,-2.69,6.38,-2.69,2.69,2.88,2.24,9.07,9.06,9.06
24.89,6.39,-2.67,6.38,-2.68,2.68,2.89,2.30,9.07,9.06,9.06
25.14,6.39,-2.66,6.39,-2.67,2.67,2.89,2.36,9.06,9.06,9.05
25.39,6.40,-2.65,6.40,-2.66,2.66,2.90,2.41,9.06,9.06,9.05
25.65,6.41,-2.65,6.41,-2.65,2.65,2.90,2.47,9.06,9.06,9.05
25.91,6.42,-2.64,6.41,-2.64,2.64,2.90,2.53,9.06,9.06,9.05
26.16,6.42,-2.64,6.42,-2.63,2.63,2.90,2.59,9.05,9.05,9.06
26.43,6.43,-2.63,6.43,-2.63,2.63,2.90,2.65,9.06,9.06,9.05
26.69,6.43,-2.62,6.43,-2.62,2.62,2.90,2.70,9.05,9.06,9.05
26.96,6.44,-2.62,6.44,-2.62,2.62,2.90,2.76,9.06,9.06,9.05
27.23,6.44,-2.61,6.45,-2.61,2.61,2.90,2.81,9.05,9.06,9.05
27.50,6.45,-2.61,6.45,-2.61,2.61,2.89,2.86,9.06,9.06,9.05
27.77,6.46,-2.60,6.46,-2.61,2.61,2.89,2.91,9.06,9.06,9.06
28.05,6.46,-2.59,6.46,-2.60,2.60,2.88,2.96,9.06,9.06,9.05
28.33,6.47,-2.59,6.47,-2.60,2.60,2.87,3.00,9.07,9.06,9.06
28.62,6.47,-2.59,6.47,-2.59,2.59,2.86,3.05,9.06,9.06,9.06
28.90,6.48,-2.59,6.47,-2.59,2.59,2.85,3.08,9.07,9.06,9.07
29.19,6.48,-2.59,6.48,-2.58,2.58,2.84,3.12,9.06,9.06,9.07
29.48,6.48,-2.58,6.48,-2.58,2.58,2.83,3.14,9.06,9.06,9.06
29.78,6.49,-2.58,6.49,-2.57,2.57,2.82,3.17,9.06,9.06,9.06
30.08,6.49,-2.57,6.49,-2.57,2.57,2.81,3.19,9.06,9.06,9.06
30.38,6.49,-2.56,6.49,-2.56,2.56,2.79,3.21,9.05,9.05,9.04
30.68,6.49,-2.55,6.49,-2.56,2.56,2.78,3.22,9.05,9.05,9.04
30.99,6.49,-2.55,6.49,-2.56,2.56,2.76,3.22,9.05,9.04,9.04
31.30,6.49,-2.55,6.49,-2.55,2.55,2.74,3.22,9.04,9.04,9.04
31.61,6.49,-2.55,6.49,-2.55,2.55,2.72,3.22,9.03,9.03,9.03
31.93,6.49,-2.53,6.48,-2.54,2.54,2.71,3.21,9.03,9.02,9.01
32.24,6.49,-2.53,6.48,-2.53,2.53,2.69,3.19,9.02,9.02,9.02
32.57,6.48,-2.53,6.48,-2.53,2.53,2.67,3.17,9.01,9.01,9.00
32.89,6.47,-2.53,6.48,-2.53,2.53,2.64,3.15,9.00,9.00,9.00
33.22,6.47,-2.52,6.48,-2.52,2.52,2.62,3.12,8.99,9.00,8.99
33.55,6.47,-2.52,6.47,-2.52,2.52,2.60,3.09,8.99,8.99,8.99
33.89,6.47,-2.52,6.47,-2.51,2.51,2.58,3.05,8.98,8.98,8.98
34.23,6.47,-2.50,6.47,-2.50,2.50,2.55,3.01,8.97,8.98,8.96
34.57,6.47,-2.49,6.47,-2.50,2.50,2.53,2.97,8.97,8.97,8.96
34.92,6.47,-2.48,6.47,-2.49,2.49,2.50,2.92,8.96,8.96,8.94
35.27,6.47,-2.49,6.47,-2.48,2.48,2.48,2.87,8.95,8.95,8.96
35.62,6.47,-2.47,6.47,-2.47,2.47,2.45,2.82,8.94,8.94,8.93
35.97,6.47,-2.46,6.47,-2.45,2.45,2.42,2.77,8.92,8.92,8.93
36.33,6.47,-2.44,6.47,-2.44,2.44,2.39,2.72,8.91,8.91,8.91
36.70,6.47,-2.43,6.47,-2.42,2.42,2.37,2.66,8.89,8.89,8.89
37.06,6.47,-2.40,6.47,-2.41,2.41,2.34,2.60,8.88,8.88,8.87
37.43,6.47,-2.38,6.47,-2.39,2.39,2.31,2.55,8.86,8.86,8.85
37.81,6.47,-2.38,6.47,-2.37,2.37,2.28,2.49,8.84,8.84,8.84
38.19,6.47,-2.35,6.47,-2.35,2.35,2.25,2.43,8.82,8.82,8.81
38.57,6.47,-2.33,6.47,-2.33,2.33,2.22,2.38,8.80,8.80,8.79
38.95,6.47,-2.31,6.47,-2.31,2.31,2.19,2.32,8.78,8.78,8.78
39.34,6.47,-2.28,6.47,-2.28,2.28,2.16,2.26,8.75,8.75,8.75
39.74,6.47,-2.26,6.47,-2.26,2.26,2.13,2.21,8.73,8.73,8.72
40.14,6.47,-2.24,6.47,-2.24,2.24,2.10,2.15,8.71,8.71,8.70
40.54,6.47,-2.22,6.47,-2.22,2.22,2.07,2.10,8.69,8.69,8.68
40.94,6.47,-2.18,6.47,-2.20,2.20,2.04,2.04,8.66,8.66,8.65
41.35,6.47,-2.17,6.47,-2.17,2.17,2.00,1.99,8.64,8.64,8.64
41.76,6.47,-2.14,6.47,-2.15,2.15,1.97,1.94,8.62,8.62,8.61
42.18,6.47,-2.13,6.47,-2.13,2.13,1.94,1.89,8.60,8.60,8.60
42.60,6.47,-2.10,6.47,-2.10,2.10,1.91,1.84,8.57,8.57,8.57
43.03,6.47,-2.08,6.47,-2.08,2.08,1.88,1.79,8.55,8.55,8.55
43.46,6.47,-2.04,6.47,-2.05,2.05,1.84,1.75,8.52,8.52,8.51
43.90,6.47,-2.03,6.47,-2.03,2.03,1.81,1.70,8.50,8.50,8.49
44.33,6.47,-1.99,6.47,-2.00,2.00,1.78,1.66,8.47,8.47,8.46
44.78,6.47,-1.98,6.47,-1.97,1.97,1.75,1.62,8.44,8.44,8.44
