frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.11,-12.14,-6.12,-12.14,12.14,11.82,4.32,6.03,6.02,6.02
20.20,-6.03,-12.05,-6.04,-12.05,12.05,11.76,4.43,6.02,6.01,6.01
20.40,-5.96,-11.96,-5.96,-11.96,11.96,11.71,4.55,6.00,6.00,6.00
20.61,-5.89,-11.88,-5.88,-11.87,11.87,11.65,4.67,5.98,5.99,5.99
20.81,-5.80,-11.77,-5.80,-11.78,11.78,11.60,4.79,5.98,5.98,5.97
21.02,-5.72,-11.69,-5.72,-11.69,11.69,11.54,4.92,5.97,5.97,5.96
21.23,-5.64,-11.60,-5.64,-11.60,11.60,11.48,5.05,5.96,5.96,5.95
21.44,-5.56,-11.52,-5.56,-11.51,11.51,11.42,5.18,5.95,5.95,5.96
21.66,-5.48,-11.43,-5.49,-11.42,11.42,11.36,5.32,5.94,5.94,5.94
21.87,-5.41,-11.35,-5.41,-11.34,11.34,11.30,5.46,5.92,5.93,5.94
22.09,-5.33,-11.25,-5.33,-11.25,11.25,11.24,5.61,5.92,5.92,5.92
22.31,-5.25,-11.16,-5.25,-11.16,11.16,11.18,5.76,5.91,5.91,5.91
22.54,-5.17,-11.07,-5.17,-11.08,11.08,11.11,5.91,5.91,5.91,5.90
22.76,-5.08,-10.98,-5.09,-10.99,10.99,11.05,6.07,5.91,5.90,5.90
22.99,-5.00,-10.90,-5.01,-10.90,10.90,10.99,6.23,5.90,5.90,5.89
23.22,-4.92,-10.81,-4.93,-10.82,10.82,10.92,6.39,5.90,5.89,5.88
23.45,-4.84,-10.73,-4.85,-10.73,10.73,10.85,6.56,5.89,5.89,5.89
23.69,-4.77,-10.66,-4.77,-10.65,10.65,10.79,6.73,5.88,5.88,5.88
23.92,-4.69,-10.56,-4.69,-10.57,10.57,10.72,6.91,5.87,5.88,5.87
24.16,-4.61,-10.49,-4.61,-10.49,10.49,10.65,7.09,5.87,5.87,5.88
24.40,-4.53,-10.41,-4.53,-10.40,10.40,10.58,7.27,5.87,5.87,5.88
24.65,-4.45,-10.33,-4.45,-10.32,10.32,10.51,7.46,5.87,5.87,5.87
24.89,-4.37,-10.24,-4.38,-10.24,10.24,10.44,7.65,5.87,5.87,5.87
25.14,-4.29,-10.15,-4.30,-10.17,10.17,10.37,7.84,5.87,5.87,5.86
25.39,-4.22,-10.08,-4.22,-10.09,10.09,10.30,8.04,5.86,5.87,5.86
25.65,-4.14,-10.01,-4.14,-10.01,10.01,10.23,8.24,5.86,5.86,5.86
25.91,-4.07,-9.93,-4.07,-9.93,9.93,10.16,8.44,5.86,5.86,5.86
26.16,-3.98,-9.85,-3.99,-9.85,9.85,10.09,8.64,5.87,5.86,5.87
26.43,-3.91,-9.78,-3.91,-9.77,9.77,10.01,8.84,5.86,5.86,5.86
26.69,-3.83,-9.70,-3.83,-9.70,9.70,9.94,9.04,5.86,5.86,5.86
26.96,-3.75,-9.62,-3.76,-9.62,9.62,9.86,9.24,5.87,5.86,5.86
27.23,-3.68,-9.55,-3.68,-9.54,9.54,9.79,9.44,5.86,5.87,5.86
27.50,-3.60,-9.47,-3.60,-9.47,9.47,9.71,9.63,5.87,5.87,5.86
27.77,-3.52,-9.39,-3.53,-9.40,9.40,9.64,9.82,5.87,5.87,5.87
28.05,-3.45,-9.32,-3.45,-9.32,9.32,9.56,10.01,5.87,5.87,5.86
28.33,-3.37,-9.24,-3.37,-9.24,9.24,9.49,10.18,5.87,5.87,5.87
28.62,-3.30,-9.17,-3.30,-9.17,9.17,9.41,10.35,5.87,5.87,5.87
28.90,-3.22,-9.11,-3.22,-9.09,9.09,9.33,10.50,5.87,5.87,5.88
29.19,-3.14,-9.03,-3.15,-9.02,9.02,9.25,10.65,5.87,5.87,5.88
29.48,-3.07,-8.94,-3.07,-8.94,8.94,9.18,10.77,5.87,5.87,5.87
29.78,-2.99,-8.87,-3.00,-8.87,8.87,9.10,10.88,5.87,5.87,5.87
30.08,-2.92,-8.80,-2.92,-8.79,8.79,9.02,10.98,5.86,5.86,5.87
30.38,-2.85,-8.71,-2.85,-8.71,8.71,8.94,11.05,5.86,5.86,5.85
30.68,-2.78,-8.64,-2.78,-8.64,8.64,8.86,11.10,5.86,5.86,5.85
30.99,-2.70,-8.56,-2.71,-8.57,8.57,8.78,11.14,5.86,5.85,5.85
31.30,-2.64,-8.50,-2.65,-8.49,8.49,8.70,11.14,5.85,5.85,5.85
31.61,-2.57,-8.42,-2.58,-8.42,8.42,8.62,11.13,5.84,5.84,5.84
