frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.57,-0.49,5.57,-0.50,0.50,0.30,0.22,6.06,6.06,6.06
20.20,5.57,-0.48,5.56,-0.48,0.48,0.31,0.23,6.05,6.05,6.05
20.40,5.57,-0.47,5.56,-0.47,0.47,0.31,0.24,6.04,6.04,6.04
20.61,5.56,-0.47,5.56,-0.47,0.47,0.32,0.25,6.02,6.03,6.03
20.81,5.56,-0.45,5.56,-0.46,0.46,0.32,0.26,6.01,6.01,6.01
21.02,5.56,-0.44,5.56,-0.45,0.45,0.33,0.27,6.00,6.00,6.00
21.23,5.56,-0.43,5.55,-0.44,0.44,0.33,0.28,6.00,5.99,5.99
21.44,5.56,-0.44,5.55,-0.43,0.43,0.34,0.29,5.99,5.98,6.00
21.66,5.55,-0.43,5.55,-0.43,0.43,0.34,0.30,5.97,5.98,5.98
21.87,5.55,-0.43,5.55,-0.42,0.42,0.34,0.31,5.97,5.97,5.98
22.09,5.55,-0.41,5.55,-0.41,0.41,0.35,0.32,5.96,5.96,5.96
22.31,5.55,-0.40,5.54,-0.41,0.41,0.35,0.33,5.96,5.95,5.95
22.54,5.54,-0.40,5.54,-0.40,0.40,0.36,0.35,5.94,5.95,5.94
22.76,5.54,-0.40,5.54,-0.40,0.40,0.36,0.36,5.94,5.94,5.94
22.99,5.54,-0.39,5.54,-0.40,0.40,0.37,0.37,5.93,5.93,5.93
23.22,5.54,-0.38,5.53,-0.39,0.39,0.37,0.38,5.93,5.93,5.92
23.45,5.54,-0.39,5.53,-0.39,0.39,0.38,0.40,5.93,5.92,5.93
23.69,5.53,-0.39,5.53,-0.39,0.39,0.38,0.41,5.92,5.92,5.92
23.92,5.53,-0.38,5.53,-0.39,0.39,0.39,0.42,5.91,5.91,5.91
24.16,5.53,-0.39,5.52,-0.39,0.39,0.39,0.44,5.91,5.91,5.92
24.40,5.53,-0.39,5.52,-0.39,0.39,0.40,0.45,5.91,5.91,5.92
24.65,5.52,-0.39,5.52,-0.39,0.39,0.40,0.46,5.91,5.91,5.91
24.89,5.52,-0.39,5.52,-0.39,0.39,0.40,0.48,5.91,5.91,5.91
25.14,5.52,-0.38,5.51,-0.39,0.39,0.41,0.49,5.91,5.90,5.90
25.39,5.51,-0.39,5.51,-0.39,0.39,0.41,0.51,5.90,5.90,5.90
25.65,5.51,-0.39,5.50,-0.40,0.40,0.41,0.52,5.90,5.90,5.90
25.91,5.50,-0.40,5.50,-0.40,0.40,0.42,0.54,5.90,5.90,5.90
26.16,5.50,-0.41,5.50,-0.40,0.40,0.42,0.55,5.90,5.90,5.91
26.43,5.50,-0.40,5.49,-0.41,0.41,0.43,0.56,5.90,5.90,5.90
26.69,5.49,-0.41,5.49,-0.41,0.41,0.43,0.58,5.90,5.90,5.90
26.96,5.49,-0.41,5.49,-0.41,0.41,0.43,0.59,5.90,5.90,5.90
27.23,5.49,-0.41,5.48,-0.42,0.42,0.43,0.60,5.91,5.90,5.90
27.50,5.48,-0.42,5.48,-0.43,0.43,0.44,0.62,5.90,5.91,5.90
27.77,5.48,-0.43,5.47,-0.43,0.43,0.44,0.63,5.91,5.91,5.91
28.05,5.48,-0.42,5.47,-0.44,0.44,0.44,0.64,5.92,5.91,5.90
28.33,5.47,-0.44,5.47,-0.44,0.44,0.44,0.65,5.91,5.91,5.91
28.62,5.47,-0.44,5.46,-0.45,0.45,0.44,0.66,5.91,5.91,5.91
28.90,5.46,-0.46,5.46,-0.45,0.45,0.45,0.66,5.90,5.91,5.92
29.19,5.46,-0.46,5.46,-0.45,0.45,0.45,0.67,5.90,5.91,5.92
29.48,5.46,-0.45,5.46,-0.45,0.45,0.45,0.68,5.90,5.91,5.91
29.78,5.45,-0.46,5.46,-0.45,0.45,0.45,0.68,5.89,5.91,5.91
30.08,5.45,-0.46,5.46,-0.44,0.44,0.45,0.68,5.89,5.90,5.91
30.38,5.46,-0.43,5.46,-0.44,0.44,0.45,0.68,5.90,5.90,5.89
30.68,5.46,-0.43,5.46,-0.44,0.44,0.45,0.68,5.89,5.89,5.89
30.99,5.47,-0.42,5.46,-0.43,0.43,0.45,0.68,5.90,5.89,5.89
31.30,5.47,-0.42,5.46,-0.43,0.43,0.45,0.68,5.89,5.88,5.89
31.61,5.46,-0.42,5.45,-0.42,0.42,0.44,0.67,5.88,5.88,5.88
31.93,5.46,-0.40,5.45,-0.42,0.42,0.44,0.67,5.87,5.87,5.86
32.24,5.46,-0.41,5.45,-0.41,0.41,0.44,0.66,5.87,5.86,5.87
32.57,5.45,-0.40,5.44,-0.41,0.41,0.44,0.65,5.86,5.86,5.85
32.89,5.44,-0.41,5.44,-0.41,0.41,0.43,0.64,5.85,5.85,5.85
33.22,5.44,-0.40,5.43,-0.41,0.41,0.43,0.62,5.84,5.84,5.84
33.55,5.43,-0.41,5.43,-0.41,0.41,0.42,0.61,5.84,5.84,5.84
33.89,5.42,-0.41,5.42,-0.41,0.41,0.42,0.59,5.83,5.83,5.83
34.23,5.41,-0.40,5.41,-0.41,0.41,0.41,0.58,5.82,5.82,5.81
34.57,5.40,-0.41,5.40,-0.41,0.41,0.41,0.56,5.81,5.81,5.81
34.92,5.39,-0.40,5.39,-0.41,0.41,0.40,0.54,5.80,5.80,5.79
