frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,20.51,8.23,20.51,8.23,-8.23,-8.04,-2.93,12.28,12.28,12.28
20.20,20.46,8.19,20.46,8.19,-8.19,-8.01,-3.02,12.26,12.27,12.27
20.40,20.42,8.16,20.41,8.16,-8.16,-7.97,-3.10,12.26,12.25,12.26
20.61,20.37,8.12,20.37,8.13,-8.13,-7.93,-3.19,12.24,12.24,12.25
20.81,20.32,8.09,20.32,8.09,-8.09,-7.89,-3.28,12.23,12.23,12.23
21.02,20.28,8.06,20.27,8.05,-8.05,-7.85,-3.37,12.22,12.22,12.22
21.23,20.23,8.02,20.23,8.02,-8.02,-7.81,-3.46,12.21,12.21,12.21
21.44,20.18,7.96,20.18,7.98,-7.98,-7.77,-3.56,12.20,12.20,12.22
21.66,20.13,7.93,20.13,7.94,-7.94,-7.73,-3.66,12.19,12.19,12.20
21.87,20.09,7.89,20.08,7.90,-7.90,-7.69,-3.76,12.19,12.18,12.20
22.09,20.04,7.86,20.03,7.86,-7.86,-7.65,-3.87,12.18,12.18,12.18
22.31,19.99,7.82,19.98,7.81,-7.81,-7.60,-3.98,12.17,12.17,12.17
22.54,19.94,7.78,19.93,7.77,-7.77,-7.56,-4.09,12.17,12.16,12.16
22.76,19.88,7.72,19.88,7.73,-7.73,-7.52,-4.20,12.15,12.16,12.16
22.99,19.83,7.68,19.83,7.68,-7.68,-7.47,-4.32,12.15,12.15,12.15
23.22,19.78,7.64,19.78,7.63,-7.63,-7.43,-4.44,12.14,12.15,12.14
23.45,19.73,7.58,19.73,7.59,-7.59,-7.38,-4.56,12.14,12.14,12.15
23.69,19.68,7.54,19.68,7.54,-7.54,-7.34,-4.69,12.14,12.14,12.14
23.92,19.63,7.50,19.63,7.49,-7.49,-7.29,-4.82,12.13,12.13,12.13
24.16,19.58,7.44,19.57,7.44,-7.44,-7.24,-4.94,12.13,12.13,12.14
24.40,19.52,7.38,19.52,7.39,-7.39,-7.20,-5.08,12.12,12.13,12.14
24.65,19.47,7.34,19.47,7.34,-7.34,-7.15,-5.21,12.12,12.12,12.13
