frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.17,-0.25,12.17,-0.25,0.25,-0.22,-0.12,12.42,12.42,12.42
20.20,12.19,-0.21,12.19,-0.22,0.22,-0.22,-0.12,12.41,12.41,12.41
20.40,12.21,-0.18,12.21,-0.18,0.18,-0.22,-0.12,12.40,12.40,12.40
20.61,12.23,-0.15,12.23,-0.15,0.15,-0.23,-0.13,12.39,12.38,12.39
20.81,12.24,-0.12,12.25,-0.12,0.12,-0.23,-0.13,12.37,12.37,12.37
21.02,12.26,-0.09,12.27,-0.09,0.09,-0.24,-0.13,12.36,12.36,12.36
21.23,12.28,-0.06,12.29,-0.07,0.07,-0.24,-0.13,12.35,12.35,12.35
21.44,12.30,-0.05,12.30,-0.04,0.04,-0.25,-0.14,12.34,12.34,12.35
21.66,12.31,-0.02,12.32,-0.01,0.01,-0.25,-0.14,12.33,12.33,12.33
21.87,12.33,0.00,12.34,0.01,-0.01,-0.26,-0.14,12.32,12.32,12.33
22.09,12.35,0.04,12.35,0.04,-0.04,-0.26,-0.15,12.32,12.32,12.31
22.31,12.37,0.06,12.37,0.06,-0.06,-0.27,-0.15,12.31,12.31,12.31
22.54,12.38,0.09,12.39,0.09,-0.09,-0.27,-0.15,12.30,12.30,12.30
22.76,12.40,0.11,12.40,0.11,-0.11,-0.28,-0.16,12.30,12.30,12.30
22.99,12.42,0.14,12.42,0.13,-0.13,-0.29,-0.16,12.29,12.29,12.29
23.22,12.43,0.16,12.44,0.15,-0.15,-0.29,-0.16,12.28,12.28,12.28
23.45,12.45,0.17,12.45,0.17,-0.17,-0.30,-0.17,12.28,12.28,12.28
23.69,12.46,0.19,12.47,0.19,-0.19,-0.30,-0.17,12.27,12.27,12.27
23.92,12.48,0.22,12.48,0.21,-0.21,-0.31,-0.17,12.27,12.27,12.26
24.16,12.49,0.22,12.50,0.23,-0.23,-0.32,-0.18,12.27,12.27,12.27
24.40,12.50,0.24,12.51,0.25,-0.25,-0.32,-0.18,12.26,12.26,12.27
24.65,12.52,0.26,12.52,0.26,-0.26,-0.33,-0.19,12.26,12.26,12.27
24.89,12.53,0.27,12.54,0.28,-0.28,-0.34,-0.19,12.26,12.26,12.26
25.14,12.55,0.30,12.55,0.30,-0.30,-0.34,-0.20,12.26,12.26,12.25
25.39,12.56,0.31,12.57,0.31,-0.31,-0.35,-0.20,12.25,12.25,12.25
25.65,12.57,0.32,12.58,0.33,-0.33,-0.36,-0.21,12.25,12.25,12.25
25.91,12.59,0.35,12.59,0.34,-0.34,-0.37,-0.21,12.25,12.25,12.25
26.16,12.60,0.35,12.60,0.35,-0.35,-0.37,-0.22,12.25,12.25,12.26
26.43,12.61,0.36,12.62,0.37,-0.37,-0.38,-0.22,12.25,12.25,12.25
26.69,12.62,0.37,12.63,0.38,-0.38,-0.39,-0.23,12.25,12.25,12.25
26.96,12.64,0.40,12.64,0.39,-0.39,-0.40,-0.23,12.26,12.25,12.25
27.23,12.65,0.41,12.65,0.40,-0.40,-0.40,-0.24,12.26,12.25,12.25
27.50,12.66,0.42,12.66,0.41,-0.41,-0.41,-0.25,12.26,12.25,12.24
27.77,12.66,0.41,12.67,0.42,-0.42,-0.42,-0.25,12.25,12.25,12.25
