frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,15.76,5.53,15.76,5.53,-5.53,-5.17,-2.49,10.24,10.24,10.24
20.20,15.76,5.54,15.76,5.53,-5.53,-5.19,-2.56,10.23,10.23,10.23
20.40,15.75,5.54,15.76,5.54,-5.54,-5.20,-2.63,10.21,10.21,10.22
20.61,15.75,5.55,15.75,5.55,-5.55,-5.22,-2.70,10.20,10.20,10.21
20.81,15.74,5.56,15.75,5.56,-5.56,-5.23,-2.77,10.19,10.19,10.19
21.02,15.74,5.57,15.75,5.57,-5.57,-5.25,-2.85,10.18,10.18,10.18
21.23,15.74,5.58,15.74,5.57,-5.57,-5.26,-2.93,10.17,10.17,10.17
21.44,15.73,5.56,15.74,5.58,-5.58,-5.28,-3.01,10.16,10.16,10.17
21.66,15.73,5.58,15.73,5.58,-5.58,-5.29,-3.10,10.15,10.15,10.16
21.87,15.72,5.57,15.73,5.59,-5.59,-5.30,-3.19,10.14,10.14,10.15
22.09,15.72,5.59,15.73,5.59,-5.59,-5.32,-3.27,10.13,10.14,10.14
22.31,15.72,5.60,15.72,5.59,-5.59,-5.33,-3.37,10.13,10.13,10.12
22.54,15.71,5.60,15.72,5.60,-5.60,-5.34,-3.46,10.12,10.12,10.12
22.76,15.71,5.60,15.72,5.60,-5.60,-5.36,-3.56,10.11,10.12,10.12
22.99,15.71,5.61,15.71,5.60,-5.60,-5.37,-3.65,10.11,10.11,10.11
23.22,15.71,5.62,15.71,5.60,-5.60,-5.38,-3.75,10.11,10.11,10.10
23.45,15.70,5.60,15.71,5.61,-5.61,-5.40,-3.86,10.10,10.10,10.11
23.69,15.70,5.61,15.70,5.61,-5.61,-5.41,-3.96,10.10,10.09,10.10
23.92,15.69,5.61,15.70,5.61,-5.61,-5.42,-4.07,10.09,10.09,10.09
24.16,15.69,5.60,15.69,5.60,-5.60,-5.43,-4.18,10.09,10.09,10.10
24.40,15.68,5.59,15.69,5.60,-5.60,-5.45,-4.29,10.08,10.09,10.09
24.65,15.68,5.60,15.68,5.60,-5.60,-5.46,-4.40,10.09,10.08,10.09
24.89,15.67,5.59,15.68,5.60,-5.60,-5.47,-4.52,10.08,10.08,10.08
25.14,15.67,5.60,15.67,5.59,-5.59,-5.48,-4.63,10.08,10.08,10.08
25.39,15.66,5.59,15.67,5.59,-5.59,-5.50,-4.75,10.08,10.08,10.08
25.65,15.66,5.59,15.66,5.58,-5.58,-5.51,-4.86,10.08,10.08,10.08
25.91,15.65,5.58,15.65,5.58,-5.58,-5.52,-4.98,10.08,10.08,10.08
26.16,15.64,5.56,15.65,5.57,-5.57,-5.53,-5.10,10.07,10.08,10.08
26.43,15.64,5.57,15.64,5.56,-5.56,-5.54,-5.22,10.08,10.08,10.08
26.69,15.63,5.56,15.64,5.56,-5.56,-5.56,-5.33,10.08,10.08,10.08
26.96,15.62,5.55,15.63,5.55,-5.55,-5.57,-5.45,10.07,10.08,10.08
27.23,15.62,5.55,15.62,5.54,-5.54,-5.58,-5.56,10.08,10.08,10.08
27.50,15.61,5.54,15.62,5.54,-5.54,-5.59,-5.67,10.08,10.08,10.08
27.77,15.60,5.52,15.61,5.53,-5.53,-5.60,-5.78,10.08,10.08,10.09
28.05,15.60,5.53,15.61,5.52,-5.52,-5.61,-5.88,10.08,10.08,10.08
28.33,15.59,5.51,15.60,5.51,-5.51,-5.62,-5.98,10.08,10.08,10.09
28.62,15.59,5.51,15.59,5.51,-5.51,-5.63,-6.07,10.09,10.09,10.09
28.90,15.58,5.49,15.59,5.50,-5.50,-5.65,-6.16,10.08,10.08,10.10
29.19,15.58,5.49,15.58,5.49,-5.49,-5.66,-6.25,10.09,10.08,10.10
29.48,15.57,5.49,15.57,5.49,-5.49,-5.67,-6.32,10.09,10.08,10.09
29.78,15.56,5.48,15.56,5.48,-5.48,-5.68,-6.40,10.08,10.08,10.09
30.08,15.56,5.48,15.55,5.48,-5.48,-5.69,-6.46,10.09,10.08,10.09
30.38,15.54,5.48,15.55,5.47,-5.47,-5.70,-6.51,10.07,10.07,10.07
30.68,15.53,5.47,15.54,5.47,-5.47,-5.71,-6.56,10.07,10.07,10.07
30.99,15.52,5.46,15.53,5.46,-5.46,-5.72,-6.60,10.06,10.07,10.07
31.30,15.51,5.45,15.52,5.46,-5.46,-5.73,-6.63,10.06,10.06,10.07
31.61,15.50,5.45,15.51,5.45,-5.45,-5.74,-6.65,10.05,10.05,10.06
31.93,15.49,5.46,15.50,5.45,-5.45,-5.75,-6.67,10.05,10.05,10.04
32.24,15.48,5.44,15.48,5.45,-5.45,-5.76,-6.67,10.04,10.04,10.04
32.57,15.47,5.45,15.47,5.44,-5.44,-5.77,-6.67,10.03,10.03,10.03
32.89,15.46,5.44,15.46,5.44,-5.44,-5.79,-6.66,10.03,10.03,10.03
33.22,15.45,5.44,15.45,5.43,-5.43,-5.80,-6.65,10.02,10.02,10.02
33.55,15.44,5.43,15.44,5.43,-5.43,-5.81,-6.62,10.01,10.01,10.02
33.89,15.43,5.43,15.43,5.43,-5.43,-5.82,-6.60,10.00,10.00,10.01
34.23,15.42,5.44,15.43,5.43,-5.43,-5.83,-6.56,10.00,10.00,9.99
34.57,15.41,5.43,15.42,5.43,-5.43,-5.84,-6.53,9.98,9.99,9.99
34.92,15.40,5.44,15.41,5.43,-5.43,-5.85,-6.49,9.97,9.98,9.97
35.27,15.40,5.42,15.41,5.44,-5.44,-5.86,-6.44,9.97,9.97,9.98
35.62,15.39,5.44,15.40,5.44,-5.44,-5.87,-6.39,9.95,9.96,9.96
35.97,15.39,5.44,15.39,5.45,-5.45,-5.88,-6.35,9.94,9.94,9.95
36.33,15.39,5.46,15.39,5.46,-5.46,-5.89,-6.30,9.93,9.93,9.93
36.70,15.38,5.47,15.39,5.47,-5.47,-5.90,-6.25,9.91,9.91,9.92
37.06,15.38,5.49,15.39,5.49,-5.49,-5.91,-6.19,9.90,9.90,9.89
37.43,15.38,5.51,15.38,5.51,-5.51,-5.92,-6.14,9.88,9.88,9.88
37.81,15.38,5.52,15.38,5.52,-5.52,-5.93,-6.09,9.86,9.86,9.87
38.19,15.38,5.55,15.38,5.54,-5.54,-5.94,-6.05,9.84,9.84,9.84
38.57,15.37,5.56,15.38,5.56,-5.56,-5.95,-6.00,9.81,9.82,9.82
38.95,15.37,5.57,15.38,5.58,-5.58,-5.96,-5.96,9.79,9.80,9.80
39.34,15.37,5.60,15.38,5.60,-5.60,-5.97,-5.91,9.77,9.77,9.77
39.74,15.37,5.63,15.37,5.62,-5.62,-5.99,-5.87,9.75,9.75,9.75
40.14,15.37,5.65,15.37,5.64,-5.64,-6.00,-5.84,9.74,9.73,9.73
40.54,15.36,5.66,15.36,5.66,-5.66,-6.01,-5.81,9.71,9.71,9.71
40.94,15.36,5.69,15.36,5.67,-5.67,-6.02,-5.78,9.69,9.69,9.68
41.35,15.35,5.69,15.35,5.69,-5.69,-6.03,-5.75,9.67,9.66,9.67
41.76,15.34,5.71,15.34,5.70,-5.70,-6.04,-5.73,9.64,9.64,9.64
42.18,15.33,5.71,15.33,5.72,-5.72,-6.05,-5.71,9.62,9.62,9.62
42.60,15.32,5.73,15.32,5.73,-5.73,-6.06,-5.70,9.59,9.59,9.59
43.03,15.31,5.74,15.31,5.74,-5.74,-6.07,-5.69,9.57,9.57,9.58
43.46,15.30,5.77,15.30,5.76,-5.76,-6.09,-5.68,9.55,9.54,9.54
43.90,15.28,5.77,15.29,5.77,-5.77,-6.10,-5.68,9.52,9.52,9.52
44.33,15.27,5.79,15.27,5.78,-5.78,-6.11,-5.68,9.49,9.49,9.48
44.78,15.26,5.80,15.26,5.80,-5.80,-6.12,-5.69,9.47,9.46,9.47
45.23,15.24,5.80,15.25,5.82,-5.82,-6.13,-5.70,9.43,9.43,9.45
45.68,15.22,5.83,15.23,5.84,-5.84,-6.14,-5.71,9.39,9.40,9.40
46.13,15.21,5.85,15.22,5.86,-5.86,-6.16,-5.73,9.36,9.36,9.36
46.60,15.19,5.87,15.20,5.88,-5.88,-6.17,-5.75,9.31,9.32,9.33
47.06,15.18,5.89,15.19,5.91,-5.91,-6.18,-5.78,9.28,9.29,9.29
47.53,15.17,5.92,15.18,5.93,-5.93,-6.19,-5.81,9.24,9.25,9.25
48.01,15.16,5.96,15.17,5.96,-5.96,-6.20,-5.85,9.21,9.21,9.21
48.49,15.15,5.99,15.15,5.99,-5.99,-6.22,-5.89,9.17,9.17,9.17
48.97,15.14,6.03,15.14,6.01,-6.01,-6.23,-5.93,9.13,9.13,9.11
49.46,15.13,6.05,15.13,6.04,-6.04,-6.24,-5.97,9.09,9.08,9.08
49.96,15.11,6.09,15.11,6.07,-6.07,-6.26,-6.02,9.04,9.04,9.03
50.46,15.10,6.11,15.10,6.10,-6.10,-6.27,-6.07,9.00,9.00,9.00
50.96,15.08,6.13,15.08,6.13,-6.13,-6.28,-6.12,8.96,8.96,8.96
51.47,15.07,6.16,15.07,6.16,-6.16,-6.30,-6.18,8.92,8.91,8.92
51.99,15.05,6.19,15.06,6.18,-6.18,-6.31,-6.24,8.87,8.87,8.87
52.51,15.03,6.20,15.04,6.21,-6.21,-6.32,-6.30,8.82,8.83,8.84
53.03,15.02,6.22,15.03,6.24,-6.24,-6.34,-6.36,8.79,8.79,8.81
53.56,15.00,6.25,15.01,6.26,-6.26,-6.35,-6.42,8.74,8.75,8.76
54.10,14.99,6.29,15.00,6.29,-6.29,-6.36,-6.48,8.71,8.71,8.71
54.64,14.97,6.31,14.98,6.31,-6.31,-6.38,-6.54,8.66,8.67,8.67
55.18,14.96,6.34,14.97,6.33,-6.33,-6.39,-6.61,8.63,8.63,8.62
55.74,14.95,6.38,14.95,6.36,-6.36,-6.41,-6.67,8.60,8.59,8.58
56.29,14.94,6.39,14.94,6.38,-6.38,-6.42,-6.72,8.56,8.56,8.55
56.86,14.92,6.41,14.92,6.41,-6.41,-6.44,-6.78,8.52,8.52,8.52
57.42,14.91,6.45,14.91,6.44,-6.44,-6.45,-6.84,8.48,8.47,8.46
58.00,14.89,6.47,14.90,6.46,-6.46,-6.47,-6.89,8.43,8.43,8.43
58.58,14.87,6.48,14.88,6.49,-6.49,-6.49,-6.94,8.38,8.39,8.40
59.16,14.86,6.50,14.86,6.52,-6.52,-6.50,-6.98,8.34,8.34,8.36
59.76,14.84,6.53,14.85,6.55,-6.55,-6.52,-7.02,8.29,8.29,8.32
60.35,14.83,6.57,14.83,6.58,-6.58,-6.53,-7.06,8.25,8.25,8.26
60.96,14.81,6.61,14.81,6.61,-6.61,-6.55,-7.09,8.20,8.20,8.21
61.57,14.79,6.65,14.79,6.64,-6.64,-6.57,-7.11,8.15,8.15,8.15
62.18,14.77,6.69,14.77,6.67,-6.67,-6.59,-7.13,8.10,8.09,8.08
62.80,14.75,6.73,14.75,6.71,-6.71,-6.60,-7.15,8.05,8.04,8.02
63.43,14.72,6.75,14.73,6.74,-6.74,-6.62,-7.16,7.99,7.99,7.97
64.07,14.70,6.78,14.71,6.77,-6.77,-6.64,-7.16,7.93,7.93,7.93
64.71,14.68,6.81,14.69,6.81,-6.81,-6.66,-7.16,7.88,7.88,7.88
65.35,14.66,6.85,14.67,6.84,-6.84,-6.68,-7.16,7.82,7.82,7.81
66.01,14.63,6.87,14.65,6.88,-6.88,-6.69,-7.15,7.76,7.77,7.77
66.67,14.61,6.89,14.63,6.92,-6.92,-6.71,-7.14,7.70,7.71,7.73
67.33,14.59,6.94,14.61,6.95,-6.95,-6.73,-7.12,7.64,7.66,7.65
68.01,14.58,6.98,14.59,6.99,-6.99,-6.75,-7.10,7.60,7.60,7.61
68.69,14.57,7.02,14.57,7.02,-7.02,-6.77,-7.08,7.55,7.55,7.56
69.37,14.55,7.05,14.55,7.06,-7.06,-6.79,-7.06,7.49,7.49,7.50
70.07,14.54,7.10,14.53,7.10,-7.10,-6.81,-7.03,7.45,7.44,7.45
70.77,14.52,7.15,14.51,7.13,-7.13,-6.84,-7.00,7.39,7.38,7.38
71.48,14.50,7.18,14.49,7.17,-7.17,-6.86,-6.97,7.33,7.32,7.33
72.19,14.47,7.21,14.47,7.21,-7.21,-6.88,-6.95,7.27,7.26,7.26
72.91,14.45,7.26,14.45,7.24,-7.24,-6.90,-6.92,7.21,7.21,7.19
73.64,14.42,7.28,14.42,7.27,-7.27,-6.92,-6.89,7.15,7.15,7.14
74.38,14.39,7.31,14.40,7.31,-7.31,-6.95,-6.87,7.09,7.09,7.09
75.12,14.37,7.34,14.38,7.34,-7.34,-6.97,-6.84,7.04,7.04,7.03
75.87,14.34,7.36,14.35,7.37,-7.37,-6.99,-6.82,6.98,6.99,6.98
76.63,14.31,7.39,14.33,7.40,-7.40,-7.02,-6.80,6.92,6.93,6.92
77.40,14.29,7.41,14.31,7.42,-7.42,-7.04,-6.78,6.87,6.88,6.89
78.17,14.27,7.45,14.28,7.45,-7.45,-7.06,-6.77,6.82,6.83,6.82
78.95,14.25,7.47,14.26,7.48,-7.48,-7.09,-6.76,6.78,6.78,6.78
79.74,14.24,7.51,14.24,7.50,-7.50,-7.12,-6.75,6.74,6.73,6.73
80.54,14.21,7.53,14.21,7.53,-7.53,-7.14,-6.75,6.68,6.68,6.68
81.35,14.19,7.57,14.19,7.56,-7.56,-7.17,-6.75,6.64,6.63,6.63
82.16,14.18,7.59,14.16,7.58,-7.58,-7.19,-6.76,6.60,6.58,6.60
82.98,14.15,7.62,14.14,7.61,-7.61,-7.22,-6.77,6.54,6.53,6.53
83.81,14.12,7.64,14.12,7.64,-7.64,-7.25,-6.78,6.49,6.48,6.48
84.65,14.08,7.66,14.09,7.67,-7.67,-7.28,-6.80,6.42,6.42,6.43
85.50,14.06,7.70,14.06,7.69,-7.69,-7.30,-6.83,6.37,6.37,6.37
86.35,14.03,7.72,14.04,7.72,-7.72,-7.33,-6.86,6.31,6.32,6.32
87.22,13.99,7.73,14.01,7.75,-7.75,-7.36,-6.89,6.24,6.26,6.27
88.09,13.97,7.77,13.99,7.78,-7.78,-7.39,-6.93,6.19,6.21,6.21
88.97,13.95,7.81,13.96,7.81,-7.81,-7.42,-6.98,6.14,6.15,6.15
89.86,13.93,7.84,13.94,7.84,-7.84,-7.45,-7.03,6.09,6.09,6.10
90.76,13.91,7.88,13.91,7.88,-7.88,-7.48,-7.08,6.04,6.03,6.04
91.66,13.88,7.92,13.88,7.91,-7.91,-7.51,-7.14,5.97,5.97,5.96
92.58,13.86,7.95,13.86,7.94,-7.94,-7.54,-7.21,5.92,5.91,5.92
93.51,13.83,7.97,13.83,7.98,-7.98,-7.58,-7.28,5.85,5.85,5.87
94.44,13.81,8.01,13.81,8.02,-8.02,-7.61,-7.35,5.80,5.79,5.81
95.39,13.79,8.06,13.78,8.06,-8.06,-7.64,-7.43,5.74,5.73,5.74
96.34,13.76,8.10,13.76,8.09,-8.09,-7.67,-7.51,5.67,5.67,5.67
97.30,13.73,8.13,13.74,8.13,-8.13,-7.71,-7.60,5.60,5.61,5.60
98.28,13.70,8.17,13.72,8.17,-8.17,-7.74,-7.70,5.53,5.55,5.54
99.26,13.67,8.20,13.69,8.21,-8.21,-7.78,-7.79,5.47,5.49,5.48
100.25,13.65,8.24,13.67,8.24,-8.24,-7.81,-7.89,5.41,5.43,5.42
101.25,13.63,8.27,13.64,8.28,-8.28,-7.85,-8.00,5.36,5.37,5.36
102.27,13.61,8.31,13.61,8.31,-8.31,-7.88,-8.10,5.31,5.31,5.31
103.29,13.59,8.35,13.58,8.33,-8.33,-7.92,-8.21,5.26,5.25,5.25
104.32,13.57,8.38,13.55,8.36,-8.36,-7.95,-8.32,5.21,5.19,5.20
105.37,13.55,8.42,13.52,8.39,-8.39,-7.99,-8.44,5.17,5.14,5.14
106.42,13.51,8.43,13.50,8.41,-8.41,-8.03,-8.55,5.10,5.08,5.09
107.48,13.47,8.45,13.47,8.44,-8.44,-8.07,-8.66,5.03,5.02,5.02
108.56,13.43,8.46,13.44,8.47,-8.47,-8.10,-8.78,4.96,4.97,4.98
109.64,13.38,8.47,13.41,8.50,-8.50,-8.14,-8.89,4.88,4.91,4.91
