frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.56,-3.81,3.57,-3.81,3.81,3.68,1.54,7.38,7.38,7.38
20.20,3.57,-3.79,3.57,-3.80,3.80,3.68,1.59,7.37,7.37,7.37
20.40,3.57,-3.78,3.58,-3.78,3.78,3.68,1.63,7.35,7.35,7.36
20.61,3.58,-3.76,3.58,-3.76,3.76,3.68,1.68,7.35,7.34,7.35
20.81,3.58,-3.74,3.59,-3.74,3.75,3.68,1.73,7.33,7.33,7.33
21.02,3.59,-3.72,3.59,-3.73,3.73,3.68,1.78,7.32,7.32,7.32
21.23,3.60,-3.70,3.60,-3.71,3.71,3.68,1.84,7.32,7.31,7.31
21.44,3.60,-3.71,3.61,-3.70,3.70,3.67,1.89,7.30,7.31,7.32
21.66,3.61,-3.68,3.61,-3.69,3.68,3.67,1.95,7.30,7.30,7.30
21.87,3.62,-3.67,3.62,-3.67,3.67,3.67,2.01,7.29,7.29,7.30
22.09,3.62,-3.65,3.63,-3.65,3.65,3.66,2.07,7.28,7.28,7.28
22.31,3.63,-3.63,3.63,-3.64,3.64,3.66,2.13,7.27,7.27,7.27
22.54,3.63,-3.62,3.64,-3.62,3.63,3.66,2.19,7.26,7.26,7.26
22.76,3.64,-3.61,3.64,-3.61,3.61,3.65,2.26,7.26,7.26,7.26
22.99,3.64,-3.60,3.65,-3.60,3.60,3.64,2.32,7.25,7.25,7.25
23.22,3.65,-3.58,3.65,-3.59,3.59,3.64,2.39,7.25,7.24,7.24
23.45,3.65,-3.59,3.66,-3.58,3.58,3.63,2.46,7.24,7.24,7.25
23.69,3.66,-3.57,3.66,-3.57,3.57,3.63,2.53,7.24,7.24,7.24
23.92,3.67,-3.55,3.67,-3.57,3.56,3.62,2.61,7.24,7.23,7.23
24.16,3.67,-3.56,3.68,-3.56,3.55,3.61,2.68,7.23,7.23,7.24
24.40,3.68,-3.55,3.69,-3.55,3.54,3.60,2.75,7.23,7.23,7.24
24.65,3.69,-3.53,3.69,-3.54,3.53,3.59,2.83,7.23,7.23,7.23
24.89,3.70,-3.52,3.70,-3.52,3.53,3.59,2.90,7.23,7.23,7.23
25.14,3.70,-3.51,3.71,-3.51,3.52,3.58,2.98,7.22,7.23,7.22
25.39,3.71,-3.50,3.71,-3.51,3.51,3.57,3.06,7.22,7.22,7.22
25.65,3.71,-3.50,3.72,-3.50,3.50,3.56,3.14,7.22,7.22,7.22
25.91,3.72,-3.49,3.72,-3.50,3.49,3.55,3.21,7.22,7.22,7.22
26.16,3.73,-3.49,3.73,-3.49,3.49,3.54,3.29,7.22,7.22,7.23
26.43,3.73,-3.48,3.74,-3.48,3.48,3.52,3.37,7.21,7.22,7.22
26.69,3.74,-3.47,3.74,-3.47,3.47,3.51,3.44,7.22,7.22,7.22
26.96,3.75,-3.46,3.75,-3.47,3.47,3.50,3.52,7.22,7.22,7.22
27.23,3.75,-3.46,3.76,-3.46,3.46,3.49,3.59,7.22,7.22,7.22
27.50,3.76,-3.45,3.76,-3.46,3.46,3.48,3.66,7.22,7.22,7.22
27.77,3.77,-3.45,3.77,-3.45,3.45,3.47,3.73,7.23,7.22,7.23
28.05,3.77,-3.44,3.78,-3.45,3.45,3.45,3.79,7.22,7.22,7.22
28.33,3.78,-3.44,3.79,-3.44,3.44,3.44,3.85,7.23,7.23,7.23
28.62,3.79,-3.43,3.79,-3.44,3.44,3.43,3.91,7.23,7.23,7.23
28.90,3.80,-3.43,3.80,-3.43,3.43,3.41,3.96,7.24,7.23,7.24
29.19,3.80,-3.43,3.81,-3.43,3.42,3.40,4.01,7.23,7.23,7.24
29.48,3.81,-3.41,3.81,-3.42,3.42,3.39,4.05,7.23,7.23,7.23
29.78,3.82,-3.40,3.82,-3.41,3.41,3.37,4.09,7.23,7.23,7.23
