frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.64,-11.44,-2.64,-11.44,11.44,11.39,4.72,8.81,8.81,8.80
20.20,-2.60,-11.39,-2.59,-11.39,11.39,11.34,4.85,8.79,8.79,8.79
20.40,-2.55,-11.33,-2.55,-11.33,11.33,11.30,4.97,8.79,8.78,8.78
20.61,-2.51,-11.28,-2.51,-11.28,11.28,11.25,5.10,8.77,8.77,8.77
20.81,-2.47,-11.22,-2.47,-11.22,11.22,11.21,5.24,8.76,8.76,8.75
21.02,-2.43,-11.17,-2.42,-11.17,11.17,11.16,5.37,8.74,8.75,8.74
21.23,-2.39,-11.12,-2.38,-11.12,11.12,11.11,5.51,8.73,8.74,8.73
21.44,-2.34,-11.08,-2.34,-11.07,11.07,11.07,5.66,8.73,8.73,8.74
21.66,-2.30,-11.02,-2.30,-11.02,11.02,11.02,5.81,8.72,8.72,8.72
21.87,-2.26,-10.98,-2.26,-10.97,10.97,10.97,5.96,8.71,8.71,8.72
22.09,-2.22,-10.92,-2.21,-10.92,10.92,10.92,6.12,8.70,8.70,8.70
22.31,-2.18,-10.87,-2.17,-10.87,10.87,10.87,6.28,8.69,8.70,8.69
22.54,-2.14,-10.82,-2.13,-10.82,10.82,10.82,6.45,8.68,8.69,8.68
22.76,-2.09,-10.77,-2.09,-10.77,10.77,10.78,6.62,8.69,8.68,8.68
22.99,-2.05,-10.72,-2.05,-10.73,10.73,10.73,6.79,8.68,8.68,8.67
23.22,-2.01,-10.67,-2.01,-10.68,10.68,10.68,6.97,8.67,8.67,8.66
23.45,-1.97,-10.64,-1.97,-10.63,10.63,10.63,7.15,8.67,8.67,8.67
23.69,-1.93,-10.59,-1.93,-10.59,10.59,10.58,7.34,8.66,8.66,8.66
23.92,-1.89,-10.54,-1.89,-10.54,10.54,10.53,7.53,8.66,8.66,8.65
24.16,-1.85,-10.51,-1.84,-10.50,10.50,10.49,7.73,8.65,8.66,8.66
24.40,-1.81,-10.47,-1.80,-10.46,10.46,10.44,7.93,8.65,8.65,8.66
24.65,-1.77,-10.42,-1.76,-10.42,10.42,10.39,8.14,8.65,8.65,8.65
