frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.16,-8.79,-0.17,-8.79,8.79,7.92,3.81,8.63,8.63,8.63
20.20,-0.15,-8.77,-0.15,-8.77,8.77,8.00,3.92,8.61,8.62,8.62
20.40,-0.14,-8.75,-0.14,-8.74,8.74,8.08,4.03,8.60,8.60,8.61
20.61,-0.13,-8.72,-0.13,-8.72,8.72,8.16,4.14,8.60,8.59,8.59
20.81,-0.11,-8.69,-0.12,-8.70,8.70,8.24,4.25,8.58,8.58,8.57
21.02,-0.10,-8.67,-0.11,-8.67,8.67,8.31,4.37,8.57,8.57,8.56
21.23,-0.09,-8.65,-0.09,-8.65,8.65,8.38,4.49,8.56,8.56,8.55
21.44,-0.08,-8.65,-0.08,-8.63,8.63,8.45,4.61,8.55,8.55,8.56
21.66,-0.07,-8.62,-0.07,-8.61,8.61,8.51,4.74,8.54,8.54,8.54
21.87,-0.06,-8.60,-0.06,-8.59,8.59,8.57,4.87,8.53,8.53,8.54
22.09,-0.05,-8.57,-0.05,-8.57,8.57,8.63,5.01,8.52,8.52,8.52
22.31,-0.03,-8.55,-0.04,-8.55,8.55,8.68,5.15,8.52,8.51,8.52
22.54,-0.02,-8.53,-0.03,-8.54,8.54,8.73,5.29,8.51,8.51,8.51
22.76,-0.01,-8.52,-0.02,-8.52,8.52,8.77,5.44,8.50,8.50,8.50
22.99,-0.00,-8.50,-0.01,-8.50,8.50,8.81,5.59,8.50,8.50,8.49
23.22,0.01,-8.48,0.01,-8.49,8.49,8.85,5.74,8.49,8.49,8.48
23.45,0.02,-8.48,0.02,-8.47,8.47,8.88,5.90,8.49,8.49,8.49
23.69,0.03,-8.45,0.03,-8.46,8.46,8.91,6.06,8.48,8.48,8.48
23.92,0.04,-8.43,0.04,-8.44,8.44,8.93,6.23,8.48,8.48,8.47
24.16,0.05,-8.43,0.04,-8.43,8.43,8.95,6.40,8.47,8.47,8.48
24.40,0.06,-8.42,0.05,-8.42,8.42,8.97,6.57,8.47,8.47,8.48
24.65,0.07,-8.41,0.06,-8.41,8.41,8.98,6.75,8.47,8.47,8.47
24.89,0.08,-8.40,0.07,-8.39,8.39,8.98,6.93,8.47,8.47,8.47
25.14,0.08,-8.38,0.08,-8.38,8.38,8.98,7.11,8.46,8.46,8.46
25.39,0.09,-8.37,0.09,-8.37,8.37,8.98,7.29,8.46,8.46,8.46
25.65,0.10,-8.36,0.10,-8.36,8.36,8.97,7.48,8.46,8.46,8.46
25.91,0.11,-8.35,0.11,-8.35,8.35,8.96,7.67,8.46,8.46,8.45
26.16,0.12,-8.35,0.12,-8.34,8.34,8.95,7.86,8.46,8.46,8.46
26.43,0.13,-8.34,0.13,-8.33,8.33,8.93,8.05,8.46,8.46,8.46
