frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.82,-5.57,3.82,-5.57,5.57,5.17,2.31,9.39,9.38,9.39
20.20,3.83,-5.55,3.83,-5.55,5.55,5.17,2.38,9.37,9.38,9.38
20.40,3.84,-5.53,3.84,-5.52,5.52,5.17,2.45,9.36,9.37,9.37
20.61,3.86,-5.50,3.85,-5.50,5.50,5.16,2.52,9.36,9.36,9.36
20.81,3.87,-5.47,3.87,-5.47,5.48,5.16,2.59,9.35,9.35,9.34
21.02,3.88,-5.45,3.88,-5.45,5.46,5.15,2.67,9.34,9.34,9.33
21.23,3.89,-5.43,3.89,-5.43,5.44,5.15,2.75,9.33,9.33,9.32
21.44,3.90,-5.43,3.90,-5.42,5.42,5.14,2.83,9.31,9.31,9.33
21.66,3.91,-5.40,3.91,-5.41,5.40,5.14,2.91,9.30,9.30,9.31
21.87,3.92,-5.39,3.92,-5.38,5.38,5.13,2.99,9.29,9.30,9.31
22.09,3.93,-5.36,3.93,-5.36,5.36,5.13,3.08,9.29,9.29,9.29
22.31,3.95,-5.33,3.94,-5.33,5.34,5.12,3.17,9.29,9.28,9.28
22.54,3.96,-5.31,3.96,-5.31,5.32,5.12,3.26,9.28,9.28,9.27
22.76,3.97,-5.30,3.97,-5.29,5.30,5.11,3.35,9.27,9.27,9.27
22.99,3.98,-5.28,3.98,-5.28,5.28,5.11,3.45,9.26,9.26,9.26
23.22,3.99,-5.26,3.99,-5.27,5.26,5.10,3.55,9.25,9.25,9.25
23.45,4.00,-5.26,4.00,-5.25,5.25,5.09,3.65,9.25,9.25,9.26
23.69,4.01,-5.24,4.01,-5.24,5.24,5.09,3.75,9.24,9.25,9.25
23.92,4.03,-5.21,4.02,-5.22,5.22,5.08,3.86,9.25,9.25,9.24
24.16,4.04,-5.21,4.04,-5.21,5.21,5.08,3.96,9.25,9.25,9.25
24.40,4.05,-5.20,4.05,-5.19,5.19,5.07,4.07,9.24,9.24,9.25
24.65,4.06,-5.18,4.06,-5.18,5.18,5.06,4.18,9.24,9.24,9.24
24.89,4.07,-5.17,4.06,-5.17,5.17,5.06,4.29,9.24,9.24,9.24
25.14,4.07,-5.16,4.07,-5.16,5.16,5.05,4.40,9.23,9.23,9.23
25.39,4.08,-5.15,4.08,-5.15,5.15,5.04,4.52,9.23,9.23,9.23
25.65,4.09,-5.14,4.09,-5.14,5.14,5.04,4.63,9.23,9.23,9.23
25.91,4.10,-5.13,4.10,-5.13,5.13,5.03,4.74,9.23,9.23,9.23
26.16,4.11,-5.13,4.10,-5.13,5.12,5.02,4.86,9.23,9.23,9.24
26.43,4.11,-5.12,4.11,-5.12,5.12,5.01,4.97,9.22,9.23,9.23
26.69,4.12,-5.11,4.12,-5.11,5.11,5.01,5.08,9.23,9.23,9.23
26.96,4.13,-5.10,4.13,-5.10,5.10,5.00,5.19,9.23,9.23,9.23
27.23,4.14,-5.09,4.14,-5.09,5.09,4.99,5.30,9.23,9.23,9.23
27.50,4.15,-5.08,4.14,-5.09,5.09,4.98,5.41,9.23,9.23,9.23
27.77,4.15,-5.09,4.15,-5.08,5.08,4.98,5.51,9.23,9.23,9.24
28.05,4.16,-5.07,4.16,-5.07,5.07,4.97,5.61,9.23,9.23,9.23
28.33,4.17,-5.07,4.17,-5.07,5.07,4.96,5.70,9.24,9.24,9.24
28.62,4.18,-5.06,4.18,-5.06,5.07,4.95,5.79,9.24,9.24,9.24
28.90,4.19,-5.06,4.18,-5.06,5.06,4.94,5.87,9.25,9.24,9.25
29.19,4.19,-5.06,4.19,-5.06,5.05,4.93,5.94,9.24,9.24,9.25
29.48,4.19,-5.05,4.19,-5.05,5.05,4.92,6.01,9.23,9.24,9.24
29.78,4.20,-5.04,4.19,-5.04,5.04,4.91,6.07,9.24,9.23,9.24
30.08,4.20,-5.04,4.20,-5.03,5.03,4.90,6.12,9.23,9.23,9.24
30.38,4.21,-5.01,4.21,-5.02,5.02,4.89,6.17,9.23,9.23,9.22
