frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.51,-1.80,11.51,-1.81,1.81,1.79,0.20,13.32,13.32,13.31
20.20,11.54,-1.76,11.54,-1.76,1.76,1.80,0.21,13.30,13.30,13.30
20.40,11.58,-1.71,11.58,-1.71,1.71,1.81,0.21,13.29,13.29,13.29
20.61,11.61,-1.67,11.62,-1.66,1.66,1.82,0.22,13.27,13.28,13.28
20.81,11.65,-1.61,11.66,-1.61,1.61,1.82,0.23,13.27,13.27,13.26
21.02,11.68,-1.57,11.69,-1.56,1.56,1.81,0.24,13.25,13.26,13.25
21.23,11.72,-1.52,11.73,-1.52,1.52,1.81,0.25,13.24,13.25,13.24
21.44,11.76,-1.49,11.77,-1.47,1.47,1.79,0.26,13.24,13.24,13.25
21.66,11.80,-1.43,11.80,-1.43,1.43,1.78,0.27,13.23,13.23,13.23
21.87,11.84,-1.39,11.84,-1.38,1.38,1.76,0.28,13.23,13.22,13.23
22.09,11.88,-1.33,11.88,-1.34,1.34,1.73,0.29,13.22,13.21,13.21
22.31,11.91,-1.29,11.91,-1.29,1.29,1.70,0.30,13.21,13.21,13.20
22.54,11.95,-1.24,11.95,-1.25,1.25,1.67,0.31,13.20,13.20,13.19
22.76,11.98,-1.21,11.98,-1.21,1.21,1.64,0.32,13.19,13.19,13.19
22.99,12.02,-1.16,12.02,-1.17,1.17,1.60,0.33,13.19,13.19,13.18
23.22,12.05,-1.12,12.06,-1.12,1.12,1.56,0.34,13.18,13.18,13.17
23.45,12.09,-1.09,12.09,-1.08,1.08,1.52,0.35,13.18,13.18,13.18
23.69,12.12,-1.05,12.13,-1.04,1.04,1.47,0.37,13.17,13.17,13.17
23.92,12.16,-1.00,12.16,-1.00,1.00,1.42,0.38,13.17,13.17,13.16
24.16,12.19,-0.98,12.20,-0.97,0.97,1.37,0.39,13.16,13.17,13.17
24.40,12.23,-0.94,12.23,-0.93,0.93,1.32,0.40,13.16,13.16,13.17
24.65,12.27,-0.89,12.27,-0.89,0.89,1.27,0.42,13.17,13.16,13.16
24.89,12.30,-0.86,12.30,-0.86,0.86,1.22,0.43,13.16,13.16,13.16
25.14,12.34,-0.81,12.34,-0.82,0.82,1.17,0.44,13.16,13.16,13.15
25.39,12.37,-0.78,12.37,-0.78,0.78,1.12,0.45,13.16,13.16,13.15
25.65,12.40,-0.75,12.41,-0.75,0.75,1.06,0.47,13.15,13.16,13.15
25.91,12.44,-0.71,12.44,-0.71,0.71,1.01,0.48,13.15,13.15,13.15
26.16,12.47,-0.69,12.48,-0.68,0.68,0.96,0.49,13.15,13.15,13.16
26.43,12.51,-0.64,12.51,-0.64,0.64,0.91,0.50,13.16,13.15,13.15
26.69,12.54,-0.61,12.54,-0.61,0.61,0.86,0.51,13.15,13.15,13.15
26.96,12.57,-0.58,12.58,-0.58,0.58,0.80,0.52,13.15,13.15,13.15
27.23,12.61,-0.54,12.61,-0.55,0.55,0.75,0.53,13.16,13.16,13.15
27.50,12.64,-0.51,12.64,-0.52,0.52,0.71,0.54,13.16,13.16,13.15
27.77,12.67,-0.49,12.68,-0.48,0.48,0.66,0.54,13.16,13.16,13.16
28.05,12.71,-0.44,12.71,-0.45,0.45,0.61,0.55,13.17,13.16,13.15
28.33,12.74,-0.42,12.74,-0.42,0.42,0.56,0.55,13.16,13.16,13.16
28.62,12.77,-0.39,12.77,-0.39,0.39,0.52,0.56,13.16,13.16,13.16
28.90,12.80,-0.37,12.80,-0.36,0.36,0.47,0.56,13.16,13.16,13.17
29.19,12.83,-0.34,12.83,-0.33,0.33,0.43,0.56,13.16,13.16,13.17
29.48,12.86,-0.30,12.87,-0.30,0.30,0.38,0.56,13.16,13.16,13.16
29.78,12.89,-0.27,12.90,-0.26,0.26,0.34,0.56,13.16,13.16,13.16
30.08,12.92,-0.24,12.92,-0.23,0.23,0.30,0.55,13.15,13.16,13.16
30.38,12.95,-0.19,12.95,-0.20,0.20,0.26,0.55,13.15,13.15,13.14
30.68,12.98,-0.16,12.98,-0.17,0.17,0.22,0.54,13.15,13.15,13.14
30.99,13.01,-0.13,13.01,-0.13,0.13,0.18,0.53,13.15,13.14,13.14
31.30,13.03,-0.11,13.03,-0.10,0.10,0.14,0.51,13.14,13.14,13.14
31.61,13.06,-0.07,13.06,-0.07,0.07,0.11,0.50,13.13,13.13,13.13
31.93,13.08,-0.03,13.08,-0.04,0.04,0.07,0.48,13.12,13.12,13.11
32.24,13.11,-0.01,13.11,-0.01,0.01,0.03,0.46,13.12,13.11,13.12
32.57,13.13,0.03,13.13,0.02,-0.02,-0.00,0.44,13.11,13.11,13.10
32.89,13.15,0.05,13.15,0.05,-0.05,-0.04,0.42,13.10,13.10,13.10
33.22,13.17,0.08,13.18,0.08,-0.08,-0.07,0.40,13.09,13.10,13.09
33.55,13.19,0.10,13.20,0.11,-0.11,-0.10,0.37,13.09,13.09,13.09
33.89,13.21,0.13,13.22,0.14,-0.14,-0.14,0.34,13.08,13.08,13.08
34.23,13.23,0.17,13.24,0.16,-0.16,-0.17,0.31,13.07,13.07,13.06
34.57,13.25,0.19,13.26,0.19,-0.19,-0.20,0.28,13.06,13.06,13.06
34.92,13.28,0.24,13.28,0.22,-0.22,-0.23,0.25,13.06,13.05,13.04
35.27,13.29,0.23,13.29,0.25,-0.25,-0.26,0.21,13.04,13.04,13.06
35.62,13.31,0.28,13.31,0.28,-0.28,-0.29,0.18,13.04,13.03,13.03
35.97,13.33,0.30,13.33,0.31,-0.31,-0.32,0.14,13.03,13.02,13.03
36.33,13.34,0.33,13.34,0.34,-0.34,-0.35,0.10,13.01,13.01,13.01
36.70,13.36,0.37,13.36,0.37,-0.37,-0.38,0.06,13.00,12.99,12.99
37.06,13.37,0.40,13.37,0.40,-0.40,-0.41,0.02,12.97,12.97,12.97
37.43,13.38,0.43,13.39,0.43,-0.43,-0.44,-0.02,12.95,12.96,12.95
37.81,13.39,0.45,13.40,0.47,-0.47,-0.47,-0.06,12.93,12.94,12.94
38.19,13.41,0.50,13.42,0.50,-0.50,-0.50,-0.11,12.91,12.92,12.91
