frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.50,-7.14,3.50,-7.15,7.14,7.45,2.61,10.64,10.64,10.64
20.20,3.52,-7.11,3.52,-7.11,7.11,7.41,2.68,10.63,10.63,10.63
20.40,3.55,-7.07,3.55,-7.07,7.07,7.36,2.76,10.62,10.62,10.62
20.61,3.58,-7.03,3.58,-7.03,7.03,7.31,2.84,10.61,10.61,10.61
20.81,3.61,-6.98,3.61,-6.98,6.99,7.26,2.92,10.60,10.60,10.59
21.02,3.64,-6.94,3.64,-6.95,6.95,7.21,3.00,10.59,10.59,10.58
21.23,3.67,-6.90,3.67,-6.91,6.91,7.17,3.09,10.58,10.58,10.57
21.44,3.70,-6.88,3.70,-6.87,6.87,7.12,3.18,10.57,10.57,10.58
21.66,3.74,-6.82,3.74,-6.83,6.83,7.07,3.27,10.56,10.56,10.56
21.87,3.77,-6.79,3.77,-6.79,6.78,7.02,3.37,10.55,10.55,10.56
22.09,3.81,-6.73,3.81,-6.74,6.74,6.97,3.46,10.55,10.54,10.54
22.31,3.84,-6.69,3.85,-6.69,6.69,6.92,3.56,10.53,10.53,10.53
22.54,3.89,-6.63,3.89,-6.64,6.64,6.87,3.66,10.53,10.53,10.52
22.76,3.93,-6.59,3.93,-6.59,6.59,6.83,3.77,10.52,10.52,10.52
22.99,3.97,-6.54,3.97,-6.54,6.54,6.78,3.87,10.51,10.51,10.51
23.22,4.02,-6.48,4.02,-6.49,6.49,6.73,3.99,10.51,10.51,10.50
23.45,4.07,-6.44,4.07,-6.43,6.44,6.68,4.10,10.51,10.51,10.51
23.69,4.12,-6.38,4.12,-6.38,6.39,6.63,4.21,10.51,10.51,10.50
23.92,4.16,-6.33,4.16,-6.34,6.34,6.58,4.33,10.50,10.50,10.49
24.16,4.20,-6.30,4.20,-6.30,6.30,6.53,4.45,10.50,10.50,10.50
24.40,4.24,-6.26,4.24,-6.25,6.25,6.48,4.57,10.49,10.50,10.50
24.65,4.29,-6.20,4.29,-6.21,6.21,6.43,4.69,10.50,10.49,10.49
24.89,4.33,-6.16,4.33,-6.16,6.17,6.38,4.82,10.50,10.49,10.49
25.14,4.36,-6.12,4.36,-6.12,6.13,6.33,4.94,10.49,10.49,10.48
25.39,4.40,-6.08,4.40,-6.08,6.09,6.28,5.07,10.49,10.49,10.48
25.65,4.44,-6.04,4.44,-6.04,6.04,6.23,5.20,10.48,10.48,10.48
25.91,4.48,-6.00,4.48,-6.01,6.00,6.18,5.32,10.48,10.48,10.48
26.16,4.51,-5.98,4.51,-5.97,5.96,6.13,5.45,10.47,10.48,10.49
26.43,4.55,-5.93,4.55,-5.93,5.92,6.08,5.58,10.47,10.48,10.48
26.69,4.59,-5.89,4.59,-5.89,5.89,6.03,5.70,10.48,10.48,10.48
26.96,4.64,-5.84,4.64,-5.84,5.86,5.98,5.83,10.50,10.49,10.48
27.23,4.68,-5.80,4.67,-5.81,5.83,5.93,5.95,10.50,10.50,10.48
27.50,4.70,-5.78,4.70,-5.78,5.80,5.88,6.07,10.50,10.50,10.48
27.77,4.72,-5.77,4.72,-5.77,5.77,5.83,6.18,10.49,10.49,10.49
28.05,4.74,-5.74,4.74,-5.75,5.74,5.79,6.29,10.48,10.48,10.48
28.33,4.76,-5.73,4.76,-5.73,5.72,5.74,6.39,10.48,10.48,10.49
28.62,4.79,-5.70,4.79,-5.70,5.69,5.69,6.49,10.48,10.48,10.49
28.90,4.83,-5.67,4.83,-5.67,5.66,5.64,6.58,10.49,10.49,10.50
29.19,4.87,-5.63,4.87,-5.63,5.62,5.59,6.66,10.49,10.49,10.50
29.48,4.91,-5.58,4.91,-5.59,5.59,5.54,6.73,10.50,10.50,10.49
29.78,4.95,-5.54,4.95,-5.54,5.56,5.49,6.80,10.51,10.51,10.49
30.08,4.98,-5.51,4.98,-5.51,5.52,5.45,6.85,10.50,10.50,10.49
30.38,5.00,-5.47,5.00,-5.48,5.49,5.40,6.90,10.49,10.49,10.47
30.68,5.02,-5.45,5.02,-5.46,5.46,5.35,6.93,10.48,10.48,10.47
30.99,5.03,-5.44,5.04,-5.44,5.43,5.30,6.95,10.46,10.46,10.47
31.30,5.06,-5.41,5.06,-5.41,5.39,5.25,6.95,10.45,10.45,10.47
31.61,5.09,-5.37,5.09,-5.37,5.36,5.21,6.95,10.45,10.44,10.46
31.93,5.13,-5.31,5.13,-5.32,5.32,5.16,6.94,10.44,10.45,10.44
32.24,5.17,-5.28,5.17,-5.27,5.27,5.11,6.91,10.44,10.44,10.45
32.57,5.22,-5.21,5.22,-5.22,5.23,5.07,6.87,10.45,10.44,10.43
32.89,5.26,-5.17,5.26,-5.17,5.18,5.02,6.83,10.44,10.44,10.43
33.22,5.30,-5.12,5.30,-5.13,5.13,4.98,6.77,10.43,10.43,10.42
33.55,5.33,-5.09,5.33,-5.09,5.09,4.93,6.70,10.42,10.42,10.42
33.89,5.36,-5.05,5.36,-5.05,5.05,4.88,6.63,10.41,10.41,10.41
34.23,5.38,-5.01,5.38,-5.01,5.02,4.84,6.54,10.40,10.40,10.39
34.57,5.41,-4.98,5.41,-4.98,4.99,4.79,6.45,10.40,10.40,10.39
34.92,5.43,-4.94,5.43,-4.95,4.96,4.75,6.36,10.39,10.39,10.37
35.27,5.45,-4.94,5.45,-4.93,4.93,4.71,6.25,10.38,10.38,10.39
35.62,5.46,-4.90,5.46,-4.91,4.90,4.66,6.15,10.36,10.36,10.36
35.97,5.48,-4.88,5.48,-4.88,4.87,4.62,6.04,10.35,10.35,10.36
36.33,5.50,-4.84,5.50,-4.84,4.84,4.58,5.93,10.34,10.34,10.34
36.70,5.52,-4.80,5.52,-4.80,4.81,4.53,5.81,10.33,10.33,10.32
