frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.89,-11.88,-2.89,-11.88,11.88,11.69,4.37,8.99,8.99,8.99
20.20,-2.80,-11.78,-2.80,-11.78,11.78,11.63,4.48,8.98,8.98,8.98
20.40,-2.71,-11.68,-2.71,-11.68,11.68,11.56,4.60,8.97,8.97,8.97
20.61,-2.63,-11.58,-2.63,-11.58,11.58,11.50,4.72,8.96,8.95,8.96
20.81,-2.54,-11.48,-2.54,-11.48,11.48,11.43,4.84,8.94,8.94,8.94
21.02,-2.45,-11.38,-2.46,-11.39,11.39,11.37,4.97,8.93,8.93,8.93
21.23,-2.37,-11.29,-2.37,-11.29,11.29,11.29,5.10,8.92,8.92,8.92
21.44,-2.28,-11.21,-2.29,-11.20,11.20,11.22,5.23,8.92,8.91,8.93
21.66,-2.20,-11.11,-2.20,-11.11,11.11,11.15,5.37,8.90,8.90,8.91
21.87,-2.12,-11.03,-2.12,-11.02,11.02,11.07,5.51,8.89,8.90,8.91
22.09,-2.03,-10.92,-2.04,-10.93,10.93,11.00,5.66,8.89,8.89,8.89
22.31,-1.95,-10.83,-1.96,-10.84,10.84,10.92,5.80,8.89,8.88,8.88
22.54,-1.88,-10.74,-1.88,-10.75,10.75,10.84,5.96,8.88,8.87,8.87
22.76,-1.80,-10.67,-1.80,-10.67,10.67,10.76,6.11,8.86,8.87,8.87
22.99,-1.72,-10.58,-1.72,-10.58,10.58,10.68,6.27,8.86,8.86,8.86
23.22,-1.64,-10.49,-1.64,-10.50,10.50,10.60,6.44,8.86,8.86,8.85
23.45,-1.56,-10.42,-1.57,-10.42,10.42,10.51,6.61,8.86,8.85,8.86
23.69,-1.49,-10.33,-1.49,-10.34,10.34,10.43,6.78,8.85,8.85,8.85
23.92,-1.41,-10.25,-1.41,-10.26,10.26,10.35,6.95,8.85,8.84,8.84
24.16,-1.34,-10.19,-1.34,-10.18,10.18,10.27,7.13,8.84,8.84,8.85
24.40,-1.26,-10.11,-1.27,-10.10,10.10,10.18,7.32,8.84,8.84,8.85
24.65,-1.18,-10.02,-1.19,-10.03,10.03,10.10,7.50,8.84,8.84,8.84
24.89,-1.12,-9.96,-1.12,-9.95,9.95,10.02,7.69,8.83,8.84,8.84
25.14,-1.05,-9.88,-1.04,-9.88,9.88,9.93,7.88,8.82,8.83,8.83
25.39,-0.97,-9.80,-0.97,-9.80,9.80,9.85,8.08,8.83,8.83,8.83
25.65,-0.88,-9.71,-0.89,-9.73,9.73,9.76,8.28,8.84,8.83,8.83
25.91,-0.82,-9.65,-0.82,-9.65,9.65,9.68,8.47,8.82,8.83,8.83
26.16,-0.75,-9.59,-0.74,-9.57,9.57,9.60,8.67,8.82,8.83,8.84
26.43,-0.68,-9.50,-0.67,-9.50,9.50,9.52,8.87,8.82,8.83,8.83
26.69,-0.59,-9.42,-0.59,-9.42,9.42,9.43,9.07,8.83,8.83,8.83
26.96,-0.51,-9.34,-0.52,-9.35,9.35,9.35,9.27,8.83,8.83,8.83
27.23,-0.44,-9.27,-0.44,-9.28,9.28,9.27,9.46,8.83,8.83,8.83
27.50,-0.37,-9.20,-0.37,-9.20,9.20,9.19,9.65,8.83,8.83,8.83
27.77,-0.29,-9.13,-0.29,-9.13,9.13,9.11,9.84,8.84,8.84,8.84
28.05,-0.21,-9.04,-0.22,-9.06,9.06,9.02,10.01,8.85,8.84,8.83
28.33,-0.14,-8.98,-0.15,-8.99,8.99,8.94,10.18,8.85,8.84,8.84
28.62,-0.07,-8.91,-0.08,-8.92,8.92,8.86,10.34,8.84,8.84,8.84
28.90,-0.00,-8.85,-0.01,-8.85,8.85,8.78,10.49,8.84,8.84,8.85
29.19,0.06,-8.79,0.06,-8.78,8.78,8.70,10.63,8.83,8.84,8.85
29.48,0.13,-8.71,0.13,-8.71,8.71,8.63,10.75,8.84,8.84,8.84
29.78,0.20,-8.64,0.19,-8.64,8.64,8.55,10.85,8.84,8.83,8.84
30.08,0.27,-8.57,0.26,-8.57,8.57,8.47,10.93,8.84,8.83,8.84
30.38,0.33,-8.49,0.33,-8.50,8.50,8.39,11.00,8.83,8.83,8.82
30.68,0.39,-8.43,0.39,-8.43,8.43,8.31,11.04,8.82,8.82,8.82
30.99,0.45,-8.37,0.45,-8.37,8.37,8.24,11.06,8.81,8.82,8.82
31.30,0.53,-8.29,0.52,-8.30,8.30,8.16,11.06,8.82,8.81,8.82
31.61,0.59,-8.22,0.58,-8.23,8.23,8.08,11.04,8.81,8.81,8.81
31.93,0.65,-8.14,0.64,-8.15,8.15,8.01,11.00,8.80,8.80,8.79
32.24,0.70,-8.10,0.71,-8.08,8.08,7.93,10.94,8.78,8.79,8.80
32.57,0.77,-8.01,0.77,-8.01,8.01,7.85,10.85,8.78,8.78,8.78
32.89,0.84,-7.94,0.84,-7.94,7.94,7.78,10.75,8.78,8.78,8.78
33.22,0.91,-7.86,0.90,-7.87,7.87,7.70,10.63,8.78,8.77,8.77
33.55,0.97,-7.80,0.97,-7.80,7.80,7.62,10.50,8.77,8.77,8.77
33.89,1.03,-7.73,1.03,-7.73,7.73,7.55,10.35,8.75,8.76,8.76
34.23,1.09,-7.65,1.10,-7.65,7.65,7.47,10.19,8.74,8.75,8.74
34.57,1.17,-7.57,1.16,-7.58,7.58,7.40,10.02,8.75,8.74,8.74
34.92,1.24,-7.48,1.22,-7.51,7.51,7.32,9.84,8.74,8.73,8.72
35.27,1.30,-7.44,1.29,-7.43,7.43,7.25,9.66,8.73,8.72,8.74
35.62,1.35,-7.36,1.35,-7.36,7.36,7.17,9.47,8.70,8.71,8.71
35.97,1.41,-7.30,1.41,-7.28,7.28,7.09,9.28,8.69,8.70,8.71
36.33,1.48,-7.21,1.48,-7.21,7.21,7.02,9.08,8.68,8.68,8.69
36.70,1.55,-7.12,1.54,-7.13,7.13,6.94,8.89,8.68,8.67,8.67
37.06,1.61,-7.04,1.60,-7.05,7.05,6.87,8.69,8.66,8.65,8.65
37.43,1.66,-6.97,1.66,-6.97,6.97,6.79,8.49,8.63,8.63,8.63
37.81,1.71,-6.91,1.72,-6.90,6.90,6.71,8.29,8.60,8.61,8.62
38.19,1.78,-6.81,1.78,-6.82,6.82,6.64,8.10,8.59,8.59,8.59
38.57,1.85,-6.72,1.84,-6.74,6.74,6.56,7.91,8.58,8.57,8.57
38.95,1.90,-6.66,1.90,-6.65,6.65,6.48,7.72,8.55,8.55,8.56
39.34,1.95,-6.58,1.96,-6.57,6.57,6.40,7.53,8.52,8.53,8.53
39.74,2.01,-6.49,2.02,-6.49,6.49,6.32,7.35,8.49,8.51,8.50
40.14,2.08,-6.40,2.08,-6.40,6.40,6.25,7.16,8.48,8.48,8.48
