frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.91,-0.44,12.91,-0.44,0.44,0.16,0.20,13.35,13.35,13.35
20.20,12.91,-0.43,12.91,-0.43,0.43,0.17,0.21,13.34,13.34,13.34
20.40,12.91,-0.42,12.91,-0.42,0.42,0.17,0.22,13.33,13.33,13.33
20.61,12.91,-0.41,12.91,-0.41,0.41,0.18,0.22,13.31,13.31,13.32
20.81,12.91,-0.39,12.91,-0.40,0.40,0.18,0.23,13.30,13.30,13.30
21.02,12.91,-0.38,12.90,-0.39,0.39,0.19,0.24,13.29,13.29,13.29
21.23,12.91,-0.37,12.90,-0.38,0.38,0.19,0.25,13.28,13.28,13.27
21.44,12.91,-0.38,12.90,-0.37,0.37,0.20,0.26,13.28,13.27,13.28
21.66,12.90,-0.37,12.90,-0.36,0.36,0.21,0.27,13.26,13.26,13.26
21.87,12.90,-0.37,12.90,-0.35,0.35,0.21,0.28,13.25,13.25,13.26
22.09,12.90,-0.34,12.90,-0.35,0.35,0.22,0.29,13.24,13.24,13.24
22.31,12.90,-0.34,12.89,-0.34,0.34,0.23,0.30,13.24,13.24,13.24
22.54,12.89,-0.34,12.89,-0.34,0.34,0.23,0.32,13.22,13.23,13.23
22.76,12.89,-0.34,12.89,-0.34,0.34,0.24,0.33,13.22,13.22,13.23
22.99,12.89,-0.33,12.89,-0.33,0.33,0.25,0.34,13.22,13.22,13.22
23.22,12.89,-0.32,12.88,-0.33,0.33,0.26,0.35,13.22,13.21,13.20
23.45,12.89,-0.33,12.88,-0.33,0.33,0.26,0.36,13.21,13.21,13.21
23.69,12.88,-0.33,12.88,-0.33,0.33,0.27,0.38,13.20,13.20,13.20
23.92,12.88,-0.31,12.87,-0.32,0.32,0.28,0.39,13.20,13.20,13.19
24.16,12.88,-0.32,12.87,-0.32,0.32,0.29,0.40,13.20,13.20,13.20
24.40,12.87,-0.33,12.87,-0.32,0.32,0.30,0.42,13.19,13.19,13.20
24.65,12.87,-0.33,12.87,-0.33,0.33,0.30,0.43,13.19,13.19,13.20
24.89,12.86,-0.34,12.86,-0.33,0.33,0.31,0.44,13.18,13.19,13.19
25.14,12.86,-0.33,12.86,-0.33,0.33,0.32,0.46,13.18,13.19,13.18
25.39,12.86,-0.32,12.85,-0.33,0.33,0.33,0.47,13.19,13.18,13.18
25.65,12.85,-0.33,12.85,-0.33,0.33,0.34,0.48,13.18,13.18,13.18
25.91,12.85,-0.33,12.85,-0.34,0.34,0.35,0.50,13.18,13.18,13.18
26.16,12.85,-0.34,12.84,-0.34,0.34,0.35,0.51,13.19,13.18,13.19
26.43,12.84,-0.35,12.84,-0.34,0.34,0.36,0.52,13.18,13.18,13.18
26.69,12.84,-0.34,12.83,-0.35,0.35,0.37,0.54,13.18,13.18,13.18
26.96,12.83,-0.35,12.83,-0.35,0.35,0.38,0.55,13.18,13.18,13.18
27.23,12.83,-0.35,12.82,-0.36,0.36,0.39,0.56,13.18,13.18,13.18
27.50,12.82,-0.36,12.82,-0.36,0.36,0.40,0.57,13.18,13.18,13.17
27.77,12.81,-0.38,12.81,-0.37,0.37,0.40,0.58,13.18,13.18,13.18
28.05,12.81,-0.37,12.81,-0.38,0.38,0.41,0.59,13.18,13.18,13.18
28.33,12.80,-0.39,12.80,-0.38,0.38,0.42,0.60,13.18,13.18,13.19
28.62,12.80,-0.39,12.80,-0.39,0.39,0.43,0.61,13.18,13.18,13.18
28.90,12.79,-0.40,12.79,-0.39,0.39,0.43,0.61,13.18,13.18,13.19
29.19,12.79,-0.40,12.78,-0.40,0.40,0.44,0.62,13.18,13.18,13.19
29.48,12.78,-0.41,12.78,-0.40,0.40,0.45,0.62,13.18,13.18,13.18
29.78,12.77,-0.41,12.77,-0.41,0.41,0.45,0.62,13.17,13.18,13.18
30.08,12.77,-0.41,12.76,-0.41,0.41,0.46,0.63,13.18,13.17,13.18
30.38,12.76,-0.41,12.75,-0.42,0.42,0.46,0.63,13.17,13.17,13.16
30.68,12.75,-0.41,12.74,-0.42,0.42,0.47,0.62,13.17,13.16,13.16
30.99,12.74,-0.42,12.73,-0.42,0.42,0.47,0.62,13.16,13.16,13.16
31.30,12.73,-0.43,12.72,-0.43,0.43,0.47,0.62,13.15,13.15,13.15
31.61,12.72,-0.43,12.71,-0.43,0.43,0.48,0.61,13.15,13.14,13.15
31.93,12.70,-0.43,12.70,-0.43,0.43,0.48,0.60,13.13,13.13,13.12
32.24,12.69,-0.44,12.69,-0.43,0.43,0.48,0.59,13.12,13.13,13.13
32.57,12.68,-0.44,12.68,-0.44,0.44,0.48,0.58,13.11,13.12,13.11
32.89,12.67,-0.44,12.67,-0.44,0.44,0.48,0.57,13.11,13.11,13.11
33.22,12.66,-0.45,12.66,-0.45,0.45,0.47,0.56,13.10,13.10,13.10
33.55,12.65,-0.45,12.65,-0.45,0.45,0.47,0.54,13.09,13.09,13.10
33.89,12.64,-0.45,12.64,-0.45,0.45,0.47,0.53,13.09,13.09,13.08
34.23,12.63,-0.44,12.62,-0.45,0.45,0.46,0.51,13.08,13.08,13.07
34.57,12.62,-0.45,12.61,-0.45,0.45,0.46,0.49,13.07,13.07,13.06
34.92,12.61,-0.44,12.61,-0.45,0.45,0.45,0.47,13.06,13.05,13.05
35.27,12.60,-0.46,12.60,-0.45,0.45,0.44,0.45,13.04,13.04,13.06
35.62,12.59,-0.45,12.59,-0.44,0.44,0.43,0.43,13.03,13.03,13.03
35.97,12.58,-0.45,12.58,-0.44,0.44,0.42,0.40,13.01,13.02,13.02
36.33,12.57,-0.44,12.57,-0.43,0.43,0.41,0.38,13.00,13.00,13.01
36.70,12.57,-0.41,12.56,-0.42,0.42,0.40,0.36,12.99,12.98,12.98
37.06,12.56,-0.41,12.55,-0.41,0.41,0.38,0.33,12.97,12.96,12.96
37.43,12.55,-0.40,12.54,-0.40,0.40,0.37,0.31,12.95,12.94,12.94
37.81,12.54,-0.39,12.54,-0.38,0.38,0.35,0.28,12.92,12.92,12.93
38.19,12.54,-0.36,12.54,-0.37,0.37,0.33,0.25,12.90,12.90,12.90
38.57,12.53,-0.35,12.53,-0.34,0.34,0.32,0.23,12.87,12.88,12.88
38.95,12.53,-0.33,12.53,-0.32,0.32,0.30,0.20,12.85,12.85,12.86
39.34,12.53,-0.30,12.54,-0.29,0.29,0.28,0.17,12.82,12.83,12.83
39.74,12.53,-0.27,12.54,-0.27,0.27,0.26,0.15,12.79,12.81,12.80
40.14,12.53,-0.25,12.54,-0.24,0.24,0.24,0.12,12.76,12.78,12.78
40.54,12.55,-0.21,12.55,-0.21,0.21,0.21,0.09,12.75,12.76,12.76
40.94,12.56,-0.17,12.55,-0.18,0.18,0.19,0.06,12.74,12.73,12.73
41.35,12.57,-0.14,12.56,-0.15,0.15,0.17,0.03,12.72,12.71,12.70
41.76,12.58,-0.10,12.56,-0.12,0.12,0.14,0.01,12.70,12.68,12.67
42.18,12.58,-0.08,12.56,-0.09,0.09,0.12,-0.02,12.67,12.65,12.66
42.60,12.58,-0.05,12.57,-0.06,0.06,0.09,-0.05,12.64,12.63,12.63
43.03,12.58,-0.03,12.57,-0.03,0.03,0.06,-0.08,12.61,12.60,12.60
43.46,12.57,-0.00,12.56,-0.01,0.01,0.04,-0.11,12.57,12.57,12.57
43.90,12.56,0.01,12.56,0.02,-0.02,0.01,-0.14,12.54,12.54,12.55
44.33,12.56,0.05,12.56,0.04,-0.04,-0.02,-0.17,12.51,12.51,12.51
44.78,12.55,0.06,12.55,0.07,-0.07,-0.05,-0.19,12.48,12.48,12.48
45.23,12.54,0.08,12.54,0.09,-0.09,-0.08,-0.22,12.45,12.45,12.46
45.68,12.53,0.11,12.53,0.11,-0.11,-0.11,-0.25,12.41,12.41,12.41
46.13,12.52,0.14,12.51,0.14,-0.14,-0.14,-0.28,12.38,12.37,12.37
46.60,12.50,0.16,12.50,0.17,-0.17,-0.17,-0.31,12.33,12.33,12.34
47.06,12.49,0.19,12.49,0.20,-0.20,-0.20,-0.34,12.29,12.29,12.30
47.53,12.47,0.21,12.47,0.23,-0.23,-0.23,-0.37,12.24,12.25,12.26
48.01,12.46,0.26,12.46,0.26,-0.26,-0.26,-0.40,12.20,12.20,12.20
