frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.23,-4.21,4.24,-4.21,4.21,3.92,1.30,8.44,8.44,8.44
20.20,4.26,-4.17,4.26,-4.17,4.17,3.90,1.34,8.43,8.43,8.43
20.40,4.29,-4.13,4.29,-4.13,4.13,3.88,1.38,8.42,8.42,8.42
20.61,4.32,-4.09,4.32,-4.09,4.09,3.86,1.42,8.41,8.41,8.41
20.81,4.34,-4.05,4.35,-4.05,4.05,3.84,1.46,8.40,8.40,8.39
21.02,4.37,-4.01,4.38,-4.01,4.01,3.82,1.50,8.39,8.39,8.38
21.23,4.40,-3.97,4.40,-3.97,3.98,3.80,1.55,8.38,8.38,8.37
21.44,4.44,-3.95,4.43,-3.94,3.94,3.78,1.60,8.37,8.37,8.38
21.66,4.46,-3.90,4.46,-3.91,3.90,3.76,1.64,8.37,8.36,8.36
21.87,4.49,-3.88,4.49,-3.87,3.86,3.73,1.69,8.35,8.35,8.36
22.09,4.51,-3.83,4.52,-3.83,3.83,3.71,1.75,8.34,8.35,8.34
22.31,4.55,-3.79,4.54,-3.79,3.79,3.69,1.80,8.34,8.34,8.33
22.54,4.57,-3.75,4.57,-3.75,3.76,3.67,1.85,8.33,8.33,8.32
22.76,4.59,-3.73,4.60,-3.72,3.72,3.64,1.91,8.32,8.32,8.32
22.99,4.62,-3.69,4.62,-3.69,3.69,3.62,1.96,8.31,8.31,8.31
23.22,4.65,-3.65,4.65,-3.66,3.66,3.60,2.02,8.31,8.31,8.30
23.45,4.67,-3.64,4.68,-3.63,3.63,3.57,2.08,8.30,8.31,8.31
23.69,4.70,-3.60,4.71,-3.60,3.60,3.55,2.14,8.30,8.30,8.30
23.92,4.74,-3.56,4.73,-3.57,3.57,3.53,2.20,8.30,8.30,8.29
24.16,4.76,-3.54,4.76,-3.54,3.54,3.50,2.26,8.30,8.30,8.30
24.40,4.79,-3.52,4.79,-3.51,3.51,3.48,2.33,8.29,8.30,8.30
24.65,4.81,-3.48,4.82,-3.48,3.48,3.45,2.39,8.29,8.29,8.29
24.89,4.85,-3.45,4.84,-3.45,3.45,3.43,2.45,8.29,8.29,8.29
25.14,4.87,-3.41,4.87,-3.41,3.42,3.41,2.52,8.29,8.29,8.28
25.39,4.90,-3.39,4.90,-3.38,3.39,3.38,2.59,8.28,8.29,8.28
25.65,4.92,-3.36,4.93,-3.36,3.36,3.36,2.65,8.28,8.29,8.28
25.91,4.95,-3.33,4.95,-3.33,3.33,3.33,2.72,8.29,8.28,8.28
26.16,4.98,-3.31,4.98,-3.31,3.30,3.31,2.78,8.29,8.28,8.29
26.43,5.00,-3.28,5.01,-3.28,3.28,3.28,2.84,8.28,8.28,8.28
26.69,5.03,-3.25,5.03,-3.25,3.25,3.25,2.91,8.28,8.28,8.28
26.96,5.06,-3.22,5.06,-3.22,3.22,3.23,2.97,8.29,8.28,8.28
27.23,5.08,-3.20,5.09,-3.20,3.20,3.20,3.03,8.28,8.29,8.28
27.50,5.11,-3.17,5.11,-3.17,3.17,3.18,3.09,8.29,8.29,8.28
27.77,5.14,-3.15,5.14,-3.15,3.15,3.15,3.14,8.29,8.29,8.29
28.05,5.16,-3.12,5.17,-3.12,3.12,3.12,3.20,8.29,8.29,8.28
28.33,5.19,-3.10,5.19,-3.10,3.10,3.10,3.24,8.29,8.29,8.29
28.62,5.22,-3.07,5.22,-3.07,3.07,3.07,3.29,8.30,8.30,8.29
28.90,5.24,-3.06,5.25,-3.05,3.05,3.04,3.33,8.30,8.30,8.30
29.19,5.27,-3.03,5.27,-3.03,3.03,3.01,3.37,8.30,8.30,8.30
29.48,5.29,-3.00,5.29,-3.00,3.00,2.99,3.41,8.29,8.29,8.29
29.78,5.31,-2.98,5.32,-2.97,2.97,2.96,3.44,8.29,8.29,8.29
30.08,5.34,-2.95,5.34,-2.95,2.95,2.93,3.46,8.29,8.29,8.29
30.38,5.36,-2.91,5.36,-2.92,2.92,2.90,3.48,8.28,8.28,8.27
30.68,5.38,-2.89,5.39,-2.89,2.89,2.88,3.49,8.27,8.28,8.27
30.99,5.41,-2.86,5.41,-2.86,2.86,2.85,3.50,8.28,8.27,8.27
31.30,5.43,-2.84,5.43,-2.83,2.83,2.82,3.50,8.27,8.27,8.27
31.61,5.45,-2.81,5.46,-2.81,2.80,2.79,3.49,8.26,8.26,8.26
31.93,5.47,-2.77,5.47,-2.78,2.78,2.76,3.48,8.25,8.25,8.24
32.24,5.49,-2.76,5.49,-2.75,2.75,2.73,3.47,8.25,8.25,8.25
32.57,5.51,-2.72,5.51,-2.72,2.73,2.71,3.45,8.24,8.24,8.23
32.89,5.53,-2.70,5.54,-2.70,2.70,2.68,3.42,8.23,8.23,8.23
33.22,5.55,-2.67,5.55,-2.67,2.67,2.65,3.39,8.23,8.23,8.22
33.55,5.57,-2.65,5.57,-2.65,2.64,2.62,3.35,8.22,8.22,8.22
33.89,5.58,-2.63,5.59,-2.62,2.62,2.59,3.31,8.20,8.21,8.21
34.23,5.60,-2.59,5.61,-2.59,2.59,2.56,3.27,8.20,8.20,8.19
34.57,5.62,-2.57,5.63,-2.56,2.57,2.53,3.22,8.19,8.19,8.19
34.92,5.65,-2.52,5.65,-2.54,2.54,2.50,3.17,8.19,8.19,8.17
35.27,5.66,-2.53,5.67,-2.51,2.51,2.47,3.11,8.18,8.18,8.19
35.62,5.68,-2.48,5.69,-2.49,2.48,2.44,3.06,8.17,8.17,8.16
35.97,5.70,-2.46,5.70,-2.46,2.45,2.41,3.00,8.16,8.15,8.16
36.33,5.71,-2.43,5.72,-2.42,2.42,2.38,2.93,8.14,8.14,8.14
36.70,5.73,-2.39,5.73,-2.39,2.39,2.35,2.87,8.13,8.12,8.12
37.06,5.74,-2.36,5.75,-2.36,2.36,2.32,2.81,8.10,8.10,8.10
37.43,5.76,-2.32,5.76,-2.32,2.32,2.29,2.74,8.09,8.09,8.08
37.81,5.77,-2.30,5.78,-2.29,2.29,2.26,2.68,8.06,8.07,8.07
38.19,5.79,-2.25,5.79,-2.25,2.25,2.23,2.61,8.05,8.05,8.04
38.57,5.80,-2.22,5.81,-2.22,2.22,2.20,2.54,8.02,8.03,8.02
38.95,5.82,-2.19,5.82,-2.18,2.19,2.17,2.48,8.01,8.01,8.01
39.34,5.83,-2.15,5.83,-2.15,2.15,2.14,2.41,7.99,7.98,7.98
39.74,5.83,-2.12,5.84,-2.12,2.12,2.10,2.35,7.95,7.96,7.95
