frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.35,-3.88,6.33,-3.90,3.90,3.55,1.45,10.24,10.23,10.23
20.20,6.33,-3.89,6.32,-3.90,3.90,3.57,1.50,10.23,10.22,10.22
20.40,6.31,-3.90,6.30,-3.90,3.90,3.59,1.54,10.21,10.21,10.21
20.61,6.30,-3.90,6.29,-3.90,3.90,3.60,1.59,10.20,10.19,10.20
20.81,6.28,-3.90,6.28,-3.90,3.90,3.62,1.64,10.17,10.18,10.18
21.02,6.28,-3.89,6.28,-3.89,3.89,3.63,1.69,10.17,10.17,10.17
21.23,6.27,-3.89,6.27,-3.89,3.89,3.64,1.74,10.15,10.16,10.15
21.44,6.27,-3.90,6.27,-3.88,3.88,3.65,1.80,10.14,10.15,10.16
21.66,6.27,-3.88,6.28,-3.86,3.86,3.66,1.85,10.13,10.14,10.14
21.87,6.28,-3.87,6.28,-3.85,3.85,3.67,1.91,10.12,10.13,10.14
22.09,6.29,-3.83,6.29,-3.83,3.83,3.68,1.97,10.12,10.12,10.12
22.31,6.30,-3.82,6.30,-3.81,3.81,3.68,2.03,10.11,10.12,10.12
22.54,6.32,-3.79,6.32,-3.79,3.79,3.69,2.09,10.10,10.11,10.11
22.76,6.34,-3.77,6.35,-3.76,3.76,3.69,2.15,10.09,10.10,10.11
22.99,6.37,-3.73,6.37,-3.73,3.73,3.69,2.22,10.09,10.10,10.10
23.22,6.40,-3.69,6.40,-3.70,3.70,3.69,2.29,10.09,10.09,10.08
23.45,6.43,-3.67,6.43,-3.66,3.66,3.69,2.35,10.09,10.09,10.09
23.69,6.45,-3.63,6.45,-3.63,3.63,3.69,2.42,10.08,10.08,10.08
23.92,6.49,-3.58,6.48,-3.60,3.60,3.68,2.49,10.08,10.08,10.07
24.16,6.52,-3.56,6.51,-3.57,3.57,3.68,2.57,10.08,10.08,10.08
24.40,6.55,-3.53,6.53,-3.54,3.54,3.67,2.64,10.09,10.07,10.08
24.65,6.58,-3.50,6.55,-3.52,3.52,3.66,2.71,10.09,10.07,10.08
24.89,6.60,-3.48,6.57,-3.50,3.50,3.65,2.79,10.09,10.07,10.07
25.14,6.61,-3.46,6.59,-3.48,3.48,3.64,2.86,10.08,10.07,10.06
25.39,6.62,-3.45,6.60,-3.46,3.46,3.63,2.94,10.08,10.06,10.06
25.65,6.63,-3.43,6.62,-3.44,3.44,3.61,3.02,10.07,10.06,10.06
25.91,6.64,-3.42,6.63,-3.43,3.43,3.60,3.09,10.06,10.06,10.06
26.16,6.64,-3.43,6.65,-3.41,3.41,3.58,3.17,10.05,10.06,10.07
26.43,6.65,-3.42,6.66,-3.40,3.40,3.56,3.25,10.04,10.06,10.06
26.69,6.66,-3.41,6.68,-3.38,3.38,3.55,3.32,10.04,10.06,10.06
26.96,6.68,-3.38,6.70,-3.36,3.36,3.52,3.39,10.04,10.06,10.06
27.23,6.70,-3.36,6.72,-3.34,3.34,3.50,3.46,10.04,10.06,10.06
27.50,6.73,-3.33,6.74,-3.32,3.32,3.48,3.53,10.05,10.06,10.05
27.77,6.76,-3.31,6.77,-3.30,3.30,3.46,3.60,10.05,10.06,10.06
28.05,6.80,-3.26,6.79,-3.27,3.27,3.43,3.66,10.07,10.06,10.06
28.33,6.83,-3.24,6.82,-3.24,3.24,3.40,3.72,10.07,10.06,10.07
28.62,6.85,-3.21,6.84,-3.22,3.22,3.38,3.78,10.07,10.06,10.06
28.90,6.88,-3.19,6.87,-3.20,3.20,3.35,3.83,10.07,10.06,10.07
29.19,6.91,-3.16,6.89,-3.17,3.17,3.32,3.87,10.08,10.06,10.07
29.48,6.93,-3.14,6.90,-3.16,3.16,3.29,3.91,10.08,10.06,10.06
29.78,6.95,-3.12,6.92,-3.14,3.14,3.26,3.95,10.08,10.06,10.06
30.08,6.96,-3.10,6.93,-3.12,3.12,3.22,3.97,10.08,10.05,10.06
30.38,6.96,-3.09,6.94,-3.11,3.11,3.19,4.00,10.06,10.05,10.04
30.68,6.96,-3.08,6.95,-3.10,3.10,3.16,4.01,10.05,10.04,10.04
30.99,6.95,-3.09,6.95,-3.08,3.08,3.12,4.02,10.03,10.04,10.04
31.30,6.95,-3.09,6.96,-3.07,3.07,3.09,4.02,10.01,10.03,10.03
31.61,6.95,-3.08,6.97,-3.05,3.05,3.05,4.01,9.99,10.02,10.03
31.93,6.96,-3.05,6.99,-3.03,3.03,3.01,4.00,9.98,10.01,10.00
32.24,6.98,-3.03,7.00,-3.00,3.00,2.97,3.98,9.98,10.01,10.01
32.57,7.01,-2.99,7.02,-2.98,2.98,2.94,3.96,9.98,10.00,9.99
32.89,7.04,-2.95,7.04,-2.95,2.95,2.90,3.92,9.98,9.99,9.99
33.22,7.06,-2.93,7.07,-2.92,2.92,2.86,3.88,9.97,9.98,9.98
33.55,7.10,-2.88,7.09,-2.88,2.88,2.82,3.84,9.98,9.97,9.98
33.89,7.13,-2.84,7.12,-2.84,2.84,2.78,3.79,9.97,9.97,9.96
34.23,7.16,-2.79,7.15,-2.81,2.81,2.74,3.73,9.96,9.96,9.95
34.57,7.19,-2.76,7.18,-2.77,2.77,2.70,3.67,9.95,9.95,9.94
34.92,7.22,-2.71,7.20,-2.73,2.73,2.65,3.61,9.95,9.93,9.93
35.27,7.24,-2.70,7.22,-2.70,2.70,2.61,3.54,9.94,9.92,9.94
35.62,7.26,-2.66,7.23,-2.68,2.68,2.57,3.47,9.93,9.91,9.91
35.97,7.28,-2.63,7.25,-2.65,2.65,2.53,3.40,9.92,9.90,9.90
36.33,7.29,-2.60,7.26,-2.62,2.62,2.48,3.32,9.91,9.88,9.89
36.70,7.29,-2.57,7.26,-2.60,2.60,2.44,3.24,9.88,9.86,9.86
37.06,7.28,-2.57,7.27,-2.57,2.57,2.40,3.16,9.85,9.84,9.84
37.43,7.27,-2.56,7.28,-2.55,2.55,2.35,3.08,9.81,9.82,9.82
37.81,7.27,-2.54,7.28,-2.52,2.52,2.31,3.00,9.78,9.80,9.81
38.19,7.27,-2.51,7.29,-2.49,2.49,2.27,2.92,9.75,9.78,9.78
38.57,7.28,-2.48,7.30,-2.46,2.46,2.22,2.84,9.73,9.76,9.76
38.95,7.30,-2.44,7.32,-2.42,2.42,2.18,2.75,9.71,9.73,9.74
39.34,7.32,-2.39,7.33,-2.38,2.38,2.13,2.67,9.69,9.71,9.71
39.74,7.35,-2.33,7.35,-2.33,2.33,2.09,2.59,9.68,9.69,9.68
40.14,7.37,-2.29,7.38,-2.29,2.29,2.05,2.51,9.65,9.66,9.66
40.54,7.40,-2.24,7.40,-2.23,2.23,2.00,2.43,9.63,9.64,9.64
40.94,7.44,-2.17,7.43,-2.18,2.18,1.96,2.35,9.62,9.61,9.61
41.35,7.47,-2.12,7.46,-2.13,2.13,1.91,2.28,9.59,9.59,9.58
