frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.25,-6.81,2.25,-6.81,6.81,6.77,2.93,9.06,9.06,9.06
20.20,2.25,-6.80,2.25,-6.80,6.80,6.76,3.02,9.05,9.05,9.05
20.40,2.25,-6.79,2.25,-6.79,6.79,6.75,3.10,9.04,9.04,9.04
20.61,2.25,-6.78,2.25,-6.78,6.78,6.74,3.19,9.03,9.03,9.03
20.81,2.25,-6.76,2.25,-6.76,6.77,6.73,3.28,9.02,9.02,9.01
21.02,2.25,-6.75,2.25,-6.75,6.76,6.72,3.37,9.01,9.01,9.00
21.23,2.25,-6.74,2.25,-6.74,6.75,6.71,3.47,9.00,9.00,8.99
21.44,2.25,-6.75,2.25,-6.74,6.74,6.70,3.57,8.99,8.99,9.00
21.66,2.25,-6.73,2.25,-6.73,6.73,6.69,3.67,8.98,8.98,8.98
21.87,2.25,-6.73,2.25,-6.72,6.72,6.68,3.77,8.97,8.97,8.98
22.09,2.25,-6.71,2.25,-6.71,6.71,6.67,3.88,8.96,8.96,8.96
22.31,2.25,-6.70,2.25,-6.70,6.70,6.66,3.99,8.95,8.95,8.95
22.54,2.25,-6.69,2.25,-6.69,6.70,6.65,4.10,8.95,8.95,8.94
22.76,2.25,-6.69,2.25,-6.68,6.69,6.64,4.22,8.94,8.94,8.94
22.99,2.25,-6.68,2.25,-6.68,6.69,6.63,4.33,8.94,8.94,8.93
23.22,2.24,-6.68,2.24,-6.69,6.69,6.62,4.46,8.93,8.93,8.92
23.45,2.23,-6.70,2.23,-6.69,6.69,6.60,4.58,8.92,8.92,8.93
23.69,2.22,-6.70,2.23,-6.69,6.69,6.59,4.71,8.91,8.91,8.92
23.92,2.23,-6.68,2.23,-6.69,6.68,6.58,4.83,8.91,8.91,8.91
24.16,2.24,-6.68,2.24,-6.68,6.67,6.57,4.97,8.91,8.91,8.92
24.40,2.25,-6.67,2.25,-6.66,6.66,6.56,5.10,8.91,8.91,8.92
24.65,2.27,-6.64,2.27,-6.64,6.64,6.55,5.24,8.91,8.91,8.91
24.89,2.29,-6.62,2.29,-6.61,6.61,6.53,5.37,8.90,8.91,8.91
25.14,2.32,-6.58,2.32,-6.58,6.59,6.52,5.51,8.91,8.91,8.90
25.39,2.35,-6.55,2.35,-6.55,6.56,6.51,5.66,8.91,8.90,8.90
25.65,2.38,-6.52,2.38,-6.52,6.52,6.50,5.80,8.90,8.90,8.90
25.91,2.41,-6.49,2.41,-6.49,6.49,6.49,5.94,8.90,8.90,8.90
26.16,2.44,-6.47,2.44,-6.46,6.46,6.47,6.08,8.90,8.90,8.91
26.43,2.47,-6.43,2.47,-6.43,6.43,6.46,6.22,8.90,8.90,8.90
26.69,2.50,-6.40,2.50,-6.40,6.40,6.45,6.37,8.90,8.90,8.90
