frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.65,-4.30,10.65,-4.30,4.30,4.19,1.80,14.95,14.95,14.95
20.20,10.63,-4.31,10.63,-4.31,4.31,4.18,1.85,14.94,14.94,14.94
20.40,10.61,-4.32,10.62,-4.32,4.32,4.18,1.90,14.93,14.93,14.93
20.61,10.60,-4.32,10.60,-4.32,4.32,4.17,1.96,14.92,14.92,14.92
20.81,10.59,-4.31,10.59,-4.32,4.32,4.16,2.02,14.92,14.91,14.90
21.02,10.58,-4.31,10.58,-4.32,4.32,4.15,2.08,14.90,14.90,14.89
21.23,10.57,-4.31,10.58,-4.31,4.32,4.14,2.14,14.89,14.89,14.88
21.44,10.57,-4.32,10.57,-4.31,4.31,4.13,2.21,14.88,14.88,14.89
21.66,10.58,-4.29,10.58,-4.30,4.30,4.12,2.27,14.88,14.87,14.87
21.87,10.58,-4.29,10.58,-4.29,4.28,4.11,2.34,14.86,14.87,14.87
22.09,10.59,-4.26,10.59,-4.26,4.26,4.10,2.41,14.86,14.86,14.85
22.31,10.60,-4.24,10.60,-4.24,4.24,4.09,2.48,14.84,14.84,14.84
22.54,10.62,-4.21,10.62,-4.21,4.21,4.08,2.55,14.84,14.84,14.83
22.76,10.64,-4.19,10.64,-4.18,4.18,4.07,2.63,14.83,14.83,14.83
22.99,10.67,-4.15,10.67,-4.15,4.15,4.06,2.70,14.83,14.82,14.82
23.22,10.70,-4.11,10.70,-4.12,4.12,4.05,2.78,14.82,14.82,14.81
23.45,10.73,-4.09,10.73,-4.08,4.09,4.04,2.86,14.82,14.82,14.82
23.69,10.76,-4.05,10.76,-4.05,4.05,4.03,2.94,14.82,14.82,14.81
23.92,10.79,-4.01,10.79,-4.02,4.02,4.02,3.02,14.81,14.81,14.80
24.16,10.82,-3.99,10.82,-3.99,3.99,4.00,3.11,14.81,14.81,14.81
24.40,10.85,-3.96,10.85,-3.96,3.95,3.99,3.19,14.81,14.81,14.81
24.65,10.88,-3.92,10.88,-3.93,3.92,3.98,3.28,14.81,14.80,14.80
24.89,10.90,-3.90,10.90,-3.90,3.90,3.97,3.37,14.80,14.80,14.80
25.14,10.92,-3.87,10.92,-3.87,3.88,3.96,3.46,14.80,14.80,14.79
25.39,10.94,-3.85,10.94,-3.85,3.86,3.94,3.55,14.80,14.80,14.79
25.65,10.95,-3.84,10.95,-3.84,3.85,3.93,3.64,14.80,14.81,14.79
25.91,10.96,-3.83,10.96,-3.84,3.85,3.92,3.73,14.81,14.80,14.79
26.16,10.95,-3.85,10.95,-3.84,3.84,3.91,3.82,14.80,14.80,14.80
26.43,10.94,-3.85,10.95,-3.85,3.85,3.89,3.90,14.79,14.79,14.79
26.69,10.94,-3.85,10.94,-3.86,3.85,3.88,3.99,14.79,14.79,14.79
26.96,10.93,-3.86,10.94,-3.86,3.85,3.87,4.08,14.79,14.79,14.79
27.23,10.93,-3.86,10.93,-3.86,3.86,3.85,4.16,14.79,14.79,14.79
27.50,10.93,-3.86,10.93,-3.86,3.86,3.84,4.24,14.80,14.79,14.79
27.77,10.93,-3.87,10.93,-3.87,3.87,3.82,4.32,14.80,14.80,14.80
28.05,10.93,-3.86,10.93,-3.87,3.87,3.81,4.39,14.81,14.81,14.79
28.33,10.93,-3.87,10.93,-3.87,3.88,3.79,4.46,14.81,14.81,14.80
28.62,10.93,-3.87,10.93,-3.88,3.89,3.78,4.53,14.82,14.81,14.80
28.90,10.92,-3.89,10.92,-3.89,3.89,3.76,4.59,14.81,14.81,14.81
29.19,10.91,-3.90,10.92,-3.89,3.89,3.75,4.65,14.80,14.81,14.81
29.48,10.91,-3.89,10.91,-3.90,3.89,3.73,4.69,14.80,14.80,14.80
29.78,10.91,-3.89,10.91,-3.89,3.88,3.72,4.74,14.79,14.79,14.80
30.08,10.92,-3.88,10.92,-3.87,3.87,3.70,4.77,14.79,14.79,14.80
30.38,10.94,-3.84,10.94,-3.85,3.85,3.68,4.80,14.79,14.79,14.78
30.68,10.96,-3.82,10.96,-3.82,3.83,3.67,4.82,14.79,14.79,14.78
30.99,10.99,-3.79,10.99,-3.80,3.80,3.65,4.84,14.79,14.78,14.78
31.30,11.01,-3.77,11.01,-3.77,3.76,3.63,4.84,14.77,14.78,14.78
31.61,11.04,-3.73,11.04,-3.73,3.72,3.62,4.84,14.77,14.77,14.77
31.93,11.07,-3.68,11.08,-3.69,3.69,3.60,4.83,14.76,14.76,14.75
32.24,11.11,-3.65,11.11,-3.65,3.65,3.58,4.82,14.76,14.76,14.76
32.57,11.14,-3.60,11.14,-3.60,3.61,3.56,4.79,14.75,14.75,14.74
32.89,11.17,-3.57,11.17,-3.57,3.57,3.54,4.76,14.75,14.75,14.74
33.22,11.20,-3.53,11.20,-3.54,3.54,3.53,4.72,14.74,14.74,14.73
33.55,11.22,-3.51,11.22,-3.51,3.50,3.51,4.68,14.73,14.73,14.73
33.89,11.24,-3.48,11.24,-3.48,3.48,3.49,4.63,14.72,14.72,14.72
34.23,11.26,-3.44,11.26,-3.45,3.46,3.47,4.58,14.72,14.72,14.70
34.57,11.27,-3.43,11.27,-3.43,3.44,3.45,4.52,14.71,14.71,14.70
34.92,11.28,-3.40,11.28,-3.41,3.42,3.43,4.45,14.71,14.71,14.68
35.27,11.28,-3.42,11.28,-3.41,3.41,3.41,4.38,14.70,14.69,14.70
35.62,11.27,-3.40,11.27,-3.41,3.40,3.39,4.31,14.68,14.68,14.67
35.97,11.26,-3.41,11.27,-3.41,3.39,3.37,4.24,14.65,14.66,14.67
36.33,11.26,-3.39,11.26,-3.39,3.38,3.35,4.16,14.64,14.64,14.65
36.70,11.26,-3.37,11.26,-3.37,3.37,3.32,4.08,14.63,14.63,14.63
37.06,11.26,-3.35,11.26,-3.35,3.36,3.30,4.01,14.62,14.62,14.61
37.43,11.26,-3.33,11.26,-3.33,3.34,3.28,3.93,14.60,14.60,14.59
37.81,11.26,-3.32,11.26,-3.31,3.32,3.26,3.85,14.58,14.58,14.58
38.19,11.26,-3.29,11.26,-3.30,3.30,3.24,3.77,14.56,14.56,14.55
38.57,11.26,-3.27,11.26,-3.28,3.27,3.21,3.68,14.54,14.54,14.53
38.95,11.26,-3.26,11.26,-3.25,3.25,3.19,3.61,14.51,14.51,14.52
39.34,11.26,-3.23,11.26,-3.23,3.23,3.17,3.53,14.49,14.49,14.49
39.74,11.26,-3.20,11.26,-3.21,3.21,3.14,3.45,14.47,14.47,14.46
40.14,11.26,-3.18,11.26,-3.18,3.18,3.12,3.37,14.45,14.45,14.44
40.54,11.26,-3.16,11.26,-3.16,3.16,3.09,3.30,14.43,14.43,14.42
40.94,11.26,-3.13,11.26,-3.14,3.14,3.07,3.22,14.40,14.40,14.39
41.35,11.26,-3.12,11.26,-3.12,3.12,3.04,3.15,14.38,14.38,14.38
41.76,11.26,-3.09,11.26,-3.10,3.10,3.02,3.08,14.36,14.36,14.35
42.18,11.26,-3.08,11.26,-3.08,3.07,2.99,3.02,14.34,14.34,14.34
42.60,11.26,-3.05,11.26,-3.05,3.05,2.97,2.95,14.31,14.31,14.31
43.03,11.26,-3.03,11.26,-3.03,3.03,2.94,2.89,14.29,14.29,14.29
43.46,11.26,-2.99,11.26,-3.00,3.00,2.91,2.82,14.26,14.26,14.25
43.90,11.26,-2.97,11.26,-2.97,2.98,2.88,2.76,14.24,14.24,14.23
44.33,11.26,-2.94,11.26,-2.95,2.95,2.86,2.71,14.21,14.21,14.20
44.78,11.26,-2.92,11.26,-2.92,2.92,2.83,2.65,14.18,14.18,14.18
45.23,11.26,-2.90,11.26,-2.89,2.89,2.80,2.60,14.15,14.15,14.16
45.68,11.26,-2.85,11.26,-2.86,2.86,2.77,2.55,14.12,14.12,14.11
46.13,11.26,-2.82,11.26,-2.82,2.82,2.74,2.50,14.08,14.08,14.08
46.60,11.26,-2.78,11.26,-2.78,2.79,2.71,2.45,14.05,14.05,14.04
47.06,11.26,-2.75,11.26,-2.75,2.75,2.68,2.41,14.01,14.01,14.01
47.53,11.26,-2.71,11.26,-2.71,2.71,2.65,2.36,13.97,13.97,13.97
48.01,11.26,-2.66,11.26,-2.66,2.66,2.62,2.32,13.93,13.93,13.92
48.49,11.26,-2.62,11.26,-2.62,2.62,2.59,2.28,13.88,13.88,13.88
48.97,11.26,-2.57,11.26,-2.58,2.58,2.56,2.25,13.84,13.84,13.83
49.46,11.26,-2.54,11.26,-2.53,2.54,2.53,2.21,13.80,13.80,13.80
49.96,11.26,-2.48,11.26,-2.49,2.49,2.49,2.18,13.76,13.76,13.74
50.46,11.26,-2.45,11.26,-2.45,2.45,2.46,2.14,13.71,13.71,13.71
50.96,11.26,-2.41,11.26,-2.41,2.41,2.43,2.11,13.67,13.67,13.67
