frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.35,-0.44,4.35,-0.44,0.44,0.27,0.21,4.78,4.78,4.78
20.20,4.35,-0.43,4.35,-0.43,0.43,0.27,0.22,4.77,4.77,4.77
20.40,4.35,-0.42,4.35,-0.42,0.41,0.27,0.23,4.76,4.76,4.76
20.61,4.35,-0.41,4.35,-0.40,0.40,0.28,0.23,4.75,4.75,4.75
20.81,4.35,-0.39,4.35,-0.39,0.39,0.28,0.24,4.74,4.74,4.73
21.02,4.35,-0.38,4.35,-0.38,0.38,0.28,0.24,4.73,4.73,4.72
21.23,4.35,-0.37,4.35,-0.37,0.37,0.29,0.25,4.72,4.72,4.71
21.44,4.35,-0.38,4.35,-0.37,0.36,0.29,0.26,4.71,4.71,4.72
21.66,4.35,-0.36,4.35,-0.36,0.36,0.29,0.26,4.70,4.70,4.70
21.87,4.35,-0.36,4.35,-0.35,0.35,0.29,0.27,4.69,4.69,4.70
22.09,4.35,-0.34,4.35,-0.34,0.34,0.30,0.28,4.68,4.68,4.68
22.31,4.35,-0.33,4.35,-0.33,0.33,0.30,0.29,4.68,4.68,4.67
22.54,4.35,-0.32,4.35,-0.32,0.32,0.30,0.29,4.67,4.67,4.66
22.76,4.35,-0.32,4.35,-0.31,0.31,0.30,0.30,4.66,4.66,4.66
22.99,4.35,-0.31,4.35,-0.31,0.31,0.31,0.31,4.65,4.65,4.65
23.22,4.35,-0.30,4.35,-0.30,0.30,0.31,0.32,4.65,4.65,4.64
23.45,4.35,-0.31,4.35,-0.30,0.30,0.31,0.33,4.65,4.65,4.65
23.69,4.35,-0.30,4.35,-0.30,0.30,0.31,0.34,4.64,4.64,4.64
23.92,4.35,-0.29,4.35,-0.30,0.29,0.31,0.34,4.64,4.64,4.63
24.16,4.35,-0.30,4.35,-0.29,0.29,0.32,0.35,4.64,4.64,4.64
24.40,4.35,-0.30,4.35,-0.29,0.29,0.32,0.36,4.64,4.64,4.64
24.65,4.35,-0.29,4.35,-0.29,0.29,0.32,0.37,4.63,4.63,4.63
24.89,4.35,-0.29,4.35,-0.28,0.28,0.32,0.38,4.63,4.63,4.63
25.14,4.35,-0.28,4.35,-0.28,0.28,0.32,0.39,4.63,4.63,4.62
25.39,4.35,-0.28,4.35,-0.28,0.28,0.32,0.39,4.63,4.63,4.62
25.65,4.35,-0.28,4.35,-0.28,0.28,0.32,0.40,4.63,4.63,4.62
25.91,4.35,-0.28,4.35,-0.28,0.28,0.32,0.41,4.62,4.62,4.62
26.16,4.35,-0.29,4.35,-0.28,0.28,0.32,0.42,4.62,4.62,4.63
26.43,4.35,-0.28,4.35,-0.28,0.28,0.32,0.42,4.62,4.62,4.62
