frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.63,-5.16,3.63,-5.16,5.16,3.66,1.98,8.79,8.79,8.79
20.20,3.65,-5.13,3.65,-5.13,5.13,3.73,2.04,8.78,8.78,8.78
20.40,3.67,-5.10,3.67,-5.09,5.09,3.79,2.10,8.76,8.77,8.77
20.61,3.70,-5.06,3.69,-5.06,5.06,3.86,2.16,8.76,8.75,8.76
20.81,3.72,-5.02,3.72,-5.03,5.03,3.93,2.22,8.74,8.74,8.74
21.02,3.74,-4.99,3.74,-4.99,4.99,3.99,2.28,8.73,8.73,8.72
21.23,3.76,-4.96,3.76,-4.96,4.96,4.06,2.35,8.72,8.72,8.71
21.44,3.78,-4.94,3.78,-4.93,4.93,4.13,2.42,8.71,8.71,8.72
21.66,3.81,-4.89,3.80,-4.90,4.90,4.19,2.49,8.70,8.70,8.70
21.87,3.83,-4.87,3.83,-4.87,4.87,4.25,2.56,8.69,8.69,8.70
22.09,3.85,-4.83,3.85,-4.84,4.84,4.31,2.63,8.68,8.68,8.68
22.31,3.87,-4.81,3.87,-4.81,4.81,4.37,2.71,8.68,8.68,8.68
22.54,3.89,-4.78,3.89,-4.78,4.78,4.43,2.79,8.67,8.67,8.67
22.76,3.92,-4.75,3.91,-4.75,4.75,4.49,2.87,8.67,8.66,8.67
22.99,3.94,-4.72,3.94,-4.72,4.72,4.54,2.95,8.66,8.66,8.66
23.22,3.96,-4.69,3.96,-4.70,4.70,4.59,3.03,8.65,8.65,8.64
23.45,3.98,-4.67,3.98,-4.67,4.67,4.64,3.12,8.65,8.65,8.65
23.69,4.00,-4.64,4.00,-4.64,4.64,4.69,3.21,8.64,8.64,8.64
23.92,4.02,-4.61,4.02,-4.62,4.62,4.73,3.30,8.63,8.64,8.63
24.16,4.04,-4.60,4.04,-4.59,4.59,4.77,3.39,8.63,8.64,8.64
24.40,4.07,-4.57,4.06,-4.57,4.57,4.81,3.48,8.64,8.63,8.64
24.65,4.09,-4.55,4.09,-4.55,4.55,4.84,3.57,8.63,8.63,8.64
24.89,4.11,-4.53,4.11,-4.52,4.52,4.87,3.67,8.63,8.63,8.63
25.14,4.13,-4.49,4.13,-4.50,4.50,4.89,3.76,8.63,8.63,8.62
25.39,4.15,-4.47,4.15,-4.48,4.48,4.92,3.86,8.63,8.62,8.62
25.65,4.17,-4.45,4.16,-4.46,4.46,4.93,3.95,8.63,8.62,8.62
25.91,4.18,-4.44,4.18,-4.44,4.44,4.95,4.05,8.62,8.62,8.62
