frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,22.13,10.42,22.13,10.42,-10.42,-10.53,-4.61,11.71,11.71,11.71
20.20,22.15,10.45,22.15,10.45,-10.45,-10.53,-4.72,11.70,11.70,11.70
20.40,22.16,10.47,22.16,10.48,-10.48,-10.52,-4.85,11.68,11.68,11.69
20.61,22.18,10.50,22.17,10.50,-10.50,-10.51,-4.97,11.68,11.67,11.68
20.81,22.19,10.53,22.18,10.53,-10.52,-10.50,-5.10,11.67,11.66,11.66
21.02,22.19,10.54,22.19,10.54,-10.54,-10.49,-5.24,11.65,11.65,11.65
21.23,22.20,10.56,22.19,10.55,-10.55,-10.48,-5.37,11.65,11.64,11.64
21.44,22.20,10.55,22.19,10.56,-10.56,-10.46,-5.51,11.64,11.63,11.65
21.66,22.19,10.56,22.19,10.56,-10.57,-10.45,-5.66,11.62,11.62,11.63
21.87,22.19,10.56,22.19,10.56,-10.57,-10.43,-5.80,11.62,11.62,11.63
22.09,22.18,10.57,22.18,10.57,-10.57,-10.41,-5.96,11.61,11.61,11.61
22.31,22.17,10.57,22.17,10.57,-10.56,-10.40,-6.11,11.60,11.60,11.60
22.54,22.15,10.56,22.15,10.56,-10.55,-10.38,-6.27,11.60,11.60,11.59
22.76,22.13,10.54,22.12,10.54,-10.54,-10.36,-6.44,11.59,11.59,11.59
22.99,22.10,10.52,22.10,10.52,-10.52,-10.34,-6.60,11.58,11.58,11.58
23.22,22.07,10.50,22.07,10.50,-10.50,-10.32,-6.77,11.57,11.58,11.57
23.45,22.05,10.47,22.04,10.47,-10.47,-10.30,-6.95,11.58,11.57,11.58
23.69,22.01,10.44,22.01,10.44,-10.44,-10.28,-7.13,11.56,11.57,11.57
23.92,21.98,10.42,21.98,10.41,-10.42,-10.26,-7.31,11.56,11.56,11.56
24.16,21.95,10.38,21.95,10.39,-10.40,-10.25,-7.50,11.55,11.55,11.57
24.40,21.93,10.36,21.93,10.36,-10.37,-10.23,-7.69,11.55,11.55,11.57
24.65,21.91,10.35,21.91,10.35,-10.36,-10.21,-7.88,11.55,11.55,11.56
24.89,21.90,10.34,21.89,10.34,-10.34,-10.19,-8.08,11.56,11.56,11.56
25.14,21.88,10.33,21.88,10.33,-10.32,-10.17,-8.28,11.56,11.56,11.55
25.39,21.86,10.31,21.86,10.31,-10.31,-10.16,-8.48,11.55,11.55,11.55
25.65,21.84,10.29,21.84,10.29,-10.29,-10.14,-8.69,11.55,11.55,11.55
25.91,21.82,10.27,21.82,10.27,-10.27,-10.13,-8.90,11.55,11.55,11.55
26.16,21.80,10.24,21.80,10.25,-10.25,-10.11,-9.10,11.55,11.55,11.56
26.43,21.78,10.23,21.78,10.23,-10.23,-10.10,-9.31,11.55,11.55,11.55
26.69,21.76,10.21,21.76,10.21,-10.20,-10.08,-9.52,11.56,11.55,11.55
26.96,21.73,10.18,21.73,10.18,-10.18,-10.07,-9.73,11.55,11.55,11.55
27.23,21.70,10.15,21.70,10.15,-10.15,-10.05,-9.93,11.55,11.55,11.55
27.50,21.67,10.12,21.67,10.12,-10.12,-10.04,-10.13,11.54,11.54,11.55
27.77,21.64,10.08,21.64,10.09,-10.10,-10.03,-10.33,11.54,11.54,11.56
28.05,21.62,10.07,21.62,10.07,-10.07,-10.02,-10.52,11.55,11.55,11.55
28.33,21.60,10.04,21.60,10.04,-10.04,-10.01,-10.71,11.56,11.56,11.56
28.62,21.58,10.02,21.58,10.02,-10.01,-9.99,-10.88,11.56,11.56,11.56
28.90,21.56,9.99,21.56,9.99,-9.99,-9.98,-11.05,11.57,11.57,11.57
29.19,21.53,9.96,21.53,9.97,-9.97,-9.97,-11.21,11.56,11.56,11.57
29.48,21.51,9.95,21.50,9.94,-9.95,-9.96,-11.35,11.56,11.56,11.56
29.78,21.48,9.92,21.48,9.92,-9.93,-9.95,-11.48,11.55,11.55,11.56
30.08,21.46,9.90,21.46,9.91,-9.91,-9.94,-11.59,11.54,11.54,11.56
30.38,21.44,9.90,21.44,9.90,-9.90,-9.94,-11.68,11.54,11.54,11.54
30.68,21.43,9.89,21.43,9.89,-9.88,-9.93,-11.76,11.54,11.54,11.54
30.99,21.41,9.87,21.41,9.87,-9.87,-9.92,-11.82,11.54,11.54,11.54
31.30,21.39,9.85,21.39,9.86,-9.85,-9.91,-11.86,11.54,11.54,11.54
31.61,21.36,9.83,21.36,9.83,-9.83,-9.90,-11.88,11.53,11.53,11.53
