frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.96,7.51,14.96,7.51,-7.51,-7.24,-4.35,7.45,7.45,7.45
20.20,15.02,7.58,15.01,7.57,-7.58,-7.32,-4.46,7.44,7.44,7.44
20.40,15.07,7.64,15.07,7.64,-7.64,-7.41,-4.58,7.42,7.43,7.43
20.61,15.13,7.71,15.13,7.71,-7.71,-7.49,-4.70,7.41,7.42,7.42
20.81,15.19,7.79,15.19,7.79,-7.78,-7.57,-4.83,7.41,7.41,7.40
21.02,15.25,7.86,15.24,7.85,-7.84,-7.66,-4.96,7.40,7.40,7.39
21.23,15.30,7.92,15.30,7.91,-7.91,-7.74,-5.09,7.39,7.39,7.38
21.44,15.35,7.96,15.35,7.97,-7.97,-7.82,-5.23,7.38,7.38,7.39
21.66,15.41,8.04,15.40,8.03,-8.04,-7.90,-5.37,7.37,7.37,7.37
21.87,15.46,8.09,15.46,8.09,-8.10,-7.98,-5.51,7.36,7.36,7.37
22.09,15.51,8.16,15.51,8.16,-8.16,-8.06,-5.66,7.35,7.35,7.35
22.31,15.57,8.23,15.56,8.22,-8.22,-8.14,-5.81,7.35,7.34,7.34
22.54,15.62,8.29,15.62,8.29,-8.28,-8.22,-5.97,7.33,7.33,7.33
22.76,15.67,8.34,15.67,8.35,-8.34,-8.29,-6.13,7.32,7.33,7.33
22.99,15.73,8.41,15.72,8.40,-8.40,-8.37,-6.30,7.33,7.32,7.32
23.22,15.78,8.47,15.78,8.46,-8.46,-8.45,-6.46,7.32,7.32,7.31
23.45,15.83,8.51,15.83,8.52,-8.51,-8.52,-6.64,7.32,7.32,7.32
23.69,15.88,8.57,15.87,8.56,-8.56,-8.59,-6.81,7.31,7.31,7.31
23.92,15.92,8.62,15.92,8.61,-8.62,-8.66,-6.99,7.30,7.31,7.30
24.16,15.97,8.66,15.97,8.66,-8.67,-8.73,-7.18,7.30,7.30,7.31
24.40,16.02,8.71,16.02,8.71,-8.72,-8.80,-7.37,7.30,7.30,7.31
24.65,16.07,8.77,16.07,8.76,-8.77,-8.87,-7.56,7.30,7.30,7.30
24.89,16.12,8.82,16.12,8.82,-8.82,-8.93,-7.75,7.30,7.30,7.30
25.14,16.17,8.88,16.17,8.87,-8.87,-9.00,-7.95,7.30,7.30,7.29
25.39,16.21,8.92,16.21,8.92,-8.92,-9.06,-8.15,7.29,7.29,7.29
25.65,16.26,8.97,16.26,8.97,-8.96,-9.12,-8.36,7.29,7.29,7.29
25.91,16.30,9.01,16.30,9.01,-9.01,-9.18,-8.56,7.29,7.29,7.29
26.16,16.35,9.05,16.35,9.05,-9.05,-9.23,-8.77,7.29,7.29,7.30
26.43,16.39,9.10,16.39,9.09,-9.10,-9.29,-8.98,7.29,7.29,7.29
26.69,16.43,9.14,16.43,9.14,-9.14,-9.34,-9.18,7.29,7.29,7.29
26.96,16.47,9.18,16.47,9.18,-9.18,-9.39,-9.39,7.29,7.29,7.29
27.23,16.51,9.22,16.51,9.22,-9.22,-9.44,-9.59,7.29,7.29,7.29
27.50,16.55,9.26,16.55,9.26,-9.25,-9.48,-9.80,7.29,7.29,7.29
27.77,16.59,9.29,16.59,9.29,-9.29,-9.53,-9.99,7.30,7.30,7.30
28.05,16.63,9.34,16.62,9.33,-9.32,-9.57,-10.19,7.30,7.30,7.29
28.33,16.66,9.36,16.66,9.36,-9.36,-9.61,-10.37,7.30,7.30,7.30
28.62,16.69,9.39,16.69,9.39,-9.39,-9.64,-10.55,7.30,7.30,7.30
28.90,16.73,9.42,16.72,9.42,-9.42,-9.68,-10.72,7.31,7.30,7.31
29.19,16.76,9.45,16.76,9.45,-9.45,-9.71,-10.88,7.30,7.30,7.31
29.48,16.79,9.49,16.79,9.48,-9.49,-9.74,-11.02,7.30,7.30,7.30
29.78,16.82,9.52,16.82,9.52,-9.52,-9.76,-11.15,7.30,7.30,7.30
30.08,16.85,9.55,16.84,9.55,-9.55,-9.79,-11.27,7.30,7.29,7.30
30.38,16.87,9.59,16.87,9.59,-9.58,-9.81,-11.36,7.28,7.29,7.28
30.68,16.90,9.62,16.90,9.62,-9.61,-9.83,-11.45,7.28,7.28,7.28
