frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.18,3.65,11.18,3.65,-3.65,-3.90,-1.50,7.52,7.52,7.52
20.20,11.18,3.66,11.18,3.66,-3.67,-3.88,-1.54,7.51,7.51,7.51
20.40,11.19,3.68,11.18,3.68,-3.68,-3.87,-1.59,7.51,7.50,7.50
20.61,11.19,3.69,11.18,3.69,-3.69,-3.86,-1.63,7.49,7.49,7.50
20.81,11.19,3.71,11.19,3.71,-3.71,-3.85,-1.68,7.48,7.48,7.47
21.02,11.19,3.72,11.19,3.72,-3.72,-3.84,-1.73,7.47,7.47,7.46
21.23,11.20,3.74,11.19,3.73,-3.73,-3.82,-1.78,7.47,7.46,7.45
21.44,11.20,3.73,11.20,3.74,-3.74,-3.81,-1.84,7.46,7.46,7.46
21.66,11.20,3.75,11.20,3.75,-3.75,-3.80,-1.89,7.45,7.45,7.45
21.87,11.20,3.75,11.19,3.75,-3.76,-3.79,-1.95,7.44,7.43,7.44
22.09,11.20,3.77,11.19,3.77,-3.77,-3.77,-2.00,7.43,7.42,7.42
22.31,11.19,3.77,11.19,3.78,-3.78,-3.76,-2.06,7.41,7.41,7.41
22.54,11.20,3.79,11.19,3.79,-3.79,-3.75,-2.12,7.41,7.41,7.41
22.76,11.20,3.79,11.19,3.79,-3.79,-3.73,-2.19,7.40,7.40,7.40
22.99,11.20,3.80,11.19,3.80,-3.80,-3.72,-2.25,7.40,7.40,7.39
23.22,11.19,3.80,11.19,3.80,-3.80,-3.71,-2.31,7.39,7.39,7.38
23.45,11.19,3.79,11.18,3.80,-3.80,-3.69,-2.38,7.39,7.39,7.39
23.69,11.18,3.79,11.18,3.79,-3.79,-3.68,-2.45,7.39,7.39,7.39
23.92,11.17,3.79,11.16,3.78,-3.78,-3.67,-2.52,7.38,7.38,7.38
24.16,11.15,3.76,11.15,3.77,-3.77,-3.65,-2.59,7.38,7.38,7.38
24.40,11.14,3.75,11.13,3.75,-3.75,-3.64,-2.66,7.38,7.38,7.38
24.65,11.12,3.74,11.11,3.73,-3.74,-3.63,-2.73,7.38,7.38,7.38
24.89,11.09,3.71,11.09,3.72,-3.71,-3.61,-2.80,7.37,7.38,7.37
25.14,11.07,3.70,11.06,3.70,-3.69,-3.60,-2.88,7.37,7.37,7.36
25.39,11.04,3.67,11.04,3.67,-3.67,-3.59,-2.95,7.37,7.37,7.36
25.65,11.01,3.64,11.01,3.64,-3.64,-3.58,-3.03,7.36,7.37,7.36
25.91,10.99,3.62,10.98,3.61,-3.62,-3.57,-3.10,7.37,7.36,7.36
26.16,10.96,3.58,10.96,3.59,-3.59,-3.55,-3.18,7.36,7.36,7.37
26.43,10.94,3.57,10.94,3.57,-3.57,-3.54,-3.25,7.36,7.36,7.37
26.69,10.92,3.55,10.92,3.55,-3.55,-3.53,-3.33,7.37,7.36,7.36
26.96,10.90,3.53,10.90,3.53,-3.53,-3.52,-3.40,7.36,7.36,7.36
27.23,10.89,3.52,10.88,3.52,-3.52,-3.51,-3.47,7.37,7.37,7.36
27.50,10.87,3.50,10.87,3.50,-3.51,-3.50,-3.54,7.36,7.37,7.36
27.77,10.87,3.49,10.86,3.49,-3.50,-3.49,-3.61,7.37,7.37,7.37
28.05,10.86,3.49,10.86,3.49,-3.49,-3.48,-3.67,7.37,7.37,7.37
28.33,10.86,3.48,10.86,3.48,-3.48,-3.47,-3.74,7.38,7.38,7.37
28.62,10.86,3.48,10.86,3.48,-3.48,-3.46,-3.79,7.38,7.38,7.37
28.90,10.86,3.47,10.86,3.47,-3.47,-3.46,-3.85,7.38,7.38,7.38
29.19,10.86,3.47,10.86,3.48,-3.48,-3.45,-3.90,7.38,7.38,7.38
29.48,10.86,3.48,10.86,3.47,-3.48,-3.44,-3.95,7.38,7.38,7.37
