frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,19.51,4.93,19.51,4.93,-4.93,-4.58,-2.05,14.58,14.58,14.58
20.20,19.51,4.94,19.51,4.94,-4.94,-4.58,-2.11,14.57,14.57,14.57
20.40,19.50,4.94,19.50,4.94,-4.94,-4.58,-2.17,14.56,14.56,14.56
20.61,19.50,4.95,19.50,4.95,-4.95,-4.58,-2.24,14.55,14.55,14.55
20.81,19.49,4.96,19.49,4.96,-4.96,-4.58,-2.30,14.53,14.54,14.53
21.02,19.49,4.97,19.49,4.96,-4.96,-4.58,-2.37,14.53,14.52,14.52
21.23,19.48,4.97,19.48,4.97,-4.97,-4.57,-2.44,14.51,14.51,14.51
21.44,19.48,4.96,19.48,4.97,-4.97,-4.57,-2.51,14.51,14.50,14.52
21.66,19.47,4.97,19.47,4.98,-4.98,-4.57,-2.58,14.49,14.49,14.50
21.87,19.46,4.97,19.46,4.98,-4.98,-4.57,-2.66,14.48,14.49,14.49
22.09,19.46,4.99,19.46,4.98,-4.98,-4.57,-2.74,14.48,14.48,14.47
22.31,19.45,4.98,19.45,4.98,-4.98,-4.57,-2.82,14.47,14.47,14.47
22.54,19.44,4.98,19.44,4.98,-4.98,-4.57,-2.90,14.46,14.46,14.46
22.76,19.44,4.98,19.44,4.98,-4.98,-4.57,-2.98,14.46,14.46,14.46
22.99,19.43,4.98,19.43,4.98,-4.98,-4.57,-3.07,14.45,14.45,14.45
23.22,19.42,4.98,19.42,4.98,-4.98,-4.57,-3.15,14.44,14.45,14.44
23.45,19.42,4.97,19.42,4.97,-4.97,-4.57,-3.24,14.45,14.44,14.45
23.69,19.41,4.97,19.41,4.97,-4.97,-4.57,-3.34,14.44,14.44,14.44
23.92,19.40,4.98,19.40,4.97,-4.97,-4.57,-3.43,14.43,14.43,14.42
24.16,19.39,4.96,19.39,4.96,-4.96,-4.57,-3.52,14.43,14.43,14.43
24.40,19.38,4.95,19.38,4.95,-4.95,-4.57,-3.62,14.43,14.43,14.43
24.65,19.37,4.94,19.37,4.95,-4.95,-4.57,-3.72,14.42,14.42,14.43
24.89,19.36,4.93,19.36,4.94,-4.94,-4.57,-3.82,14.42,14.42,14.43
25.14,19.35,4.93,19.35,4.93,-4.93,-4.56,-3.92,14.42,14.42,14.42
25.39,19.34,4.93,19.34,4.92,-4.92,-4.56,-4.02,14.42,14.42,14.41
25.65,19.33,4.92,19.33,4.91,-4.91,-4.56,-4.12,14.42,14.42,14.41
25.91,19.31,4.90,19.31,4.90,-4.90,-4.56,-4.22,14.41,14.41,14.41
26.16,19.30,4.88,19.30,4.89,-4.89,-4.56,-4.32,14.41,14.41,14.42
