frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.64,-1.48,4.64,-1.48,1.48,1.33,0.55,6.13,6.13,6.13
20.20,4.63,-1.48,4.63,-1.48,1.48,1.33,0.57,6.12,6.11,6.12
20.40,4.62,-1.48,4.62,-1.48,1.48,1.33,0.58,6.10,6.10,6.11
20.61,4.61,-1.48,4.62,-1.48,1.47,1.33,0.60,6.09,6.09,6.10
20.81,4.61,-1.46,4.61,-1.47,1.47,1.33,0.62,6.08,6.08,6.08
21.02,4.60,-1.46,4.61,-1.46,1.46,1.33,0.63,6.07,6.07,6.07
21.23,4.60,-1.45,4.60,-1.46,1.46,1.32,0.65,6.06,6.06,6.06
21.44,4.60,-1.46,4.60,-1.46,1.45,1.32,0.67,6.06,6.05,6.07
21.66,4.59,-1.45,4.60,-1.45,1.45,1.32,0.69,6.04,6.04,6.05
21.87,4.59,-1.45,4.60,-1.44,1.44,1.31,0.71,6.03,6.04,6.05
22.09,4.60,-1.42,4.60,-1.43,1.43,1.31,0.73,6.04,6.03,6.03
22.31,4.60,-1.41,4.60,-1.42,1.43,1.31,0.75,6.03,6.03,6.02
22.54,4.59,-1.41,4.60,-1.41,1.42,1.30,0.77,6.01,6.02,6.01
22.76,4.59,-1.41,4.59,-1.41,1.41,1.30,0.79,6.00,6.00,6.01
22.99,4.59,-1.40,4.60,-1.40,1.39,1.29,0.81,5.99,5.99,6.00
23.22,4.60,-1.38,4.61,-1.39,1.38,1.28,0.83,5.98,5.98,5.99
23.45,4.62,-1.37,4.62,-1.36,1.36,1.28,0.86,5.99,5.98,6.00
23.69,4.64,-1.34,4.65,-1.34,1.34,1.27,0.88,5.98,5.99,5.99
23.92,4.67,-1.30,4.67,-1.31,1.31,1.26,0.90,5.99,5.98,5.98
24.16,4.69,-1.29,4.70,-1.29,1.28,1.26,0.92,5.98,5.98,5.99
24.40,4.73,-1.26,4.73,-1.26,1.25,1.25,0.95,5.98,5.98,5.99
24.65,4.75,-1.22,4.76,-1.22,1.22,1.24,0.97,5.97,5.97,5.98
24.89,4.80,-1.18,4.79,-1.18,1.18,1.23,0.99,5.98,5.97,5.98
25.14,4.83,-1.14,4.82,-1.14,1.15,1.22,1.02,5.97,5.97,5.97
25.39,4.86,-1.11,4.85,-1.11,1.12,1.21,1.04,5.97,5.97,5.97
25.65,4.87,-1.09,4.88,-1.09,1.09,1.20,1.06,5.97,5.97,5.97
25.91,4.90,-1.06,4.90,-1.07,1.07,1.19,1.09,5.97,5.97,5.97
26.16,4.92,-1.05,4.92,-1.05,1.05,1.18,1.11,5.98,5.97,5.98
26.43,4.93,-1.03,4.93,-1.04,1.04,1.17,1.13,5.97,5.97,5.97
26.69,4.93,-1.03,4.94,-1.03,1.03,1.16,1.15,5.97,5.97,5.97
26.96,4.94,-1.02,4.94,-1.02,1.03,1.15,1.17,5.97,5.97,5.97
27.23,4.94,-1.02,4.94,-1.02,1.02,1.13,1.19,5.97,5.97,5.97
27.50,4.94,-1.02,4.95,-1.02,1.02,1.12,1.21,5.96,5.96,5.97
27.77,4.95,-1.02,4.95,-1.02,1.01,1.11,1.23,5.96,5.96,5.98
28.05,4.96,-1.00,4.97,-1.00,1.00,1.09,1.24,5.96,5.96,5.97
28.33,4.98,-0.99,4.99,-0.99,0.98,1.08,1.25,5.97,5.97,5.98
28.62,5.01,-0.96,5.01,-0.97,0.96,1.06,1.27,5.98,5.98,5.98
28.90,5.04,-0.94,5.04,-0.94,0.94,1.05,1.27,5.98,5.98,5.99
29.19,5.07,-0.91,5.07,-0.91,0.91,1.03,1.28,5.98,5.98,5.99
29.48,5.10,-0.87,5.10,-0.88,0.87,1.02,1.29,5.98,5.98,5.98
29.78,5.13,-0.84,5.13,-0.84,0.84,1.00,1.29,5.97,5.97,5.98
30.08,5.16,-0.81,5.17,-0.80,0.81,0.98,1.29,5.97,5.97,5.98
30.38,5.19,-0.76,5.19,-0.77,0.77,0.97,1.29,5.97,5.97,5.96
30.68,5.22,-0.73,5.22,-0.74,0.74,0.95,1.28,5.96,5.96,5.96
30.99,5.24,-0.71,5.25,-0.71,0.71,0.93,1.28,5.96,5.96,5.96
31.30,5.26,-0.69,5.26,-0.69,0.69,0.91,1.27,5.95,5.95,5.96
31.61,5.27,-0.67,5.28,-0.67,0.67,0.89,1.25,5.95,5.95,5.95
31.93,5.28,-0.64,5.28,-0.65,0.66,0.87,1.24,5.94,5.94,5.93
32.24,5.28,-0.65,5.29,-0.64,0.65,0.85,1.22,5.93,5.93,5.94
