frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.20,-5.35,4.20,-5.34,5.34,3.85,2.47,9.54,9.55,9.54
20.20,4.19,-5.35,4.19,-5.34,5.34,3.92,2.54,9.53,9.53,9.53
20.40,4.18,-5.35,4.18,-5.34,5.34,3.99,2.62,9.52,9.52,9.52
20.61,4.17,-5.34,4.17,-5.34,5.34,4.06,2.70,9.51,9.51,9.51
20.81,4.16,-5.33,4.16,-5.34,5.34,4.13,2.77,9.50,9.50,9.49
21.02,4.15,-5.33,4.15,-5.34,5.34,4.20,2.85,9.49,9.49,9.48
21.23,4.14,-5.33,4.13,-5.34,5.34,4.27,2.94,9.48,9.48,9.47
21.44,4.13,-5.35,4.12,-5.34,5.34,4.34,3.02,9.47,9.47,9.48
21.66,4.12,-5.34,4.11,-5.34,5.34,4.41,3.11,9.46,9.46,9.46
21.87,4.11,-5.35,4.10,-5.35,5.35,4.49,3.20,9.45,9.45,9.46
22.09,4.10,-5.34,4.09,-5.35,5.35,4.56,3.30,9.45,9.44,9.44
22.31,4.08,-5.36,4.08,-5.35,5.35,4.63,3.39,9.43,9.43,9.43
22.54,4.07,-5.36,4.07,-5.35,5.35,4.70,3.49,9.42,9.43,9.42
22.76,4.06,-5.36,4.06,-5.36,5.36,4.77,3.59,9.42,9.42,9.42
22.99,4.05,-5.36,4.05,-5.36,5.36,4.84,3.69,9.41,9.41,9.41
23.22,4.04,-5.36,4.04,-5.37,5.37,4.91,3.80,9.41,9.41,9.40
23.45,4.03,-5.38,4.03,-5.37,5.37,4.98,3.91,9.40,9.40,9.41
23.69,4.02,-5.38,4.02,-5.38,5.38,5.05,4.02,9.40,9.40,9.40
23.92,4.01,-5.38,4.01,-5.38,5.38,5.12,4.13,9.39,9.39,9.39
24.16,4.01,-5.39,4.00,-5.39,5.39,5.19,4.24,9.40,9.39,9.39
24.40,4.00,-5.40,3.99,-5.40,5.40,5.25,4.36,9.39,9.39,9.39
