frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.18,-5.14,7.18,-5.14,5.14,5.06,1.08,12.32,12.32,12.32
20.20,7.26,-5.05,7.26,-5.05,5.05,5.02,1.11,12.32,12.31,12.31
20.40,7.33,-4.97,7.34,-4.97,4.96,4.97,1.15,12.30,12.30,12.30
20.61,7.41,-4.88,7.41,-4.88,4.88,4.91,1.18,12.29,12.29,12.29
20.81,7.49,-4.78,7.49,-4.78,4.79,4.86,1.22,12.28,12.28,12.27
21.02,7.57,-4.69,7.57,-4.70,4.70,4.80,1.26,12.27,12.27,12.26
21.23,7.64,-4.61,7.65,-4.61,4.62,4.74,1.30,12.26,12.26,12.25
21.44,7.72,-4.54,7.72,-4.53,4.53,4.67,1.34,12.25,12.25,12.26
21.66,7.80,-4.44,7.80,-4.45,4.44,4.61,1.38,12.24,12.24,12.24
21.87,7.88,-4.36,7.88,-4.36,4.35,4.54,1.43,12.24,12.23,12.24
22.09,7.95,-4.27,7.96,-4.27,4.27,4.47,1.47,12.22,12.22,12.22
22.31,8.03,-4.18,8.03,-4.18,4.18,4.40,1.52,12.22,12.22,12.21
22.54,8.11,-4.09,8.11,-4.09,4.10,4.32,1.56,12.21,12.21,12.20
22.76,8.19,-4.01,8.19,-4.01,4.01,4.25,1.61,12.20,12.20,12.20
22.99,8.27,-3.92,8.27,-3.93,3.93,4.17,1.66,12.20,12.20,12.19
23.22,8.34,-3.84,8.35,-3.85,3.84,4.10,1.71,12.19,12.19,12.18
23.45,8.42,-3.77,8.42,-3.76,3.76,4.02,1.76,12.19,12.19,12.19
23.69,8.50,-3.68,8.50,-3.68,3.68,3.94,1.81,12.18,12.18,12.18
23.92,8.58,-3.59,8.58,-3.60,3.60,3.86,1.87,12.19,12.18,12.17
24.16,8.65,-3.53,8.66,-3.52,3.52,3.78,1.92,12.18,12.18,12.18
24.40,8.73,-3.45,8.73,-3.45,3.45,3.70,1.97,12.18,12.18,12.18
24.65,8.80,-3.37,8.80,-3.37,3.37,3.62,2.03,12.17,12.17,12.17
24.89,8.88,-3.29,8.88,-3.29,3.29,3.54,2.08,12.17,12.17,12.17
25.14,8.95,-3.21,8.96,-3.21,3.21,3.46,2.14,12.17,12.17,12.16
25.39,9.03,-3.13,9.03,-3.13,3.14,3.38,2.19,12.17,12.17,12.16
25.65,9.10,-3.06,9.10,-3.06,3.06,3.30,2.25,12.17,12.17,12.16
25.91,9.17,-2.99,9.18,-2.99,2.99,3.22,2.30,12.16,12.16,12.16
26.16,9.25,-2.92,9.25,-2.92,2.91,3.14,2.36,12.17,12.16,12.17
26.43,9.32,-2.84,9.32,-2.84,2.84,3.06,2.41,12.16,12.16,12.16
26.69,9.39,-2.77,9.40,-2.77,2.77,2.98,2.46,12.16,12.16,12.16
26.96,9.47,-2.69,9.47,-2.69,2.70,2.90,2.51,12.17,12.16,12.16
27.23,9.54,-2.62,9.54,-2.62,2.63,2.82,2.56,12.17,12.17,12.16
27.50,9.61,-2.55,9.61,-2.55,2.55,2.74,2.60,12.17,12.17,12.16
27.77,9.68,-2.49,9.68,-2.48,2.49,2.66,2.65,12.17,12.17,12.17
28.05,9.75,-2.41,9.75,-2.42,2.42,2.58,2.69,12.17,12.17,12.16
28.33,9.82,-2.35,9.82,-2.35,2.35,2.51,2.72,12.17,12.17,12.17
28.62,9.89,-2.28,9.89,-2.29,2.28,2.43,2.75,12.18,12.18,12.17
28.90,9.96,-2.22,9.96,-2.22,2.22,2.35,2.78,12.18,12.18,12.18
29.19,10.02,-2.16,10.03,-2.15,2.15,2.28,2.80,12.17,12.18,12.18
29.48,10.09,-2.08,10.09,-2.09,2.09,2.20,2.82,12.18,12.18,12.17
29.78,10.15,-2.02,10.15,-2.02,2.02,2.13,2.84,12.17,12.17,12.17
30.08,10.21,-1.96,10.21,-1.95,1.96,2.06,2.84,12.17,12.17,12.17
30.38,10.27,-1.88,10.27,-1.89,1.89,1.98,2.84,12.16,12.16,12.15
30.68,10.33,-1.82,10.33,-1.82,1.83,1.91,2.84,12.16,12.16,12.15
30.99,10.39,-1.76,10.39,-1.77,1.77,1.84,2.83,12.16,12.15,12.15
31.30,10.44,-1.71,10.44,-1.71,1.70,1.77,2.81,12.15,12.15,12.15
