frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.35,-4.04,5.35,-4.05,4.05,3.85,0.56,9.40,9.40,9.40
20.20,5.43,-3.95,5.43,-3.96,3.96,3.80,0.58,9.39,9.39,9.39
20.40,5.50,-3.87,5.51,-3.87,3.87,3.75,0.60,9.37,9.38,9.38
20.61,5.58,-3.79,5.59,-3.78,3.78,3.70,0.62,9.36,9.36,9.37
20.81,5.66,-3.68,5.66,-3.69,3.69,3.64,0.64,9.36,9.35,9.35
21.02,5.74,-3.59,5.74,-3.60,3.60,3.58,0.66,9.35,9.34,9.34
21.23,5.81,-3.51,5.82,-3.51,3.51,3.52,0.69,9.33,9.33,9.33
21.44,5.89,-3.44,5.90,-3.43,3.43,3.45,0.71,9.32,9.32,9.34
21.66,5.97,-3.35,5.97,-3.34,3.34,3.39,0.73,9.31,9.31,9.32
21.87,6.06,-3.26,6.05,-3.26,3.26,3.32,0.76,9.31,9.31,9.32
22.09,6.12,-3.17,6.13,-3.17,3.17,3.25,0.78,9.29,9.30,9.30
22.31,6.21,-3.08,6.21,-3.08,3.08,3.18,0.81,9.29,9.29,9.29
22.54,6.28,-3.00,6.28,-3.00,3.00,3.11,0.84,9.28,9.28,9.28
22.76,6.36,-2.91,6.36,-2.92,2.92,3.03,0.86,9.28,9.28,9.28
22.99,6.44,-2.82,6.44,-2.83,2.83,2.96,0.89,9.28,9.27,9.27
23.22,6.51,-2.74,6.52,-2.75,2.75,2.88,0.92,9.26,9.27,9.26
23.45,6.59,-2.67,6.60,-2.67,2.67,2.81,0.95,9.26,9.26,9.27
23.69,6.67,-2.59,6.67,-2.58,2.58,2.73,0.98,9.26,9.26,9.26
23.92,6.75,-2.49,6.75,-2.50,2.50,2.65,1.01,9.26,9.25,9.25
24.16,6.82,-2.43,6.83,-2.42,2.42,2.57,1.04,9.25,9.25,9.26
24.40,6.91,-2.35,6.90,-2.34,2.34,2.50,1.07,9.25,9.25,9.26
24.65,6.98,-2.26,6.98,-2.27,2.27,2.42,1.10,9.25,9.25,9.25
24.89,7.07,-2.18,7.06,-2.19,2.19,2.34,1.13,9.25,9.24,9.25
25.14,7.13,-2.10,7.13,-2.11,2.11,2.26,1.16,9.24,9.24,9.24
25.39,7.22,-2.02,7.21,-2.03,2.03,2.18,1.19,9.25,9.24,9.24
25.65,7.28,-1.95,7.29,-1.95,1.95,2.10,1.22,9.24,9.24,9.24
25.91,7.35,-1.89,7.36,-1.88,1.88,2.02,1.25,9.23,9.24,9.24
26.16,7.44,-1.81,7.44,-1.80,1.80,1.94,1.28,9.24,9.24,9.25
26.43,7.50,-1.74,7.51,-1.73,1.73,1.86,1.31,9.23,9.24,9.24
26.69,7.58,-1.65,7.58,-1.66,1.66,1.79,1.33,9.24,9.24,9.24
26.96,7.66,-1.57,7.66,-1.58,1.58,1.71,1.36,9.25,9.24,9.24
27.23,7.73,-1.50,7.73,-1.51,1.51,1.63,1.38,9.25,9.24,9.24
27.50,7.80,-1.43,7.80,-1.44,1.44,1.55,1.41,9.25,9.24,9.24
27.77,7.87,-1.37,7.87,-1.37,1.37,1.48,1.43,9.25,9.25,9.25
28.05,7.94,-1.29,7.95,-1.30,1.30,1.40,1.44,9.24,9.25,9.24
28.33,8.01,-1.23,8.02,-1.23,1.23,1.32,1.46,9.24,9.25,9.25
28.62,8.08,-1.17,8.09,-1.16,1.16,1.25,1.47,9.24,9.25,9.25
28.90,8.16,-1.09,8.16,-1.09,1.09,1.17,1.48,9.25,9.25,9.26
29.19,8.22,-1.03,8.23,-1.02,1.02,1.10,1.48,9.24,9.25,9.26
29.48,8.29,-0.95,8.30,-0.95,0.95,1.03,1.49,9.24,9.25,9.25
29.78,8.36,-0.88,8.36,-0.88,0.88,0.95,1.49,9.25,9.24,9.25
30.08,8.43,-0.82,8.43,-0.81,0.81,0.88,1.48,9.25,9.24,9.25
30.38,8.49,-0.74,8.49,-0.74,0.74,0.81,1.47,9.24,9.24,9.23
30.68,8.55,-0.67,8.56,-0.68,0.68,0.74,1.46,9.23,9.23,9.23
30.99,8.62,-0.60,8.62,-0.61,0.61,0.66,1.44,9.23,9.23,9.23
31.30,8.68,-0.54,8.68,-0.54,0.54,0.59,1.42,9.23,9.22,9.23
31.61,8.74,-0.47,8.74,-0.48,0.48,0.52,1.39,9.22,9.21,9.22
31.93,8.80,-0.40,8.79,-0.41,0.41,0.46,1.36,9.22,9.21,9.20
32.24,8.85,-0.35,8.85,-0.35,0.35,0.39,1.33,9.20,9.20,9.21
32.57,8.90,-0.28,8.91,-0.29,0.29,0.32,1.29,9.19,9.19,9.19
32.89,8.95,-0.23,8.96,-0.22,0.22,0.25,1.24,9.18,9.19,9.19
33.22,9.01,-0.16,9.02,-0.16,0.16,0.18,1.20,9.18,9.18,9.18
33.55,9.06,-0.11,9.07,-0.10,0.10,0.12,1.15,9.17,9.17,9.18
33.89,9.11,-0.05,9.12,-0.04,0.04,0.05,1.09,9.16,9.17,9.17
34.23,9.17,0.03,9.18,0.02,-0.02,-0.02,1.03,9.16,9.16,9.15
34.57,9.22,0.08,9.23,0.08,-0.08,-0.08,0.97,9.15,9.15,9.15
34.92,9.28,0.16,9.28,0.14,-0.14,-0.15,0.91,9.15,9.14,9.13
35.27,9.33,0.19,9.33,0.20,-0.20,-0.21,0.84,9.14,9.13,9.15
35.62,9.38,0.27,9.38,0.26,-0.26,-0.28,0.77,9.13,9.12,9.12
35.97,9.43,0.32,9.42,0.32,-0.32,-0.34,0.70,9.12,9.11,9.12
36.33,9.47,0.38,9.47,0.38,-0.38,-0.40,0.62,9.10,9.09,9.10
36.70,9.51,0.44,9.52,0.44,-0.44,-0.47,0.54,9.07,9.08,9.08
37.06,9.56,0.51,9.56,0.50,-0.50,-0.53,0.47,9.06,9.06,9.06
37.43,9.60,0.57,9.61,0.56,-0.56,-0.59,0.38,9.04,9.04,9.04
37.81,9.64,0.62,9.65,0.63,-0.63,-0.66,0.30,9.02,9.02,9.03
38.19,9.68,0.69,9.69,0.69,-0.69,-0.72,0.22,8.99,9.00,9.00
38.57,9.72,0.75,9.74,0.75,-0.75,-0.78,0.13,8.97,8.98,8.98
38.95,9.77,0.81,9.78,0.82,-0.82,-0.84,0.05,8.96,8.96,8.97
39.34,9.81,0.88,9.82,0.88,-0.88,-0.90,-0.04,8.93,8.94,8.94
39.74,9.86,0.96,9.86,0.94,-0.94,-0.96,-0.13,8.92,8.92,8.91
40.14,9.90,1.02,9.90,1.01,-1.01,-1.02,-0.22,8.90,8.89,8.89
40.54,9.94,1.08,9.94,1.07,-1.07,-1.08,-0.31,8.88,8.87,8.87
40.94,9.98,1.15,9.98,1.13,-1.13,-1.14,-0.40,8.86,8.85,8.84
41.35,10.02,1.20,10.01,1.19,-1.19,-1.20,-0.49,8.84,8.83,8.83
41.76,10.05,1.26,10.05,1.25,-1.25,-1.26,-0.59,8.81,8.80,8.80
42.18,10.08,1.30,10.09,1.31,-1.31,-1.32,-0.68,8.78,8.78,8.79
42.60,10.12,1.37,10.12,1.37,-1.37,-1.38,-0.78,8.76,8.76,8.76
43.03,10.15,1.42,10.16,1.43,-1.43,-1.44,-0.87,8.73,8.73,8.74
43.46,10.18,1.49,10.19,1.49,-1.49,-1.50,-0.97,8.70,8.71,8.70
43.90,10.21,1.54,10.23,1.55,-1.55,-1.56,-1.07,8.67,8.68,8.68
44.33,10.25,1.61,10.26,1.61,-1.61,-1.62,-1.16,8.65,8.65,8.65
44.78,10.29,1.67,10.29,1.67,-1.67,-1.68,-1.26,8.62,8.62,8.63
45.23,10.33,1.73,10.33,1.74,-1.74,-1.74,-1.36,8.60,8.59,8.61
45.68,10.36,1.81,10.36,1.80,-1.80,-1.80,-1.46,8.56,8.56,8.56
46.13,10.39,1.87,10.40,1.87,-1.87,-1.86,-1.56,8.52,8.52,8.53
46.60,10.43,1.95,10.43,1.94,-1.94,-1.92,-1.66,8.49,8.49,8.49
47.06,10.46,2.01,10.46,2.02,-2.02,-1.97,-1.77,8.45,8.45,8.46
47.53,10.50,2.09,10.50,2.09,-2.09,-2.03,-1.87,8.42,8.41,8.42
48.01,10.53,2.17,10.53,2.16,-2.16,-2.09,-1.97,8.37,8.37,8.37
48.49,10.55,2.23,10.56,2.23,-2.23,-2.15,-2.08,8.32,8.33,8.33
