frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,16.61,4.51,16.60,4.51,-4.51,-4.46,-2.26,12.10,12.10,12.09
20.20,16.62,4.53,16.62,4.53,-4.53,-4.48,-2.32,12.08,12.08,12.08
20.40,16.64,4.56,16.63,4.56,-4.56,-4.50,-2.39,12.07,12.07,12.07
20.61,16.65,4.58,16.65,4.59,-4.59,-4.52,-2.45,12.06,12.06,12.06
20.81,16.67,4.62,16.67,4.62,-4.62,-4.54,-2.52,12.05,12.05,12.04
21.02,16.68,4.64,16.68,4.64,-4.64,-4.56,-2.60,12.03,12.04,12.03
21.23,16.70,4.67,16.70,4.67,-4.67,-4.58,-2.67,12.03,12.03,12.02
21.44,16.71,4.67,16.71,4.69,-4.69,-4.60,-2.75,12.01,12.02,12.03
21.66,16.73,4.71,16.73,4.72,-4.72,-4.62,-2.82,12.01,12.01,12.01
21.87,16.74,4.72,16.74,4.74,-4.74,-4.64,-2.90,12.00,12.00,12.01
22.09,16.76,4.76,16.76,4.76,-4.76,-4.66,-2.99,11.99,11.99,11.99
22.31,16.77,4.78,16.77,4.78,-4.78,-4.68,-3.07,11.98,11.99,11.98
22.54,16.79,4.81,16.79,4.81,-4.81,-4.70,-3.16,11.98,11.98,11.97
22.76,16.80,4.82,16.80,4.83,-4.83,-4.72,-3.25,11.97,11.97,11.97
22.99,16.82,4.85,16.82,4.85,-4.85,-4.74,-3.34,11.97,11.97,11.96
23.22,16.83,4.87,16.83,4.87,-4.87,-4.76,-3.43,11.96,11.96,11.95
23.45,16.85,4.88,16.84,4.89,-4.89,-4.78,-3.53,11.96,11.96,11.96
23.69,16.86,4.90,16.86,4.90,-4.90,-4.79,-3.63,11.95,11.95,11.95
23.92,16.88,4.93,16.87,4.92,-4.92,-4.81,-3.73,11.95,11.95,11.94
24.16,16.89,4.93,16.88,4.94,-4.94,-4.83,-3.83,11.95,11.95,11.95
24.40,16.90,4.94,16.90,4.95,-4.95,-4.85,-3.93,11.94,11.94,11.95
24.65,16.91,4.96,16.91,4.97,-4.97,-4.87,-4.04,11.94,11.94,11.94
24.89,16.92,4.97,16.92,4.98,-4.98,-4.89,-4.14,11.93,11.94,11.94
25.14,16.94,5.00,16.94,5.00,-5.00,-4.91,-4.25,11.94,11.94,11.93
25.39,16.95,5.01,16.95,5.01,-5.01,-4.93,-4.36,11.94,11.94,11.93
25.65,16.96,5.02,16.96,5.03,-5.03,-4.94,-4.47,11.93,11.94,11.93
25.91,16.98,5.04,16.97,5.04,-5.04,-4.96,-4.58,11.94,11.93,11.93
26.16,16.99,5.04,16.99,5.05,-5.05,-4.98,-4.69,11.93,11.93,11.94
26.43,17.00,5.06,17.00,5.06,-5.06,-5.00,-4.80,11.93,11.93,11.93
26.69,17.01,5.07,17.01,5.08,-5.08,-5.02,-4.91,11.93,11.93,11.93
26.96,17.03,5.09,17.02,5.09,-5.09,-5.04,-5.01,11.94,11.93,11.93
27.23,17.04,5.10,17.03,5.10,-5.10,-5.05,-5.12,11.94,11.94,11.93
27.50,17.05,5.11,17.05,5.11,-5.11,-5.07,-5.23,11.94,11.94,11.93
27.77,17.06,5.11,17.06,5.12,-5.12,-5.09,-5.33,11.94,11.94,11.94
28.05,17.07,5.13,17.07,5.13,-5.13,-5.11,-5.43,11.94,11.94,11.93
28.33,17.08,5.13,17.08,5.13,-5.13,-5.13,-5.52,11.94,11.94,11.94
28.62,17.09,5.14,17.09,5.14,-5.14,-5.15,-5.61,11.94,11.94,11.94
28.90,17.10,5.14,17.10,5.15,-5.15,-5.16,-5.70,11.94,11.94,11.95
29.19,17.11,5.15,17.10,5.16,-5.16,-5.18,-5.78,11.95,11.94,11.95
29.48,17.11,5.16,17.11,5.17,-5.17,-5.20,-5.86,11.94,11.94,11.94
29.78,17.12,5.17,17.12,5.18,-5.18,-5.22,-5.93,11.94,11.94,11.94
30.08,17.13,5.18,17.13,5.19,-5.19,-5.24,-5.99,11.94,11.94,11.94
30.38,17.14,5.21,17.13,5.20,-5.20,-5.25,-6.05,11.94,11.93,11.92
30.68,17.14,5.21,17.14,5.21,-5.21,-5.27,-6.10,11.93,11.93,11.92
30.99,17.15,5.22,17.14,5.22,-5.22,-5.29,-6.14,11.93,11.92,11.92
31.30,17.15,5.22,17.15,5.23,-5.23,-5.31,-6.18,11.92,11.92,11.92
31.61,17.16,5.24,17.15,5.24,-5.24,-5.33,-6.21,11.91,11.91,11.91
31.93,17.16,5.26,17.16,5.26,-5.26,-5.35,-6.23,11.90,11.90,11.89
32.24,17.16,5.25,17.17,5.27,-5.27,-5.37,-6.24,11.89,11.90,11.90
32.57,17.17,5.28,17.17,5.28,-5.28,-5.38,-6.25,11.89,11.89,11.88
32.89,17.18,5.29,17.18,5.29,-5.29,-5.40,-6.25,11.88,11.88,11.88
33.22,17.18,5.30,17.18,5.30,-5.30,-5.42,-6.25,11.87,11.88,11.87
33.55,17.19,5.31,17.18,5.31,-5.31,-5.44,-6.24,11.87,11.87,11.87
33.89,17.19,5.32,17.19,5.32,-5.32,-5.46,-6.23,11.86,11.86,11.86
34.23,17.19,5.34,17.19,5.33,-5.33,-5.48,-6.21,11.85,11.85,11.84
34.57,17.20,5.35,17.19,5.34,-5.34,-5.50,-6.18,11.85,11.85,11.84
34.92,17.20,5.37,17.19,5.36,-5.36,-5.52,-6.16,11.84,11.83,11.82
35.27,17.20,5.35,17.19,5.36,-5.36,-5.54,-6.13,11.83,11.82,11.84
35.62,17.19,5.37,17.19,5.37,-5.37,-5.55,-6.10,11.81,11.81,11.81
35.97,17.19,5.37,17.19,5.39,-5.39,-5.57,-6.07,11.80,11.80,11.81
36.33,17.19,5.39,17.18,5.40,-5.40,-5.59,-6.03,11.79,11.79,11.79
36.70,17.18,5.40,17.18,5.41,-5.41,-5.61,-6.00,11.77,11.77,11.77
37.06,17.18,5.42,17.18,5.42,-5.42,-5.63,-5.97,11.75,11.75,11.75
37.43,17.18,5.44,17.18,5.44,-5.44,-5.65,-5.93,11.74,11.74,11.73
37.81,17.17,5.44,17.17,5.46,-5.46,-5.67,-5.90,11.71,11.72,11.72
38.19,17.17,5.47,17.17,5.47,-5.47,-5.69,-5.87,11.69,11.70,11.69
38.57,17.17,5.49,17.17,5.49,-5.49,-5.71,-5.84,11.67,11.68,11.67
38.95,17.17,5.50,17.17,5.51,-5.51,-5.73,-5.81,11.65,11.66,11.66
39.34,17.17,5.53,17.17,5.53,-5.53,-5.76,-5.79,11.63,11.63,11.63
39.74,17.17,5.56,17.17,5.56,-5.56,-5.78,-5.76,11.61,11.61,11.60
40.14,17.17,5.58,17.17,5.58,-5.58,-5.80,-5.75,11.59,11.59,11.58
40.54,17.17,5.60,17.17,5.60,-5.60,-5.82,-5.73,11.57,11.57,11.56
40.94,17.17,5.63,17.17,5.62,-5.62,-5.84,-5.72,11.54,11.54,11.53
41.35,17.17,5.64,17.17,5.65,-5.65,-5.86,-5.71,11.52,11.52,11.52
41.76,17.17,5.67,17.17,5.67,-5.67,-5.88,-5.70,11.50,11.50,11.49
42.18,17.17,5.68,17.17,5.69,-5.69,-5.91,-5.70,11.47,11.47,11.48
42.60,17.17,5.71,17.17,5.72,-5.72,-5.93,-5.70,11.45,11.45,11.45
