frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,15.72,3.83,15.72,3.83,-3.83,-3.64,-1.64,11.89,11.89,11.89
20.20,15.71,3.84,15.72,3.84,-3.84,-3.64,-1.68,11.87,11.88,11.88
20.40,15.71,3.85,15.71,3.85,-3.85,-3.65,-1.73,11.87,11.87,11.87
20.61,15.70,3.85,15.71,3.85,-3.85,-3.65,-1.78,11.85,11.85,11.86
20.81,15.70,3.87,15.70,3.86,-3.86,-3.66,-1.83,11.85,11.84,11.84
21.02,15.69,3.87,15.69,3.86,-3.86,-3.66,-1.88,11.83,11.83,11.83
21.23,15.68,3.87,15.69,3.87,-3.87,-3.67,-1.94,11.82,11.82,11.81
21.44,15.68,3.86,15.68,3.87,-3.87,-3.67,-1.99,11.81,11.81,11.82
21.66,15.67,3.87,15.67,3.87,-3.87,-3.68,-2.05,11.80,11.80,11.80
21.87,15.66,3.86,15.67,3.87,-3.87,-3.68,-2.10,11.79,11.79,11.80
22.09,15.66,3.88,15.66,3.87,-3.87,-3.69,-2.16,11.79,11.78,11.78
22.31,15.65,3.87,15.65,3.87,-3.87,-3.69,-2.23,11.78,11.78,11.78
22.54,15.64,3.88,15.64,3.87,-3.87,-3.69,-2.29,11.77,11.77,11.77
22.76,15.63,3.87,15.63,3.87,-3.87,-3.70,-2.35,11.76,11.76,11.77
22.99,15.62,3.87,15.63,3.87,-3.87,-3.70,-2.42,11.76,11.76,11.76
23.22,15.61,3.87,15.62,3.86,-3.86,-3.71,-2.49,11.75,11.75,11.74
23.45,15.61,3.86,15.61,3.86,-3.86,-3.71,-2.55,11.75,11.75,11.75
23.69,15.60,3.86,15.60,3.86,-3.86,-3.71,-2.63,11.75,11.74,11.74
23.92,15.59,3.86,15.59,3.85,-3.85,-3.72,-2.70,11.74,11.74,11.73
24.16,15.58,3.84,15.58,3.85,-3.85,-3.72,-2.77,11.73,11.74,11.74
24.40,15.57,3.84,15.58,3.84,-3.84,-3.73,-2.84,11.73,11.73,11.74
24.65,15.56,3.83,15.57,3.84,-3.84,-3.73,-2.92,11.73,11.73,11.74
24.89,15.55,3.82,15.56,3.83,-3.83,-3.73,-2.99,11.72,11.73,11.73
25.14,15.55,3.83,15.55,3.82,-3.82,-3.73,-3.07,11.73,11.73,11.72
25.39,15.54,3.82,15.54,3.82,-3.82,-3.74,-3.15,11.73,11.72,11.72
25.65,15.53,3.81,15.53,3.81,-3.81,-3.74,-3.22,11.72,11.72,11.72
25.91,15.52,3.81,15.52,3.80,-3.80,-3.74,-3.30,11.72,11.72,11.72
26.16,15.51,3.79,15.51,3.79,-3.79,-3.75,-3.38,11.72,11.72,11.73
26.43,15.50,3.78,15.50,3.78,-3.78,-3.75,-3.45,11.72,11.72,11.72
26.69,15.49,3.77,15.49,3.77,-3.77,-3.75,-3.53,11.72,11.72,11.72
26.96,15.48,3.77,15.48,3.76,-3.76,-3.76,-3.60,11.72,11.72,11.72
27.23,15.47,3.76,15.47,3.75,-3.75,-3.76,-3.68,11.72,11.72,11.72
27.50,15.46,3.75,15.46,3.74,-3.74,-3.76,-3.75,11.72,11.72,11.71
27.77,15.45,3.73,15.45,3.73,-3.73,-3.76,-3.82,11.73,11.72,11.72
28.05,15.44,3.73,15.44,3.71,-3.71,-3.76,-3.88,11.73,11.72,11.72
28.33,15.42,3.70,15.43,3.70,-3.70,-3.77,-3.94,11.72,11.72,11.73
28.62,15.41,3.69,15.41,3.69,-3.69,-3.77,-4.00,11.72,11.72,11.72
28.90,15.39,3.66,15.40,3.68,-3.68,-3.77,-4.06,11.71,11.72,11.73
29.19,15.38,3.66,15.39,3.67,-3.67,-3.77,-4.11,11.72,11.72,11.73
29.48,15.37,3.65,15.38,3.66,-3.66,-3.78,-4.16,11.72,11.72,11.72
29.78,15.36,3.64,15.36,3.65,-3.65,-3.78,-4.20,11.72,11.72,11.72
30.08,15.35,3.64,15.35,3.64,-3.64,-3.78,-4.24,11.72,11.71,11.72
30.38,15.33,3.63,15.33,3.63,-3.63,-3.78,-4.27,11.71,11.71,11.70
30.68,15.32,3.62,15.32,3.62,-3.62,-3.78,-4.30,11.71,11.70,11.70
30.99,15.30,3.61,15.31,3.61,-3.61,-3.78,-4.32,11.70,11.70,11.70
31.30,15.29,3.60,15.29,3.60,-3.60,-3.79,-4.34,11.69,11.69,11.69
31.61,15.27,3.59,15.27,3.59,-3.59,-3.79,-4.35,11.68,11.68,11.69
31.93,15.25,3.59,15.26,3.58,-3.58,-3.79,-4.36,11.67,11.67,11.66
32.24,15.24,3.58,15.24,3.57,-3.57,-3.79,-4.36,11.67,11.67,11.67
32.57,15.22,3.57,15.22,3.56,-3.56,-3.79,-4.35,11.66,11.66,11.65
32.89,15.20,3.55,15.20,3.55,-3.55,-3.79,-4.34,11.65,11.65,11.65
33.22,15.18,3.54,15.18,3.54,-3.54,-3.79,-4.33,11.64,11.64,11.64
33.55,15.16,3.53,15.16,3.53,-3.53,-3.79,-4.31,11.63,11.63,11.64
33.89,15.14,3.52,15.15,3.52,-3.52,-3.79,-4.29,11.62,11.63,11.62
34.23,15.12,3.52,15.13,3.51,-3.51,-3.80,-4.26,11.61,11.62,11.61
34.57,15.10,3.50,15.11,3.51,-3.51,-3.80,-4.23,11.60,11.61,11.60
34.92,15.08,3.50,15.10,3.50,-3.50,-3.80,-4.20,11.58,11.59,11.59
35.27,15.07,3.48,15.08,3.50,-3.50,-3.80,-4.16,11.58,11.58,11.60
35.62,15.06,3.49,15.06,3.49,-3.49,-3.80,-4.13,11.57,11.57,11.57
35.97,15.04,3.48,15.04,3.49,-3.49,-3.80,-4.09,11.55,11.56,11.56
36.33,15.03,3.49,15.03,3.49,-3.49,-3.80,-4.05,11.55,11.54,11.55
36.70,15.01,3.49,15.01,3.49,-3.49,-3.80,-4.01,11.53,11.52,11.52
37.06,15.00,3.50,14.99,3.49,-3.49,-3.80,-3.97,11.52,11.50,11.50
37.43,14.97,3.49,14.97,3.49,-3.49,-3.80,-3.93,11.49,11.48,11.48
37.81,14.95,3.49,14.95,3.49,-3.49,-3.80,-3.89,11.47,11.46,11.47
38.19,14.93,3.50,14.93,3.49,-3.49,-3.80,-3.85,11.45,11.44,11.44
38.57,14.91,3.50,14.91,3.49,-3.49,-3.80,-3.81,11.43,11.42,11.42
38.95,14.88,3.48,14.88,3.49,-3.49,-3.80,-3.78,11.39,11.39,11.40
39.34,14.86,3.49,14.86,3.49,-3.49,-3.80,-3.74,11.37,11.37,11.37
39.74,14.83,3.49,14.84,3.49,-3.49,-3.80,-3.70,11.34,11.35,11.34
40.14,14.80,3.49,14.81,3.49,-3.49,-3.80,-3.67,11.31,11.32,11.32
40.54,14.78,3.49,14.79,3.50,-3.50,-3.81,-3.64,11.29,11.30,11.30
40.94,14.75,3.49,14.77,3.50,-3.50,-3.81,-3.61,11.26,11.27,11.27
41.35,14.74,3.50,14.75,3.50,-3.50,-3.81,-3.59,11.24,11.25,11.24
41.76,14.72,3.51,14.73,3.50,-3.50,-3.81,-3.56,11.22,11.22,11.21
