frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.92,-3.15,8.95,-3.12,3.12,2.79,1.03,12.05,12.08,12.07
20.20,8.96,-3.10,8.98,-3.08,3.08,2.79,1.06,12.05,12.06,12.06
20.40,8.99,-3.06,9.00,-3.05,3.05,2.79,1.10,12.04,12.05,12.05
20.61,9.03,-3.01,9.03,-3.01,3.01,2.78,1.13,12.04,12.04,12.04
20.81,9.06,-2.96,9.05,-2.97,2.97,2.78,1.17,12.03,12.03,12.02
21.02,9.09,-2.92,9.08,-2.94,2.94,2.78,1.20,12.03,12.02,12.01
21.23,9.12,-2.88,9.10,-2.90,2.90,2.78,1.24,12.03,12.00,12.00
21.44,9.14,-2.86,9.13,-2.87,2.87,2.78,1.28,12.01,12.00,12.01
21.66,9.17,-2.81,9.15,-2.84,2.84,2.77,1.32,12.01,11.99,11.99
21.87,9.19,-2.79,9.17,-2.81,2.81,2.77,1.36,12.00,11.98,11.99
22.09,9.22,-2.74,9.19,-2.78,2.78,2.76,1.41,12.00,11.97,11.96
22.31,9.24,-2.72,9.21,-2.75,2.75,2.76,1.45,11.99,11.96,11.96
22.54,9.23,-2.72,9.23,-2.73,2.73,2.75,1.49,11.96,11.95,11.95
22.76,9.23,-2.72,9.24,-2.70,2.70,2.75,1.54,11.94,11.95,11.95
22.99,9.24,-2.70,9.26,-2.68,2.68,2.74,1.59,11.93,11.94,11.94
23.22,9.25,-2.68,9.28,-2.66,2.66,2.73,1.64,11.91,11.94,11.93
23.45,9.27,-2.66,9.30,-2.64,2.64,2.73,1.69,11.91,11.93,11.94
23.69,9.29,-2.63,9.32,-2.61,2.61,2.72,1.74,11.90,11.93,11.93
23.92,9.32,-2.59,9.34,-2.58,2.58,2.71,1.79,11.91,11.92,11.92
24.16,9.35,-2.57,9.36,-2.56,2.56,2.70,1.84,11.91,11.92,11.92
24.40,9.38,-2.54,9.39,-2.53,2.53,2.69,1.89,11.91,11.92,11.92
24.65,9.42,-2.50,9.42,-2.50,2.50,2.68,1.94,11.92,11.92,11.92
24.89,9.45,-2.47,9.45,-2.47,2.47,2.67,2.00,11.92,11.91,11.92
25.14,9.48,-2.42,9.47,-2.44,2.44,2.66,2.05,11.92,11.91,11.91
25.39,9.50,-2.40,9.50,-2.41,2.41,2.65,2.11,11.92,11.91,11.91
25.65,9.53,-2.37,9.52,-2.39,2.39,2.63,2.16,11.92,11.91,11.90
25.91,9.55,-2.35,9.53,-2.37,2.37,2.62,2.21,11.92,11.91,11.90
26.16,9.56,-2.35,9.55,-2.36,2.36,2.61,2.27,11.92,11.90,11.91
26.43,9.57,-2.33,9.56,-2.35,2.35,2.59,2.32,11.92,11.90,11.91
26.69,9.58,-2.32,9.57,-2.34,2.34,2.58,2.37,11.92,11.90,11.91
26.96,9.57,-2.33,9.57,-2.33,2.33,2.56,2.42,11.91,11.90,11.90
27.23,9.56,-2.34,9.57,-2.33,2.33,2.55,2.47,11.90,11.91,11.90
27.50,9.56,-2.34,9.57,-2.34,2.34,2.53,2.52,11.90,11.91,11.90
27.77,9.55,-2.35,9.57,-2.34,2.34,2.52,2.57,11.89,11.91,11.91
28.05,9.55,-2.35,9.56,-2.34,2.34,2.50,2.61,11.90,11.91,11.90
28.33,9.55,-2.36,9.56,-2.35,2.35,2.48,2.65,11.90,11.91,11.91
28.62,9.55,-2.35,9.56,-2.35,2.35,2.46,2.69,11.90,11.91,11.91
28.90,9.55,-2.36,9.56,-2.35,2.35,2.45,2.72,11.90,11.91,11.91
29.19,9.55,-2.36,9.55,-2.35,2.35,2.43,2.75,11.90,11.91,11.91
29.48,9.55,-2.36,9.55,-2.35,2.35,2.41,2.78,11.91,11.90,11.91
29.78,9.55,-2.35,9.55,-2.35,2.35,2.39,2.80,11.91,11.90,11.90
30.08,9.55,-2.35,9.55,-2.35,2.35,2.37,2.82,11.90,11.90,11.90
30.38,9.55,-2.33,9.54,-2.35,2.35,2.35,2.83,11.90,11.89,11.89
30.68,9.55,-2.33,9.54,-2.35,2.35,2.33,2.84,11.90,11.89,11.88
30.99,9.55,-2.33,9.54,-2.34,2.34,2.30,2.85,11.89,11.88,11.88
31.30,9.55,-2.32,9.54,-2.33,2.33,2.28,2.85,11.89,11.87,11.88
31.61,9.54,-2.33,9.54,-2.33,2.33,2.26,2.84,11.87,11.87,11.87
31.93,9.53,-2.31,9.54,-2.31,2.31,2.24,2.83,11.85,11.86,11.85
32.24,9.53,-2.32,9.55,-2.30,2.30,2.21,2.82,11.83,11.85,11.85
32.57,9.54,-2.30,9.56,-2.28,2.28,2.19,2.80,11.83,11.84,11.84
32.89,9.55,-2.28,9.57,-2.26,2.26,2.17,2.77,11.82,11.83,11.83
33.22,9.57,-2.25,9.59,-2.24,2.24,2.14,2.75,11.81,11.83,11.83
33.55,9.59,-2.23,9.60,-2.21,2.21,2.12,2.71,11.81,11.82,11.82
33.89,9.62,-2.18,9.63,-2.18,2.18,2.09,2.68,11.81,11.81,11.81
34.23,9.64,-2.15,9.65,-2.15,2.15,2.07,2.64,11.79,11.80,11.79
34.57,9.67,-2.11,9.68,-2.11,2.11,2.04,2.60,11.78,11.79,11.79
34.92,9.71,-2.06,9.71,-2.07,2.07,2.02,2.55,11.78,11.78,11.77
35.27,9.74,-2.04,9.74,-2.03,2.03,1.99,2.50,11.77,11.77,11.78
35.62,9.77,-1.98,9.77,-1.99,1.99,1.96,2.45,11.76,11.75,11.76
35.97,9.80,-1.95,9.80,-1.94,1.94,1.93,2.40,11.75,11.74,11.75
36.33,9.82,-1.91,9.82,-1.90,1.90,1.91,2.34,11.73,11.72,11.73
36.70,9.85,-1.85,9.84,-1.87,1.87,1.88,2.29,11.72,11.71,11.70
37.06,9.87,-1.81,9.86,-1.83,1.83,1.85,2.23,11.70,11.69,11.69
37.43,9.89,-1.78,9.87,-1.80,1.80,1.82,2.17,11.69,11.67,11.67
37.81,9.90,-1.75,9.88,-1.76,1.76,1.79,2.12,11.67,11.65,11.65
38.19,9.90,-1.72,9.89,-1.74,1.74,1.76,2.06,11.64,11.63,11.62
38.57,9.90,-1.70,9.90,-1.71,1.71,1.73,2.00,11.61,11.60,11.60
38.95,9.89,-1.69,9.90,-1.68,1.68,1.70,1.94,11.58,11.58,11.58
39.34,9.88,-1.67,9.90,-1.66,1.66,1.67,1.88,11.54,11.55,11.55
39.74,9.88,-1.64,9.90,-1.63,1.63,1.64,1.82,11.52,11.53,11.52
40.14,9.88,-1.62,9.89,-1.61,1.61,1.61,1.76,11.49,11.51,11.50
40.54,9.88,-1.60,9.89,-1.59,1.59,1.58,1.70,11.47,11.48,11.48
40.94,9.88,-1.57,9.89,-1.57,1.57,1.55,1.65,11.45,11.46,11.45
41.35,9.88,-1.55,9.88,-1.55,1.55,1.52,1.59,11.43,11.43,11.43
41.76,9.88,-1.51,9.88,-1.52,1.52,1.48,1.54,11.41,11.41,11.40
42.18,9.88,-1.50,9.88,-1.50,1.50,1.45,1.48,11.38,11.38,11.38
42.60,9.88,-1.47,9.88,-1.47,1.47,1.42,1.43,11.35,11.35,11.35
43.03,9.88,-1.44,9.88,-1.44,1.44,1.38,1.37,11.33,11.33,11.33
43.46,9.88,-1.41,9.88,-1.42,1.42,1.35,1.32,11.30,11.30,11.29
43.90,9.88,-1.39,9.88,-1.39,1.39,1.32,1.27,11.27,11.27,11.27
44.33,9.88,-1.35,9.88,-1.36,1.36,1.28,1.22,11.24,11.24,11.23
44.78,9.88,-1.33,9.88,-1.32,1.32,1.25,1.17,11.21,11.21,11.21
45.23,9.88,-1.30,9.88,-1.29,1.29,1.22,1.12,11.17,11.17,11.18
45.68,9.88,-1.25,9.88,-1.25,1.25,1.18,1.08,11.14,11.13,11.14
46.13,9.88,-1.22,9.88,-1.21,1.21,1.15,1.03,11.10,11.10,11.10
46.60,9.88,-1.18,9.89,-1.17,1.17,1.11,0.99,11.05,11.06,11.06
47.06,9.88,-1.14,9.89,-1.12,1.12,1.08,0.94,11.01,11.01,11.02
47.53,9.88,-1.10,9.89,-1.08,1.08,1.04,0.90,10.96,10.97,10.98
48.01,9.88,-1.04,9.90,-1.03,1.03,1.00,0.86,10.91,10.93,10.92
