frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,17.88,7.64,17.89,7.65,-7.65,-7.51,-3.16,10.23,10.24,10.24
20.20,17.87,7.64,17.87,7.64,-7.64,-7.50,-3.25,10.23,10.23,10.23
20.40,17.85,7.63,17.85,7.64,-7.64,-7.49,-3.34,10.21,10.21,10.22
20.61,17.83,7.62,17.83,7.63,-7.63,-7.49,-3.43,10.20,10.20,10.21
20.81,17.82,7.63,17.81,7.62,-7.62,-7.48,-3.53,10.20,10.19,10.19
21.02,17.80,7.62,17.79,7.61,-7.61,-7.46,-3.63,10.19,10.18,10.18
21.23,17.78,7.61,17.77,7.60,-7.60,-7.45,-3.73,10.18,10.17,10.17
21.44,17.76,7.58,17.75,7.59,-7.59,-7.44,-3.83,10.17,10.16,10.18
21.66,17.73,7.57,17.73,7.58,-7.58,-7.43,-3.94,10.15,10.15,10.16
21.87,17.71,7.55,17.71,7.56,-7.56,-7.42,-4.05,10.15,10.14,10.16
22.09,17.69,7.55,17.68,7.54,-7.54,-7.41,-4.16,10.15,10.14,10.14
22.31,17.66,7.53,17.66,7.53,-7.53,-7.40,-4.28,10.13,10.13,10.13
22.54,17.63,7.51,17.63,7.51,-7.51,-7.38,-4.40,10.12,10.12,10.12
22.76,17.60,7.48,17.60,7.48,-7.48,-7.37,-4.52,10.12,10.12,10.12
22.99,17.57,7.46,17.57,7.46,-7.46,-7.36,-4.65,10.11,10.11,10.11
23.22,17.54,7.44,17.54,7.44,-7.44,-7.34,-4.78,10.10,10.11,10.10
23.45,17.51,7.40,17.51,7.41,-7.41,-7.33,-4.91,10.10,10.10,10.11
23.69,17.48,7.38,17.48,7.39,-7.39,-7.31,-5.04,10.09,10.10,10.10
23.92,17.45,7.36,17.45,7.36,-7.36,-7.30,-5.18,10.09,10.09,10.09
24.16,17.42,7.32,17.42,7.34,-7.34,-7.28,-5.32,10.08,10.09,10.10
24.40,17.40,7.30,17.40,7.31,-7.31,-7.27,-5.46,10.09,10.09,10.10
24.65,17.37,7.28,17.37,7.28,-7.28,-7.25,-5.60,10.09,10.09,10.09
24.89,17.34,7.25,17.34,7.25,-7.25,-7.24,-5.75,10.09,10.08,10.09
25.14,17.31,7.23,17.31,7.23,-7.23,-7.22,-5.90,10.08,10.08,10.08
25.39,17.28,7.20,17.28,7.20,-7.20,-7.21,-6.05,10.08,10.08,10.08
25.65,17.25,7.17,17.25,7.17,-7.17,-7.19,-6.20,10.08,10.08,10.08
25.91,17.22,7.14,17.22,7.14,-7.14,-7.17,-6.35,10.08,10.08,10.08
26.16,17.19,7.10,17.19,7.12,-7.12,-7.15,-6.50,10.07,10.08,10.09
26.43,17.16,7.08,17.16,7.09,-7.09,-7.14,-6.65,10.07,10.08,10.08
26.69,17.14,7.06,17.14,7.06,-7.06,-7.12,-6.80,10.08,10.08,10.08
26.96,17.11,7.03,17.11,7.03,-7.03,-7.10,-6.95,10.08,10.08,10.08
27.23,17.08,7.00,17.08,7.00,-7.00,-7.08,-7.10,10.08,10.08,10.08
27.50,17.05,6.97,17.05,6.97,-6.97,-7.06,-7.24,10.08,10.08,10.08
27.77,17.02,6.93,17.02,6.94,-6.94,-7.05,-7.38,10.08,10.08,10.09
28.05,16.99,6.91,16.99,6.91,-6.91,-7.03,-7.52,10.08,10.08,10.08
28.33,16.96,6.87,16.96,6.88,-6.88,-7.01,-7.64,10.08,10.09,10.09
28.62,16.93,6.84,16.93,6.85,-6.85,-6.99,-7.77,10.08,10.09,10.09
28.90,16.91,6.81,16.91,6.82,-6.82,-6.97,-7.88,10.09,10.09,10.10
29.19,16.88,6.78,16.88,6.79,-6.79,-6.95,-7.99,10.09,10.09,10.10
29.48,16.85,6.76,16.85,6.76,-6.76,-6.93,-8.08,10.09,10.08,10.09
29.78,16.82,6.73,16.82,6.74,-6.74,-6.91,-8.17,10.08,10.08,10.09
30.08,16.79,6.70,16.79,6.71,-6.71,-6.89,-8.24,10.08,10.08,10.09
30.38,16.76,6.69,16.76,6.69,-6.69,-6.87,-8.30,10.07,10.08,10.07
30.68,16.73,6.66,16.73,6.66,-6.66,-6.84,-8.35,10.07,10.07,10.07
30.99,16.70,6.63,16.70,6.64,-6.64,-6.82,-8.39,10.06,10.07,10.07
31.30,16.68,6.61,16.67,6.61,-6.61,-6.80,-8.41,10.07,10.06,10.07
31.61,16.65,6.59,16.65,6.59,-6.59,-6.78,-8.42,10.06,10.05,10.06
31.93,16.62,6.58,16.62,6.57,-6.57,-6.76,-8.42,10.05,10.05,10.04
32.24,16.59,6.54,16.59,6.55,-6.55,-6.74,-8.40,10.04,10.04,10.05
32.57,16.56,6.53,16.56,6.53,-6.53,-6.72,-8.37,10.03,10.03,10.03
32.89,16.53,6.50,16.54,6.51,-6.51,-6.69,-8.33,10.02,10.03,10.03
33.22,16.50,6.48,16.51,6.49,-6.49,-6.67,-8.28,10.01,10.02,10.02
33.55,16.47,6.45,16.48,6.47,-6.47,-6.65,-8.22,10.00,10.01,10.02
33.89,16.44,6.43,16.45,6.45,-6.45,-6.63,-8.16,9.99,10.01,10.01
34.23,16.43,6.44,16.42,6.43,-6.43,-6.60,-8.08,10.00,10.00,9.99
34.57,16.40,6.41,16.39,6.41,-6.41,-6.58,-8.00,9.99,9.99,9.99
34.92,16.38,6.41,16.36,6.39,-6.39,-6.56,-7.91,9.99,9.98,9.97
35.27,16.34,6.35,16.33,6.37,-6.37,-6.54,-7.81,9.97,9.97,9.99
35.62,16.31,6.35,16.30,6.35,-6.35,-6.51,-7.71,9.97,9.96,9.96
35.97,16.27,6.31,16.27,6.33,-6.33,-6.49,-7.61,9.94,9.94,9.96
36.33,16.23,6.29,16.23,6.30,-6.30,-6.47,-7.51,9.93,9.93,9.94
36.70,16.19,6.27,16.20,6.28,-6.28,-6.44,-7.41,9.91,9.91,9.92
37.06,16.16,6.26,16.16,6.26,-6.26,-6.42,-7.30,9.90,9.90,9.90
37.43,16.13,6.25,16.12,6.24,-6.24,-6.40,-7.20,9.89,9.88,9.88
37.81,16.09,6.22,16.08,6.22,-6.22,-6.37,-7.09,9.87,9.86,9.87
38.19,16.04,6.20,16.04,6.20,-6.20,-6.35,-6.99,9.84,9.84,9.84
38.57,16.00,6.18,16.00,6.18,-6.18,-6.33,-6.89,9.82,9.82,9.82
38.95,15.95,6.14,15.96,6.16,-6.16,-6.30,-6.79,9.79,9.80,9.81
39.34,15.91,6.13,15.92,6.14,-6.14,-6.28,-6.69,9.77,9.78,9.78
39.74,15.87,6.12,15.87,6.12,-6.12,-6.26,-6.60,9.75,9.75,9.75
40.14,15.83,6.10,15.83,6.10,-6.10,-6.24,-6.51,9.73,9.73,9.73
40.54,15.79,6.08,15.79,6.08,-6.08,-6.21,-6.43,9.71,9.71,9.71
40.94,15.74,6.06,15.75,6.06,-6.06,-6.19,-6.34,9.68,9.69,9.68
41.35,15.69,6.02,15.70,6.04,-6.04,-6.17,-6.26,9.65,9.66,9.67
41.76,15.65,6.01,15.66,6.01,-6.01,-6.14,-6.19,9.64,9.64,9.64
42.18,15.62,5.99,15.61,5.99,-5.99,-6.12,-6.12,9.63,9.62,9.63
42.60,15.59,5.99,15.57,5.97,-5.97,-6.10,-6.05,9.62,9.59,9.60
43.03,15.54,5.96,15.52,5.95,-5.95,-6.08,-5.99,9.59,9.57,9.58
43.46,15.48,5.94,15.47,5.93,-5.93,-6.05,-5.94,9.55,9.54,9.54
43.90,15.42,5.90,15.42,5.90,-5.90,-6.03,-5.88,9.52,9.52,9.52
44.33,15.36,5.87,15.37,5.88,-5.88,-6.01,-5.83,9.48,9.49,9.49
44.78,15.31,5.84,15.32,5.86,-5.86,-5.99,-5.79,9.45,9.46,9.47
45.23,15.26,5.81,15.27,5.84,-5.84,-5.96,-5.75,9.42,9.43,9.45
45.68,15.22,5.82,15.22,5.82,-5.82,-5.94,-5.72,9.40,9.40,9.40
46.13,15.18,5.81,15.17,5.81,-5.81,-5.92,-5.68,9.37,9.36,9.37
46.60,15.12,5.79,15.12,5.79,-5.79,-5.90,-5.66,9.33,9.33,9.33
47.06,15.06,5.76,15.06,5.78,-5.78,-5.88,-5.64,9.28,9.29,9.30
47.53,15.00,5.74,15.01,5.77,-5.77,-5.86,-5.62,9.23,9.25,9.26
48.01,14.95,5.74,14.97,5.76,-5.76,-5.84,-5.60,9.19,9.21,9.21
48.49,14.92,5.75,14.92,5.75,-5.75,-5.82,-5.59,9.17,9.17,9.17
48.97,14.88,5.76,14.87,5.75,-5.75,-5.79,-5.58,9.13,9.13,9.12
49.46,14.83,5.74,14.83,5.74,-5.74,-5.77,-5.58,9.09,9.08,9.09
49.96,14.78,5.75,14.78,5.74,-5.74,-5.75,-5.58,9.04,9.04,9.03
50.46,14.72,5.72,14.73,5.73,-5.73,-5.73,-5.58,8.99,9.00,9.00
50.96,14.68,5.72,14.68,5.73,-5.73,-5.72,-5.59,8.95,8.96,8.96
51.47,14.64,5.72,14.63,5.72,-5.72,-5.70,-5.59,8.92,8.92,8.92
51.99,14.60,5.73,14.59,5.71,-5.71,-5.68,-5.60,8.89,8.87,8.87
52.51,14.55,5.71,14.54,5.71,-5.71,-5.66,-5.61,8.84,8.83,8.84
53.03,14.49,5.68,14.49,5.70,-5.70,-5.64,-5.63,8.79,8.79,8.81
53.56,14.43,5.67,14.44,5.69,-5.69,-5.62,-5.64,8.74,8.75,8.76
54.10,14.38,5.67,14.38,5.67,-5.67,-5.60,-5.66,8.71,8.71,8.71
54.64,14.33,5.66,14.33,5.66,-5.66,-5.59,-5.67,8.67,8.67,8.67
55.18,14.27,5.64,14.27,5.64,-5.64,-5.57,-5.69,8.63,8.63,8.63
55.74,14.22,5.64,14.22,5.62,-5.62,-5.55,-5.71,8.60,8.60,8.58
56.29,14.16,5.60,14.16,5.61,-5.61,-5.54,-5.72,8.55,8.56,8.56
56.86,14.11,5.59,14.10,5.59,-5.59,-5.52,-5.73,8.52,8.52,8.52
57.42,14.05,5.58,14.05,5.57,-5.57,-5.51,-5.75,8.48,8.47,8.47
58.00,13.99,5.56,13.99,5.56,-5.56,-5.49,-5.76,8.43,8.43,8.43
58.58,13.92,5.52,13.93,5.54,-5.54,-5.48,-5.77,8.38,8.39,8.40
59.16,13.86,5.49,13.87,5.53,-5.53,-5.46,-5.77,8.33,8.34,8.37
59.76,13.82,5.50,13.81,5.52,-5.52,-5.45,-5.78,8.30,8.30,8.32
60.35,13.76,5.49,13.75,5.50,-5.50,-5.43,-5.78,8.26,8.25,8.27
60.96,13.69,5.48,13.69,5.49,-5.49,-5.42,-5.77,8.20,8.20,8.21
61.57,13.62,5.47,13.63,5.48,-5.48,-5.41,-5.77,8.14,8.15,8.15
62.18,13.56,5.47,13.56,5.47,-5.47,-5.39,-5.75,8.09,8.10,8.09
62.80,13.50,5.47,13.50,5.46,-5.46,-5.38,-5.74,8.04,8.04,8.03
63.43,13.45,5.47,13.43,5.45,-5.45,-5.37,-5.72,8.00,7.99,7.98
64.07,13.38,5.45,13.37,5.44,-5.44,-5.36,-5.70,7.94,7.93,7.93
64.71,13.30,5.42,13.31,5.43,-5.43,-5.35,-5.68,7.87,7.88,7.88
65.35,13.23,5.41,13.24,5.42,-5.42,-5.34,-5.65,7.81,7.82,7.82
66.01,13.17,5.40,13.18,5.41,-5.41,-5.33,-5.61,7.76,7.77,7.77
66.67,13.11,5.38,13.11,5.40,-5.40,-5.32,-5.58,7.71,7.71,7.73
67.33,13.06,5.40,13.05,5.39,-5.39,-5.31,-5.54,7.67,7.66,7.66
68.01,12.99,5.38,12.99,5.38,-5.38,-5.30,-5.50,7.61,7.60,7.61
68.69,12.92,5.36,12.92,5.37,-5.37,-5.29,-5.46,7.55,7.55,7.56
69.37,12.85,5.34,12.86,5.37,-5.37,-5.28,-5.42,7.48,7.49,7.51
70.07,12.80,5.35,12.80,5.37,-5.37,-5.28,-5.37,7.43,7.44,7.45
70.77,12.74,5.36,12.74,5.36,-5.36,-5.27,-5.33,7.38,7.38,7.38
71.48,12.69,5.36,12.69,5.36,-5.36,-5.26,-5.28,7.33,7.32,7.33
72.19,12.62,5.35,12.63,5.36,-5.36,-5.26,-5.23,7.25,7.26,7.27
72.91,12.56,5.36,12.57,5.36,-5.36,-5.25,-5.18,7.19,7.21,7.20
73.64,12.51,5.36,12.52,5.36,-5.36,-5.25,-5.14,7.15,7.15,7.15
74.38,12.47,5.38,12.46,5.36,-5.36,-5.24,-5.09,7.11,7.09,7.09
75.12,12.41,5.37,12.40,5.36,-5.36,-5.24,-5.05,7.05,7.04,7.04
75.87,12.35,5.36,12.34,5.36,-5.36,-5.23,-5.01,6.99,6.99,6.99
76.63,12.28,5.35,12.29,5.35,-5.35,-5.23,-4.97,6.93,6.93,6.93
77.40,12.23,5.34,12.23,5.35,-5.35,-5.23,-4.93,6.88,6.88,6.89
78.17,12.18,5.35,12.17,5.34,-5.34,-5.23,-4.89,6.84,6.83,6.83
78.95,12.12,5.33,12.11,5.33,-5.33,-5.22,-4.85,6.79,6.78,6.79
79.74,12.05,5.31,12.05,5.31,-5.31,-5.22,-4.82,6.74,6.73,6.74
80.54,11.98,5.29,11.99,5.30,-5.30,-5.22,-4.79,6.68,6.68,6.69
81.35,11.91,5.28,11.92,5.29,-5.29,-5.22,-4.77,6.62,6.63,6.63
82.16,11.86,5.26,11.86,5.27,-5.27,-5.22,-4.74,6.59,6.58,6.60
82.98,11.80,5.26,11.79,5.26,-5.26,-5.22,-4.72,6.54,6.53,6.54
83.81,11.74,5.25,11.73,5.25,-5.25,-5.22,-4.71,6.49,6.48,6.49
84.65,11.66,5.23,11.66,5.24,-5.24,-5.22,-4.69,6.42,6.43,6.43
85.50,11.59,5.22,11.60,5.23,-5.23,-5.22,-4.68,6.36,6.37,6.37
86.35,11.52,5.20,11.53,5.22,-5.22,-5.22,-4.68,6.30,6.32,6.32
87.22,11.47,5.20,11.47,5.21,-5.21,-5.22,-4.67,6.26,6.26,6.27
88.09,11.41,5.20,11.41,5.20,-5.20,-5.22,-4.67,6.21,6.21,6.21
88.97,11.34,5.19,11.35,5.19,-5.19,-5.22,-4.68,6.15,6.15,6.15
89.86,11.28,5.18,11.28,5.19,-5.19,-5.22,-4.69,6.09,6.09,6.10
90.76,11.22,5.18,11.22,5.19,-5.19,-5.23,-4.70,6.03,6.03,6.04
91.66,11.17,5.20,11.16,5.19,-5.19,-5.23,-4.71,5.98,5.97,5.97
92.58,11.11,5.19,11.10,5.18,-5.18,-5.23,-4.73,5.93,5.91,5.92
93.51,11.04,5.17,11.04,5.19,-5.19,-5.23,-4.75,5.85,5.85,5.87
94.44,10.98,5.17,10.98,5.19,-5.19,-5.23,-4.77,5.79,5.79,5.81
95.39,10.91,5.17,10.92,5.19,-5.19,-5.24,-4.80,5.72,5.73,5.74
96.34,10.86,5.19,10.86,5.19,-5.19,-5.24,-4.83,5.67,5.67,5.67
97.30,10.80,5.19,10.80,5.19,-5.19,-5.24,-4.87,5.60,5.61,5.61
98.28,10.75,5.21,10.74,5.20,-5.20,-5.25,-4.90,5.55,5.55,5.54
99.26,10.68,5.20,10.68,5.20,-5.20,-5.25,-4.94,5.48,5.49,5.48
100.25,10.62,5.20,10.63,5.20,-5.20,-5.25,-4.98,5.42,5.43,5.42
101.25,10.57,5.20,10.57,5.20,-5.20,-5.25,-5.02,5.37,5.37,5.37
102.27,10.52,5.21,10.51,5.20,-5.20,-5.26,-5.07,5.32,5.31,5.31
103.29,10.45,5.20,10.45,5.20,-5.20,-5.26,-5.11,5.25,5.25,5.25
104.32,10.39,5.19,10.39,5.20,-5.20,-5.26,-5.16,5.19,5.19,5.20
105.37,10.32,5.18,10.33,5.19,-5.19,-5.26,-5.21,5.13,5.14,5.14
106.42,10.26,5.17,10.27,5.19,-5.19,-5.26,-5.26,5.07,5.08,5.09
107.48,10.21,5.18,10.21,5.18,-5.18,-5.27,-5.30,5.03,5.03,5.03
108.56,10.16,5.18,10.15,5.18,-5.18,-5.27,-5.35,4.98,4.97,4.98
109.64,10.09,5.17,10.09,5.18,-5.18,-5.27,-5.40,4.91,4.91,4.92
110.74,10.02,5.16,10.02,5.17,-5.17,-5.27,-5.44,4.85,4.85,4.86
111.85,9.96,5.16,9.96,5.17,-5.17,-5.27,-5.49,4.79,4.79,4.80
112.97,9.91,5.16,9.90,5.16,-5.16,-5.27,-5.53,4.75,4.73,4.75
114.10,9.84,5.15,9.83,5.16,-5.16,-5.27,-5.57,4.68,4.67,4.69
115.24,9.77,5.16,9.77,5.15,-5.15,-5.27,-5.60,4.62,4.62,4.61
116.39,9.70,5.15,9.71,5.15,-5.15,-5.26,-5.63,4.55,4.56,4.55
117.55,9.63,5.14,9.64,5.14,-5.14,-5.26,-5.66,4.49,4.50,4.49
118.73,9.58,5.15,9.58,5.13,-5.13,-5.26,-5.68,4.45,4.44,4.43
119.92,9.52,5.13,9.51,5.12,-5.12,-5.26,-5.70,4.40,4.39,4.39
121.12,9.45,5.11,9.45,5.12,-5.12,-5.25,-5.71,4.33,4.33,4.34
122.33,9.38,5.10,9.38,5.11,-5.11,-5.25,-5.71,4.27,4.27,4.28
123.55,9.31,5.08,9.32,5.10,-5.10,-5.24,-5.71,4.21,4.22,4.23
124.79,9.25,5.07,9.25,5.09,-5.09,-5.24,-5.71,4.16,4.16,4.18
126.03,9.20,5.08,9.19,5.08,-5.08,-5.23,-5.69,4.12,4.11,4.12
127.29,9.13,5.06,9.13,5.07,-5.07,-5.22,-5.67,4.06,4.06,4.07
128.57,9.06,5.06,9.06,5.06,-5.06,-5.21,-5.65,4.00,4.00,4.00
129.85,8.99,5.04,9.00,5.05,-5.05,-5.20,-5.62,3.94,3.95,3.95
131.15,8.93,5.04,8.93,5.04,-5.04,-5.19,-5.58,3.89,3.89,3.89
132.46,8.87,5.03,8.87,5.03,-5.03,-5.18,-5.54,3.84,3.84,3.84
133.79,8.81,5.03,8.80,5.02,-5.02,-5.17,-5.50,3.79,3.78,3.78
135.12,8.74,5.01,8.74,5.01,-5.01,-5.16,-5.44,3.73,3.73,3.73
136.48,8.67,4.99,8.67,5.00,-5.00,-5.14,-5.39,3.67,3.68,3.68
137.84,8.61,4.98,8.61,4.99,-4.99,-5.13,-5.33,3.62,3.62,3.63
139.22,8.55,4.98,8.54,4.97,-4.97,-5.11,-5.27,3.58,3.57,3.57
140.61,8.48,4.95,8.48,4.95,-4.95,-5.10,-5.20,3.53,3.52,3.53
142.02,8.41,4.94,8.41,4.94,-4.94,-5.08,-5.14,3.47,3.48,3.47
143.44,8.34,4.91,8.35,4.92,-4.92,-5.06,-5.07,3.42,3.43,3.43
144.87,8.28,4.89,8.28,4.89,-4.89,-5.04,-5.00,3.39,3.38,3.39
146.32,8.21,4.87,8.21,4.87,-4.87,-5.02,-4.93,3.34,3.34,3.34
147.78,8.14,4.84,8.14,4.85,-4.85,-5.00,-4.85,3.29,3.29,3.30
