frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.18,-2.64,5.18,-2.65,2.65,2.35,1.09,7.82,7.82,7.82
20.20,5.18,-2.63,5.18,-2.63,2.63,2.37,1.12,7.81,7.81,7.81
20.40,5.18,-2.62,5.18,-2.62,2.62,2.38,1.16,7.80,7.80,7.80
20.61,5.18,-2.61,5.18,-2.61,2.61,2.40,1.20,7.79,7.79,7.79
20.81,5.18,-2.59,5.18,-2.60,2.60,2.41,1.23,7.78,7.78,7.77
21.02,5.18,-2.58,5.18,-2.59,2.59,2.43,1.27,7.77,7.77,7.76
21.23,5.18,-2.57,5.18,-2.58,2.58,2.44,1.31,7.76,7.76,7.75
21.44,5.18,-2.58,5.18,-2.57,2.57,2.45,1.36,7.75,7.75,7.76
21.66,5.18,-2.56,5.18,-2.56,2.56,2.47,1.40,7.74,7.74,7.74
21.87,5.18,-2.56,5.18,-2.55,2.55,2.48,1.44,7.73,7.73,7.74
22.09,5.18,-2.54,5.18,-2.54,2.54,2.49,1.49,7.72,7.72,7.72
22.31,5.18,-2.53,5.18,-2.54,2.54,2.50,1.54,7.71,7.71,7.71
22.54,5.18,-2.52,5.18,-2.53,2.53,2.51,1.58,7.71,7.71,7.70
22.76,5.18,-2.52,5.18,-2.52,2.52,2.52,1.63,7.70,7.70,7.70
22.99,5.18,-2.51,5.18,-2.52,2.52,2.53,1.69,7.70,7.70,7.69
23.22,5.18,-2.50,5.18,-2.51,2.51,2.54,1.74,7.69,7.69,7.68
23.45,5.18,-2.51,5.18,-2.51,2.51,2.55,1.79,7.69,7.69,7.69
23.69,5.18,-2.50,5.18,-2.50,2.50,2.56,1.84,7.68,7.68,7.68
23.92,5.18,-2.49,5.18,-2.50,2.50,2.57,1.90,7.68,7.68,7.67
24.16,5.18,-2.50,5.18,-2.50,2.50,2.57,1.96,7.67,7.67,7.68
24.40,5.18,-2.50,5.18,-2.49,2.49,2.58,2.01,7.67,7.67,7.68
24.65,5.18,-2.49,5.18,-2.49,2.49,2.59,2.07,7.67,7.67,7.67
24.89,5.18,-2.49,5.18,-2.49,2.49,2.59,2.13,7.67,7.67,7.67
25.14,5.18,-2.48,5.18,-2.49,2.49,2.60,2.19,7.67,7.67,7.66
25.39,5.18,-2.48,5.18,-2.49,2.49,2.60,2.25,7.67,7.67,7.66
25.65,5.18,-2.48,5.18,-2.49,2.49,2.60,2.31,7.66,7.66,7.66
25.91,5.18,-2.48,5.18,-2.48,2.48,2.61,2.37,7.66,7.66,7.66
26.16,5.18,-2.49,5.18,-2.48,2.48,2.61,2.43,7.66,7.66,7.67
26.43,5.18,-2.48,5.18,-2.48,2.48,2.61,2.49,7.66,7.66,7.66
26.69,5.18,-2.48,5.18,-2.48,2.48,2.61,2.55,7.66,7.66,7.66
26.96,5.18,-2.48,5.18,-2.49,2.49,2.61,2.60,7.66,7.66,7.66
27.23,5.18,-2.48,5.18,-2.49,2.49,2.61,2.66,7.67,7.67,7.66
27.50,5.18,-2.48,5.18,-2.49,2.49,2.61,2.71,7.67,7.67,7.66
27.77,5.18,-2.49,5.18,-2.49,2.49,2.61,2.77,7.67,7.67,7.67
28.05,5.18,-2.48,5.18,-2.49,2.49,2.61,2.82,7.67,7.67,7.66
28.33,5.18,-2.49,5.18,-2.49,2.49,2.60,2.86,7.67,7.67,7.67
28.62,5.18,-2.49,5.18,-2.49,2.49,2.60,2.91,7.67,7.67,7.67
28.90,5.18,-2.50,5.18,-2.49,2.49,2.59,2.95,7.67,7.67,7.68
29.19,5.18,-2.50,5.18,-2.49,2.49,2.59,2.99,7.67,7.67,7.68
29.48,5.18,-2.49,5.18,-2.49,2.49,2.58,3.02,7.67,7.67,7.67
29.78,5.18,-2.49,5.18,-2.49,2.49,2.58,3.05,7.67,7.67,7.67
30.08,5.18,-2.49,5.18,-2.49,2.49,2.57,3.08,7.66,7.66,7.67
30.38,5.18,-2.47,5.18,-2.48,2.48,2.56,3.10,7.66,7.66,7.65
30.68,5.18,-2.47,5.18,-2.48,2.48,2.55,3.12,7.66,7.66,7.65
30.99,5.18,-2.47,5.18,-2.47,2.47,2.54,3.13,7.65,7.65,7.65
31.30,5.18,-2.47,5.18,-2.47,2.47,2.53,3.13,7.65,7.65,7.65
31.61,5.18,-2.46,5.18,-2.46,2.46,2.52,3.13,7.64,7.64,7.64
31.93,5.18,-2.44,5.18,-2.45,2.45,2.51,3.13,7.63,7.63,7.62
32.24,5.18,-2.45,5.18,-2.45,2.45,2.50,3.12,7.62,7.62,7.63
32.57,5.18,-2.43,5.18,-2.44,2.44,2.49,3.11,7.62,7.62,7.61
32.89,5.18,-2.43,5.18,-2.43,2.43,2.48,3.09,7.61,7.61,7.61
33.22,5.18,-2.42,5.18,-2.43,2.43,2.46,3.07,7.60,7.60,7.60
33.55,5.18,-2.42,5.18,-2.42,2.42,2.45,3.04,7.60,7.60,7.60
33.89,5.18,-2.41,5.18,-2.41,2.41,2.43,3.01,7.59,7.59,7.59
34.23,5.18,-2.39,5.18,-2.40,2.40,2.42,2.97,7.58,7.58,7.57
34.57,5.18,-2.39,5.18,-2.40,2.40,2.40,2.93,7.57,7.57,7.57
34.92,5.18,-2.37,5.18,-2.39,2.39,2.38,2.89,7.56,7.56,7.55
35.27,5.18,-2.39,5.18,-2.38,2.38,2.37,2.85,7.55,7.55,7.57
35.62,5.18,-2.36,5.18,-2.36,2.36,2.35,2.80,7.54,7.54,7.54
35.97,5.18,-2.36,5.18,-2.35,2.35,2.33,2.75,7.53,7.53,7.54
36.33,5.18,-2.34,5.18,-2.34,2.34,2.31,2.70,7.52,7.52,7.52
36.70,5.18,-2.32,5.18,-2.32,2.32,2.29,2.65,7.50,7.50,7.50
37.06,5.18,-2.30,5.18,-2.30,2.30,2.27,2.60,7.48,7.48,7.48
37.43,5.18,-2.28,5.18,-2.29,2.29,2.25,2.55,7.46,7.46,7.46
37.81,5.18,-2.27,5.18,-2.27,2.27,2.23,2.49,7.45,7.45,7.45
38.19,5.18,-2.24,5.18,-2.25,2.25,2.21,2.44,7.43,7.43,7.42
38.57,5.18,-2.22,5.18,-2.23,2.23,2.18,2.38,7.40,7.40,7.40
38.95,5.18,-2.21,5.18,-2.21,2.21,2.16,2.33,7.38,7.38,7.39
39.34,5.18,-2.18,5.18,-2.18,2.18,2.14,2.28,7.36,7.36,7.36
39.74,5.18,-2.15,5.18,-2.16,2.16,2.11,2.22,7.34,7.34,7.33
40.14,5.18,-2.13,5.18,-2.14,2.14,2.09,2.17,7.32,7.32,7.31
40.54,5.18,-2.11,5.18,-2.12,2.12,2.06,2.12,7.29,7.29,7.29
40.94,5.18,-2.08,5.18,-2.10,2.10,2.04,2.07,7.27,7.27,7.26
41.35,5.18,-2.07,5.18,-2.07,2.07,2.01,2.02,7.25,7.25,7.25
41.76,5.18,-2.04,5.18,-2.05,2.05,1.99,1.97,7.23,7.23,7.22
42.18,5.18,-2.03,5.18,-2.02,2.02,1.96,1.93,7.20,7.20,7.21
42.60,5.18,-2.00,5.18,-2.00,2.00,1.93,1.88,7.18,7.18,7.18
43.03,5.18,-1.98,5.18,-1.97,1.97,1.91,1.84,7.15,7.16,7.16
43.46,5.18,-1.94,5.19,-1.94,1.94,1.88,1.79,7.12,7.13,7.12
43.90,5.18,-1.92,5.19,-1.92,1.92,1.85,1.75,7.09,7.10,7.10
44.33,5.19,-1.88,5.19,-1.88,1.88,1.82,1.71,7.07,7.08,7.07
44.78,5.20,-1.85,5.20,-1.85,1.85,1.79,1.67,7.05,7.05,7.05
45.23,5.20,-1.83,5.20,-1.82,1.82,1.76,1.63,7.02,7.02,7.03
45.68,5.21,-1.77,5.20,-1.78,1.78,1.73,1.60,6.99,6.98,6.98
46.13,5.21,-1.74,5.20,-1.74,1.74,1.70,1.56,6.95,6.95,6.95
46.60,5.21,-1.70,5.20,-1.71,1.71,1.67,1.53,6.91,6.91,6.91
47.06,5.21,-1.67,5.20,-1.67,1.67,1.64,1.50,6.88,6.87,6.88
47.53,5.20,-1.64,5.20,-1.63,1.63,1.61,1.46,6.83,6.83,6.84
