frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.75,-9.89,-5.75,-9.89,9.89,8.32,3.68,4.14,4.14,4.14
20.20,-5.69,-9.82,-5.69,-9.82,9.82,8.29,3.78,4.13,4.13,4.13
20.40,-5.64,-9.76,-5.64,-9.75,9.75,8.27,3.88,4.11,4.12,4.12
20.61,-5.58,-9.69,-5.58,-9.69,9.69,8.25,3.99,4.11,4.11,4.11
20.81,-5.53,-9.62,-5.53,-9.62,9.62,8.23,4.10,4.09,4.10,4.09
21.02,-5.47,-9.55,-5.47,-9.55,9.56,8.20,4.21,4.09,4.09,4.08
21.23,-5.42,-9.49,-5.42,-9.49,9.49,8.18,4.33,4.07,4.08,4.07
21.44,-5.36,-9.44,-5.36,-9.43,9.43,8.16,4.45,4.07,4.07,4.08
21.66,-5.31,-9.37,-5.31,-9.37,9.36,8.13,4.57,4.05,4.06,4.06
21.87,-5.25,-9.31,-5.25,-9.31,9.30,8.11,4.70,4.05,4.05,4.06
22.09,-5.20,-9.24,-5.20,-9.24,9.24,8.09,4.83,4.04,4.04,4.04
22.31,-5.14,-9.17,-5.14,-9.17,9.17,8.06,4.96,4.03,4.03,4.03
22.54,-5.08,-9.10,-5.08,-9.10,9.11,8.04,5.09,4.03,4.02,4.02
22.76,-5.03,-9.05,-5.03,-9.04,9.05,8.01,5.24,4.02,4.02,4.02
22.99,-4.97,-8.98,-4.97,-8.98,8.98,7.99,5.38,4.01,4.01,4.01
23.22,-4.92,-8.92,-4.92,-8.92,8.92,7.96,5.53,4.00,4.01,4.00
23.45,-4.86,-8.87,-4.86,-8.86,8.87,7.94,5.68,4.01,4.00,4.01
23.69,-4.81,-8.81,-4.81,-8.81,8.81,7.91,5.83,4.00,4.00,4.00
23.92,-4.76,-8.75,-4.76,-8.75,8.75,7.89,5.99,3.99,3.99,3.99
24.16,-4.70,-8.70,-4.70,-8.70,8.69,7.86,6.15,3.99,3.99,4.00
24.40,-4.65,-8.65,-4.65,-8.64,8.64,7.83,6.31,3.99,3.99,4.00
24.65,-4.59,-8.58,-4.59,-8.58,8.58,7.81,6.48,3.99,3.99,3.99
24.89,-4.53,-8.52,-4.53,-8.52,8.52,7.78,6.65,3.99,3.99,3.99
25.14,-4.48,-8.46,-4.48,-8.46,8.47,7.75,6.82,3.99,3.99,3.98
25.39,-4.43,-8.41,-4.43,-8.40,8.41,7.73,6.99,3.98,3.98,3.98
25.65,-4.37,-8.35,-4.37,-8.35,8.35,7.70,7.17,3.98,3.98,3.98
25.91,-4.32,-8.30,-4.32,-8.30,8.30,7.67,7.34,3.98,3.98,3.98
26.16,-4.27,-8.26,-4.27,-8.25,8.24,7.64,7.52,3.98,3.98,3.99
26.43,-4.21,-8.19,-4.21,-8.20,8.19,7.62,7.70,3.98,3.98,3.98
26.69,-4.16,-8.14,-4.16,-8.14,8.14,7.59,7.87,3.98,3.98,3.98
26.96,-4.11,-8.09,-4.11,-8.09,8.09,7.56,8.05,3.98,3.98,3.98
27.23,-4.06,-8.04,-4.06,-8.04,8.04,7.53,8.22,3.98,3.98,3.98
27.50,-4.01,-7.99,-4.01,-7.99,7.99,7.50,8.39,3.98,3.98,3.98
