frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.16,-3.02,6.16,-3.02,3.02,2.85,0.63,9.18,9.18,9.18
20.20,6.20,-2.97,6.20,-2.97,2.97,2.82,0.66,9.17,9.17,9.17
20.40,6.25,-2.91,6.25,-2.91,2.91,2.79,0.68,9.16,9.16,9.16
20.61,6.29,-2.86,6.29,-2.86,2.86,2.76,0.70,9.15,9.15,9.15
20.81,6.33,-2.80,6.33,-2.80,2.81,2.73,0.73,9.14,9.14,9.13
21.02,6.37,-2.75,6.38,-2.75,2.75,2.69,0.75,9.12,9.13,9.12
21.23,6.42,-2.69,6.42,-2.70,2.70,2.66,0.78,9.12,9.12,9.11
21.44,6.46,-2.66,6.46,-2.65,2.65,2.62,0.80,9.11,9.11,9.12
21.66,6.50,-2.60,6.51,-2.60,2.60,2.58,0.83,9.10,9.10,9.10
21.87,6.55,-2.55,6.55,-2.55,2.54,2.55,0.86,9.10,9.09,9.10
22.09,6.59,-2.49,6.59,-2.49,2.49,2.51,0.89,9.08,9.08,9.08
22.31,6.63,-2.44,6.63,-2.44,2.44,2.47,0.92,9.07,9.07,9.07
22.54,6.67,-2.39,6.67,-2.39,2.39,2.43,0.95,9.06,9.07,9.06
22.76,6.72,-2.34,6.72,-2.34,2.34,2.39,0.98,9.06,9.06,9.06
22.99,6.76,-2.29,6.76,-2.29,2.29,2.35,1.01,9.05,9.05,9.05
23.22,6.80,-2.24,6.80,-2.25,2.25,2.31,1.04,9.05,9.05,9.04
23.45,6.84,-2.21,6.84,-2.20,2.20,2.27,1.08,9.04,9.04,9.05
23.69,6.88,-2.16,6.88,-2.16,2.16,2.23,1.11,9.04,9.04,9.04
23.92,6.93,-2.10,6.93,-2.11,2.11,2.19,1.15,9.04,9.04,9.03
24.16,6.97,-2.07,6.97,-2.07,2.07,2.15,1.18,9.04,9.04,9.04
24.40,7.01,-2.03,7.01,-2.02,2.02,2.10,1.22,9.04,9.04,9.04
24.65,7.05,-1.98,7.05,-1.98,1.98,2.06,1.25,9.03,9.03,9.03
24.89,7.09,-1.94,7.09,-1.94,1.94,2.02,1.29,9.03,9.03,9.03
25.14,7.13,-1.89,7.13,-1.89,1.89,1.97,1.32,9.03,9.02,9.02
25.39,7.17,-1.85,7.17,-1.85,1.85,1.93,1.36,9.02,9.02,9.02
25.65,7.21,-1.81,7.21,-1.81,1.81,1.89,1.40,9.02,9.02,9.02
25.91,7.26,-1.76,7.26,-1.77,1.76,1.84,1.43,9.03,9.02,9.02
26.16,7.30,-1.73,7.30,-1.72,1.72,1.80,1.47,9.02,9.02,9.03
26.43,7.34,-1.68,7.34,-1.68,1.68,1.76,1.50,9.02,9.02,9.02
26.69,7.38,-1.64,7.38,-1.64,1.64,1.71,1.53,9.02,9.02,9.02
26.96,7.42,-1.60,7.42,-1.60,1.60,1.67,1.57,9.02,9.02,9.02
27.23,7.46,-1.56,7.46,-1.56,1.56,1.62,1.60,9.02,9.02,9.02
