frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.55,0.43,8.54,0.41,-0.41,-5.12,-3.86,8.14,8.13,8.13
20.20,8.79,0.68,8.79,0.67,-0.67,-5.19,-3.97,8.12,8.12,8.12
20.40,9.04,0.94,9.04,0.94,-0.94,-5.26,-4.08,8.11,8.10,8.10
20.61,9.29,1.19,9.29,1.20,-1.20,-5.34,-4.19,8.09,8.09,8.10
20.81,9.53,1.46,9.54,1.46,-1.46,-5.41,-4.31,8.08,8.08,8.07
21.02,9.78,1.72,9.79,1.72,-1.72,-5.49,-4.43,8.06,8.07,8.07
21.23,10.03,1.98,10.04,1.98,-1.98,-5.56,-4.55,8.05,8.06,8.06
21.44,10.28,2.22,10.29,2.24,-2.24,-5.64,-4.67,8.05,8.05,8.06
21.66,10.53,2.48,10.54,2.50,-2.50,-5.71,-4.80,8.03,8.04,8.05
21.87,10.79,2.74,10.79,2.76,-2.76,-5.79,-4.94,8.03,8.03,8.04
22.09,11.04,3.02,11.05,3.02,-3.02,-5.87,-5.07,8.02,8.03,8.02
22.31,11.30,3.28,11.30,3.28,-3.28,-5.95,-5.21,8.02,8.02,8.01
22.54,11.55,3.54,11.55,3.54,-3.54,-6.03,-5.36,8.01,8.01,8.01
22.76,11.81,3.81,11.81,3.80,-3.80,-6.12,-5.50,8.01,8.01,8.00
22.99,12.07,4.08,12.07,4.07,-4.07,-6.20,-5.65,8.00,8.00,8.00
23.22,12.32,4.34,12.32,4.33,-4.33,-6.28,-5.81,7.99,8.00,7.99
23.45,12.58,4.59,12.58,4.59,-4.59,-6.37,-5.97,7.99,7.99,7.99
23.69,12.83,4.84,12.84,4.85,-4.85,-6.46,-6.13,7.97,7.98,7.99
23.92,13.09,5.12,13.10,5.12,-5.12,-6.54,-6.30,7.98,7.98,7.98
24.16,13.35,5.37,13.35,5.38,-5.38,-6.63,-6.47,7.98,7.98,7.99
24.40,13.61,5.62,13.61,5.63,-5.63,-6.72,-6.64,7.97,7.98,7.98
24.65,13.85,5.87,13.86,5.89,-5.89,-6.82,-6.82,7.96,7.97,7.98
24.89,14.11,6.13,14.11,6.14,-6.14,-6.91,-7.00,7.96,7.97,7.97
25.14,14.35,6.39,14.36,6.39,-6.39,-7.01,-7.18,7.96,7.97,7.97
25.39,14.61,6.64,14.60,6.63,-6.63,-7.11,-7.36,7.97,7.97,7.97
25.65,14.86,6.90,14.84,6.88,-6.88,-7.21,-7.55,7.98,7.97,7.97
25.91,15.10,7.13,15.08,7.11,-7.11,-7.31,-7.74,7.98,7.97,7.97
26.16,15.33,7.36,15.31,7.34,-7.34,-7.41,-7.93,7.99,7.97,7.97
26.43,15.55,7.58,15.54,7.57,-7.57,-7.52,-8.12,7.98,7.97,7.97
26.69,15.76,7.80,15.76,7.79,-7.79,-7.63,-8.31,7.97,7.97,7.97
26.96,15.96,7.99,15.97,8.01,-8.01,-7.75,-8.50,7.95,7.97,7.97
27.23,16.17,8.20,16.19,8.22,-8.22,-7.86,-8.69,7.95,7.97,7.97
27.50,16.37,8.41,16.39,8.42,-8.42,-7.98,-8.87,7.95,7.97,7.97
27.77,16.58,8.61,16.59,8.61,-8.61,-8.11,-9.06,7.97,7.97,7.97
28.05,16.77,8.81,16.78,8.80,-8.80,-8.24,-9.23,7.97,7.97,7.97
28.33,16.96,8.99,16.96,8.99,-8.99,-8.37,-9.41,7.98,7.97,7.98
28.62,17.14,9.16,17.14,9.16,-9.16,-8.51,-9.57,7.98,7.98,7.98
28.90,17.32,9.34,17.31,9.33,-9.33,-8.66,-9.73,7.99,7.97,7.99
29.19,17.49,9.51,17.47,9.50,-9.50,-8.81,-9.88,7.99,7.97,7.99
29.48,17.64,9.67,17.63,9.66,-9.66,-8.97,-10.01,7.98,7.97,7.98
29.78,17.78,9.81,17.79,9.82,-9.82,-9.13,-10.14,7.97,7.97,7.98
30.08,17.92,9.94,17.93,9.96,-9.96,-9.30,-10.25,7.96,7.97,7.98
30.38,18.05,10.09,18.06,10.10,-10.10,-9.47,-10.36,7.95,7.96,7.96
30.68,18.18,10.23,18.19,10.23,-10.23,-9.65,-10.44,7.95,7.96,7.96
30.99,18.30,10.35,18.30,10.35,-10.35,-9.83,-10.51,7.95,7.96,7.96
31.30,18.41,10.46,18.41,10.46,-10.46,-10.01,-10.57,7.95,7.95,7.96
31.61,18.52,10.58,18.50,10.56,-10.56,-10.18,-10.61,7.96,7.94,7.95
31.93,18.61,10.68,18.59,10.66,-10.66,-10.34,-10.64,7.95,7.94,7.93
32.24,18.69,10.76,18.67,10.74,-10.74,-10.49,-10.65,7.95,7.93,7.93
32.57,18.75,10.84,18.74,10.82,-10.82,-10.61,-10.65,7.93,7.92,7.92
32.89,18.80,10.89,18.80,10.88,-10.88,-10.70,-10.64,7.92,7.92,7.91
33.22,18.84,10.94,18.85,10.94,-10.94,-10.77,-10.61,7.90,7.91,7.91
33.55,18.89,10.99,18.89,10.99,-10.99,-10.81,-10.58,7.90,7.90,7.90
33.89,18.92,11.03,18.93,11.03,-11.03,-10.83,-10.53,7.89,7.89,7.90
34.23,18.94,11.07,18.95,11.07,-11.07,-10.83,-10.47,7.87,7.89,7.88
34.57,18.96,11.09,18.97,11.10,-11.10,-10.81,-10.41,7.86,7.88,7.88
34.92,18.98,11.13,18.99,11.12,-11.12,-10.79,-10.34,7.86,7.87,7.86
35.27,18.99,11.12,18.99,11.13,-11.13,-10.76,-10.27,7.86,7.86,7.87
35.62,19.00,11.16,18.99,11.15,-11.15,-10.73,-10.19,7.85,7.85,7.85
35.97,18.99,11.15,18.99,11.16,-11.16,-10.70,-10.11,7.84,7.83,7.84
36.33,18.98,11.16,18.98,11.16,-11.16,-10.68,-10.03,7.82,7.82,7.82
36.70,18.96,11.16,18.96,11.16,-11.16,-10.67,-9.95,7.80,7.80,7.81
37.06,18.94,11.16,18.94,11.16,-11.16,-10.66,-9.87,7.79,7.79,7.78
37.43,18.91,11.15,18.91,11.15,-11.15,-10.66,-9.79,7.77,7.77,7.76
37.81,18.88,11.13,18.88,11.13,-11.13,-10.66,-9.71,7.75,7.75,7.76
38.19,18.84,11.12,18.84,11.11,-11.11,-10.68,-9.64,7.73,7.73,7.73
38.57,18.80,11.10,18.80,11.09,-11.09,-10.69,-9.57,7.71,7.71,7.71
38.95,18.76,11.07,18.75,11.06,-11.06,-10.71,-9.50,7.70,7.69,7.69
39.34,18.70,11.04,18.69,11.03,-11.03,-10.73,-9.44,7.67,7.66,7.66
39.74,18.64,11.01,18.64,10.99,-10.99,-10.76,-9.38,7.65,7.64,7.64
40.14,18.58,10.97,18.58,10.96,-10.96,-10.79,-9.33,7.63,7.62,7.62
40.54,18.51,10.92,18.51,10.92,-10.92,-10.81,-9.28,7.60,7.60,7.60
40.94,18.44,10.88,18.45,10.87,-10.87,-10.84,-9.24,7.57,7.58,7.56
