frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.85,2.93,10.84,2.92,-2.93,-3.05,-1.67,7.92,7.91,7.92
20.20,10.86,2.95,10.86,2.95,-2.95,-3.08,-1.72,7.90,7.90,7.91
20.40,10.88,2.98,10.88,2.98,-2.98,-3.10,-1.77,7.90,7.90,7.90
20.61,10.89,3.01,10.89,3.01,-3.01,-3.12,-1.82,7.89,7.89,7.89
20.81,10.92,3.05,10.92,3.05,-3.04,-3.14,-1.87,7.88,7.88,7.87
21.02,10.94,3.08,10.94,3.08,-3.07,-3.17,-1.92,7.87,7.87,7.86
21.23,10.96,3.11,10.95,3.10,-3.10,-3.19,-1.98,7.86,7.86,7.85
21.44,10.98,3.12,10.97,3.13,-3.13,-3.21,-2.04,7.85,7.85,7.86
21.66,11.00,3.16,11.00,3.16,-3.16,-3.23,-2.10,7.83,7.84,7.84
21.87,11.03,3.19,11.02,3.19,-3.20,-3.25,-2.16,7.83,7.83,7.84
22.09,11.06,3.24,11.05,3.23,-3.23,-3.28,-2.22,7.82,7.82,7.82
22.31,11.08,3.27,11.08,3.27,-3.27,-3.30,-2.29,7.81,7.81,7.81
22.54,11.10,3.31,11.11,3.31,-3.31,-3.32,-2.35,7.79,7.80,7.80
22.76,11.15,3.35,11.14,3.35,-3.35,-3.34,-2.42,7.79,7.79,7.80
22.99,11.19,3.40,11.19,3.40,-3.40,-3.36,-2.49,7.79,7.79,7.79
23.22,11.23,3.45,11.22,3.44,-3.44,-3.39,-2.56,7.79,7.79,7.78
23.45,11.27,3.48,11.26,3.48,-3.48,-3.41,-2.64,7.79,7.79,7.79
23.69,11.29,3.52,11.30,3.52,-3.51,-3.43,-2.71,7.78,7.79,7.78
23.92,11.34,3.57,11.33,3.55,-3.55,-3.45,-2.79,7.79,7.78,7.77
24.16,11.36,3.58,11.36,3.58,-3.58,-3.47,-2.86,7.77,7.78,7.78
24.40,11.39,3.61,11.38,3.61,-3.61,-3.49,-2.94,7.77,7.77,7.78
24.65,11.40,3.63,11.40,3.63,-3.64,-3.52,-3.02,7.75,7.76,7.77
24.89,11.43,3.66,11.43,3.66,-3.67,-3.54,-3.10,7.76,7.76,7.77
25.14,11.46,3.70,11.45,3.69,-3.70,-3.56,-3.19,7.76,7.76,7.76
25.39,11.49,3.73,11.48,3.73,-3.72,-3.58,-3.27,7.76,7.76,7.76
25.65,11.51,3.75,11.51,3.75,-3.75,-3.60,-3.35,7.76,7.76,7.76
25.91,11.52,3.77,11.53,3.77,-3.76,-3.62,-3.44,7.76,7.76,7.76
