frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.97,4.07,12.97,4.06,-4.07,-3.84,-2.09,8.90,8.90,8.90
20.20,12.99,4.09,12.99,4.09,-4.09,-3.86,-2.14,8.90,8.90,8.90
20.40,13.02,4.12,13.02,4.11,-4.11,-3.89,-2.20,8.90,8.90,8.90
20.61,13.04,4.14,13.04,4.14,-4.14,-3.92,-2.27,8.90,8.90,8.90
20.81,13.06,4.17,13.06,4.17,-4.16,-3.95,-2.33,8.90,8.90,8.89
21.02,13.09,4.20,13.08,4.19,-4.18,-3.97,-2.39,8.91,8.90,8.89
21.23,13.10,4.21,13.10,4.21,-4.21,-4.00,-2.46,8.89,8.90,8.89
21.44,13.12,4.22,13.12,4.22,-4.23,-4.03,-2.53,8.89,8.89,8.90
21.66,13.14,4.25,13.14,4.24,-4.25,-4.06,-2.60,8.89,8.89,8.89
21.87,13.16,4.27,13.16,4.27,-4.27,-4.08,-2.67,8.88,8.89,8.89
22.09,13.19,4.31,13.18,4.30,-4.30,-4.11,-2.75,8.89,8.89,8.88
22.31,13.21,4.33,13.21,4.33,-4.32,-4.13,-2.83,8.89,8.89,8.88
22.54,13.23,4.36,13.23,4.35,-4.35,-4.16,-2.91,8.88,8.88,8.87
22.76,13.25,4.38,13.24,4.38,-4.38,-4.19,-2.99,8.87,8.87,8.87
22.99,13.26,4.40,13.26,4.40,-4.40,-4.21,-3.07,8.86,8.86,8.86
23.22,13.28,4.43,13.28,4.42,-4.43,-4.24,-3.15,8.85,8.85,8.85
23.45,13.30,4.45,13.30,4.45,-4.45,-4.26,-3.24,8.85,8.85,8.85
23.69,13.32,4.48,13.32,4.48,-4.47,-4.29,-3.33,8.84,8.84,8.84
23.92,13.34,4.51,13.34,4.50,-4.50,-4.31,-3.42,8.84,8.84,8.83
24.16,13.36,4.53,13.36,4.52,-4.52,-4.33,-3.51,8.84,8.84,8.83
24.40,13.37,4.54,13.37,4.54,-4.54,-4.36,-3.60,8.83,8.83,8.83
24.65,13.39,4.56,13.39,4.55,-4.56,-4.38,-3.70,8.83,8.83,8.83
24.89,13.40,4.57,13.40,4.57,-4.58,-4.41,-3.79,8.82,8.82,8.83
25.14,13.42,4.60,13.42,4.59,-4.59,-4.43,-3.89,8.82,8.82,8.82
25.39,13.43,4.62,13.43,4.61,-4.61,-4.45,-3.99,8.82,8.82,8.81
25.65,13.45,4.64,13.45,4.63,-4.63,-4.47,-4.08,8.82,8.82,8.81
25.91,13.46,4.65,13.46,4.65,-4.64,-4.50,-4.18,8.81,8.82,8.81
26.16,13.48,4.66,13.48,4.66,-4.66,-4.52,-4.28,8.82,8.82,8.82
26.43,13.49,4.67,13.49,4.67,-4.67,-4.54,-4.38,8.81,8.82,8.82
26.69,13.51,4.69,13.51,4.69,-4.69,-4.56,-4.47,8.82,8.82,8.82
26.96,13.52,4.71,13.52,4.70,-4.70,-4.58,-4.57,8.82,8.82,8.81
27.23,13.53,4.72,13.53,4.71,-4.71,-4.61,-4.66,8.82,8.82,8.81
27.50,13.54,4.73,13.54,4.72,-4.73,-4.63,-4.76,8.81,8.81,8.81
27.77,13.55,4.73,13.55,4.73,-4.74,-4.65,-4.85,8.81,8.81,8.82
28.05,13.57,4.76,13.56,4.75,-4.75,-4.67,-4.93,8.81,8.81,8.81
28.33,13.57,4.77,13.57,4.77,-4.77,-4.69,-5.02,8.80,8.80,8.80
28.62,13.59,4.80,13.58,4.79,-4.78,-4.71,-5.10,8.80,8.80,8.79
28.90,13.59,4.79,13.59,4.80,-4.80,-4.73,-5.17,8.79,8.79,8.80
29.19,13.61,4.82,13.60,4.81,-4.81,-4.75,-5.24,8.79,8.79,8.79
29.48,13.61,4.83,13.61,4.83,-4.83,-4.77,-5.31,8.78,8.78,8.78
29.78,13.63,4.86,13.62,4.85,-4.85,-4.79,-5.37,8.78,8.78,8.77
30.08,13.63,4.86,13.63,4.86,-4.86,-4.80,-5.43,8.77,8.77,8.77
30.38,13.64,4.88,13.64,4.88,-4.87,-4.82,-5.47,8.77,8.77,8.76
30.68,13.64,4.89,13.64,4.88,-4.88,-4.84,-5.52,8.76,8.76,8.75
30.99,13.65,4.90,13.65,4.89,-4.89,-4.86,-5.55,8.76,8.75,8.75
31.30,13.65,4.90,13.65,4.90,-4.90,-4.88,-5.58,8.75,8.75,8.75
31.61,13.66,4.91,13.66,4.91,-4.91,-4.90,-5.61,8.75,8.75,8.75
31.93,13.66,4.92,13.66,4.91,-4.91,-4.91,-5.63,8.75,8.75,8.74
32.24,13.67,4.92,13.66,4.92,-4.92,-4.93,-5.64,8.75,8.75,8.75
32.57,13.67,4.93,13.67,4.92,-4.92,-4.95,-5.64,8.74,8.75,8.74
32.89,13.67,4.93,13.67,4.93,-4.93,-4.96,-5.65,8.74,8.74,8.74
33.22,13.68,4.94,13.67,4.93,-4.94,-4.98,-5.64,8.74,8.74,8.74
33.55,13.67,4.94,13.67,4.94,-4.94,-5.00,-5.63,8.72,8.73,8.73
33.89,13.68,4.96,13.67,4.95,-4.95,-5.01,-5.62,8.73,8.72,8.72
34.23,13.67,4.97,13.67,4.96,-4.96,-5.03,-5.60,8.71,8.71,8.70
34.57,13.68,4.98,13.67,4.97,-4.97,-5.05,-5.58,8.70,8.70,8.70
34.92,13.67,4.99,13.67,4.99,-4.99,-5.06,-5.56,8.68,8.68,8.68
35.27,13.67,5.00,13.67,5.00,-5.00,-5.08,-5.53,8.66,8.66,8.67
35.62,13.67,5.03,13.66,5.02,-5.02,-5.10,-5.50,8.65,8.64,8.64
35.97,13.66,5.04,13.66,5.04,-5.04,-5.11,-5.47,8.62,8.62,8.62
36.33,13.66,5.07,13.66,5.06,-5.06,-5.13,-5.44,8.59,8.59,8.59
36.70,13.65,5.09,13.65,5.09,-5.09,-5.14,-5.41,8.56,8.56,8.56
37.06,13.65,5.12,13.65,5.11,-5.11,-5.16,-5.38,8.54,8.53,8.53
37.43,13.64,5.14,13.64,5.14,-5.14,-5.17,-5.35,8.50,8.50,8.50
37.81,13.64,5.17,13.63,5.17,-5.16,-5.19,-5.32,8.47,8.47,8.47
38.19,13.63,5.20,13.63,5.19,-5.19,-5.20,-5.30,8.44,8.44,8.43
38.57,13.62,5.21,13.62,5.21,-5.21,-5.22,-5.27,8.40,8.41,8.41
38.95,13.62,5.24,13.61,5.24,-5.24,-5.23,-5.25,8.38,8.38,8.38
39.34,13.61,5.27,13.61,5.26,-5.26,-5.25,-5.22,8.35,8.35,8.34
39.74,13.60,5.29,13.60,5.28,-5.28,-5.27,-5.21,8.32,8.32,8.31
40.14,13.59,5.30,13.58,5.29,-5.30,-5.28,-5.19,8.29,8.29,8.29
40.54,13.57,5.30,13.57,5.31,-5.31,-5.30,-5.18,8.26,8.26,8.27
40.94,13.57,5.33,13.57,5.33,-5.33,-5.31,-5.17,8.24,8.24,8.24
41.35,13.56,5.35,13.56,5.34,-5.34,-5.33,-5.16,8.22,8.22,8.21
41.76,13.55,5.37,13.54,5.36,-5.35,-5.34,-5.16,8.19,8.19,8.18
42.18,13.53,5.36,13.53,5.36,-5.36,-5.36,-5.16,8.16,8.16,8.17
42.60,13.51,5.37,13.51,5.37,-5.38,-5.37,-5.16,8.13,8.14,8.14
43.03,13.51,5.40,13.50,5.38,-5.39,-5.39,-5.17,8.12,8.12,8.11
43.46,13.49,5.40,13.49,5.40,-5.40,-5.40,-5.18,8.09,8.09,8.09
43.90,13.48,5.41,13.48,5.41,-5.40,-5.42,-5.20,8.07,8.07,8.07
44.33,13.46,5.43,13.46,5.42,-5.42,-5.44,-5.22,8.04,8.04,8.03
44.78,13.44,5.43,13.44,5.42,-5.43,-5.45,-5.24,8.01,8.01,8.01
45.23,13.43,5.43,13.42,5.44,-5.44,-5.47,-5.27,7.99,7.98,8.00
45.68,13.41,5.45,13.41,5.45,-5.46,-5.49,-5.30,7.95,7.95,7.96
46.13,13.40,5.49,13.40,5.47,-5.47,-5.50,-5.33,7.93,7.92,7.91
46.60,13.38,5.49,13.38,5.49,-5.49,-5.52,-5.37,7.89,7.89,7.89
47.06,13.37,5.52,13.37,5.51,-5.51,-5.54,-5.41,7.86,7.86,7.85
47.53,13.35,5.53,13.35,5.53,-5.53,-5.56,-5.46,7.81,7.81,7.82
48.01,13.33,5.57,13.33,5.56,-5.56,-5.57,-5.51,7.77,7.77,7.76
48.49,13.31,5.58,13.31,5.58,-5.59,-5.59,-5.56,7.72,7.72,7.73
48.97,13.30,5.62,13.29,5.61,-5.62,-5.61,-5.62,7.68,7.68,7.68
49.46,13.28,5.64,13.28,5.64,-5.64,-5.63,-5.68,7.63,7.63,7.64
49.96,13.26,5.69,13.26,5.68,-5.67,-5.65,-5.74,7.58,7.58,7.57
50.46,13.24,5.71,13.24,5.71,-5.70,-5.67,-5.81,7.53,7.53,7.53
50.96,13.22,5.74,13.22,5.74,-5.73,-5.69,-5.87,7.48,7.49,7.48
51.47,13.21,5.77,13.21,5.77,-5.76,-5.71,-5.94,7.45,7.44,7.44
51.99,13.19,5.80,13.19,5.79,-5.79,-5.73,-6.01,7.40,7.40,7.39
52.51,13.18,5.83,13.17,5.81,-5.82,-5.75,-6.08,7.36,7.35,7.35
53.03,13.15,5.83,13.15,5.84,-5.84,-5.77,-6.15,7.30,7.31,7.32
53.56,13.13,5.86,13.13,5.86,-5.87,-5.79,-6.23,7.26,7.26,7.27
54.10,13.12,5.91,13.11,5.89,-5.90,-5.81,-6.30,7.22,7.21,7.21
54.64,13.09,5.92,13.09,5.93,-5.92,-5.83,-6.37,7.16,7.17,7.17
55.18,13.08,5.97,13.08,5.96,-5.95,-5.85,-6.44,7.12,7.12,7.11
