frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.75,-4.49,3.74,-4.50,4.49,4.67,1.21,8.24,8.23,8.24
20.20,3.75,-4.49,3.75,-4.49,4.49,4.67,1.25,8.24,8.24,8.24
20.40,3.76,-4.48,3.76,-4.48,4.48,4.66,1.29,8.24,8.24,8.24
20.61,3.77,-4.47,3.77,-4.47,4.47,4.65,1.33,8.24,8.24,8.24
20.81,3.78,-4.45,3.78,-4.45,4.46,4.63,1.36,8.24,8.24,8.23
21.02,3.80,-4.43,3.79,-4.44,4.44,4.61,1.40,8.24,8.24,8.23
21.23,3.81,-4.42,3.81,-4.42,4.42,4.59,1.45,8.23,8.23,8.23
21.44,3.83,-4.41,3.83,-4.40,4.40,4.56,1.49,8.22,8.23,8.24
21.66,3.86,-4.37,3.86,-4.38,4.37,4.53,1.53,8.23,8.23,8.23
21.87,3.89,-4.34,3.89,-4.34,4.34,4.50,1.58,8.23,8.23,8.23
22.09,3.93,-4.29,3.92,-4.30,4.30,4.46,1.62,8.23,8.22,8.22
22.31,3.96,-4.26,3.96,-4.26,4.26,4.42,1.67,8.22,8.22,8.22
22.54,4.00,-4.21,4.00,-4.22,4.21,4.37,1.72,8.21,8.21,8.21
22.76,4.04,-4.17,4.04,-4.17,4.16,4.32,1.77,8.20,8.20,8.21
22.99,4.09,-4.11,4.09,-4.11,4.11,4.27,1.82,8.20,8.20,8.20
23.22,4.14,-4.05,4.14,-4.06,4.06,4.22,1.87,8.19,8.19,8.19
23.45,4.19,-4.00,4.18,-4.00,4.00,4.17,1.93,8.19,8.19,8.19
23.69,4.24,-3.94,4.24,-3.94,3.95,4.11,1.98,8.18,8.18,8.18
23.92,4.29,-3.88,4.29,-3.88,3.89,4.05,2.04,8.18,8.18,8.17
24.16,4.35,-3.82,4.34,-3.83,3.83,3.99,2.09,8.18,8.17,8.17
24.40,4.40,-3.77,4.40,-3.77,3.77,3.93,2.15,8.16,8.17,8.17
24.65,4.46,-3.71,4.46,-3.71,3.70,3.87,2.21,8.16,8.16,8.17
24.89,4.52,-3.65,4.52,-3.65,3.64,3.81,2.27,8.16,8.16,8.17
25.14,4.59,-3.57,4.58,-3.58,3.57,3.74,2.33,8.16,8.16,8.16
25.39,4.65,-3.50,4.65,-3.50,3.51,3.68,2.38,8.16,8.16,8.15
25.65,4.72,-3.43,4.72,-3.43,3.44,3.62,2.44,8.16,8.16,8.15
25.91,4.78,-3.36,4.78,-3.37,3.37,3.55,2.50,8.16,8.16,8.15
26.16,4.86,-3.30,4.85,-3.30,3.30,3.49,2.56,8.16,8.15,8.16
26.43,4.92,-3.24,4.92,-3.24,3.23,3.42,2.62,8.15,8.15,8.16
26.69,4.99,-3.17,4.99,-3.17,3.17,3.36,2.67,8.15,8.15,8.16
26.96,5.06,-3.09,5.05,-3.10,3.10,3.29,2.73,8.16,8.15,8.15
27.23,5.13,-3.02,5.12,-3.03,3.03,3.23,2.78,8.16,8.15,8.15
27.50,5.19,-2.96,5.19,-2.97,2.97,3.16,2.83,8.15,8.15,8.15
27.77,5.25,-2.91,5.25,-2.90,2.90,3.10,2.88,8.15,8.15,8.16
28.05,5.32,-2.83,5.31,-2.83,2.83,3.04,2.93,8.15,8.14,8.15
28.33,5.38,-2.76,5.38,-2.77,2.77,2.98,2.97,8.14,8.14,8.14
28.62,5.44,-2.69,5.44,-2.70,2.70,2.92,3.01,8.14,8.14,8.13
28.90,5.50,-2.64,5.50,-2.64,2.64,2.85,3.05,8.13,8.13,8.14
29.19,5.56,-2.57,5.55,-2.57,2.57,2.80,3.08,8.13,8.13,8.13
29.48,5.61,-2.51,5.61,-2.51,2.51,2.74,3.11,8.12,8.12,8.12
29.78,5.66,-2.45,5.66,-2.45,2.46,2.68,3.14,8.11,8.11,8.11
30.08,5.71,-2.40,5.71,-2.40,2.40,2.62,3.16,8.10,8.10,8.11
30.38,5.76,-2.34,5.75,-2.35,2.35,2.57,3.18,8.10,8.10,8.10
30.68,5.80,-2.29,5.80,-2.29,2.30,2.51,3.19,8.09,8.10,8.09
30.99,5.85,-2.24,5.84,-2.25,2.25,2.46,3.19,8.09,8.09,8.09
31.30,5.89,-2.20,5.89,-2.20,2.20,2.41,3.19,8.09,8.09,8.09
31.61,5.93,-2.16,5.93,-2.16,2.16,2.35,3.19,8.09,8.09,8.09
31.93,5.97,-2.11,5.97,-2.12,2.12,2.30,3.18,8.09,8.09,8.08
32.24,6.01,-2.08,6.00,-2.08,2.08,2.25,3.17,8.09,8.09,8.09
32.57,6.04,-2.04,6.04,-2.04,2.04,2.21,3.15,8.08,8.08,8.08
32.89,6.08,-2.00,6.07,-2.01,2.01,2.16,3.13,8.08,8.08,8.08
33.22,6.11,-1.97,6.10,-1.97,1.97,2.11,3.10,8.07,8.07,8.08
33.55,6.13,-1.94,6.13,-1.93,1.93,2.07,3.07,8.06,8.06,8.07
33.89,6.17,-1.89,6.16,-1.89,1.89,2.02,3.03,8.06,8.06,8.06
34.23,6.20,-1.84,6.20,-1.85,1.85,1.98,3.00,8.05,8.05,8.04
34.57,6.23,-1.81,6.22,-1.81,1.81,1.94,2.95,8.04,8.04,8.04
34.92,6.25,-1.77,6.25,-1.77,1.77,1.90,2.91,8.02,8.02,8.02
35.27,6.27,-1.74,6.27,-1.74,1.73,1.86,2.86,8.00,8.00,8.01
35.62,6.30,-1.68,6.29,-1.69,1.69,1.82,2.81,7.99,7.98,7.98
35.97,6.31,-1.65,6.31,-1.65,1.65,1.78,2.76,7.95,7.96,7.96
36.33,6.33,-1.60,6.33,-1.60,1.60,1.74,2.71,7.93,7.93,7.93
36.70,6.34,-1.56,6.34,-1.56,1.56,1.71,2.66,7.90,7.90,7.90
37.06,6.36,-1.51,6.35,-1.52,1.52,1.67,2.60,7.87,7.87,7.87
37.43,6.37,-1.47,6.37,-1.47,1.47,1.64,2.55,7.84,7.84,7.84
