frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.97,-2.45,3.97,-2.46,2.46,2.00,0.69,6.43,6.43,6.42
20.20,4.02,-2.40,4.02,-2.40,2.40,1.99,0.71,6.42,6.43,6.42
20.40,4.08,-2.34,4.08,-2.35,2.35,1.98,0.73,6.43,6.42,6.42
20.61,4.13,-2.30,4.13,-2.29,2.29,1.97,0.75,6.42,6.42,6.42
20.81,4.18,-2.23,4.18,-2.24,2.24,1.96,0.78,6.42,6.42,6.41
21.02,4.23,-2.18,4.23,-2.19,2.19,1.95,0.80,6.42,6.42,6.41
21.23,4.27,-2.14,4.28,-2.14,2.14,1.94,0.83,6.41,6.42,6.41
21.44,4.32,-2.10,4.32,-2.09,2.09,1.93,0.85,6.41,6.41,6.42
21.66,4.36,-2.05,4.36,-2.05,2.05,1.92,0.88,6.41,6.41,6.41
21.87,4.40,-2.01,4.40,-2.01,2.01,1.91,0.91,6.41,6.41,6.41
22.09,4.44,-1.96,4.44,-1.96,1.96,1.89,0.93,6.41,6.40,6.40
22.31,4.47,-1.93,4.47,-1.93,1.93,1.88,0.96,6.40,6.40,6.40
22.54,4.51,-1.88,4.51,-1.89,1.89,1.87,0.99,6.40,6.39,6.39
22.76,4.54,-1.85,4.54,-1.85,1.85,1.86,1.02,6.39,6.39,6.39
22.99,4.57,-1.81,4.57,-1.82,1.82,1.85,1.05,6.39,6.39,6.38
23.22,4.59,-1.78,4.59,-1.79,1.79,1.83,1.08,6.38,6.38,6.37
23.45,4.62,-1.75,4.62,-1.76,1.76,1.82,1.11,6.38,6.37,6.37
23.69,4.64,-1.72,4.64,-1.73,1.73,1.81,1.15,6.37,6.37,6.36
23.92,4.66,-1.69,4.66,-1.70,1.70,1.80,1.18,6.36,6.36,6.35
24.16,4.68,-1.67,4.68,-1.68,1.68,1.78,1.21,6.36,6.36,6.35
24.40,4.69,-1.66,4.70,-1.66,1.66,1.77,1.25,6.35,6.35,6.35
24.65,4.70,-1.65,4.71,-1.64,1.64,1.76,1.28,6.34,6.35,6.35
24.89,4.72,-1.63,4.73,-1.62,1.62,1.74,1.32,6.34,6.35,6.35
25.14,4.74,-1.60,4.74,-1.61,1.61,1.73,1.35,6.35,6.34,6.34
25.39,4.75,-1.58,4.75,-1.59,1.59,1.72,1.39,6.34,6.34,6.33
25.65,4.76,-1.57,4.76,-1.58,1.58,1.70,1.43,6.34,6.34,6.33
25.91,4.77,-1.56,4.77,-1.57,1.57,1.69,1.46,6.34,6.34,6.33
26.16,4.78,-1.56,4.78,-1.56,1.56,1.68,1.50,6.34,6.34,6.34
26.43,4.79,-1.55,4.79,-1.56,1.56,1.66,1.53,6.35,6.34,6.34
26.69,4.79,-1.55,4.79,-1.55,1.55,1.65,1.57,6.34,6.34,6.34
26.96,4.80,-1.53,4.80,-1.54,1.54,1.63,1.60,6.34,6.34,6.33
27.23,4.80,-1.53,4.80,-1.53,1.53,1.62,1.63,6.33,6.34,6.33
27.50,4.80,-1.53,4.81,-1.53,1.53,1.60,1.66,6.33,6.33,6.33
27.77,4.81,-1.53,4.81,-1.52,1.52,1.59,1.70,6.33,6.33,6.34
28.05,4.81,-1.52,4.81,-1.52,1.52,1.57,1.73,6.33,6.33,6.33
