frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.31,0.64,11.31,0.64,-0.65,-0.94,-0.81,10.66,10.66,10.67
20.20,11.35,0.68,11.35,0.68,-0.68,-0.95,-0.83,10.66,10.67,10.67
20.40,11.39,0.72,11.39,0.72,-0.72,-0.97,-0.85,10.67,10.67,10.67
20.61,11.43,0.76,11.43,0.76,-0.75,-0.99,-0.87,10.67,10.67,10.67
20.81,11.46,0.80,11.46,0.80,-0.79,-1.01,-0.90,10.67,10.67,10.66
21.02,11.50,0.84,11.49,0.83,-0.83,-1.02,-0.92,10.67,10.67,10.66
21.23,11.52,0.86,11.52,0.86,-0.86,-1.04,-0.95,10.65,10.66,10.66
21.44,11.56,0.89,11.56,0.89,-0.90,-1.06,-0.97,10.66,10.66,10.67
21.66,11.59,0.93,11.59,0.93,-0.94,-1.08,-1.00,10.65,10.65,10.66
21.87,11.63,0.97,11.63,0.97,-0.97,-1.10,-1.03,10.66,10.65,10.66
22.09,11.66,1.01,11.66,1.01,-1.01,-1.11,-1.06,10.65,10.65,10.65
22.31,11.70,1.05,11.69,1.05,-1.05,-1.13,-1.09,10.65,10.65,10.65
22.54,11.73,1.09,11.73,1.09,-1.09,-1.15,-1.12,10.64,10.64,10.64
22.76,11.76,1.12,11.76,1.13,-1.13,-1.17,-1.15,10.63,10.63,10.64
22.99,11.80,1.17,11.79,1.17,-1.17,-1.19,-1.18,10.63,10.63,10.63
23.22,11.83,1.21,11.83,1.20,-1.21,-1.21,-1.21,10.62,10.62,10.62
23.45,11.86,1.24,11.86,1.24,-1.24,-1.23,-1.25,10.62,10.62,10.62
23.69,11.89,1.28,11.89,1.28,-1.28,-1.25,-1.28,10.61,10.61,10.61
23.92,11.92,1.32,11.92,1.32,-1.31,-1.28,-1.32,10.61,10.61,10.60
24.16,11.95,1.35,11.94,1.35,-1.34,-1.30,-1.35,10.60,10.60,10.60
24.40,11.97,1.37,11.97,1.37,-1.38,-1.32,-1.39,10.59,10.59,10.60
24.65,12.00,1.40,12.00,1.40,-1.41,-1.34,-1.42,10.59,10.59,10.60
24.89,12.03,1.43,12.03,1.43,-1.44,-1.36,-1.46,10.59,10.59,10.60
25.14,12.06,1.47,12.06,1.47,-1.47,-1.39,-1.50,10.59,10.59,10.59
25.39,12.09,1.51,12.09,1.51,-1.50,-1.41,-1.54,10.59,10.59,10.58
25.65,12.12,1.54,12.11,1.54,-1.53,-1.43,-1.57,10.59,10.58,10.58
25.91,12.14,1.56,12.14,1.56,-1.56,-1.45,-1.61,10.58,10.58,10.58
26.16,12.17,1.58,12.17,1.58,-1.59,-1.48,-1.65,10.58,10.58,10.59
26.43,12.20,1.61,12.19,1.61,-1.61,-1.50,-1.69,10.58,10.58,10.59
26.69,12.22,1.63,12.22,1.64,-1.64,-1.53,-1.73,10.58,10.58,10.59
26.96,12.25,1.67,12.24,1.66,-1.66,-1.55,-1.77,10.59,10.58,10.58
27.23,12.27,1.69,12.27,1.69,-1.69,-1.58,-1.81,10.58,10.58,10.58
27.50,12.29,1.71,12.29,1.71,-1.71,-1.60,-1.84,10.58,10.58,10.58
27.77,12.32,1.73,12.31,1.73,-1.74,-1.63,-1.88,10.58,10.58,10.59
28.05,12.34,1.76,12.34,1.76,-1.76,-1.65,-1.92,10.57,10.57,10.58
28.33,12.36,1.79,12.36,1.79,-1.79,-1.68,-1.95,10.57,10.57,10.57
28.62,12.39,1.83,12.38,1.82,-1.81,-1.70,-1.99,10.57,10.57,10.56
28.90,12.40,1.83,12.40,1.84,-1.84,-1.73,-2.02,10.56,10.56,10.57
29.19,12.43,1.87,12.42,1.87,-1.87,-1.76,-2.05,10.56,10.55,10.56
29.48,12.44,1.89,12.44,1.89,-1.89,-1.79,-2.08,10.54,10.55,10.55
29.78,12.47,1.93,12.46,1.92,-1.92,-1.81,-2.11,10.55,10.54,10.54
30.08,12.48,1.94,12.48,1.95,-1.95,-1.84,-2.14,10.53,10.53,10.54
30.38,12.50,1.97,12.50,1.97,-1.97,-1.87,-2.17,10.53,10.53,10.53
30.68,12.52,2.00,12.52,1.99,-1.99,-1.90,-2.19,10.52,10.52,10.52
30.99,12.54,2.02,12.53,2.02,-2.01,-1.93,-2.22,10.52,10.52,10.52
31.30,12.55,2.03,12.55,2.03,-2.03,-1.95,-2.24,10.51,10.52,10.52
31.61,12.57,2.05,12.57,2.05,-2.05,-1.98,-2.26,10.51,10.51,10.52
31.93,12.59,2.08,12.59,2.07,-2.07,-2.01,-2.27,10.51,10.51,10.51
32.24,12.61,2.09,12.60,2.09,-2.09,-2.04,-2.29,10.52,10.51,10.52
32.57,12.62,2.11,12.62,2.11,-2.11,-2.07,-2.31,10.51,10.51,10.51
32.89,12.64,2.13,12.63,2.12,-2.13,-2.10,-2.32,10.51,10.51,10.51
33.22,12.65,2.14,12.65,2.14,-2.15,-2.13,-2.33,10.50,10.50,10.51
33.55,12.66,2.16,12.66,2.16,-2.17,-2.16,-2.34,10.49,10.49,10.50
33.89,12.68,2.19,12.67,2.19,-2.19,-2.19,-2.35,10.49,10.48,10.49
34.23,12.69,2.22,12.69,2.22,-2.21,-2.23,-2.36,10.47,10.48,10.47
34.57,12.71,2.24,12.70,2.24,-2.24,-2.26,-2.37,10.47,10.47,10.47
34.92,12.72,2.27,12.72,2.27,-2.27,-2.29,-2.38,10.45,10.45,10.45
