frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-19.13,-25.37,-19.13,-25.38,25.29,19.70,6.62,6.16,6.16,6.24
20.20,-18.97,-25.21,-18.97,-25.21,25.19,19.69,6.79,6.22,6.22,6.24
20.40,-18.83,-25.07,-18.83,-25.07,25.09,19.68,6.95,6.26,6.27,6.24
20.61,-18.70,-24.95,-18.70,-24.94,25.00,19.67,7.12,6.30,6.30,6.24
20.81,-18.60,-24.83,-18.60,-24.84,24.91,19.67,7.29,6.31,6.30,6.23
21.02,-18.52,-24.75,-18.53,-24.76,24.82,19.66,7.46,6.30,6.29,6.23
21.23,-18.47,-24.70,-18.47,-24.70,24.73,19.65,7.64,6.26,6.26,6.23
21.44,-18.42,-24.66,-18.42,-24.66,24.65,19.64,7.83,6.23,6.23,6.24
21.66,-18.37,-24.60,-18.37,-24.60,24.59,19.63,8.02,6.22,6.22,6.23
21.87,-18.31,-24.54,-18.31,-24.54,24.53,19.62,8.22,6.22,6.22,6.23
22.09,-18.25,-24.47,-18.25,-24.47,24.46,19.61,8.41,6.21,6.21,6.22
22.31,-18.17,-24.39,-18.17,-24.39,24.38,19.60,8.62,6.21,6.21,6.22
22.54,-18.08,-24.30,-18.08,-24.30,24.28,19.59,8.83,6.20,6.20,6.21
22.76,-17.98,-24.19,-17.98,-24.18,24.17,19.58,9.05,6.19,6.19,6.21
22.99,-17.85,-24.05,-17.85,-24.05,24.04,19.57,9.27,6.19,6.19,6.20
23.22,-17.71,-23.90,-17.71,-23.91,23.90,19.56,9.50,6.19,6.19,6.19
23.45,-17.57,-23.76,-17.57,-23.76,23.76,19.55,9.73,6.19,6.20,6.19
23.69,-17.42,-23.61,-17.42,-23.60,23.62,19.53,9.98,6.20,6.20,6.18
23.92,-17.28,-23.45,-17.28,-23.46,23.48,19.52,10.22,6.20,6.19,6.17
24.16,-17.15,-23.32,-17.15,-23.32,23.34,19.51,10.47,6.19,6.18,6.17
24.40,-17.03,-23.20,-17.03,-23.20,23.20,19.50,10.73,6.17,6.17,6.17
24.65,-16.90,-23.07,-16.90,-23.08,23.07,19.48,11.00,6.16,6.16,6.17
24.89,-16.78,-22.95,-16.78,-22.95,22.94,19.47,11.26,6.16,6.16,6.17
25.14,-16.66,-22.82,-16.66,-22.82,22.82,19.45,11.54,6.16,6.16,6.16
25.39,-16.54,-22.69,-16.54,-22.69,22.70,19.44,11.82,6.16,6.16,6.15
25.65,-16.42,-22.57,-16.42,-22.58,22.59,19.42,12.11,6.16,6.16,6.15
25.91,-16.31,-22.47,-16.31,-22.47,22.47,19.41,12.40,6.16,6.16,6.15
26.16,-16.20,-22.36,-16.20,-22.36,22.35,19.39,12.70,6.15,6.15,6.16
26.43,-16.09,-22.26,-16.09,-22.25,22.24,19.37,12.99,6.15,6.15,6.16
26.69,-15.97,-22.13,-15.98,-22.14,22.13,19.36,13.30,6.16,6.15,6.16
26.96,-15.86,-22.01,-15.86,-22.02,22.02,19.34,13.60,6.15,6.15,6.15
27.23,-15.75,-21.90,-15.75,-21.90,21.91,19.32,13.91,6.15,6.16,6.15
27.50,-15.64,-21.79,-15.64,-21.80,21.80,19.30,14.21,6.15,6.16,6.15
27.77,-15.53,-21.69,-15.53,-21.69,21.69,19.28,14.51,6.16,6.16,6.16
28.05,-15.43,-21.58,-15.43,-21.58,21.58,19.26,14.81,6.15,6.15,6.15
28.33,-15.33,-21.47,-15.33,-21.48,21.48,19.24,15.10,6.15,6.15,6.14
28.62,-15.24,-21.38,-15.24,-21.38,21.39,19.22,15.39,6.14,6.15,6.13
28.90,-15.15,-21.29,-15.16,-21.29,21.29,19.20,15.66,6.14,6.14,6.14
29.19,-15.07,-21.20,-15.07,-21.20,21.20,19.17,15.92,6.13,6.13,6.13
29.48,-14.99,-21.11,-14.98,-21.11,21.10,19.15,16.15,6.11,6.12,6.12
29.78,-14.89,-21.00,-14.90,-21.02,21.01,19.13,16.38,6.12,6.11,6.11
30.08,-14.81,-20.92,-14.81,-20.92,20.91,19.10,16.57,6.10,6.10,6.11
30.38,-14.72,-20.82,-14.72,-20.82,20.82,19.08,16.74,6.09,6.10,6.10
30.68,-14.62,-20.71,-14.62,-20.72,20.72,19.05,16.87,6.10,6.09,6.09
30.99,-14.52,-20.61,-14.52,-20.62,20.62,19.02,16.99,6.09,6.09,6.09
31.30,-14.42,-20.51,-14.42,-20.51,20.52,18.99,17.07,6.09,6.09,6.09
31.61,-14.32,-20.41,-14.32,-20.41,20.41,18.96,17.12,6.09,6.09,6.09
31.93,-14.22,-20.31,-14.22,-20.31,20.31,18.93,17.13,6.09,6.09,6.08
32.24,-14.12,-20.21,-14.12,-20.21,20.21,18.90,17.13,6.09,6.09,6.09
32.57,-14.02,-20.10,-14.02,-20.11,20.11,18.87,17.08,6.09,6.09,6.08
32.89,-13.93,-20.01,-13.93,-20.01,20.01,18.84,17.02,6.08,6.08,6.08
33.22,-13.83,-19.91,-13.83,-19.91,19.91,18.80,16.93,6.08,6.08,6.08
33.55,-13.74,-19.81,-13.74,-19.81,19.81,18.77,16.83,6.07,6.07,6.07
33.89,-13.64,-19.70,-13.64,-19.70,19.70,18.73,16.70,6.06,6.06,6.06
34.23,-13.54,-19.58,-13.54,-19.59,19.59,18.69,16.57,6.05,6.05,6.04
34.57,-13.44,-19.48,-13.44,-19.48,19.48,18.65,16.43,6.04,6.04,6.04
34.92,-13.34,-19.36,-13.34,-19.36,19.36,18.61,16.28,6.02,6.02,6.02
35.27,-13.23,-19.25,-13.24,-19.24,19.24,18.57,16.12,6.01,6.01,6.01
35.62,-13.13,-19.11,-13.13,-19.12,19.12,18.53,15.96,5.99,5.99,5.98
35.97,-13.04,-19.00,-13.04,-19.00,19.00,18.48,15.80,5.96,5.96,5.96
36.33,-12.94,-18.87,-12.94,-18.87,18.87,18.43,15.65,5.93,5.93,5.93
36.70,-12.85,-18.75,-12.85,-18.75,18.75,18.39,15.49,5.90,5.90,5.90
37.06,-12.75,-18.62,-12.75,-18.63,18.63,18.34,15.34,5.88,5.88,5.87
37.43,-12.66,-18.50,-12.66,-18.50,18.51,18.29,15.20,5.84,5.84,5.84
37.81,-12.57,-18.38,-12.57,-18.38,18.38,18.23,15.06,5.81,5.81,5.81
38.19,-12.49,-18.26,-12.49,-18.27,18.26,18.18,14.92,5.77,5.78,5.77
38.57,-12.40,-18.15,-12.40,-18.15,18.15,18.12,14.80,5.75,5.75,5.75
38.95,-12.31,-18.03,-12.31,-18.03,18.03,18.06,14.68,5.72,5.72,5.72
39.34,-12.23,-17.91,-12.23,-17.91,17.92,18.00,14.57,5.69,5.69,5.68
39.74,-12.14,-17.79,-12.15,-17.80,17.81,17.94,14.47,5.66,5.66,5.65
40.14,-12.06,-17.69,-12.07,-17.70,17.69,17.88,14.37,5.63,5.63,5.63
40.54,-11.99,-17.60,-11.98,-17.59,17.58,17.81,14.29,5.59,5.60,5.61
40.94,-11.89,-17.47,-11.90,-17.48,17.47,17.74,14.21,5.58,5.58,5.58
41.35,-11.81,-17.36,-11.81,-17.37,17.37,17.67,14.14,5.56,5.56,5.55
41.76,-11.73,-17.25,-11.73,-17.26,17.26,17.60,14.08,5.53,5.53,5.52
42.18,-11.64,-17.15,-11.65,-17.15,17.15,17.52,14.03,5.51,5.51,5.51
42.60,-11.57,-17.05,-11.56,-17.05,17.05,17.44,13.99,5.48,5.48,5.48
43.03,-11.48,-16.93,-11.48,-16.94,16.94,17.36,13.96,5.46,5.46,5.45
43.46,-11.40,-16.83,-11.40,-16.83,16.84,17.27,13.94,5.43,5.43,5.43
43.90,-11.32,-16.73,-11.32,-16.73,16.73,17.19,13.93,5.41,5.41,5.41
44.33,-11.24,-16.61,-11.24,-16.62,16.62,17.10,13.92,5.38,5.38,5.37
44.78,-11.16,-16.51,-11.16,-16.52,16.51,17.00,13.93,5.35,5.35,5.35
45.23,-11.07,-16.41,-11.07,-16.40,16.40,16.90,13.94,5.33,5.32,5.34
45.68,-10.99,-16.29,-10.99,-16.29,16.28,16.80,13.97,5.29,5.29,5.30
46.13,-10.90,-16.15,-10.90,-16.17,16.17,16.70,14.00,5.27,5.26,5.25
46.60,-10.82,-16.05,-10.82,-16.05,16.05,16.59,14.04,5.23,5.23,5.23
47.06,-10.73,-15.92,-10.73,-15.93,15.93,16.48,14.09,5.20,5.19,5.19
47.53,-10.65,-15.81,-10.65,-15.81,15.81,16.37,14.15,5.15,5.15,5.16
48.01,-10.57,-15.67,-10.57,-15.68,15.68,16.25,14.22,5.11,5.11,5.10
48.49,-10.49,-15.56,-10.49,-15.56,15.56,16.13,14.30,5.07,5.07,5.07
48.97,-10.41,-15.43,-10.41,-15.43,15.43,16.00,14.38,5.02,5.02,5.02
49.46,-10.33,-15.31,-10.34,-15.31,15.31,15.87,14.48,4.98,4.97,4.98
49.96,-10.26,-15.17,-10.26,-15.18,15.18,15.74,14.58,4.92,4.92,4.91
50.46,-10.19,-15.06,-10.19,-15.06,15.06,15.61,14.69,4.87,4.87,4.87
50.96,-10.11,-14.93,-10.11,-14.93,14.94,15.47,14.80,4.83,4.83,4.82
51.47,-10.03,-14.81,-10.03,-14.81,14.81,15.33,14.93,4.78,4.78,4.78
51.99,-9.95,-14.68,-9.95,-14.69,14.69,15.18,15.06,4.74,4.74,4.73
52.51,-9.87,-14.56,-9.87,-14.57,14.57,15.04,15.20,4.69,4.69,4.69
53.03,-9.79,-14.45,-9.79,-14.45,14.44,14.89,15.34,4.65,4.65,4.66
53.56,-9.72,-14.33,-9.72,-14.33,14.32,14.74,15.48,4.60,4.60,4.61
54.10,-9.63,-14.18,-9.63,-14.19,14.19,14.59,15.63,4.56,4.56,4.55
