frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.71,3.48,10.72,3.48,-3.49,-3.43,-1.06,7.22,7.23,7.24
20.20,10.70,3.47,10.70,3.46,-3.47,-3.41,-1.09,7.24,7.24,7.24
20.40,10.68,3.45,10.68,3.45,-3.44,-3.40,-1.12,7.24,7.24,7.24
20.61,10.65,3.42,10.66,3.43,-3.42,-3.38,-1.15,7.24,7.24,7.24
20.81,10.63,3.41,10.63,3.40,-3.39,-3.36,-1.18,7.24,7.24,7.23
21.02,10.61,3.39,10.61,3.38,-3.37,-3.35,-1.22,7.24,7.24,7.23
21.23,10.57,3.35,10.58,3.35,-3.35,-3.33,-1.25,7.22,7.23,7.23
21.44,10.55,3.32,10.55,3.32,-3.33,-3.31,-1.29,7.23,7.22,7.24
21.66,10.52,3.30,10.53,3.30,-3.30,-3.28,-1.32,7.22,7.22,7.23
21.87,10.50,3.28,10.50,3.28,-3.28,-3.26,-1.36,7.22,7.22,7.23
22.09,10.48,3.27,10.48,3.26,-3.26,-3.24,-1.39,7.22,7.22,7.22
22.31,10.45,3.24,10.46,3.24,-3.24,-3.22,-1.43,7.21,7.22,7.22
22.54,10.43,3.23,10.43,3.22,-3.22,-3.19,-1.47,7.21,7.21,7.21
22.76,10.41,3.21,10.41,3.21,-3.21,-3.17,-1.51,7.21,7.20,7.21
22.99,10.38,3.19,10.39,3.19,-3.19,-3.14,-1.55,7.19,7.20,7.20
23.22,10.36,3.18,10.36,3.17,-3.17,-3.11,-1.60,7.19,7.19,7.19
23.45,10.33,3.15,10.34,3.15,-3.15,-3.09,-1.64,7.18,7.19,7.19
23.69,10.31,3.14,10.31,3.14,-3.13,-3.06,-1.68,7.18,7.18,7.18
23.92,10.28,3.12,10.28,3.11,-3.11,-3.03,-1.73,7.18,7.18,7.17
24.16,10.25,3.09,10.25,3.09,-3.08,-3.00,-1.77,7.17,7.17,7.17
24.40,10.22,3.06,10.22,3.06,-3.06,-2.98,-1.82,7.16,7.16,7.17
24.65,10.19,3.03,10.20,3.03,-3.04,-2.95,-1.86,7.16,7.16,7.17
24.89,10.17,3.01,10.17,3.01,-3.01,-2.92,-1.91,7.16,7.16,7.17
25.14,10.14,2.99,10.14,2.99,-2.99,-2.89,-1.96,7.16,7.16,7.16
25.39,10.11,2.97,10.12,2.97,-2.96,-2.86,-2.01,7.15,7.16,7.15
25.65,10.09,2.95,10.09,2.94,-2.94,-2.83,-2.06,7.16,7.15,7.15
25.91,10.06,2.92,10.06,2.91,-2.91,-2.80,-2.10,7.16,7.15,7.15
26.16,10.03,2.88,10.03,2.88,-2.88,-2.78,-2.15,7.15,7.15,7.16
26.43,10.00,2.85,10.00,2.85,-2.85,-2.75,-2.20,7.15,7.15,7.16
26.69,9.97,2.82,9.97,2.82,-2.82,-2.72,-2.25,7.15,7.15,7.16
26.96,9.94,2.80,9.94,2.79,-2.79,-2.69,-2.29,7.15,7.15,7.15
27.23,9.91,2.77,9.91,2.77,-2.76,-2.66,-2.34,7.15,7.15,7.15
27.50,9.88,2.74,9.88,2.73,-2.73,-2.63,-2.38,7.15,7.15,7.15
27.77,9.85,2.70,9.85,2.70,-2.71,-2.61,-2.43,7.15,7.15,7.16
28.05,9.82,2.68,9.82,2.68,-2.68,-2.58,-2.47,7.14,7.14,7.15
28.33,9.79,2.66,9.79,2.65,-2.65,-2.55,-2.51,7.14,7.14,7.14
28.62,9.76,2.64,9.76,2.63,-2.63,-2.53,-2.55,7.14,7.14,7.13
28.90,9.73,2.60,9.73,2.60,-2.60,-2.50,-2.58,7.13,7.13,7.14
29.19,9.70,2.58,9.70,2.58,-2.58,-2.47,-2.62,7.13,7.12,7.13
29.48,9.66,2.55,9.67,2.55,-2.55,-2.45,-2.65,7.11,7.12,7.12
29.78,9.64,2.54,9.64,2.53,-2.53,-2.43,-2.68,7.12,7.11,7.11
30.08,9.60,2.50,9.61,2.50,-2.50,-2.40,-2.70,7.10,7.10,7.11
30.38,9.57,2.48,9.57,2.48,-2.47,-2.38,-2.73,7.10,7.10,7.10
30.68,9.53,2.45,9.54,2.45,-2.44,-2.35,-2.75,7.09,7.09,7.09
30.99,9.50,2.42,9.50,2.42,-2.42,-2.33,-2.77,7.09,7.09,7.09
31.30,9.47,2.39,9.47,2.39,-2.39,-2.31,-2.78,7.09,7.08,7.09
31.61,9.43,2.35,9.44,2.35,-2.35,-2.29,-2.79,7.08,7.08,7.09
31.93,9.40,2.33,9.41,2.32,-2.32,-2.27,-2.80,7.08,7.08,7.08
32.24,9.37,2.29,9.37,2.29,-2.29,-2.25,-2.81,7.08,7.08,7.09
32.57,9.34,2.27,9.34,2.26,-2.26,-2.23,-2.81,7.08,7.08,7.08
32.89,9.30,2.23,9.31,2.23,-2.23,-2.21,-2.81,7.07,7.08,7.08
33.22,9.27,2.20,9.27,2.20,-2.20,-2.19,-2.81,7.07,7.07,7.08
33.55,9.23,2.17,9.24,2.17,-2.18,-2.18,-2.80,7.06,7.06,7.07
33.89,9.21,2.16,9.21,2.15,-2.15,-2.16,-2.80,7.06,7.06,7.06
34.23,9.17,2.14,9.18,2.13,-2.13,-2.14,-2.79,7.04,7.05,7.04
34.57,9.14,2.11,9.15,2.11,-2.11,-2.13,-2.78,7.03,7.04,7.04
34.92,9.11,2.10,9.11,2.09,-2.09,-2.12,-2.77,7.02,7.02,7.02
35.27,9.08,2.08,9.08,2.08,-2.08,-2.10,-2.76,7.01,7.00,7.01
35.62,9.04,2.07,9.04,2.06,-2.07,-2.09,-2.75,6.98,6.98,6.98
35.97,9.00,2.05,9.01,2.05,-2.06,-2.08,-2.73,6.95,6.95,6.96
36.33,8.97,2.05,8.97,2.05,-2.05,-2.07,-2.72,6.92,6.92,6.93
36.70,8.94,2.05,8.94,2.04,-2.05,-2.06,-2.71,6.90,6.89,6.90
37.06,8.91,2.05,8.91,2.05,-2.05,-2.05,-2.69,6.87,6.87,6.87
37.43,8.88,2.05,8.89,2.05,-2.05,-2.04,-2.68,6.84,6.84,6.84
37.81,8.86,2.06,8.86,2.05,-2.05,-2.04,-2.67,6.81,6.81,6.81
38.19,8.82,2.06,8.83,2.06,-2.05,-2.03,-2.65,6.77,6.78,6.77
38.57,8.80,2.06,8.80,2.06,-2.06,-2.03,-2.64,6.75,6.74,6.75
38.95,8.77,2.06,8.77,2.06,-2.06,-2.03,-2.63,6.71,6.71,6.72
39.34,8.74,2.07,8.75,2.07,-2.06,-2.02,-2.62,6.68,6.68,6.68
39.74,8.72,2.08,8.72,2.07,-2.07,-2.02,-2.62,6.66,6.65,6.65
40.14,8.69,2.07,8.69,2.07,-2.07,-2.02,-2.61,6.63,6.63,6.63
40.54,8.66,2.06,8.67,2.06,-2.07,-2.02,-2.61,6.59,6.60,6.61
40.94,8.64,2.07,8.64,2.07,-2.07,-2.03,-2.61,6.57,6.57,6.58
41.35,8.62,2.08,8.62,2.07,-2.07,-2.03,-2.60,6.55,6.55,6.55
41.76,8.60,2.09,8.60,2.08,-2.08,-2.03,-2.61,6.53,6.53,6.52
42.18,8.58,2.08,8.58,2.08,-2.08,-2.04,-2.61,6.51,6.50,6.51
42.60,8.55,2.08,8.56,2.08,-2.08,-2.05,-2.61,6.47,6.47,6.48
43.03,8.53,2.09,8.54,2.08,-2.08,-2.06,-2.62,6.45,6.45,6.45
43.46,8.51,2.09,8.51,2.09,-2.09,-2.07,-2.63,6.42,6.43,6.43
43.90,8.50,2.10,8.50,2.10,-2.09,-2.08,-2.64,6.41,6.40,6.41
44.33,8.47,2.11,8.48,2.10,-2.10,-2.09,-2.65,6.37,6.38,6.37
44.78,8.46,2.12,8.46,2.11,-2.11,-2.10,-2.67,6.35,6.35,6.35
45.23,8.44,2.11,8.45,2.12,-2.13,-2.12,-2.69,6.32,6.32,6.34
45.68,8.43,2.14,8.43,2.14,-2.14,-2.14,-2.71,6.29,6.29,6.30
46.13,8.42,2.18,8.42,2.16,-2.16,-2.16,-2.73,6.26,6.26,6.25
46.60,8.40,2.18,8.41,2.18,-2.18,-2.18,-2.75,6.22,6.23,6.23
47.06,8.39,2.21,8.39,2.21,-2.21,-2.20,-2.78,6.19,6.19,6.19
47.53,8.38,2.23,8.38,2.23,-2.24,-2.22,-2.81,6.15,6.15,6.16
48.01,8.37,2.28,8.37,2.27,-2.27,-2.25,-2.84,6.10,6.10,6.10
48.49,8.36,2.30,8.37,2.30,-2.31,-2.27,-2.87,6.06,6.06,6.07
