frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.12,0.56,6.12,0.56,-0.56,-0.18,-0.41,5.56,5.56,5.57
20.20,6.14,0.58,6.14,0.58,-0.58,-0.18,-0.42,5.56,5.56,5.57
20.40,6.16,0.60,6.16,0.60,-0.60,-0.19,-0.43,5.57,5.57,5.57
20.61,6.18,0.62,6.18,0.62,-0.61,-0.19,-0.44,5.57,5.57,5.57
20.81,6.19,0.64,6.20,0.64,-0.63,-0.20,-0.45,5.56,5.57,5.56
21.02,6.21,0.66,6.21,0.65,-0.64,-0.20,-0.46,5.57,5.56,5.56
21.23,6.21,0.66,6.22,0.66,-0.66,-0.21,-0.47,5.55,5.56,5.56
21.44,6.22,0.66,6.22,0.66,-0.67,-0.21,-0.49,5.55,5.55,5.57
21.66,6.23,0.68,6.23,0.67,-0.68,-0.22,-0.50,5.55,5.55,5.56
21.87,6.24,0.69,6.24,0.69,-0.69,-0.22,-0.51,5.55,5.55,5.56
22.09,6.25,0.71,6.25,0.71,-0.70,-0.23,-0.53,5.55,5.55,5.55
22.31,6.26,0.72,6.26,0.72,-0.71,-0.24,-0.54,5.55,5.55,5.55
22.54,6.26,0.73,6.26,0.73,-0.72,-0.24,-0.55,5.54,5.54,5.54
22.76,6.26,0.73,6.26,0.73,-0.73,-0.25,-0.57,5.53,5.53,5.54
22.99,6.26,0.74,6.26,0.74,-0.74,-0.25,-0.58,5.52,5.52,5.53
23.22,6.26,0.75,6.27,0.75,-0.75,-0.26,-0.60,5.51,5.52,5.52
23.45,6.27,0.76,6.27,0.76,-0.76,-0.27,-0.61,5.52,5.51,5.52
23.69,6.27,0.77,6.27,0.77,-0.76,-0.27,-0.63,5.51,5.51,5.51
23.92,6.27,0.78,6.27,0.77,-0.77,-0.28,-0.65,5.50,5.50,5.50
24.16,6.27,0.78,6.27,0.78,-0.78,-0.29,-0.66,5.50,5.50,5.50
24.40,6.27,0.78,6.28,0.78,-0.78,-0.29,-0.68,5.49,5.49,5.50
24.65,6.28,0.79,6.28,0.78,-0.79,-0.30,-0.70,5.49,5.49,5.50
24.89,6.28,0.79,6.29,0.79,-0.80,-0.31,-0.71,5.48,5.49,5.50
25.14,6.29,0.81,6.29,0.81,-0.81,-0.32,-0.73,5.48,5.48,5.49
25.39,6.30,0.83,6.30,0.82,-0.82,-0.33,-0.75,5.48,5.48,5.48
25.65,6.31,0.84,6.31,0.84,-0.83,-0.34,-0.77,5.48,5.48,5.48
25.91,6.32,0.85,6.32,0.84,-0.84,-0.34,-0.78,5.48,5.48,5.48
26.16,6.33,0.85,6.33,0.85,-0.86,-0.35,-0.80,5.48,5.48,5.49
26.43,6.34,0.86,6.35,0.86,-0.87,-0.36,-0.82,5.48,5.48,5.49
26.69,6.36,0.88,6.36,0.88,-0.88,-0.37,-0.84,5.49,5.48,5.49
26.96,6.37,0.90,6.37,0.89,-0.89,-0.38,-0.86,5.49,5.48,5.48
27.23,6.38,0.91,6.38,0.90,-0.90,-0.39,-0.87,5.48,5.48,5.48
27.50,6.38,0.91,6.39,0.91,-0.91,-0.40,-0.89,5.47,5.48,5.48
27.77,6.39,0.91,6.39,0.91,-0.92,-0.41,-0.91,5.47,5.47,5.49
28.05,6.40,0.93,6.40,0.93,-0.93,-0.42,-0.93,5.47,5.47,5.48
28.33,6.41,0.95,6.41,0.94,-0.94,-0.44,-0.95,5.47,5.47,5.47
28.62,6.42,0.97,6.42,0.96,-0.95,-0.45,-0.96,5.47,5.47,5.46
28.90,6.42,0.96,6.43,0.97,-0.97,-0.46,-0.98,5.46,5.46,5.47
29.19,6.43,0.98,6.43,0.98,-0.98,-0.47,-1.00,5.46,5.45,5.46
29.48,6.43,0.99,6.43,0.98,-0.99,-0.49,-1.01,5.45,5.45,5.45
29.78,6.43,1.00,6.43,1.00,-1.00,-0.50,-1.03,5.44,5.44,5.44
30.08,6.43,1.00,6.43,1.00,-1.00,-0.51,-1.04,5.43,5.43,5.44
30.38,6.43,1.01,6.43,1.01,-1.01,-0.53,-1.06,5.43,5.43,5.43
30.68,6.43,1.02,6.43,1.01,-1.01,-0.54,-1.07,5.42,5.42,5.42
30.99,6.43,1.02,6.43,1.02,-1.02,-0.56,-1.08,5.42,5.42,5.42
31.30,6.43,1.02,6.43,1.02,-1.02,-0.57,-1.10,5.41,5.41,5.42
31.61,6.43,1.02,6.43,1.02,-1.02,-0.59,-1.11,5.41,5.41,5.42
31.93,6.43,1.03,6.43,1.02,-1.02,-0.61,-1.12,5.41,5.41,5.41
32.24,6.43,1.02,6.43,1.02,-1.02,-0.63,-1.13,5.41,5.41,5.42
32.57,6.43,1.03,6.43,1.03,-1.02,-0.64,-1.15,5.41,5.41,5.41
32.89,6.43,1.03,6.43,1.02,-1.03,-0.66,-1.16,5.41,5.40,5.41
33.22,6.43,1.03,6.43,1.03,-1.03,-0.68,-1.17,5.40,5.40,5.41
33.55,6.42,1.03,6.43,1.04,-1.04,-0.70,-1.18,5.39,5.39,5.40
33.89,6.43,1.05,6.43,1.05,-1.05,-0.72,-1.19,5.39,5.38,5.39
34.23,6.43,1.07,6.43,1.06,-1.06,-0.74,-1.20,5.38,5.37,5.37
34.57,6.43,1.07,6.43,1.07,-1.07,-0.77,-1.21,5.36,5.36,5.37
34.92,6.43,1.09,6.43,1.09,-1.09,-0.79,-1.22,5.35,5.35,5.35
35.27,6.43,1.10,6.43,1.10,-1.11,-0.81,-1.23,5.33,5.33,5.34
35.62,6.43,1.13,6.43,1.12,-1.13,-0.84,-1.24,5.30,5.30,5.31
35.97,6.43,1.15,6.43,1.15,-1.15,-0.86,-1.25,5.28,5.28,5.29
36.33,6.43,1.18,6.43,1.18,-1.18,-0.89,-1.27,5.25,5.25,5.26
36.70,6.43,1.21,6.43,1.21,-1.21,-0.92,-1.28,5.23,5.23,5.23
37.06,6.43,1.24,6.43,1.24,-1.24,-0.94,-1.29,5.20,5.20,5.20
37.43,6.43,1.27,6.43,1.27,-1.27,-0.97,-1.31,5.17,5.17,5.16
37.81,6.43,1.30,6.43,1.30,-1.30,-1.00,-1.32,5.14,5.13,5.14
38.19,6.42,1.33,6.43,1.32,-1.33,-1.03,-1.34,5.10,5.10,5.10
38.57,6.42,1.35,6.42,1.35,-1.35,-1.07,-1.35,5.07,5.07,5.08
38.95,6.42,1.38,6.42,1.38,-1.38,-1.10,-1.37,5.04,5.04,5.04
39.34,6.42,1.42,6.42,1.41,-1.41,-1.13,-1.39,5.02,5.02,5.01
39.74,6.41,1.44,6.41,1.43,-1.43,-1.17,-1.41,4.98,4.98,4.98
40.14,6.41,1.46,6.41,1.45,-1.45,-1.20,-1.43,4.96,4.96,4.96
40.54,6.39,1.46,6.40,1.47,-1.47,-1.24,-1.45,4.92,4.93,4.94
40.94,6.40,1.50,6.40,1.49,-1.50,-1.28,-1.47,4.91,4.90,4.91
41.35,6.39,1.52,6.39,1.51,-1.52,-1.32,-1.50,4.88,4.88,4.88
41.76,6.38,1.54,6.39,1.54,-1.53,-1.36,-1.52,4.85,4.85,4.85
42.18,6.38,1.55,6.38,1.55,-1.55,-1.40,-1.55,4.83,4.83,4.84
42.60,6.37,1.57,6.37,1.57,-1.57,-1.44,-1.58,4.80,4.80,4.81
43.03,6.37,1.60,6.37,1.59,-1.59,-1.49,-1.61,4.78,4.78,4.78
43.46,6.36,1.61,6.36,1.61,-1.61,-1.53,-1.64,4.76,4.76,4.76
43.90,6.36,1.63,6.36,1.63,-1.63,-1.58,-1.67,4.74,4.73,4.74
44.33,6.34,1.65,6.35,1.64,-1.64,-1.63,-1.71,4.70,4.70,4.70
44.78,6.34,1.67,6.34,1.66,-1.66,-1.68,-1.74,4.68,4.68,4.68
45.23,6.33,1.67,6.33,1.68,-1.68,-1.72,-1.78,4.65,4.65,4.67
45.68,6.32,1.70,6.33,1.70,-1.71,-1.77,-1.81,4.62,4.62,4.63
46.13,6.32,1.75,6.32,1.73,-1.73,-1.82,-1.85,4.59,4.59,4.58
46.60,6.30,1.75,6.31,1.76,-1.75,-1.88,-1.89,4.55,4.56,4.56
47.06,6.30,1.79,6.30,1.78,-1.78,-1.93,-1.94,4.52,4.52,4.52
47.53,6.28,1.80,6.28,1.81,-1.81,-1.98,-1.98,4.47,4.48,4.49
48.01,6.27,1.85,6.27,1.84,-1.84,-2.03,-2.02,4.43,4.43,4.43
48.49,6.26,1.87,6.26,1.87,-1.87,-2.09,-2.07,4.39,4.39,4.40
48.97,6.25,1.91,6.25,1.91,-1.91,-2.14,-2.11,4.34,4.34,4.35
49.46,6.24,1.94,6.24,1.94,-1.95,-2.19,-2.16,4.30,4.29,4.31
49.96,6.23,2.00,6.23,1.99,-1.99,-2.24,-2.20,4.25,4.24,4.24
50.46,6.21,2.02,6.22,2.03,-2.02,-2.29,-2.25,4.19,4.20,4.20
50.96,6.21,2.07,6.21,2.06,-2.06,-2.34,-2.30,4.15,4.15,4.15
51.47,6.20,2.10,6.20,2.10,-2.09,-2.39,-2.35,4.11,4.11,4.11
51.99,6.19,2.14,6.19,2.14,-2.13,-2.44,-2.39,4.06,4.07,4.06
52.51,6.18,2.17,6.18,2.16,-2.16,-2.49,-2.44,4.02,4.02,4.02
53.03,6.16,2.18,6.16,2.19,-2.19,-2.53,-2.49,3.97,3.97,3.99
53.56,6.14,2.21,6.15,2.21,-2.22,-2.57,-2.53,3.92,3.92,3.94
54.10,6.13,2.26,6.13,2.25,-2.25,-2.61,-2.58,3.88,3.88,3.88
54.64,6.10,2.27,6.11,2.28,-2.28,-2.65,-2.62,3.83,3.83,3.84
55.18,6.09,2.32,6.09,2.31,-2.30,-2.68,-2.66,3.79,3.79,3.78
55.74,6.06,2.33,6.06,2.32,-2.32,-2.71,-2.70,3.74,3.74,3.74
56.29,6.03,2.34,6.03,2.34,-2.34,-2.74,-2.74,3.69,3.70,3.70
56.86,6.00,2.35,6.00,2.36,-2.35,-2.77,-2.77,3.65,3.65,3.66
57.42,5.97,2.38,5.97,2.37,-2.36,-2.79,-2.80,3.61,3.61,3.60
58.00,5.94,2.39,5.94,2.38,-2.37,-2.80,-2.83,3.57,3.57,3.56
58.58,5.90,2.38,5.90,2.38,-2.38,-2.81,-2.85,3.52,3.52,3.53
59.16,5.86,2.38,5.87,2.38,-2.40,-2.82,-2.87,3.46,3.47,3.49
59.76,5.84,2.40,5.84,2.40,-2.42,-2.83,-2.89,3.42,3.42,3.45
60.35,5.81,2.44,5.82,2.43,-2.45,-2.83,-2.90,3.36,3.37,3.38
60.96,5.79,2.47,5.79,2.47,-2.48,-2.83,-2.91,3.31,3.31,3.33
61.57,5.77,2.53,5.77,2.52,-2.52,-2.83,-2.91,3.25,3.25,3.25
