frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,19.11,8.78,19.11,8.77,-8.77,-8.41,-3.69,10.34,10.33,10.33
20.20,19.09,8.76,19.09,8.76,-8.76,-8.41,-3.79,10.33,10.33,10.33
20.40,19.07,8.74,19.07,8.74,-8.74,-8.40,-3.90,10.33,10.33,10.33
20.61,19.06,8.73,19.05,8.73,-8.73,-8.39,-4.00,10.33,10.33,10.33
20.81,19.04,8.72,19.04,8.71,-8.71,-8.38,-4.11,10.33,10.33,10.32
21.02,19.02,8.70,19.02,8.69,-8.69,-8.37,-4.23,10.33,10.32,10.32
21.23,18.99,8.67,19.00,8.68,-8.68,-8.36,-4.34,10.31,10.32,10.32
21.44,18.97,8.64,18.98,8.66,-8.66,-8.36,-4.46,10.31,10.32,10.33
21.66,18.96,8.64,18.96,8.64,-8.64,-8.35,-4.59,10.32,10.32,10.32
21.87,18.94,8.62,18.94,8.63,-8.63,-8.34,-4.71,10.31,10.31,10.32
22.09,18.92,8.61,18.92,8.61,-8.61,-8.33,-4.84,10.31,10.31,10.31
22.31,18.90,8.59,18.90,8.59,-8.59,-8.32,-4.98,10.31,10.31,10.31
22.54,18.88,8.58,18.88,8.58,-8.58,-8.31,-5.11,10.30,10.30,10.30
22.76,18.86,8.56,18.86,8.56,-8.56,-8.30,-5.25,10.30,10.30,10.30
22.99,18.83,8.54,18.83,8.54,-8.54,-8.29,-5.40,10.29,10.29,10.29
23.22,18.81,8.53,18.81,8.53,-8.53,-8.28,-5.55,10.28,10.29,10.28
23.45,18.79,8.51,18.79,8.51,-8.51,-8.27,-5.70,10.28,10.28,10.28
23.69,18.77,8.50,18.77,8.49,-8.49,-8.26,-5.85,10.28,10.27,10.27
23.92,18.75,8.49,18.74,8.47,-8.47,-8.24,-6.01,10.27,10.27,10.26
24.16,18.72,8.46,18.72,8.45,-8.45,-8.23,-6.17,10.26,10.26,10.26
24.40,18.69,8.43,18.69,8.43,-8.43,-8.22,-6.34,10.26,10.26,10.26
24.65,18.67,8.41,18.67,8.41,-8.41,-8.21,-6.51,10.26,10.26,10.26
24.89,18.64,8.38,18.64,8.39,-8.39,-8.20,-6.68,10.25,10.25,10.26
25.14,18.62,8.37,18.62,8.37,-8.37,-8.19,-6.85,10.25,10.25,10.25
25.39,18.59,8.35,18.59,8.34,-8.34,-8.17,-7.03,10.25,10.25,10.24
25.65,18.57,8.33,18.57,8.32,-8.32,-8.16,-7.20,10.25,10.25,10.24
25.91,18.54,8.30,18.54,8.29,-8.29,-8.15,-7.38,10.25,10.25,10.24
26.16,18.51,8.26,18.51,8.27,-8.27,-8.14,-7.56,10.24,10.25,10.25
26.43,18.49,8.24,18.49,8.24,-8.24,-8.12,-7.74,10.25,10.25,10.25
26.69,18.46,8.21,18.46,8.21,-8.21,-8.11,-7.92,10.25,10.25,10.25
26.96,18.43,8.19,18.43,8.19,-8.19,-8.10,-8.10,10.24,10.24,10.24
27.23,18.41,8.17,18.40,8.16,-8.16,-8.08,-8.28,10.25,10.24,10.24
27.50,18.37,8.13,18.37,8.13,-8.13,-8.07,-8.45,10.24,10.24,10.24
27.77,18.34,8.09,18.35,8.11,-8.11,-8.05,-8.62,10.23,10.24,10.25
28.05,18.32,8.08,18.32,8.08,-8.08,-8.04,-8.78,10.24,10.24,10.24
28.33,18.28,8.05,18.29,8.05,-8.05,-8.03,-8.94,10.23,10.23,10.23
28.62,18.26,8.04,18.25,8.03,-8.03,-8.01,-9.09,10.23,10.23,10.22
28.90,18.22,7.99,18.22,8.00,-8.00,-8.00,-9.23,10.22,10.22,10.23
29.19,18.20,7.98,18.19,7.98,-7.98,-7.98,-9.36,10.22,10.22,10.22
29.48,18.16,7.95,18.16,7.95,-7.95,-7.97,-9.48,10.21,10.21,10.21
29.78,18.13,7.93,18.13,7.92,-7.92,-7.95,-9.59,10.21,10.20,10.20
30.08,18.10,7.90,18.10,7.89,-7.89,-7.94,-9.68,10.20,10.20,10.20
30.38,18.06,7.87,18.06,7.87,-7.87,-7.92,-9.76,10.19,10.20,10.19
30.68,18.03,7.85,18.03,7.84,-7.84,-7.90,-9.83,10.19,10.19,10.18
30.99,17.99,7.81,18.00,7.81,-7.81,-7.89,-9.88,10.18,10.19,10.18
31.30,17.96,7.78,17.96,7.78,-7.78,-7.87,-9.91,10.18,10.18,10.18
31.61,17.93,7.75,17.93,7.75,-7.75,-7.86,-9.92,10.18,10.18,10.18
31.93,17.89,7.72,17.89,7.71,-7.71,-7.84,-9.92,10.18,10.18,10.17
32.24,17.86,7.68,17.86,7.68,-7.68,-7.82,-9.91,10.18,10.18,10.18
32.57,17.82,7.65,17.82,7.65,-7.65,-7.81,-9.88,10.17,10.17,10.17
32.89,17.79,7.62,17.79,7.62,-7.62,-7.79,-9.83,10.17,10.17,10.17
33.22,17.76,7.59,17.75,7.59,-7.59,-7.77,-9.77,10.17,10.16,10.17
33.55,17.71,7.55,17.72,7.56,-7.56,-7.76,-9.70,10.15,10.16,10.16
33.89,17.68,7.53,17.68,7.53,-7.53,-7.74,-9.62,10.15,10.15,10.15
34.23,17.64,7.51,17.64,7.50,-7.50,-7.72,-9.53,10.14,10.14,10.13
34.57,17.61,7.48,17.60,7.48,-7.48,-7.70,-9.44,10.13,10.12,10.13
34.92,17.57,7.46,17.57,7.46,-7.46,-7.69,-9.33,10.11,10.11,10.11
35.27,17.53,7.43,17.53,7.44,-7.44,-7.67,-9.22,10.09,10.09,10.10
35.62,17.49,7.42,17.49,7.42,-7.42,-7.65,-9.11,10.07,10.07,10.07
35.97,17.44,7.39,17.45,7.40,-7.40,-7.63,-8.99,10.03,10.04,10.05
36.33,17.41,7.39,17.41,7.39,-7.39,-7.61,-8.87,10.02,10.02,10.02
36.70,17.37,7.38,17.37,7.38,-7.38,-7.60,-8.75,9.99,9.99,9.99
37.06,17.33,7.37,17.33,7.37,-7.37,-7.58,-8.63,9.96,9.96,9.96
37.43,17.28,7.35,17.29,7.35,-7.35,-7.56,-8.51,9.92,9.93,9.93
37.81,17.25,7.35,17.24,7.34,-7.34,-7.54,-8.39,9.91,9.90,9.90
38.19,17.20,7.34,17.20,7.33,-7.33,-7.52,-8.27,9.87,9.87,9.86
38.57,17.16,7.32,17.16,7.32,-7.32,-7.50,-8.16,9.84,9.84,9.84
38.95,17.12,7.31,17.12,7.31,-7.31,-7.48,-8.05,9.81,9.81,9.81
39.34,17.08,7.31,17.08,7.30,-7.30,-7.46,-7.94,9.78,9.78,9.77
39.74,17.04,7.30,17.03,7.28,-7.28,-7.45,-7.84,9.76,9.75,9.74
40.14,16.99,7.27,16.99,7.27,-7.27,-7.43,-7.74,9.72,9.72,9.72
40.54,16.94,7.24,16.95,7.25,-7.25,-7.41,-7.64,9.69,9.70,9.70
40.94,16.91,7.24,16.90,7.23,-7.23,-7.39,-7.55,9.67,9.67,9.67
