frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.58,0.43,8.59,0.44,-0.44,-1.07,-1.01,8.14,8.15,8.15
20.20,8.63,0.49,8.63,0.48,-0.48,-1.09,-1.04,8.15,8.15,8.15
20.40,8.68,0.54,8.67,0.53,-0.53,-1.12,-1.07,8.16,8.14,8.15
20.61,8.72,0.58,8.71,0.57,-0.57,-1.14,-1.09,8.15,8.14,8.14
20.81,8.76,0.63,8.76,0.62,-0.62,-1.16,-1.12,8.15,8.14,8.13
21.02,8.80,0.67,8.80,0.66,-0.66,-1.18,-1.15,8.14,8.14,8.13
21.23,8.83,0.70,8.84,0.71,-0.71,-1.20,-1.18,8.12,8.13,8.13
21.44,8.87,0.73,8.89,0.76,-0.76,-1.22,-1.21,8.12,8.13,8.14
21.66,8.92,0.79,8.93,0.80,-0.80,-1.25,-1.24,8.12,8.13,8.13
21.87,8.96,0.83,8.97,0.85,-0.85,-1.27,-1.27,8.11,8.12,8.13
22.09,9.01,0.89,9.02,0.90,-0.90,-1.29,-1.30,8.11,8.12,8.12
22.31,9.06,0.95,9.06,0.95,-0.95,-1.32,-1.34,8.11,8.11,8.12
22.54,9.11,1.00,9.11,1.00,-1.00,-1.34,-1.37,8.11,8.11,8.11
22.76,9.16,1.06,9.16,1.05,-1.05,-1.37,-1.41,8.11,8.10,8.10
22.99,9.21,1.11,9.20,1.11,-1.11,-1.39,-1.44,8.11,8.10,8.10
23.22,9.25,1.16,9.25,1.16,-1.16,-1.42,-1.48,8.09,8.09,8.09
23.45,9.30,1.21,9.30,1.21,-1.21,-1.44,-1.52,8.09,8.09,8.09
23.69,9.35,1.27,9.35,1.27,-1.27,-1.47,-1.55,8.08,8.08,8.08
23.92,9.40,1.33,9.39,1.32,-1.32,-1.50,-1.59,8.08,8.08,8.07
24.16,9.44,1.38,9.44,1.37,-1.37,-1.52,-1.63,8.07,8.07,8.07
24.40,9.48,1.42,9.49,1.42,-1.42,-1.55,-1.67,8.06,8.07,8.07
24.65,9.53,1.47,9.53,1.47,-1.47,-1.58,-1.71,8.06,8.06,8.06
