frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.75,-1.67,5.74,-1.68,1.68,1.92,-0.37,7.43,7.42,7.42
20.20,5.81,-1.61,5.80,-1.62,1.62,1.91,-0.38,7.43,7.42,7.42
20.40,5.86,-1.56,5.86,-1.56,1.56,1.89,-0.39,7.42,7.42,7.42
20.61,5.92,-1.50,5.91,-1.50,1.50,1.86,-0.40,7.42,7.42,7.42
20.81,5.98,-1.43,5.97,-1.44,1.44,1.82,-0.41,7.42,7.42,7.41
21.02,6.03,-1.38,6.03,-1.38,1.38,1.77,-0.43,7.41,7.41,7.41
21.23,6.08,-1.33,6.10,-1.32,1.32,1.71,-0.44,7.39,7.41,7.41
21.44,6.15,-1.27,6.16,-1.25,1.25,1.64,-0.45,7.40,7.41,7.42
21.66,6.21,-1.20,6.22,-1.19,1.19,1.56,-0.46,7.39,7.41,7.41
21.87,6.28,-1.13,6.28,-1.12,1.12,1.48,-0.47,7.40,7.40,7.41
22.09,6.35,-1.05,6.35,-1.05,1.05,1.40,-0.49,7.40,7.40,7.40
22.31,6.41,-0.99,6.41,-0.98,0.98,1.31,-0.50,7.39,7.40,7.40
22.54,6.48,-0.91,6.48,-0.91,0.91,1.23,-0.52,7.39,7.39,7.39
22.76,6.55,-0.84,6.55,-0.84,0.84,1.14,-0.53,7.39,7.39,7.39
22.99,6.62,-0.76,6.61,-0.77,0.77,1.05,-0.54,7.38,7.38,7.38
23.22,6.69,-0.68,6.68,-0.69,0.69,0.96,-0.56,7.38,7.38,7.37
23.45,6.76,-0.61,6.75,-0.62,0.62,0.87,-0.57,7.37,7.37,7.37
23.69,6.83,-0.53,6.82,-0.54,0.54,0.79,-0.59,7.37,7.36,7.36
23.92,6.89,-0.46,6.89,-0.47,0.47,0.70,-0.61,7.36,7.36,7.35
24.16,6.96,-0.39,6.96,-0.40,0.40,0.62,-0.62,7.36,7.35,7.35
24.40,7.02,-0.33,7.02,-0.33,0.33,0.54,-0.64,7.35,7.35,7.35
24.65,7.09,-0.26,7.09,-0.26,0.26,0.47,-0.66,7.34,7.35,7.35
24.89,7.16,-0.19,7.16,-0.19,0.19,0.39,-0.67,7.35,7.34,7.35
25.14,7.22,-0.12,7.22,-0.12,0.12,0.32,-0.69,7.34,7.34,7.34
25.39,7.29,-0.04,7.28,-0.06,0.06,0.25,-0.71,7.34,7.34,7.33
25.65,7.35,0.02,7.35,0.01,-0.01,0.19,-0.73,7.34,7.34,7.33
25.91,7.41,0.08,7.41,0.07,-0.07,0.12,-0.74,7.33,7.34,7.33
26.16,7.48,0.14,7.47,0.14,-0.14,0.06,-0.76,7.34,7.34,7.34
26.43,7.54,0.20,7.54,0.20,-0.20,0.00,-0.78,7.34,7.34,7.34
26.69,7.60,0.26,7.60,0.26,-0.26,-0.05,-0.80,7.33,7.34,7.34
26.96,7.66,0.33,7.66,0.33,-0.33,-0.11,-0.82,7.33,7.33,7.33
27.23,7.73,0.40,7.72,0.39,-0.39,-0.16,-0.84,7.34,7.33,7.33
27.50,7.78,0.45,7.78,0.45,-0.45,-0.21,-0.86,7.33,7.33,7.33
27.77,7.84,0.50,7.84,0.51,-0.51,-0.26,-0.87,7.33,7.33,7.34
28.05,7.91,0.58,7.90,0.57,-0.57,-0.31,-0.89,7.33,7.33,7.33
28.33,7.96,0.64,7.96,0.64,-0.64,-0.36,-0.91,7.32,7.32,7.32
28.62,8.02,0.71,8.02,0.70,-0.70,-0.40,-0.93,7.31,7.32,7.31
28.90,8.07,0.75,8.08,0.77,-0.77,-0.45,-0.95,7.30,7.31,7.32
29.19,8.14,0.83,8.14,0.83,-0.83,-0.49,-0.96,7.31,7.31,7.31
29.48,8.19,0.89,8.19,0.89,-0.89,-0.53,-0.98,7.29,7.30,7.30
29.78,8.26,0.97,8.25,0.96,-0.96,-0.57,-1.00,7.30,7.29,7.29
30.08,8.31,1.02,8.31,1.02,-1.02,-0.61,-1.01,7.29,7.29,7.29
30.38,8.37,1.09,8.36,1.08,-1.08,-0.65,-1.03,7.29,7.29,7.28
30.68,8.42,1.15,8.42,1.14,-1.14,-0.69,-1.05,7.28,7.28,7.27
30.99,8.48,1.21,8.48,1.20,-1.20,-0.72,-1.06,7.28,7.28,7.27
31.30,8.53,1.26,8.53,1.26,-1.26,-0.76,-1.08,7.27,7.27,7.27
31.61,8.59,1.32,8.58,1.31,-1.31,-0.79,-1.09,7.27,7.27,7.27
31.93,8.64,1.38,8.64,1.37,-1.37,-0.83,-1.11,7.27,7.27,7.26
32.24,8.69,1.42,8.69,1.42,-1.42,-0.86,-1.12,7.26,7.27,7.27
32.57,8.74,1.48,8.74,1.48,-1.48,-0.89,-1.13,7.26,7.26,7.26
32.89,8.79,1.53,8.79,1.53,-1.53,-0.93,-1.15,7.26,7.26,7.26
33.22,8.84,1.58,8.84,1.58,-1.58,-0.96,-1.16,7.26,7.25,7.26
33.55,8.88,1.63,8.88,1.63,-1.63,-0.99,-1.17,7.24,7.25,7.25
33.89,8.93,1.69,8.92,1.69,-1.69,-1.02,-1.19,7.24,7.24,7.24
34.23,8.97,1.75,8.97,1.74,-1.74,-1.05,-1.20,7.23,7.23,7.22
34.57,9.01,1.79,9.01,1.79,-1.79,-1.08,-1.21,7.22,7.21,7.22
34.92,9.05,1.85,9.04,1.85,-1.85,-1.11,-1.22,7.20,7.20,7.20
35.27,9.08,1.89,9.08,1.90,-1.90,-1.14,-1.24,7.18,7.18,7.19
35.62,9.12,1.96,9.11,1.95,-1.95,-1.17,-1.25,7.16,7.16,7.16
35.97,9.14,2.00,9.14,2.01,-2.01,-1.19,-1.27,7.13,7.13,7.14
