frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.10,-2.52,4.10,-2.52,2.51,2.56,0.72,6.61,6.61,6.62
20.20,4.13,-2.49,4.13,-2.49,2.49,2.53,0.74,6.61,6.62,6.62
20.40,4.16,-2.46,4.16,-2.46,2.46,2.50,0.76,6.62,6.62,6.62
20.61,4.19,-2.43,4.19,-2.42,2.43,2.47,0.78,6.62,6.62,6.62
20.81,4.22,-2.39,4.22,-2.39,2.40,2.44,0.81,6.62,6.62,6.61
21.02,4.25,-2.36,4.25,-2.36,2.37,2.41,0.83,6.62,6.61,6.61
21.23,4.27,-2.34,4.27,-2.34,2.34,2.38,0.86,6.61,6.61,6.61
21.44,4.30,-2.32,4.30,-2.31,2.31,2.35,0.88,6.61,6.61,6.62
21.66,4.33,-2.28,4.33,-2.28,2.28,2.32,0.91,6.61,6.61,6.61
21.87,4.36,-2.25,4.36,-2.25,2.25,2.29,0.94,6.61,6.60,6.61
22.09,4.38,-2.22,4.38,-2.22,2.22,2.26,0.97,6.60,6.60,6.60
22.31,4.41,-2.19,4.41,-2.18,2.18,2.23,1.00,6.59,6.60,6.60
22.54,4.44,-2.15,4.44,-2.15,2.15,2.20,1.03,6.59,6.59,6.59
22.76,4.47,-2.12,4.47,-2.12,2.12,2.17,1.06,6.59,6.58,6.59
22.99,4.49,-2.09,4.49,-2.09,2.08,2.15,1.09,6.57,6.58,6.58
23.22,4.52,-2.05,4.52,-2.05,2.05,2.12,1.12,6.57,6.57,6.57
23.45,4.54,-2.03,4.54,-2.02,2.02,2.09,1.16,6.56,6.56,6.57
23.69,4.57,-1.99,4.57,-1.99,1.99,2.07,1.19,6.56,6.56,6.56
23.92,4.59,-1.96,4.59,-1.96,1.97,2.05,1.23,6.55,6.56,6.55
24.16,4.62,-1.93,4.61,-1.93,1.94,2.02,1.26,6.56,6.55,6.55
24.40,4.63,-1.92,4.63,-1.91,1.91,2.00,1.30,6.54,6.54,6.55
24.65,4.65,-1.90,4.65,-1.89,1.89,1.98,1.33,6.53,6.54,6.55
24.89,4.68,-1.87,4.68,-1.87,1.86,1.96,1.37,6.54,6.54,6.55
25.14,4.70,-1.84,4.70,-1.84,1.84,1.94,1.41,6.54,6.54,6.54
25.39,4.72,-1.81,4.72,-1.81,1.82,1.92,1.45,6.54,6.54,6.53
