frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.50,-2.09,4.50,-2.10,2.09,1.41,0.33,6.59,6.59,6.59
20.20,4.57,-2.02,4.57,-2.02,2.02,1.38,0.34,6.59,6.59,6.59
20.40,4.65,-1.94,4.65,-1.94,1.94,1.34,0.35,6.59,6.59,6.59
20.61,4.72,-1.87,4.72,-1.86,1.86,1.31,0.36,6.58,6.59,6.59
20.81,4.80,-1.78,4.80,-1.79,1.79,1.27,0.37,6.59,6.59,6.58
21.02,4.87,-1.71,4.87,-1.72,1.72,1.23,0.38,6.59,6.59,6.58
21.23,4.93,-1.65,4.93,-1.65,1.65,1.20,0.39,6.58,6.58,6.58
21.44,5.00,-1.59,5.00,-1.59,1.58,1.17,0.40,6.58,6.58,6.59
21.66,5.06,-1.52,5.06,-1.52,1.52,1.13,0.41,6.57,6.58,6.58
21.87,5.13,-1.45,5.13,-1.45,1.45,1.10,0.42,6.58,6.58,6.58
22.09,5.19,-1.38,5.19,-1.39,1.39,1.07,0.44,6.58,6.58,6.57
22.31,5.24,-1.33,5.25,-1.32,1.33,1.03,0.45,6.57,6.57,6.57
22.54,5.30,-1.26,5.30,-1.27,1.27,1.00,0.46,6.57,6.56,6.56
22.76,5.35,-1.21,5.35,-1.21,1.21,0.97,0.48,6.56,6.56,6.56
22.99,5.40,-1.15,5.40,-1.15,1.15,0.94,0.49,6.55,6.55,6.55
23.22,5.45,-1.09,5.45,-1.10,1.09,0.91,0.50,6.54,6.54,6.54
23.45,5.50,-1.04,5.50,-1.04,1.04,0.88,0.52,6.54,6.54,6.54
23.69,5.54,-0.99,5.54,-0.99,0.99,0.85,0.53,6.53,6.54,6.53
23.92,5.59,-0.93,5.59,-0.94,0.94,0.82,0.55,6.53,6.53,6.52
24.16,5.63,-0.89,5.63,-0.90,0.90,0.80,0.56,6.53,6.52,6.52
24.40,5.66,-0.86,5.66,-0.86,0.86,0.77,0.58,6.52,6.52,6.52
24.65,5.69,-0.83,5.70,-0.83,0.82,0.74,0.59,6.51,6.51,6.52
24.89,5.73,-0.79,5.73,-0.79,0.79,0.72,0.61,6.52,6.51,6.52
25.14,5.76,-0.75,5.76,-0.75,0.75,0.69,0.62,6.52,6.51,6.51
25.39,5.78,-0.72,5.78,-0.72,0.73,0.67,0.64,6.51,6.51,6.50
25.65,5.81,-0.69,5.81,-0.69,0.70,0.64,0.65,6.51,6.51,6.50
25.91,5.83,-0.67,5.83,-0.67,0.68,0.62,0.67,6.51,6.51,6.50
26.16,5.85,-0.66,5.85,-0.66,0.65,0.59,0.68,6.50,6.50,6.51
26.43,5.87,-0.64,5.87,-0.64,0.63,0.57,0.70,6.50,6.50,6.51
26.69,5.89,-0.62,5.89,-0.62,0.61,0.55,0.71,6.50,6.51,6.51
26.96,5.91,-0.59,5.91,-0.59,0.60,0.53,0.72,6.51,6.51,6.50
27.23,5.93,-0.57,5.93,-0.58,0.58,0.51,0.74,6.51,6.50,6.50
27.50,5.94,-0.56,5.95,-0.56,0.56,0.48,0.75,6.50,6.51,6.50
27.77,5.96,-0.55,5.96,-0.55,0.54,0.46,0.76,6.50,6.50,6.51
28.05,5.98,-0.52,5.97,-0.53,0.53,0.44,0.77,6.51,6.50,6.50
28.33,5.98,-0.51,5.99,-0.51,0.51,0.42,0.78,6.49,6.50,6.49
28.62,6.00,-0.48,5.99,-0.49,0.49,0.40,0.79,6.49,6.49,6.48
28.90,6.00,-0.49,6.00,-0.48,0.48,0.38,0.79,6.48,6.48,6.49
29.19,6.01,-0.47,6.01,-0.47,0.47,0.37,0.80,6.48,6.48,6.48
29.48,6.02,-0.45,6.02,-0.45,0.45,0.35,0.80,6.47,6.47,6.47
29.78,6.03,-0.43,6.03,-0.44,0.44,0.33,0.80,6.47,6.47,6.46
30.08,6.03,-0.43,6.03,-0.43,0.43,0.31,0.81,6.46,6.46,6.46
30.38,6.03,-0.42,6.03,-0.42,0.42,0.29,0.80,6.45,6.45,6.45
30.68,6.03,-0.41,6.03,-0.41,0.41,0.28,0.80,6.44,6.44,6.44
30.99,6.04,-0.40,6.04,-0.40,0.40,0.26,0.80,6.44,6.44,6.44
31.30,6.04,-0.40,6.04,-0.40,0.40,0.24,0.79,6.44,6.44,6.44
31.61,6.05,-0.39,6.05,-0.39,0.39,0.23,0.78,6.44,6.44,6.44
31.93,6.05,-0.38,6.05,-0.38,0.39,0.21,0.77,6.44,6.44,6.43
32.24,6.06,-0.38,6.06,-0.38,0.38,0.19,0.76,6.44,6.44,6.44
32.57,6.06,-0.37,6.06,-0.37,0.38,0.18,0.75,6.44,6.44,6.43
32.89,6.06,-0.37,6.06,-0.37,0.37,0.16,0.73,6.43,6.43,6.43
33.22,6.07,-0.36,6.06,-0.36,0.36,0.15,0.71,6.43,6.42,6.43
33.55,6.06,-0.36,6.07,-0.36,0.35,0.13,0.70,6.41,6.42,6.42
33.89,6.07,-0.34,6.07,-0.34,0.34,0.11,0.68,6.41,6.41,6.41
34.23,6.07,-0.32,6.07,-0.33,0.33,0.10,0.66,6.40,6.40,6.39
34.57,6.08,-0.31,6.08,-0.31,0.31,0.08,0.63,6.39,6.39,6.39
34.92,6.08,-0.29,6.08,-0.29,0.30,0.07,0.61,6.38,6.38,6.37
35.27,6.08,-0.28,6.08,-0.28,0.28,0.05,0.59,6.36,6.36,6.36
35.62,6.08,-0.25,6.08,-0.26,0.25,0.04,0.56,6.33,6.33,6.33
35.97,6.07,-0.24,6.07,-0.24,0.23,0.03,0.53,6.30,6.31,6.31
36.33,6.07,-0.21,6.07,-0.21,0.21,0.01,0.51,6.28,6.28,6.28
36.70,6.07,-0.18,6.07,-0.18,0.18,-0.00,0.48,6.25,6.25,6.25
37.06,6.07,-0.15,6.07,-0.15,0.16,-0.02,0.45,6.23,6.22,6.22
37.43,6.06,-0.13,6.06,-0.13,0.13,-0.03,0.42,6.19,6.19,6.19
37.81,6.06,-0.10,6.06,-0.10,0.10,-0.05,0.39,6.16,6.16,6.16
38.19,6.05,-0.07,6.05,-0.08,0.07,-0.06,0.36,6.12,6.13,6.12
38.57,6.05,-0.05,6.05,-0.05,0.05,-0.07,0.33,6.10,6.10,6.10
38.95,6.05,-0.02,6.05,-0.02,0.02,-0.09,0.30,6.07,6.07,6.07
39.34,6.04,0.01,6.04,0.01,-0.00,-0.10,0.27,6.04,6.04,6.03
39.74,6.04,0.04,6.04,0.03,-0.03,-0.12,0.24,6.01,6.01,6.00
40.14,6.03,0.05,6.03,0.05,-0.05,-0.13,0.21,5.98,5.98,5.98
40.54,6.02,0.06,6.02,0.07,-0.07,-0.15,0.18,5.95,5.95,5.96
40.94,6.02,0.09,6.02,0.09,-0.09,-0.16,0.14,5.93,5.93,5.93
41.35,6.01,0.11,6.01,0.11,-0.10,-0.17,0.11,5.91,5.91,5.90
41.76,6.00,0.13,6.00,0.12,-0.12,-0.19,0.08,5.88,5.88,5.87
42.18,5.99,0.13,5.99,0.13,-0.13,-0.20,0.05,5.86,5.85,5.86
42.60,5.97,0.14,5.97,0.14,-0.14,-0.22,0.02,5.83,5.83,5.83
43.03,5.96,0.16,5.96,0.15,-0.15,-0.23,-0.01,5.81,5.81,5.80
43.46,5.95,0.17,5.95,0.17,-0.16,-0.24,-0.05,5.79,5.78,5.78
43.90,5.93,0.17,5.93,0.18,-0.17,-0.26,-0.08,5.76,5.76,5.76
44.33,5.91,0.19,5.91,0.18,-0.18,-0.27,-0.11,5.73,5.73,5.72
44.78,5.89,0.19,5.89,0.18,-0.19,-0.29,-0.14,5.70,5.70,5.70
45.23,5.88,0.19,5.88,0.20,-0.20,-0.30,-0.17,5.68,5.67,5.69
45.68,5.86,0.21,5.86,0.21,-0.21,-0.32,-0.21,5.65,5.65,5.65
46.13,5.85,0.25,5.84,0.23,-0.23,-0.33,-0.24,5.62,5.62,5.60
46.60,5.82,0.24,5.82,0.25,-0.24,-0.35,-0.27,5.58,5.58,5.58
47.06,5.80,0.26,5.80,0.26,-0.26,-0.36,-0.30,5.54,5.54,5.54
47.53,5.78,0.27,5.78,0.27,-0.28,-0.38,-0.33,5.50,5.50,5.51
48.01,5.75,0.30,5.75,0.29,-0.30,-0.39,-0.37,5.45,5.46,5.45
48.49,5.73,0.31,5.73,0.31,-0.32,-0.41,-0.40,5.41,5.41,5.42
48.97,5.71,0.34,5.71,0.34,-0.34,-0.42,-0.43,5.37,5.37,5.37
49.46,5.68,0.35,5.68,0.36,-0.36,-0.44,-0.46,5.32,5.32,5.33
49.96,5.66,0.40,5.65,0.38,-0.38,-0.45,-0.49,5.28,5.27,5.26
50.46,5.62,0.40,5.62,0.40,-0.40,-0.47,-0.53,5.22,5.22,5.22
50.96,5.59,0.42,5.59,0.42,-0.42,-0.48,-0.56,5.17,5.17,5.17
51.47,5.57,0.44,5.57,0.44,-0.44,-0.50,-0.59,5.13,5.13,5.13
51.99,5.54,0.46,5.54,0.46,-0.45,-0.51,-0.62,5.09,5.09,5.08
52.51,5.52,0.48,5.51,0.47,-0.47,-0.53,-0.65,5.05,5.05,5.04
53.03,5.48,0.47,5.48,0.48,-0.48,-0.55,-0.68,5.00,5.00,5.01
53.56,5.45,0.49,5.45,0.49,-0.50,-0.56,-0.71,4.95,4.95,4.96
54.10,5.42,0.52,5.42,0.51,-0.51,-0.58,-0.74,4.91,4.90,4.90
54.64,5.38,0.52,5.39,0.53,-0.53,-0.59,-0.77,4.85,4.86,4.86
55.18,5.36,0.56,5.35,0.55,-0.54,-0.61,-0.79,4.82,4.81,4.80
55.74,5.32,0.56,5.32,0.56,-0.56,-0.63,-0.82,4.76,4.76,4.76
56.29,5.29,0.57,5.29,0.57,-0.57,-0.64,-0.85,4.72,4.72,4.72
56.86,5.25,0.57,5.25,0.58,-0.58,-0.66,-0.87,4.67,4.67,4.68
