frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.90,-2.44,4.90,-2.44,2.44,2.13,1.03,7.33,7.34,7.34
20.20,4.91,-2.43,4.91,-2.43,2.43,2.15,1.07,7.33,7.34,7.34
20.40,4.92,-2.42,4.92,-2.42,2.42,2.16,1.10,7.33,7.34,7.34
20.61,4.93,-2.41,4.92,-2.41,2.41,2.18,1.14,7.34,7.33,7.34
20.81,4.94,-2.39,4.93,-2.40,2.40,2.19,1.17,7.34,7.33,7.33
21.02,4.95,-2.38,4.94,-2.39,2.39,2.20,1.21,7.34,7.33,7.33
21.23,4.94,-2.39,4.94,-2.38,2.38,2.22,1.25,7.32,7.33,7.33
21.44,4.95,-2.39,4.95,-2.38,2.38,2.23,1.29,7.32,7.32,7.33
21.66,4.96,-2.37,4.95,-2.37,2.37,2.24,1.33,7.32,7.32,7.33
21.87,4.96,-2.37,4.96,-2.36,2.36,2.25,1.37,7.32,7.32,7.32
22.09,4.97,-2.35,4.96,-2.35,2.35,2.26,1.42,7.32,7.31,7.32
22.31,4.97,-2.35,4.97,-2.34,2.34,2.27,1.46,7.31,7.31,7.31
22.54,4.97,-2.34,4.97,-2.34,2.34,2.28,1.51,7.30,7.31,7.31
22.76,4.97,-2.34,4.97,-2.33,2.33,2.29,1.56,7.30,7.30,7.31
22.99,4.98,-2.32,4.97,-2.32,2.32,2.30,1.60,7.30,7.30,7.30
23.22,4.98,-2.31,4.97,-2.32,2.32,2.31,1.65,7.29,7.29,7.29
23.45,4.98,-2.31,4.98,-2.31,2.31,2.32,1.70,7.28,7.28,7.29
23.69,4.98,-2.30,4.98,-2.30,2.30,2.33,1.76,7.27,7.28,7.28
23.92,4.99,-2.28,4.98,-2.29,2.29,2.34,1.81,7.28,7.27,7.27
24.16,4.99,-2.28,4.98,-2.29,2.29,2.35,1.86,7.27,7.27,7.27
24.40,4.98,-2.29,4.98,-2.28,2.28,2.35,1.92,7.26,7.26,7.27
24.65,4.98,-2.29,4.98,-2.28,2.28,2.36,1.97,7.25,7.26,7.27
24.89,4.99,-2.28,4.98,-2.27,2.27,2.36,2.03,7.26,7.26,7.26
25.14,4.99,-2.27,4.99,-2.27,2.27,2.37,2.08,7.26,7.26,7.25
25.39,4.99,-2.26,4.99,-2.27,2.27,2.37,2.14,7.25,7.25,7.25
25.65,4.99,-2.26,4.99,-2.27,2.27,2.38,2.20,7.25,7.25,7.25
25.91,4.99,-2.26,4.99,-2.27,2.27,2.38,2.25,7.25,7.25,7.25
26.16,4.99,-2.27,4.99,-2.27,2.27,2.39,2.31,7.25,7.25,7.26
26.43,4.99,-2.27,4.98,-2.27,2.27,2.39,2.37,7.25,7.25,7.26
26.69,4.99,-2.27,4.98,-2.27,2.27,2.39,2.42,7.25,7.25,7.26
26.96,4.99,-2.26,4.98,-2.27,2.27,2.39,2.47,7.25,7.25,7.25
27.23,4.99,-2.26,4.98,-2.26,2.26,2.39,2.53,7.25,7.25,7.25
27.50,4.98,-2.27,4.98,-2.26,2.26,2.39,2.58,7.24,7.25,7.25
27.77,4.98,-2.28,4.98,-2.26,2.26,2.39,2.63,7.24,7.24,7.25
28.05,4.98,-2.27,4.98,-2.26,2.26,2.39,2.67,7.24,7.24,7.25
28.33,4.98,-2.26,4.98,-2.26,2.26,2.39,2.72,7.24,7.24,7.24
28.62,4.98,-2.25,4.97,-2.26,2.26,2.39,2.76,7.23,7.23,7.23
28.90,4.97,-2.27,4.97,-2.25,2.25,2.38,2.80,7.22,7.23,7.24
29.19,4.98,-2.25,4.97,-2.25,2.25,2.38,2.83,7.23,7.22,7.23
29.48,4.97,-2.25,4.97,-2.25,2.25,2.38,2.86,7.21,7.21,7.22
29.78,4.97,-2.24,4.96,-2.25,2.25,2.37,2.89,7.21,7.21,7.21
30.08,4.97,-2.24,4.96,-2.24,2.24,2.36,2.91,7.21,7.20,7.21
30.38,4.96,-2.24,4.96,-2.24,2.24,2.36,2.93,7.20,7.20,7.20
30.68,4.96,-2.23,4.96,-2.24,2.24,2.35,2.94,7.20,7.20,7.19
30.99,4.95,-2.24,4.95,-2.24,2.24,2.34,2.95,7.19,7.19,7.19
31.30,4.95,-2.24,4.95,-2.24,2.24,2.33,2.95,7.19,7.19,7.19
31.61,4.95,-2.24,4.95,-2.24,2.24,2.33,2.95,7.18,7.19,7.19
31.93,4.95,-2.23,4.94,-2.24,2.24,2.32,2.95,7.18,7.18,7.18
32.24,4.95,-2.24,4.94,-2.24,2.24,2.30,2.93,7.18,7.18,7.18
32.57,4.94,-2.24,4.94,-2.24,2.24,2.29,2.92,7.17,7.18,7.18
32.89,4.94,-2.24,4.94,-2.24,2.24,2.28,2.90,7.17,7.17,7.18
33.22,4.94,-2.24,4.93,-2.24,2.24,2.27,2.87,7.17,7.17,7.18
33.55,4.93,-2.24,4.93,-2.23,2.23,2.26,2.84,7.16,7.16,7.16
33.89,4.93,-2.23,4.93,-2.23,2.23,2.24,2.81,7.15,7.15,7.16
34.23,4.93,-2.21,4.92,-2.22,2.22,2.23,2.78,7.15,7.14,7.14
34.57,4.93,-2.21,4.92,-2.21,2.21,2.21,2.74,7.13,7.13,7.14
34.92,4.92,-2.20,4.91,-2.20,2.20,2.19,2.69,7.11,7.11,7.12
35.27,4.91,-2.20,4.91,-2.18,2.18,2.18,2.65,7.09,7.09,7.11
35.62,4.91,-2.17,4.90,-2.17,2.17,2.16,2.60,7.07,7.07,7.08
35.97,4.90,-2.16,4.90,-2.15,2.15,2.14,2.55,7.04,7.05,7.05
36.33,4.90,-2.13,4.90,-2.13,2.13,2.12,2.50,7.02,7.02,7.02
36.70,4.89,-2.11,4.89,-2.10,2.10,2.10,2.45,6.99,6.99,7.00
37.06,4.89,-2.08,4.88,-2.08,2.08,2.08,2.40,6.97,6.97,6.96
37.43,4.88,-2.06,4.88,-2.06,2.06,2.06,2.34,6.93,6.94,6.93
37.81,4.88,-2.03,4.87,-2.03,2.03,2.04,2.29,6.91,6.91,6.91
38.19,4.87,-2.00,4.87,-2.01,2.01,2.02,2.23,6.87,6.88,6.87
38.57,4.87,-1.98,4.87,-1.98,1.98,1.99,2.18,6.84,6.84,6.85
38.95,4.87,-1.95,4.86,-1.95,1.95,1.97,2.12,6.82,6.81,6.81
39.34,4.86,-1.92,4.86,-1.93,1.93,1.94,2.07,6.78,6.78,6.77
39.74,4.86,-1.89,4.85,-1.90,1.90,1.92,2.01,6.76,6.76,6.75
40.14,4.85,-1.88,4.85,-1.88,1.88,1.89,1.96,6.73,6.73,6.73
40.54,4.84,-1.87,4.84,-1.86,1.86,1.87,1.90,6.69,6.70,6.71
40.94,4.85,-1.83,4.84,-1.83,1.83,1.84,1.85,6.68,6.67,6.67
41.35,4.84,-1.81,4.83,-1.82,1.82,1.81,1.80,6.65,6.65,6.65
41.76,4.83,-1.79,4.83,-1.79,1.79,1.78,1.75,6.62,6.62,6.61
42.18,4.83,-1.78,4.82,-1.78,1.78,1.75,1.70,6.60,6.60,6.60
42.60,4.82,-1.76,4.82,-1.76,1.76,1.72,1.65,6.57,6.58,6.57
43.03,4.82,-1.73,4.81,-1.74,1.74,1.69,1.60,6.55,6.55,6.55
43.46,4.81,-1.72,4.81,-1.72,1.72,1.66,1.56,6.53,6.53,6.53
43.90,4.81,-1.70,4.80,-1.70,1.70,1.63,1.51,6.51,6.50,6.51
44.33,4.80,-1.67,4.80,-1.68,1.68,1.60,1.47,6.47,6.47,6.46
44.78,4.79,-1.66,4.79,-1.66,1.66,1.56,1.43,6.44,6.45,6.45
45.23,4.79,-1.65,4.79,-1.63,1.63,1.53,1.38,6.42,6.42,6.44
45.68,4.78,-1.62,4.78,-1.61,1.61,1.50,1.34,6.38,6.39,6.40
46.13,4.78,-1.57,4.77,-1.58,1.58,1.46,1.30,6.36,6.35,6.34
46.60,4.77,-1.56,4.77,-1.55,1.55,1.43,1.27,6.32,6.32,6.33
47.06,4.77,-1.52,4.76,-1.52,1.52,1.39,1.23,6.28,6.28,6.28
47.53,4.76,-1.50,4.76,-1.48,1.48,1.36,1.19,6.24,6.24,6.25
48.01,4.76,-1.44,4.75,-1.45,1.45,1.32,1.16,6.20,6.20,6.20
48.49,4.75,-1.42,4.75,-1.41,1.41,1.28,1.12,6.15,6.16,6.17
48.97,4.75,-1.37,4.74,-1.37,1.37,1.25,1.09,6.12,6.11,6.11
49.46,4.74,-1.34,4.74,-1.33,1.33,1.21,1.06,6.07,6.07,6.07
49.96,4.74,-1.27,4.73,-1.29,1.29,1.17,1.03,6.02,6.02,6.01
50.46,4.73,-1.24,4.73,-1.25,1.25,1.13,1.00,5.97,5.97,5.97
50.96,4.72,-1.20,4.72,-1.20,1.20,1.09,0.97,5.92,5.93,5.92
51.47,4.72,-1.16,4.72,-1.16,1.16,1.06,0.94,5.88,5.88,5.88
51.99,4.72,-1.11,4.71,-1.12,1.12,1.02,0.91,5.84,5.83,5.83
52.51,4.72,-1.07,4.71,-1.08,1.08,0.98,0.88,5.79,5.79,5.79
53.03,4.71,-1.05,4.70,-1.03,1.03,0.94,0.85,5.74,5.74,5.76
53.56,4.70,-1.01,4.70,-0.99,0.99,0.89,0.83,5.69,5.69,5.71
54.10,4.70,-0.95,4.69,-0.95,0.95,0.85,0.80,5.65,5.65,5.65
54.64,4.69,-0.92,4.69,-0.91,0.91,0.81,0.77,5.60,5.60,5.61
55.18,4.69,-0.86,4.68,-0.88,0.88,0.77,0.75,5.56,5.56,5.54
55.74,4.68,-0.83,4.68,-0.84,0.84,0.73,0.72,5.51,5.52,5.51
56.29,4.68,-0.79,4.67,-0.80,0.80,0.69,0.70,5.48,5.47,5.46
56.86,4.67,-0.76,4.67,-0.76,0.76,0.65,0.67,5.43,5.43,5.43
57.42,4.67,-0.70,4.66,-0.72,0.72,0.60,0.64,5.39,5.38,5.36
58.00,4.66,-0.67,4.66,-0.68,0.68,0.56,0.62,5.33,5.33,5.33
58.58,4.66,-0.64,4.65,-0.63,0.63,0.52,0.59,5.29,5.28,5.30
59.16,4.65,-0.61,4.65,-0.59,0.59,0.48,0.56,5.23,5.23,5.25
59.76,4.64,-0.58,4.64,-0.54,0.54,0.43,0.54,5.18,5.18,5.22
60.35,4.64,-0.51,4.64,-0.49,0.49,0.39,0.51,5.13,5.13,5.14
60.96,4.63,-0.47,4.63,-0.44,0.44,0.35,0.48,5.07,5.08,5.10
61.57,4.63,-0.39,4.62,-0.40,0.40,0.30,0.45,5.02,5.02,5.02
62.18,4.62,-0.34,4.62,-0.35,0.35,0.26,0.42,4.96,4.96,4.95
62.80,4.62,-0.28,4.61,-0.29,0.29,0.21,0.39,4.91,4.91,4.89
63.43,4.61,-0.22,4.61,-0.24,0.24,0.17,0.36,4.85,4.85,4.82
64.07,4.61,-0.17,4.60,-0.19,0.19,0.13,0.33,4.80,4.79,4.78
64.71,4.60,-0.13,4.59,-0.14,0.14,0.08,0.30,4.74,4.73,4.73
65.35,4.59,-0.09,4.59,-0.09,0.09,0.04,0.27,4.67,4.67,4.67
66.01,4.58,-0.04,4.58,-0.04,0.04,-0.00,0.23,4.61,4.62,4.62
66.67,4.58,0.00,4.57,0.01,-0.01,-0.05,0.20,4.56,4.56,4.58
67.33,4.56,0.05,4.57,0.06,-0.06,-0.09,0.16,4.50,4.51,4.50
68.01,4.56,0.10,4.56,0.11,-0.11,-0.14,0.13,4.45,4.45,4.46
68.69,4.56,0.16,4.55,0.15,-0.15,-0.18,0.09,4.40,4.40,4.40
69.37,4.54,0.19,4.54,0.20,-0.20,-0.22,0.06,4.33,4.34,4.34
70.07,4.54,0.24,4.53,0.25,-0.25,-0.27,0.02,4.29,4.28,4.30
