frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,16.93,7.48,16.93,7.48,-7.48,-8.24,-4.05,9.45,9.44,9.45
20.20,16.97,7.52,16.96,7.52,-7.52,-8.24,-4.16,9.45,9.45,9.45
20.40,17.00,7.55,17.00,7.56,-7.55,-8.25,-4.27,9.44,9.45,9.45
20.61,17.04,7.59,17.04,7.59,-7.59,-8.25,-4.38,9.45,9.45,9.45
20.81,17.08,7.64,17.07,7.63,-7.63,-8.26,-4.50,9.45,9.45,9.44
21.02,17.12,7.68,17.11,7.67,-7.66,-8.26,-4.62,9.45,9.45,9.44
21.23,17.14,7.70,17.14,7.70,-7.70,-8.27,-4.75,9.44,9.44,9.44
21.44,17.18,7.73,17.18,7.73,-7.74,-8.27,-4.88,9.44,9.44,9.45
21.66,17.21,7.77,17.21,7.77,-7.77,-8.28,-5.01,9.43,9.43,9.44
21.87,17.25,7.81,17.25,7.81,-7.81,-8.28,-5.15,9.44,9.43,9.44
22.09,17.28,7.85,17.28,7.85,-7.85,-8.29,-5.28,9.43,9.43,9.43
22.31,17.32,7.89,17.31,7.89,-7.88,-8.29,-5.43,9.43,9.43,9.43
22.54,17.35,7.93,17.35,7.92,-7.92,-8.30,-5.57,9.42,9.42,9.42
22.76,17.38,7.96,17.38,7.96,-7.96,-8.31,-5.73,9.42,9.42,9.42
22.99,17.41,8.00,17.41,8.00,-8.00,-8.31,-5.88,9.41,9.41,9.41
23.22,17.44,8.04,17.44,8.03,-8.04,-8.32,-6.04,9.40,9.40,9.40
23.45,17.47,8.07,17.47,8.07,-8.07,-8.32,-6.20,9.39,9.39,9.40
23.69,17.50,8.11,17.50,8.11,-8.11,-8.33,-6.37,9.39,9.39,9.39
23.92,17.53,8.15,17.53,8.14,-8.14,-8.34,-6.53,9.39,9.39,9.38
24.16,17.56,8.18,17.55,8.18,-8.17,-8.34,-6.71,9.39,9.38,9.38
24.40,17.58,8.20,17.58,8.20,-8.20,-8.35,-6.88,9.37,9.38,9.38
24.65,17.61,8.23,17.61,8.23,-8.23,-8.36,-7.06,9.37,9.37,9.38
24.89,17.63,8.25,17.63,8.26,-8.26,-8.36,-7.25,9.37,9.37,9.38
25.14,17.66,8.29,17.65,8.29,-8.29,-8.37,-7.43,9.37,9.37,9.37
25.39,17.68,8.32,17.68,8.32,-8.31,-8.38,-7.62,9.37,9.37,9.36
25.65,17.70,8.34,17.70,8.34,-8.34,-8.39,-7.81,9.36,9.37,9.36
25.91,17.73,8.37,17.72,8.36,-8.36,-8.39,-8.00,9.37,9.36,9.36
26.16,17.75,8.38,17.75,8.38,-8.38,-8.40,-8.19,9.36,9.36,9.37
26.43,17.77,8.40,17.77,8.40,-8.40,-8.41,-8.38,9.36,9.36,9.37
26.69,17.79,8.42,17.79,8.42,-8.42,-8.42,-8.58,9.36,9.36,9.37
26.96,17.81,8.45,17.81,8.45,-8.44,-8.43,-8.77,9.36,9.36,9.36
27.23,17.83,8.47,17.82,8.46,-8.46,-8.43,-8.96,9.37,9.36,9.36
27.50,17.84,8.48,17.84,8.48,-8.48,-8.44,-9.14,9.36,9.36,9.36
27.77,17.86,8.49,17.86,8.49,-8.50,-8.45,-9.32,9.36,9.36,9.37
28.05,17.88,8.52,17.87,8.52,-8.52,-8.46,-9.50,9.36,9.35,9.36
28.33,17.89,8.54,17.89,8.54,-8.54,-8.47,-9.67,9.35,9.35,9.35
28.62,17.91,8.57,17.91,8.56,-8.56,-8.48,-9.84,9.35,9.35,9.34
28.90,17.92,8.57,17.92,8.58,-8.58,-8.49,-9.99,9.34,9.34,9.35
29.19,17.94,8.60,17.93,8.60,-8.60,-8.50,-10.14,9.34,9.34,9.34
29.48,17.94,8.61,17.94,8.61,-8.61,-8.51,-10.27,9.32,9.33,9.33
29.78,17.96,8.64,17.95,8.63,-8.63,-8.52,-10.39,9.33,9.32,9.32
30.08,17.96,8.64,17.96,8.65,-8.64,-8.53,-10.49,9.31,9.32,9.32
30.38,17.97,8.66,17.97,8.66,-8.66,-8.54,-10.59,9.31,9.31,9.31
30.68,17.98,8.68,17.97,8.67,-8.67,-8.55,-10.66,9.31,9.30,9.30
30.99,17.98,8.68,17.98,8.68,-8.68,-8.56,-10.72,9.30,9.30,9.30
31.30,17.99,8.69,17.98,8.69,-8.69,-8.58,-10.76,9.30,9.30,9.30
31.61,17.99,8.69,17.99,8.69,-8.69,-8.59,-10.79,9.29,9.29,9.30
31.93,18.00,8.71,17.99,8.70,-8.70,-8.60,-10.80,9.30,9.29,9.29
32.24,18.00,8.70,18.00,8.71,-8.71,-8.61,-10.80,9.29,9.29,9.30
32.57,18.01,8.72,18.00,8.71,-8.71,-8.62,-10.77,9.30,9.29,9.29
32.89,18.01,8.72,18.01,8.72,-8.72,-8.64,-10.74,9.29,9.29,9.29
33.22,18.01,8.72,18.01,8.72,-8.72,-8.65,-10.69,9.28,9.28,9.29
33.55,18.01,8.73,18.01,8.73,-8.73,-8.66,-10.63,9.28,9.28,9.28
33.89,18.01,8.74,18.01,8.74,-8.74,-8.68,-10.56,9.27,9.27,9.27
34.23,18.01,8.76,18.01,8.75,-8.75,-8.69,-10.48,9.26,9.26,9.25
34.57,18.01,8.76,18.00,8.76,-8.76,-8.70,-10.39,9.25,9.25,9.25
34.92,18.00,8.77,18.00,8.77,-8.77,-8.72,-10.30,9.23,9.23,9.23
35.27,17.99,8.77,17.99,8.77,-8.78,-8.73,-10.20,9.21,9.21,9.22
35.62,17.99,8.80,17.98,8.79,-8.79,-8.74,-10.10,9.19,9.19,9.19
35.97,17.97,8.80,17.97,8.81,-8.81,-8.76,-9.99,9.16,9.16,9.17
36.33,17.97,8.83,17.97,8.83,-8.83,-8.77,-9.89,9.14,9.14,9.14
36.70,17.96,8.85,17.95,8.84,-8.84,-8.78,-9.78,9.11,9.11,9.11
37.06,17.95,8.87,17.95,8.87,-8.86,-8.79,-9.67,9.08,9.08,9.08
37.43,17.93,8.88,17.93,8.89,-8.89,-8.81,-9.56,9.04,9.05,9.05
37.81,17.93,8.91,17.92,8.91,-8.91,-8.82,-9.46,9.02,9.02,9.02
38.19,17.91,8.93,17.91,8.92,-8.92,-8.83,-9.36,8.98,8.98,8.98
38.57,17.90,8.94,17.90,8.94,-8.94,-8.84,-9.26,8.96,8.96,8.96
38.95,17.88,8.95,17.88,8.96,-8.95,-8.85,-9.16,8.92,8.92,8.93
39.34,17.87,8.98,17.87,8.97,-8.97,-8.86,-9.07,8.90,8.90,8.89
39.74,17.85,8.99,17.85,8.98,-8.98,-8.87,-8.99,8.87,8.87,8.86
40.14,17.83,8.99,17.83,8.99,-8.99,-8.88,-8.90,8.84,8.84,8.84
40.54,17.80,8.98,17.80,8.99,-8.99,-8.89,-8.83,8.80,8.81,8.82
40.94,17.79,9.00,17.78,9.00,-9.00,-8.90,-8.76,8.79,8.79,8.79
41.35,17.77,9.01,17.76,9.00,-9.00,-8.91,-8.69,8.77,8.76,8.76
41.76,17.74,9.01,17.74,9.01,-9.00,-8.91,-8.63,8.73,8.74,8.73
42.18,17.72,9.00,17.71,9.00,-9.00,-8.92,-8.58,8.71,8.71,8.72
42.60,17.69,9.00,17.69,9.00,-9.00,-8.93,-8.53,8.68,8.69,8.69
43.03,17.67,9.01,17.66,9.00,-9.00,-8.93,-8.49,8.67,8.66,8.66
43.46,17.64,9.00,17.64,9.00,-9.00,-8.93,-8.45,8.64,8.64,8.64
43.90,17.61,8.99,17.61,9.00,-8.99,-8.94,-8.42,8.62,8.62,8.62
44.33,17.58,9.00,17.58,8.99,-8.99,-8.94,-8.40,8.59,8.59,8.58
44.78,17.55,8.99,17.54,8.98,-8.98,-8.94,-8.38,8.56,8.56,8.56
45.23,17.51,8.96,17.51,8.98,-8.98,-8.95,-8.37,8.53,8.53,8.55
45.68,17.48,8.97,17.48,8.97,-8.98,-8.95,-8.36,8.50,8.50,8.51
46.13,17.45,8.99,17.44,8.97,-8.97,-8.95,-8.36,8.47,8.47,8.46
46.60,17.41,8.97,17.41,8.97,-8.97,-8.95,-8.37,8.43,8.44,8.44
47.06,17.38,8.98,17.37,8.98,-8.98,-8.95,-8.38,8.40,8.40,8.40
47.53,17.34,8.97,17.34,8.98,-8.98,-8.96,-8.40,8.36,8.36,8.37
48.01,17.31,9.00,17.30,8.99,-8.99,-8.96,-8.42,8.32,8.32,8.31
48.49,17.27,8.99,17.27,8.99,-8.99,-8.96,-8.45,8.27,8.27,8.28
48.97,17.23,9.00,17.23,9.00,-9.00,-8.96,-8.49,8.23,8.23,8.23
