frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.41,-9.36,-2.41,-9.38,9.38,8.58,3.38,6.96,6.97,6.94
20.20,-2.37,-9.32,-2.37,-9.33,9.33,8.65,3.47,6.96,6.96,6.94
20.40,-2.33,-9.28,-2.34,-9.29,9.29,8.73,3.57,6.95,6.95,6.94
20.61,-2.29,-9.24,-2.30,-9.24,9.24,8.79,3.67,6.95,6.94,6.94
20.81,-2.25,-9.20,-2.26,-9.19,9.19,8.85,3.77,6.94,6.93,6.94
21.02,-2.22,-9.17,-2.22,-9.14,9.14,8.91,3.87,6.92,6.92,6.94
21.23,-2.18,-9.11,-2.18,-9.09,9.09,8.95,3.98,6.91,6.91,6.92
21.44,-2.14,-9.06,-2.14,-9.04,9.04,9.00,4.09,6.90,6.90,6.91
21.66,-2.11,-9.01,-2.10,-8.99,8.99,9.03,4.20,6.87,6.88,6.89
21.87,-2.07,-8.95,-2.06,-8.93,8.93,9.06,4.32,6.86,6.87,6.87
22.09,-2.02,-8.89,-2.02,-8.87,8.87,9.08,4.44,6.85,6.85,6.86
22.31,-1.98,-8.82,-1.98,-8.82,8.82,9.09,4.56,6.83,6.83,6.83
22.54,-1.94,-8.76,-1.94,-8.75,8.75,9.10,4.69,6.81,6.81,6.81
22.76,-1.89,-8.69,-1.90,-8.69,8.69,9.09,4.82,6.79,6.79,6.79
22.99,-1.85,-8.62,-1.86,-8.62,8.62,9.09,4.95,6.77,6.77,6.76
23.22,-1.81,-8.55,-1.81,-8.56,8.56,9.07,5.09,6.74,6.74,6.73
23.45,-1.76,-8.47,-1.77,-8.49,8.49,9.05,5.23,6.73,6.72,6.70
23.69,-1.72,-8.42,-1.72,-8.42,8.42,9.02,5.37,6.70,6.70,6.69
23.92,-1.67,-8.35,-1.68,-8.36,8.36,8.98,5.51,6.69,6.68,6.67
24.16,-1.63,-8.30,-1.64,-8.30,8.30,8.94,5.66,6.66,6.66,6.66
24.40,-1.59,-8.24,-1.59,-8.23,8.23,8.90,5.81,6.64,6.64,6.64
24.65,-1.55,-8.18,-1.55,-8.17,8.17,8.84,5.96,6.61,6.62,6.62
24.89,-1.50,-8.11,-1.50,-8.10,8.10,8.78,6.12,6.60,6.60,6.60
25.14,-1.45,-8.05,-1.45,-8.04,8.04,8.72,6.28,6.59,6.59,6.59
25.39,-1.41,-7.99,-1.41,-7.98,7.98,8.66,6.43,6.57,6.57,6.57
25.65,-1.36,-7.93,-1.36,-7.92,7.92,8.58,6.59,6.55,6.56,6.56
25.91,-1.31,-7.85,-1.32,-7.86,7.86,8.51,6.75,6.54,6.54,6.53
26.16,-1.27,-7.80,-1.27,-7.80,7.80,8.43,6.91,6.52,6.53,6.52
26.43,-1.22,-7.74,-1.23,-7.73,7.73,8.35,7.08,6.51,6.51,6.51
26.69,-1.17,-7.66,-1.18,-7.67,7.67,8.27,7.23,6.50,6.49,6.48
26.96,-1.13,-7.61,-1.13,-7.61,7.61,8.18,7.39,6.48,6.48,6.47
27.23,-1.08,-7.55,-1.09,-7.55,7.55,8.10,7.55,6.47,6.46,6.46
