frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.89,-6.71,-2.89,-6.70,6.71,4.45,0.74,3.81,3.82,3.81
20.20,-2.77,-6.59,-2.78,-6.59,6.60,4.60,0.76,3.82,3.82,3.81
20.40,-2.66,-6.48,-2.66,-6.48,6.48,4.73,0.79,3.82,3.82,3.81
20.61,-2.55,-6.36,-2.54,-6.36,6.36,4.83,0.81,3.81,3.81,3.81
20.81,-2.42,-6.24,-2.43,-6.24,6.24,4.91,0.84,3.81,3.81,3.81
21.02,-2.31,-6.13,-2.31,-6.12,6.11,4.97,0.86,3.80,3.80,3.81
21.23,-2.18,-5.98,-2.19,-5.99,5.98,4.99,0.89,3.80,3.79,3.79
21.44,-2.06,-5.85,-2.06,-5.85,5.84,4.98,0.92,3.78,3.78,3.78
21.66,-1.94,-5.71,-1.94,-5.70,5.70,4.94,0.95,3.76,3.77,3.76
21.87,-1.81,-5.56,-1.81,-5.56,5.56,4.88,0.98,3.75,3.75,3.74
22.09,-1.68,-5.42,-1.69,-5.41,5.42,4.78,1.01,3.73,3.73,3.73
22.31,-1.56,-5.27,-1.56,-5.27,5.27,4.67,1.04,3.71,3.71,3.70
22.54,-1.44,-5.12,-1.43,-5.12,5.12,4.53,1.07,3.68,3.68,3.68
22.76,-1.30,-4.97,-1.31,-4.97,4.97,4.38,1.10,3.66,3.66,3.66
22.99,-1.18,-4.82,-1.18,-4.82,4.82,4.22,1.14,3.63,3.63,3.63
23.22,-1.06,-4.67,-1.06,-4.67,4.67,4.05,1.17,3.60,3.61,3.60
23.45,-0.93,-4.51,-0.94,-4.52,4.52,3.88,1.20,3.59,3.59,3.57
23.69,-0.82,-4.38,-0.81,-4.37,4.38,3.70,1.24,3.56,3.57,3.56
23.92,-0.68,-4.23,-0.69,-4.23,4.24,3.52,1.28,3.56,3.55,3.54
24.16,-0.56,-4.10,-0.57,-4.10,4.10,3.35,1.31,3.53,3.53,3.53
24.40,-0.45,-3.97,-0.45,-3.96,3.96,3.18,1.35,3.51,3.51,3.51
24.65,-0.33,-3.83,-0.33,-3.83,3.82,3.02,1.39,3.49,3.49,3.49
24.89,-0.21,-3.69,-0.21,-3.69,3.68,2.86,1.42,3.47,3.47,3.47
25.14,-0.08,-3.55,-0.08,-3.55,3.55,2.70,1.46,3.47,3.46,3.46
25.39,0.04,-3.41,0.04,-3.41,3.41,2.56,1.50,3.45,3.45,3.44
25.65,0.16,-3.28,0.16,-3.27,3.27,2.42,1.54,3.43,3.43,3.43
25.91,0.27,-3.13,0.28,-3.14,3.13,2.28,1.58,3.41,3.41,3.41
26.16,0.40,-3.00,0.40,-3.00,3.00,2.15,1.61,3.40,3.39,3.39
26.43,0.52,-2.87,0.52,-2.86,2.86,2.03,1.65,3.38,3.38,3.38
26.69,0.64,-2.72,0.64,-2.72,2.73,1.92,1.69,3.36,3.36,3.35
