frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.34,-6.13,-5.33,-6.15,6.15,5.30,2.89,0.81,0.81,0.79
20.20,-5.36,-6.15,-5.36,-6.16,6.16,5.36,2.97,0.80,0.81,0.79
20.40,-5.38,-6.17,-5.38,-6.18,6.18,5.41,3.05,0.80,0.80,0.79
20.61,-5.40,-6.19,-5.41,-6.20,6.20,5.47,3.14,0.80,0.79,0.79
20.81,-5.42,-6.21,-5.43,-6.21,6.21,5.52,3.23,0.79,0.78,0.79
21.02,-5.45,-6.24,-5.45,-6.22,6.22,5.58,3.32,0.77,0.77,0.79
21.23,-5.47,-6.24,-5.48,-6.24,6.24,5.63,3.41,0.76,0.76,0.77
21.44,-5.50,-6.26,-5.50,-6.25,6.25,5.69,3.50,0.75,0.74,0.76
21.66,-5.53,-6.27,-5.53,-6.26,6.26,5.74,3.60,0.73,0.73,0.74
21.87,-5.56,-6.28,-5.55,-6.27,6.27,5.80,3.70,0.71,0.72,0.72
22.09,-5.58,-6.29,-5.58,-6.28,6.28,5.85,3.81,0.69,0.70,0.71
22.31,-5.60,-6.28,-5.60,-6.28,6.28,5.90,3.91,0.68,0.68,0.68
22.54,-5.63,-6.29,-5.63,-6.29,6.29,5.95,4.02,0.66,0.66,0.66
22.76,-5.65,-6.29,-5.65,-6.29,6.29,6.00,4.13,0.64,0.64,0.64
22.99,-5.68,-6.29,-5.68,-6.29,6.29,6.05,4.25,0.61,0.61,0.61
23.22,-5.70,-6.28,-5.70,-6.30,6.30,6.10,4.37,0.60,0.59,0.58
23.45,-5.72,-6.27,-5.73,-6.30,6.30,6.14,4.49,0.58,0.57,0.55
23.69,-5.75,-6.29,-5.75,-6.30,6.30,6.19,4.61,0.55,0.55,0.54
23.92,-5.77,-6.29,-5.78,-6.31,6.31,6.24,4.74,0.54,0.53,0.52
24.16,-5.80,-6.31,-5.80,-6.31,6.31,6.28,4.86,0.51,0.51,0.51
24.40,-5.83,-6.32,-5.83,-6.32,6.32,6.32,4.99,0.49,0.49,0.49
24.65,-5.85,-6.32,-5.85,-6.32,6.32,6.36,5.12,0.47,0.47,0.47
24.89,-5.88,-6.33,-5.87,-6.33,6.33,6.40,5.26,0.45,0.45,0.45
25.14,-5.90,-6.34,-5.90,-6.33,6.33,6.44,5.39,0.43,0.44,0.44
25.39,-5.92,-6.34,-5.92,-6.34,6.34,6.48,5.53,0.42,0.42,0.42
25.65,-5.94,-6.35,-5.94,-6.34,6.34,6.51,5.67,0.40,0.40,0.41
25.91,-5.96,-6.34,-5.96,-6.35,6.35,6.55,5.80,0.39,0.39,0.38
26.16,-5.98,-6.35,-5.98,-6.35,6.35,6.58,5.94,0.37,0.37,0.37
26.43,-6.00,-6.36,-6.00,-6.35,6.35,6.61,6.08,0.35,0.36,0.36
26.69,-6.01,-6.34,-6.01,-6.35,6.35,6.64,6.21,0.34,0.34,0.33
26.96,-6.03,-6.35,-6.03,-6.35,6.35,6.67,6.35,0.32,0.33,0.32
27.23,-6.04,-6.35,-6.04,-6.35,6.35,6.69,6.48,0.31,0.31,0.31
27.50,-6.06,-6.36,-6.06,-6.35,6.35,6.72,6.61,0.29,0.30,0.30
27.77,-6.07,-6.35,-6.07,-6.35,6.35,6.74,6.73,0.28,0.28,0.28
28.05,-6.08,-6.35,-6.08,-6.35,6.35,6.76,6.85,0.27,0.27,0.27
28.33,-6.09,-6.34,-6.10,-6.35,6.35,6.77,6.97,0.26,0.25,0.25
28.62,-6.10,-6.34,-6.11,-6.35,6.35,6.79,7.08,0.25,0.24,0.24
28.90,-6.12,-6.34,-6.12,-6.35,6.35,6.80,7.18,0.23,0.23,0.22
29.19,-6.14,-6.34,-6.13,-6.34,6.34,6.81,7.28,0.20,0.22,0.20
29.48,-6.14,-6.34,-6.14,-6.34,6.34,6.82,7.36,0.20,0.20,0.20
29.78,-6.15,-6.34,-6.15,-6.34,6.34,6.83,7.44,0.19,0.19,0.19
30.08,-6.16,-6.34,-6.17,-6.34,6.34,6.84,7.50,0.18,0.17,0.18
30.38,-6.18,-6.34,-6.18,-6.34,6.34,6.84,7.56,0.16,0.16,0.16
30.68,-6.19,-6.34,-6.19,-6.34,6.34,6.84,7.60,0.14,0.14,0.15
30.99,-6.19,-6.31,-6.21,-6.33,6.33,6.84,7.64,0.14,0.13,0.12
31.30,-6.21,-6.32,-6.22,-6.33,6.33,6.84,7.66,0.12,0.11,0.11
31.61,-6.23,-6.33,-6.24,-6.33,6.33,6.83,7.67,0.10,0.09,0.10
31.93,-6.25,-6.33,-6.25,-6.33,6.33,6.82,7.67,0.08,0.08,0.08
32.24,-6.27,-6.32,-6.26,-6.32,6.32,6.81,7.66,0.05,0.06,0.05
32.57,-6.28,-6.31,-6.28,-6.31,6.31,6.80,7.63,0.03,0.04,0.03
32.89,-6.30,-6.32,-6.29,-6.31,6.31,6.79,7.60,0.01,0.02,0.02
33.22,-6.30,-6.29,-6.30,-6.30,6.30,6.77,7.56,-0.00,-0.00,-0.01
33.55,-6.32,-6.30,-6.32,-6.29,6.29,6.75,7.51,-0.03,-0.02,-0.02
33.89,-6.33,-6.28,-6.33,-6.28,6.28,6.73,7.45,-0.05,-0.04,-0.05
34.23,-6.34,-6.27,-6.34,-6.27,6.27,6.71,7.38,-0.07,-0.07,-0.07
34.57,-6.34,-6.25,-6.35,-6.26,6.26,6.68,7.31,-0.08,-0.09,-0.09
34.92,-6.35,-6.24,-6.35,-6.25,6.25,6.66,7.23,-0.10,-0.11,-0.11
35.27,-6.36,-6.23,-6.36,-6.23,6.23,6.63,7.15,-0.13,-0.13,-0.13
35.62,-6.36,-6.21,-6.36,-6.22,6.22,6.60,7.06,-0.14,-0.15,-0.15
35.97,-6.37,-6.20,-6.37,-6.20,6.20,6.57,6.97,-0.17,-0.17,-0.17
36.33,-6.37,-6.18,-6.37,-6.19,6.19,6.54,6.88,-0.19,-0.19,-0.19
36.70,-6.38,-6.17,-6.38,-6.17,6.17,6.50,6.79,-0.21,-0.21,-0.21
37.06,-6.38,-6.15,-6.38,-6.15,6.15,6.47,6.70,-0.23,-0.23,-0.23
37.43,-6.38,-6.13,-6.39,-6.13,6.13,6.43,6.60,-0.25,-0.25,-0.25
37.81,-6.39,-6.12,-6.39,-6.12,6.12,6.39,6.51,-0.27,-0.27,-0.27
38.19,-6.39,-6.09,-6.39,-6.10,6.10,6.35,6.42,-0.29,-0.29,-0.30
38.57,-6.40,-6.09,-6.40,-6.08,6.08,6.30,6.33,-0.32,-0.31,-0.31
38.95,-6.39,-6.05,-6.40,-6.06,6.06,6.26,6.24,-0.33,-0.33,-0.34
39.34,-6.40,-6.04,-6.40,-6.05,6.05,6.22,6.15,-0.35,-0.35,-0.36
39.74,-6.40,-6.02,-6.40,-6.03,6.03,6.17,6.07,-0.37,-0.37,-0.38
40.14,-6.40,-6.01,-6.40,-6.01,6.01,6.12,5.99,-0.39,-0.39,-0.39
40.54,-6.40,-5.99,-6.40,-5.99,5.99,6.07,5.91,-0.41,-0.41,-0.41
40.94,-6.40,-5.97,-6.40,-5.97,5.97,6.03,5.84,-0.43,-0.43,-0.43
41.35,-6.40,-5.94,-6.40,-5.95,5.95,5.97,5.77,-0.45,-0.45,-0.46
41.76,-6.39,-5.93,-6.40,-5.93,5.93,5.92,5.70,-0.46,-0.46,-0.46
