frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.19,-4.99,-0.19,-5.01,5.01,5.01,0.77,4.83,4.82,4.80
20.20,-0.13,-4.93,-0.13,-4.95,4.95,4.94,0.80,4.82,4.82,4.80
20.40,-0.08,-4.88,-0.07,-4.88,4.88,4.88,0.82,4.80,4.81,4.80
20.61,-0.02,-4.82,-0.01,-4.81,4.81,4.80,0.85,4.79,4.80,4.80
20.81,0.05,-4.75,0.05,-4.74,4.74,4.73,0.88,4.79,4.79,4.80
21.02,0.11,-4.69,0.11,-4.66,4.66,4.65,0.90,4.78,4.78,4.80
21.23,0.18,-4.60,0.18,-4.59,4.59,4.56,0.93,4.77,4.77,4.78
21.44,0.24,-4.53,0.24,-4.51,4.51,4.48,0.96,4.76,4.75,4.77
21.66,0.30,-4.45,0.30,-4.44,4.44,4.39,0.99,4.74,4.74,4.75
21.87,0.36,-4.37,0.37,-4.36,4.36,4.31,1.02,4.72,4.73,4.73
22.09,0.43,-4.29,0.43,-4.28,4.28,4.22,1.06,4.71,4.71,4.72
22.31,0.49,-4.20,0.50,-4.20,4.20,4.13,1.09,4.69,4.69,4.69
22.54,0.55,-4.12,0.56,-4.11,4.11,4.04,1.12,4.66,4.67,4.67
22.76,0.63,-4.02,0.63,-4.02,4.02,3.94,1.16,4.65,4.65,4.65
22.99,0.69,-3.93,0.69,-3.93,3.93,3.85,1.19,4.62,4.62,4.62
23.22,0.75,-3.84,0.76,-3.84,3.84,3.76,1.23,4.60,4.60,4.59
23.45,0.82,-3.74,0.82,-3.76,3.76,3.67,1.27,4.58,4.58,4.56
23.69,0.89,-3.66,0.89,-3.67,3.67,3.57,1.31,4.56,4.56,4.55
23.92,0.96,-3.57,0.96,-3.58,3.58,3.48,1.34,4.54,4.54,4.53
24.16,1.03,-3.49,1.03,-3.49,3.49,3.39,1.38,4.52,4.52,4.52
24.40,1.09,-3.41,1.10,-3.40,3.40,3.30,1.42,4.50,4.50,4.50
24.65,1.16,-3.32,1.16,-3.32,3.32,3.20,1.46,4.48,4.48,4.48
24.89,1.23,-3.23,1.23,-3.23,3.23,3.11,1.50,4.46,4.46,4.46
25.14,1.30,-3.15,1.30,-3.14,3.14,3.02,1.55,4.45,4.45,4.45
25.39,1.37,-3.06,1.37,-3.06,3.06,2.93,1.59,4.43,4.43,4.43
25.65,1.44,-2.98,1.44,-2.97,2.97,2.85,1.63,4.41,4.41,4.42
25.91,1.51,-2.88,1.52,-2.88,2.88,2.76,1.67,4.39,4.40,4.39
26.16,1.58,-2.80,1.59,-2.80,2.80,2.67,1.71,4.38,4.38,4.38
26.43,1.65,-2.72,1.66,-2.71,2.71,2.58,1.75,4.36,4.37,4.37
26.69,1.73,-2.61,1.73,-2.62,2.62,2.50,1.78,4.35,4.35,4.34
26.96,1.80,-2.53,1.80,-2.53,2.53,2.42,1.82,4.33,4.33,4.33
27.23,1.88,-2.44,1.88,-2.45,2.45,2.33,1.86,4.33,4.32,4.32
27.50,1.94,-2.37,1.95,-2.36,2.36,2.25,1.89,4.30,4.31,4.31
27.77,2.02,-2.27,2.02,-2.27,2.27,2.17,1.92,4.30,4.29,4.29
28.05,2.09,-2.19,2.09,-2.19,2.19,2.09,1.96,4.28,4.28,4.28
28.33,2.16,-2.10,2.16,-2.10,2.10,2.01,1.98,4.27,4.26,4.26
28.62,2.23,-2.02,2.23,-2.02,2.02,1.93,2.01,4.25,4.25,4.25
